date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,wFA/C,wSL/C,vFA,vSL,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FC%,FS%,CU%,CH%,wFC/C,wFS/C,wSI/C,wCU/C,wCH/C,vFC,vFS,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,FS_ba,FS_slg,FS_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2024/09/30,1:11 PM.,ATL,NYM,away,Overcast.,73,680885,2B,1,0,0,0,0,0,0,0,0,1,0,.000,.125,.000,.125,680885,spencerschwellenbach,Schwellenbach,Right,Spencer Schwellenbach,ATL,3.35,3.44,123.2,107.0,101.0,108.0,0.744,9.24,1.67,7.71,1.02,1.14,0.247,0.413,0.183,0.299,0.462,110.0,108.0,108.0,110.0,113.0,119.0,0.291,0.199,0.27,0.61,96.1,87.3,0.225,0.333,0.279,0.24,0.448,0.205,,,,101.0,104.0,108.0,93.0,102.0,101.0,94.0,104.0,100.0,84.0,107.0,109.0,0.068,0.168,0.128,0.146,,0.53,1.96,-0.12,0.29,,92.9,84.5,,95.1,80.6,0.231,0.385,0.078,0.27,0.5,0.199,0.236,0.436,0.409,,,,0.147,0.235,0.463,,,,,,,,,
2024/09/30,4:50 PM.,ATL,NYM,away,Cloudy.,76,656550,SS,2,0,0,0,0,0,0,0,0,0,0,.000,.182,.000,.182,656550,grantholmes,"Holmes, G",Right,Grant Holmes,ATL,3.56,3.46,68.1,100.0,98.0,101.0,0.694,9.22,1.98,8.69,0.92,1.13,0.272,0.359,0.154,0.323,0.425,81.0,100.0,92.0,118.0,101.0,111.0,0.373,0.316,1.54,0.71,94.6,86.5,0.25,0.33,0.415,0.238,0.366,0.203,59.0,91.0,86.0,105.0,105.0,108.0,,,,94.0,89.0,90.0,,,,,0.082,,0.217,0.012,-3.71,,,0.86,-1.32,92.6,,91.3,,84.0,,,,0.467,0.867,0.15,0.228,0.316,0.437,,,,,,,,,,,,,,,
2024/09/29,2:12 PM.,MIL,NYM,away,Sunny.,72,607067,2B,0,0,0,0,0,0,0,0,0,0,0,.000,.143,.000,.143,607067,colinrea,Rea,Right,Colin Rea,MIL,4.29,4.91,167.2,102.0,84.0,97.0,0.827,7.25,2.31,9.07,1.56,0.95,0.24,0.456,0.137,0.329,0.443,70.0,109.0,95.0,109.0,106.0,108.0,0.193,0.172,0.49,1.41,92.9,82.0,,,,0.207,0.314,0.248,,,,100.0,109.0,104.0,82.0,103.0,96.0,76.0,94.0,88.0,78.0,98.0,96.0,0.311,0.194,0.088,0.042,,-1.34,-2.02,-0.28,-3.64,,87.6,86.5,,92.3,78.7,0.298,0.482,0.115,0.287,0.656,0.168,0.394,0.636,0.18,0.159,0.234,0.227,0.286,0.492,0.277,,,,,,,,,
2024/09/21,4:11 PM.,PHI,NYM,home,Partly Cloudy.,77,624133,2B,0,0,0,0,0,0,0,0,0,0,0,.000,.143,.000,.143,624133,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,3.46,3.67,150.2,103.0,82.0,100.0,0.799,8.66,2.45,8.36,0.84,2.01,0.194,0.461,0.154,0.283,0.395,68.0,101.0,91.0,22.0,85.0,77.0,0.195,0.001,0.67,-4.62,91.8,81.3,,,,0.224,0.327,0.18,73.0,100.0,98.0,84.0,107.0,108.0,87.0,106.0,104.0,101.0,98.0,93.0,,,,0.315,0.121,,0.205,0.163,-1.68,,0.84,1.02,-0.63,86.5,,80.0,90.8,74.4,0.27,0.381,0.101,0.302,0.642,0.162,0.189,0.342,0.339,,,,,,,0.229,0.323,0.35,,,,,,
2024/09/19,7:16 PM.,PHI,NYM,home,Cloudy.,78,592836,2B,0,0,0,0,0,0,0,0,0,0,0,.000,.143,.000,.143,592836,taijuanwalker,"Walker, T",Right,Taijuan Walker,PHI,7.1,7.09,83.2,98.0,88.0,95.0,0.847,6.24,3.98,11.51,2.58,0.93,0.184,0.442,0.131,0.389,0.429,61.0,93.0,83.0,56.0,108.0,104.0,0.126,0.178,-2.65,2.03,91.5,85.1,,,,0.346,0.615,0.232,,,,87.0,96.0,97.0,78.0,98.0,91.0,95.0,91.0,87.0,108.0,101.0,106.0,0.275,0.094,0.219,0.108,,-4.99,-4.16,-2.96,1.99,,87.3,86.7,,91.1,74.7,0.378,0.684,0.082,0.435,1.087,0.093,0.172,0.31,0.149,0.157,0.314,0.28,0.38,0.652,0.163,,,,,,,,,
2024/09/18,7:10 PM.,WSH,NYM,home,Cloudy.,72,687792,2B,1,0,0,0,0,0,0,0,0,0,0,.000,.143,.000,.143,687792,djherz,Herz,Left,DJ Herz,WSN,4.16,3.26,88.2,97.0,99.0,97.0,0.734,10.76,3.65,7.71,1.12,0.82,0.254,0.436,0.14,0.326,0.429,93.0,98.0,96.0,105.0,95.0,100.0,0.542,0.179,0.86,-0.96,93.5,86.1,0.229,0.429,0.275,0.222,0.317,0.305,113.0,98.0,99.0,,,,,,,,,,,,,,,,,0.245,,,,,-0.19,,,83.5,,,,,,,,,0.2,0.2,0.533,,,,,,,0.224,0.388,0.26,102.0,82.0,88.0,0.033,1.64,81.2
2024/09/17,7:12 PM.,WSH,NYM,home,Cloudy.,74,680730,2B,0,0,0,0,0,0,0,0,1,0,0,.000,.167,.000,.167,680730,mitchellparker,Parker,Left,Mitchell Parker,WSN,4.29,4.37,151.0,99.0,87.0,97.0,0.801,7.93,2.56,9.18,1.07,0.94,0.248,0.444,0.132,0.321,0.441,78.0,101.0,96.0,106.0,107.0,110.0,0.486,0.098,0.07,-0.73,92.5,84.5,0.238,0.429,0.364,0.276,0.425,0.12,,,,97.0,96.0,96.0,,,,,,,89.0,94.0,94.0,,,0.191,0.225,,,-0.6,,0.47,,,85.6,,,80.5,,,,,,,0.252,0.36,0.263,,,,0.233,0.4,0.372,,,,,,,,,
2024/09/16,7:10 PM.,WSH,NYM,home,Cloudy.,73,663623,2B,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,663623,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,4.41,4.31,187.2,103.0,94.0,101.0,0.803,7.48,2.49,8.3,1.39,1.2,0.241,0.424,0.181,0.334,0.462,82.0,104.0,97.0,110.0,115.0,117.0,0.379,0.003,0.44,-14.34,93.9,85.9,,,,0.204,0.381,0.235,99.0,91.0,93.0,110.0,104.0,106.0,97.0,102.0,102.0,78.0,102.0,93.0,,,,0.205,0.065,,0.313,0.035,0.06,,-0.64,0.24,1.34,89.9,,88.4,93.3,81.1,0.325,0.497,0.149,0.283,0.522,0.204,0.226,0.42,0.251,,,,,,,0.125,0.125,0.349,,,,,,
2024/09/13,6:40 PM.,PHI,NYM,away,Partly Cloudy.,82,605400,2B,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,605400,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.57,3.72,199.1,105.0,104.0,103.0,0.772,8.89,2.26,8.53,1.35,1.31,0.209,0.477,0.16,0.305,0.399,90.0,103.0,99.0,,,,0.278,,0.81,,92.5,,,,,0.168,0.318,0.224,78.0,102.0,91.0,,,,100.0,109.0,106.0,69.0,99.0,92.0,,,,0.204,0.092,,,0.096,-2.57,,-0.34,,-1.67,87.5,,85.7,91.5,,0.313,0.475,0.136,0.389,0.796,0.178,0.221,0.381,0.37,,,,,,,0.279,0.426,0.135,135.0,106.0,113.0,0.329,0.94,79.1
2024/09/11,3:09 PM.,TOR,NYM,away,Sunny.,68,670102,2B,0,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,670102,bowdenfrancis,Francis,Right,Bowden Francis,TOR,3.3,3.39,103.2,102.0,97.0,104.0,0.8,7.99,1.91,6.42,1.48,0.74,0.247,0.498,0.171,0.341,0.465,94.0,106.0,107.0,96.0,92.0,92.0,0.513,0.092,2.21,-1.47,92.9,81.7,0.25,0.583,0.436,0.174,0.371,0.185,,,,99.0,94.0,100.0,79.0,96.0,85.0,,,,109.0,105.0,110.0,0.029,,0.184,0.182,,,1.44,1.45,-1.71,,,83.8,,90.3,73.5,0.182,0.455,0.067,,,,0.308,0.558,0.243,,,,0.169,0.169,0.225,,,,,,,,,
2024/09/10,7:09 PM.,TOR,NYM,away,Partly Cloudy.,71,605135,2B,2,0,0,0,0,0,0,0,0,1,1,.000,.000,.000,.000,605135,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,4.16,4.52,171.0,98.0,94.0,96.0,0.805,8.84,3.68,9.47,0.95,1.14,0.27,0.365,0.177,0.331,0.437,64.0,103.0,94.0,120.0,96.0,106.0,0.045,0.118,-1.6,-0.88,92.6,77.2,0.375,0.781,0.096,0.242,0.394,0.25,75.0,87.0,84.0,101.0,91.0,102.0,96.0,101.0,97.0,79.0,101.0,91.0,87.0,90.0,86.0,0.407,0.197,0.043,0.137,0.053,0.44,-2.64,-0.08,-0.09,-2.29,89.6,84.1,84.5,92.5,71.0,0.327,0.423,0.128,0.188,0.316,0.268,0.221,0.351,0.292,0.154,0.231,0.458,0.303,0.364,0.167,0.321,0.607,0.158,,,,,,
2024/09/09,7:07 PM.,TOR,NYM,away,Roof Closed.,68,621114,PR,0,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,621114,ryanburr,Burr,Right,Ryan Burr,TOR,4.13,3.56,32.2,99.0,98.0,102.0,0.694,12.95,3.31,7.99,1.1,0.72,0.225,0.45,0.138,0.4,0.375,79.0,94.0,91.0,111.0,102.0,108.0,0.395,0.605,-0.36,0.6,94.1,85.4,0.214,0.369,0.368,0.256,0.465,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
