date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,wFC/C,wCU/C,vFC,vCU,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2024/06/26,1:11 PM.,CIN,PIT,away,Overcast.,77,668933,C,3,1,2,2,0,0,2,0,1,0,2,.200,.333,.400,.733,668933,grahamashcraft,Ashcraft,Right,Graham Ashcraft,CIN,5.24,5.18,77.1,98.0,113.0,96.0,0.795,6.63,3.14,10.36,1.28,1.54,0.273,0.369,0.154,0.285,0.43,87.0,78.0,79.0,,,,71.0,100.0,83.0,119.0,98.0,109.0,0.172,,0.319,0.03,,-2.72,1.37,-3.78,,90.5,94.8,88.4,,,,0.333,0.333,0.2,0.333,0.5,0.119,0.145,0.217,0.372,,,,125.0,99.0,92.0,0.479,,-1.57,,95.6,,0.329,0.52,0.161,,,,,,,,,,,,,,,
2024/06/23,1:36 PM.,TB,PIT,home,Cloudy.,84,650644,C,0,0,0,0,0,0,0,0,0,0,0,.083,.214,.167,.381,650644,aaroncivale,Civale,Right,Aaron Civale,- - -,4.36,4.0,161.0,100.0,96.0,100.0,0.801,8.33,2.91,8.83,1.62,0.83,0.253,0.411,0.145,0.315,0.399,,,,68.0,102.0,96.0,71.0,93.0,83.0,152.0,101.0,112.0,0.24,0.099,0.163,,-1.7,0.06,-1.03,,92.0,,92.6,80.5,0.294,0.49,0.095,,,,0.241,0.421,0.158,0.25,0.375,0.438,104.0,104.0,109.0,91.0,100.0,101.0,0.322,0.156,1.08,-1.36,88.1,77.1,0.232,0.394,0.233,0.25,0.479,0.275,0.267,0.467,0.272,57.0,96.0,102.0,0.02,-4.86,85.6,0.375,0.625,0.261
2024/06/22,4:06 PM.,TB,PIT,home,Partly Cloudy.,95,621107,C,3,0,0,0,0,0,0,0,0,0,0,.083,.214,.167,.381,621107,zacheflin,Eflin,Right,Zach Eflin,- - -,3.59,3.67,165.1,107.0,92.0,103.0,0.808,7.29,1.31,9.04,1.2,1.14,0.235,0.446,0.174,0.323,0.45,87.0,101.0,103.0,61.0,105.0,94.0,91.0,109.0,105.0,122.0,107.0,113.0,0.282,0.09,0.097,0.061,-0.64,0.0,0.46,0.21,92.4,85.6,91.7,79.7,0.236,0.418,0.248,0.188,0.354,0.105,0.293,0.404,0.133,,,,108.0,112.0,108.0,85.0,105.0,98.0,0.282,0.188,1.54,-1.27,88.2,78.8,0.214,0.345,0.223,0.291,0.472,0.333,0.236,0.473,0.203,,,,,,,,,
2024/06/18,6:43 PM.,CIN,PIT,home,Partly Cloudy.,83,666157,C,2,0,0,0,0,0,0,0,0,0,0,.111,.273,.222,.495,666157,nicklodolo,Lodolo,Left,Nick Lodolo,CIN,4.76,3.72,115.1,99.0,106.0,96.0,0.742,9.52,2.89,7.88,1.01,1.25,0.247,0.421,0.142,0.285,0.428,96.0,99.0,92.0,119.0,103.0,97.0,111.0,97.0,93.0,,,,0.133,0.43,,0.164,0.11,0.99,,-0.21,94.1,88.1,94.1,,0.241,0.407,0.23,0.232,0.39,0.259,0.234,0.453,0.183,,,,90.0,94.0,100.0,,,,,0.273,,-0.75,,81.7,,,,0.217,0.302,0.429,,,,,,,,,,,,
2024/06/16,1:11 PM.,COL,PIT,away,Partly Cloudy.,82,641712,C,3,0,1,1,0,0,3,0,1,0,0,.143,.333,.286,.619,641712,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,COL,6.17,6.01,89.0,95.0,84.0,91.0,0.832,4.96,5.06,10.01,1.11,1.77,0.213,0.423,0.147,0.367,0.416,84.0,94.0,93.0,64.0,89.0,76.0,71.0,96.0,86.0,99.0,96.0,97.0,0.327,0.153,0.244,0.1,-2.2,-0.07,-0.31,-4.94,89.9,83.5,90.4,84.1,0.302,0.509,0.079,0.379,0.69,0.146,0.306,0.448,0.076,0.289,0.361,0.318,103.0,97.0,100.0,,,,0.005,0.172,-18.69,0.48,86.9,80.3,,,,0.13,0.217,0.33,,,,,,,,,,,,
2024/06/15,7:10 PM.,COL,PIT,away,Cloudy.,89,621389,PH,1,0,0,0,0,0,0,0,0,0,0,.000,.200,.000,.200,621389,tyblach,Blach,Left,Ty Blach,COL,6.94,7.32,71.1,101.0,71.0,88.0,0.875,4.54,2.27,13.0,2.14,1.17,0.248,0.374,0.104,0.356,0.463,71.0,99.0,87.0,92.0,82.0,73.0,58.0,109.0,91.0,,,,0.162,0.345,0.001,0.245,-1.64,-5.1,-3.5,-2.05,89.1,80.0,89.3,85.0,0.371,0.571,0.072,0.342,0.507,0.208,0.426,0.936,0.124,,,,38.0,90.0,88.0,77.0,107.0,88.0,0.137,0.109,-0.5,-1.07,82.9,79.2,0.275,0.51,0.209,0.2,0.36,0.176,,,,,,,,,,,,
2024/03/31,1:41 PM.,MIA,PIT,away,Sunny.,77,669432,C,3,0,0,0,0,0,1,0,1,0,0,.000,.250,.000,.250,669432,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,- - -,4.92,5.18,124.1,100.0,83.0,98.0,0.811,7.02,4.05,10.13,1.01,1.38,0.215,0.422,0.131,0.358,0.392,111.0,108.0,115.0,66.0,101.0,93.0,86.0,97.0,92.0,74.0,93.0,91.0,0.24,0.317,0.206,0.238,-0.26,-0.36,-1.99,-1.32,91.9,85.6,91.5,82.4,0.252,0.467,0.234,0.295,0.396,0.238,0.292,0.492,0.1,0.312,0.506,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
