date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSL,vKC,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FS%,CU%,wFS/C,wSI/C,wCU/C,vFS,vSI,vCU,SI_ba,SI_slg,SI_whiff,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff,FS_ba,FS_slg,FS_whiff,vKN (sc),KN%,wKN/C
2024/09/27,7:10 PM.,BAL,MIN,home,Clear.,81,700249,SS,3,1,0,0,0,0,0,0,1,0,1,.310,.388,.517,.905,700249,cadepovich,Povich,Left,Cade Povich,BAL,5.2,4.11,79.2,99.0,87.0,97.0,0.788,7.79,3.84,9.04,1.36,0.75,0.22,0.447,0.179,0.289,0.454,63.0,101.0,95.0,81.0,97.0,93.0,113.0,107.0,108.0,,,,97.0,94.0,94.0,0.407,0.075,0.13,,0.109,0.56,-3.12,-0.43,,-2.05,92.4,88.3,86.1,82.6,,0.223,0.379,0.185,0.25,0.542,0.235,,,,0.333,0.81,0.288,0.333,0.517,0.269,93.0,101.0,104.0,80.0,98.0,90.0,,,,0.084,,0.196,,0.86,-2.26,,91.5,76.3,0.2,0.24,0.103,,,,0.232,0.411,0.276,,,,,,
2024/09/26,6:42 PM.,MIA,MIN,home,Clear.,82,678368,SS,5,1,3,0,0,1,1,0,2,1,2,.313,.390,.522,.912,678368,valentebellozo,Bellozo,Right,Valente Bellozo,MIA,3.67,5.14,68.2,99.0,73.0,91.0,0.818,5.77,2.75,9.04,1.97,0.58,0.281,0.404,0.184,0.368,0.427,99.0,95.0,96.0,54.0,102.0,84.0,100.0,105.0,104.0,,,,67.0,98.0,91.0,0.374,0.253,0.103,,0.144,-0.41,1.23,0.03,,-3.12,89.2,82.8,81.1,77.7,,0.247,0.454,0.133,0.326,0.488,0.296,,,,0.205,0.438,0.163,0.333,0.741,0.283,93.0,94.0,94.0,,,,,,,,,0.125,,,-3.5,,,73.7,,,,,,,0.233,0.433,0.286,,,,,,
2024/09/25,6:41 PM.,MIA,MIN,home,Clear.,76,665795,SS,3,1,1,1,0,0,1,0,1,1,1,.309,.383,.511,.894,665795,edwardcabrera,"Cabrera, E",Right,Edward Cabrera,MIA,4.95,4.78,96.1,97.0,101.0,99.0,0.738,10.0,4.67,7.66,1.4,1.45,0.199,0.465,0.137,0.348,0.393,96.0,98.0,103.0,97.0,91.0,87.0,114.0,102.0,105.0,,,,,,,0.274,,0.085,,0.332,-1.63,,1.65,,0.15,96.3,,93.0,89.2,,0.304,0.543,0.164,0.206,0.321,0.338,0.129,0.226,0.313,,,,0.206,0.426,0.394,106.0,101.0,104.0,110.0,94.0,95.0,,,,0.091,,0.217,,0.07,-0.03,,96.7,84.8,0.231,0.333,0.151,,,,,,,,,,,,
2024/09/24,6:42 PM.,MIA,MIN,home,Partly Cloudy.,72,677960,SS,5,0,2,1,0,0,0,0,0,3,1,.308,.382,.510,.892,677960,ryanweathers,Weathers,Left,Ryan Weathers,MIA,3.63,4.2,86.2,96.0,94.0,97.0,0.761,8.31,2.49,8.1,1.14,1.3,0.264,0.413,0.193,0.295,0.41,84.0,102.0,103.0,96.0,97.0,96.0,120.0,87.0,98.0,,,,,,,0.397,,0.222,,0.26,-0.81,,0.49,,1.39,95.9,,86.4,82.9,,0.319,0.451,0.141,0.193,0.367,0.379,0.25,0.5,0.5,,,,,,,,,,82.0,98.0,95.0,,,,0.121,,,,0.13,,,94.5,,0.259,0.5,0.063,,,,0.118,0.176,0.51,,,,,,
2024/09/22,12:36 PM.,BOS,MIN,away,Cloudy.,66,601713,SS,2,0,0,0,0,0,0,0,1,0,0,.311,.386,.515,.901,601713,nickpivetta,Pivetta,Right,Nick Pivetta,BOS,4.14,3.51,145.2,104.0,133.0,108.0,0.775,10.63,2.22,7.91,1.73,0.69,0.238,0.42,0.142,0.378,0.449,,,,122.0,105.0,108.0,155.0,103.0,111.0,,,,104.0,96.0,82.0,0.486,0.059,0.291,,,0.73,-4.63,-0.1,,,93.9,88.3,,82.6,,0.239,0.399,0.218,,,,0.143,0.393,0.326,0.394,0.879,0.211,0.167,0.4,0.206,118.0,104.0,104.0,,,,,,,,,0.163,,,0.61,,,80.0,,,,,,,0.224,0.436,0.35,,,,,,
2024/09/22,5:36 PM.,BOS,MIN,away,Cloudy.,64,676710,SS,4,0,0,0,0,0,0,0,0,0,3,.307,.382,.508,.890,676710,kuttercrawford,"Crawford, K",Right,Kutter Crawford,BOS,4.36,3.86,183.2,105.0,108.0,107.0,0.766,8.58,2.5,7.6,1.67,0.67,0.244,0.424,0.164,0.288,0.446,,,,109.0,109.0,112.0,100.0,99.0,102.0,98.0,97.0,99.0,114.0,104.0,104.0,0.337,0.32,0.185,0.072,,-0.43,0.55,-0.56,1.14,,92.6,87.5,,80.8,77.3,0.255,0.5,0.198,,,,,,,0.216,0.418,0.265,0.143,0.171,0.219,,,,,,,87.0,102.0,106.0,,0.086,,0.47,,,82.4,,,,,,,,,0.222,0.437,0.263,0.192,0.26,0.404,,,
2024/09/20,7:11 PM.,BOS,MIN,away,Cloudy.,64,690916,SS,5,0,2,0,0,0,1,0,1,0,3,.313,.386,.519,.905,690916,richardfitts,Fitts,Right,Richard Fitts,BOS,1.74,4.0,20.2,104.0,112.0,106.0,0.872,3.92,3.05,8.27,0.0,0.83,0.406,0.319,0.145,0.261,0.443,,,,102.0,98.0,97.0,126.0,113.0,114.0,,,,,,,0.446,,0.446,,,1.1,,1.91,,,94.5,,,85.2,,0.2,0.267,0.162,,,,0.259,0.296,0.149,,,,,,,,,,,,,107.0,103.0,116.0,,0.108,,-3.33,,,88.7,,,,,,,,,0.231,0.231,0.13,0.5,0.5,0.143,,,
2024/09/19,1:10 PM.,CLE,MIN,away,Sunny.,76,676282,DH,3,0,0,0,0,0,0,0,2,1,3,.312,.384,.521,.905,676282,joeycantillo,Cantillo,Left,Joey Cantillo,CLE,4.89,3.83,38.2,95.0,97.0,93.0,0.721,10.24,3.49,8.15,1.4,1.39,0.212,0.462,0.154,0.346,0.436,94.0,90.0,96.0,96.0,91.0,87.0,112.0,104.0,103.0,,,,,,,0.488,,0.084,,0.276,-1.29,,2.07,,0.26,92.2,,77.8,82.6,,0.292,0.585,0.22,0.216,0.324,0.437,0.188,0.375,0.424,,,,0.172,0.276,0.271,95.0,109.0,105.0,,,,,,,,,0.152,,,1.01,,,76.2,,,,,,,,,,,,,,,
2024/09/18,6:41 PM.,CLE,MIN,away,Partly Cloudy.,75,676440,SS,5,0,3,0,0,0,4,0,0,0,2,.315,.384,.526,.910,676440,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.47,3.78,173.2,103.0,99.0,104.0,0.76,9.69,2.28,7.77,1.14,0.78,0.285,0.408,0.153,0.297,0.445,82.0,100.0,108.0,92.0,103.0,98.0,113.0,102.0,109.0,,,,,,,0.434,,0.278,,0.18,-0.69,,1.74,,0.13,94.6,,82.5,86.2,,0.282,0.476,0.213,0.238,0.431,0.291,0.196,0.411,0.299,0.141,0.225,0.368,0.208,0.458,0.184,119.0,109.0,112.0,89.0,64.0,93.0,,,,0.003,,0.105,,-1.41,-0.9,,93.9,81.3,,,,,,,,,,,,,,,
2024/09/16,6:40 PM.,CLE,MIN,away,Clear.,77,571510,SS,3,1,1,1,0,0,0,0,2,2,2,.310,.381,.525,.906,571510,matthewboyd,Boyd,Left,Matthew Boyd,CLE,2.72,3.1,39.2,102.0,75.0,95.0,0.715,10.44,2.95,7.26,0.91,0.66,0.286,0.324,0.21,0.295,0.411,83.0,105.0,100.0,66.0,100.0,91.0,74.0,101.0,98.0,,,,,,,0.383,,0.173,,0.262,1.47,,1.14,,0.04,92.0,,80.9,79.5,,0.15,0.25,0.246,0.261,0.37,0.352,0.148,0.222,0.449,,,,0.167,0.25,0.474,85.0,100.0,98.0,78.0,101.0,90.0,,,,0.102,,0.081,,-2.47,1.41,,91.8,74.1,0.32,0.64,0.071,,,,,,,,,,,,
