date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,vKN (sc),Stf+ FS,Loc+ FS,Pit+ FS,FS%,KN%,wFS/C,wKN/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,KC_ba,KC_slg,KC_whiff
2024/09/24,6:40 PM.,CIN,CLE,home,Cloudy.,73,686730,RF,2,0,2,0,0,0,0,0,0,0,0,.257,.301,.378,.679,686730,carsonspiers,Spiers,Right,Carson Spiers,CIN,5.46,4.84,90.2,103.0,89.0,100.0,0.805,7.94,2.68,11.12,1.99,0.79,0.265,0.413,0.195,0.339,0.452,69.0,102.0,90.0,76.0,101.0,95.0,80.0,107.0,99.0,121.0,106.0,113.0,,,,82.0,103.0,98.0,0.175,0.299,0.16,0.245,,0.121,-1.66,-0.84,0.68,-1.23,,-5.43,92.4,87.8,86.7,92.1,81.5,,0.256,0.462,0.205,0.396,0.774,0.198,0.3,0.5,0.122,0.0,0.0,0.4,0.321,0.547,0.195,,,,0.291,0.544,0.319,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/22,1:16 PM.,STL,CLE,away,Overcast.,78,669467,LF,3,0,0,0,0,0,0,0,0,1,0,.252,.297,.374,.671,669467,andrepallante,Pallante,Right,Andre Pallante,STL,3.78,3.46,121.1,96.0,91.0,97.0,0.82,6.97,3.56,8.16,0.59,2.71,0.23,0.416,0.184,0.266,0.434,,,,87.0,91.0,92.0,85.0,98.0,89.0,111.0,105.0,110.0,88.0,102.0,109.0,,,,0.19,0.512,,0.172,0.126,,1.34,,-0.25,-0.64,0.42,,94.5,,,94.8,87.5,79.5,0.23,0.297,0.162,,,,0.265,0.373,0.132,0.294,0.435,0.282,,,,0.157,0.257,0.345,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/21,6:15 PM.,STL,CLE,away,Overcast.,85,571945,RF,1,0,1,0,0,0,0,1,0,0,0,.255,.300,.377,.677,571945,milesmikolas,Mikolas,Right,Miles Mikolas,STL,5.35,4.65,171.2,109.0,87.0,103.0,0.859,6.4,1.31,10.17,1.36,1.15,0.243,0.406,0.152,0.33,0.495,85.0,103.0,98.0,65.0,107.0,98.0,80.0,111.0,99.0,116.0,112.0,114.0,,,,,,,0.231,0.279,,0.283,0.005,0.085,0.23,,1.42,-1.19,4.24,-4.2,93.2,,85.6,92.4,85.7,69.6,0.287,0.446,0.178,0.394,0.742,0.159,0.237,0.382,0.108,0.301,0.506,0.164,,,,0.267,0.52,0.231,0.273,0.545,0.275,94.0,109.0,106.0,0.116,-1.97,76.6,,,,,,,,,,,,,,,,,,
2024/09/20,7:16 PM.,STL,CLE,away,Partly Cloudy.,93,502043,RF,4,0,0,0,0,0,0,0,0,0,0,.252,.298,.375,.673,502043,kylegibson,Gibson,Right,Kyle Gibson,STL,4.24,4.87,169.2,98.0,93.0,95.0,0.756,8.01,3.61,8.54,1.22,1.29,0.218,0.431,0.166,0.351,0.359,99.0,92.0,89.0,80.0,88.0,83.0,84.0,101.0,96.0,104.0,102.0,105.0,,,,96.0,95.0,91.0,0.264,0.132,0.211,0.207,,0.099,-1.39,0.21,0.22,0.92,,1.2,91.4,88.6,84.9,90.7,80.7,,0.268,0.563,0.065,0.19,0.254,0.39,0.267,0.422,0.092,,,,0.299,0.479,0.181,0.325,0.675,0.462,0.2,0.312,0.412,102.0,103.0,104.0,0.086,-2.21,78.3,,,,,,,,,,,,,,,,,,
2024/09/18,6:41 PM.,MIN,CLE,home,Partly Cloudy.,75,641927,PH,1,0,1,0,0,0,1,0,0,0,0,.256,.301,.380,.681,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.98,3.22,178.2,105.0,91.0,102.0,0.728,9.62,2.17,6.85,1.36,0.67,0.22,0.439,0.183,0.303,0.416,116.0,111.0,111.0,81.0,104.0,96.0,,,,74.0,100.0,101.0,,,,84.0,104.0,100.0,,0.381,0.195,0.118,,0.294,-0.01,-0.86,,2.03,,1.98,91.7,86.2,83.4,,80.3,,0.258,0.506,0.222,0.154,0.285,0.395,,,,0.095,0.162,0.307,0.279,0.504,0.229,0.0,0.0,0.375,,,,94.0,99.0,103.0,0.011,4.57,76.0,,,,,,,,,,,,,,,,,,
2024/09/17,6:41 PM.,MIN,CLE,home,Partly Cloudy.,76,805673,RF,4,0,2,0,0,0,0,0,0,1,0,.253,.299,.378,.677,805673,zebbymatthews,Matthews,Right,Zebby Matthews,MIN,6.69,6.01,37.2,100.0,100.0,100.0,0.772,10.27,2.63,12.19,2.63,0.87,0.256,0.455,0.165,0.38,0.431,88.0,87.0,93.0,95.0,99.0,97.0,,,,114.0,100.0,105.0,,,,96.0,101.0,95.0,,0.428,0.162,0.259,,0.079,-1.19,-1.3,,-1.68,,-3.13,94.9,90.9,85.8,,87.2,,0.288,0.627,0.178,0.222,0.333,0.313,,,,0.308,0.462,0.376,0.345,0.655,0.182,0.4,0.667,0.174,,,,107.0,117.0,117.0,0.071,-5.76,81.7,,,,,,,,,,,,,,,,,,
2024/09/16,6:40 PM.,MIN,CLE,home,Clear.,77,641154,RF,4,0,2,0,0,0,0,0,0,1,0,.250,.297,.377,.674,641154,pablolopez,"López, P",Right,Pablo López,MIN,4.08,3.67,185.1,104.0,98.0,105.0,0.749,9.62,1.99,8.74,1.26,1.19,0.245,0.438,0.134,0.298,0.432,95.0,104.0,105.0,97.0,105.0,101.0,97.0,107.0,107.0,106.0,103.0,110.0,,,,,,,0.073,0.407,,0.219,,0.201,1.65,,-2.77,-0.84,,-0.14,95.0,,88.5,94.5,84.5,,0.208,0.352,0.259,0.281,0.359,0.249,0.426,0.639,0.142,,,,,,,0.23,0.446,0.341,0.239,0.436,0.331,92.0,103.0,108.0,0.1,-1.28,82.4,,,,,,,,,,,,,,,,,,
2024/09/15,1:40 PM.,TB,CLE,home,Sunny.,82,671737,RF,3,0,0,0,0,0,0,0,0,1,3,.247,.294,.375,.669,671737,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,4.11,4.17,138.0,98.0,116.0,103.0,0.748,10.04,3.07,7.96,1.43,1.06,0.247,0.394,0.102,0.394,0.426,,,,129.0,97.0,102.0,,,,,,,,,,91.0,100.0,98.0,,0.417,0.225,,,,-0.04,1.02,,,,,96.4,90.9,,,,,0.269,0.5,0.21,,,,,,,,,,0.205,0.357,0.324,0.241,0.483,0.346,,,,100.0,91.0,93.0,0.089,-1.5,79.1,,123.0,102.0,114.0,0.269,,0.47,,90.9,0.213,0.32,0.33,,,,,,
2024/09/13,7:11 PM.,TB,CLE,home,Clear.,76,641793,LF,1,0,0,0,0,0,0,0,0,1,1,.249,.297,.379,.676,641793,zacklittell,Littell,Right,Zack Littell,TBR,3.63,4.34,156.1,104.0,81.0,99.0,0.785,8.12,1.78,9.44,1.27,0.8,0.218,0.414,0.14,0.293,0.453,,,,54.0,110.0,91.0,67.0,103.0,91.0,102.0,99.0,98.0,,,,,,,0.148,0.221,,0.399,,,0.58,,-0.6,0.45,,,92.4,,,91.6,85.7,,0.245,0.358,0.191,,,,0.265,0.439,0.141,0.257,0.427,0.227,,,,,,,0.406,0.594,0.115,,,,,,,,104.0,106.0,112.0,0.232,,-0.84,,83.0,0.258,0.423,0.344,,,,,,
2024/09/12,7:15 PM.,TB,CLE,home,Clear.,76,686752,RF,2,0,0,0,0,0,0,0,0,1,0,.250,.298,.380,.678,686752,ryanpepiot,Pepiot,Right,Ryan Pepiot,TBR,3.6,3.64,130.0,99.0,116.0,106.0,0.73,9.83,3.32,7.06,1.18,0.77,0.276,0.405,0.17,0.308,0.422,118.0,105.0,117.0,115.0,98.0,102.0,,,,119.0,95.0,106.0,,,,100.0,103.0,100.0,,0.506,0.06,0.173,,0.235,1.07,-0.88,,0.51,,-0.47,94.9,91.6,85.8,,89.0,,0.181,0.33,0.316,0.216,0.353,0.286,,,,0.267,0.407,0.317,0.276,0.586,0.141,0.167,0.167,0.5,,,,140.0,75.0,84.0,0.027,-1.47,80.6,,,,,,,,,,,,,,,,,,
