date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,ST_ba,ST_slg,ST_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,KC%,wKC/C,vKC,Stf+ KC,Loc+ KC,Pit+ KC
2024/09/15,1:36 PM.,WSH,MIA,away,Sunny.,79,669022,PH,1,0,0,0,0,0,1,0,0,0,1,.212,.293,.288,.581,669022,mackenziegore,Gore,Left,MacKenzie Gore,WSN,3.9,4.2,166.1,98.0,110.0,101.0,0.752,9.79,3.52,9.25,0.81,1.11,0.26,0.376,0.156,0.3,0.433,92.0,91.0,94.0,124.0,98.0,103.0,,,,89.0,92.0,92.0,,,,,0.553,,0.158,0.093,-0.02,,,-0.77,-1.35,96.0,,85.9,,90.6,0.28,0.48,0.512,0.281,0.418,0.226,0.255,0.422,0.323,0.333,0.5,0.417,104.0,104.0,102.0,0.196,0.62,82.8,0.218,0.296,0.34,,,,,,,,,,,,,,,,,,,,,
2024/09/13,6:45 PM.,WSH,MIA,away,Partly Cloudy.,79,687792,RF,1,0,0,0,0,0,0,0,0,0,0,.216,.298,.294,.592,687792,djherz,Herz,Left,DJ Herz,WSN,4.16,3.26,88.2,97.0,99.0,97.0,0.734,10.76,3.65,7.71,1.12,0.82,0.254,0.436,0.14,0.326,0.429,113.0,98.0,99.0,93.0,98.0,96.0,,,,105.0,95.0,100.0,,,,,0.542,,0.179,0.245,0.86,,,-0.96,-0.19,93.5,,83.5,,86.1,0.224,0.388,0.26,0.222,0.317,0.305,0.229,0.429,0.275,,,,,,,,,,0.2,0.2,0.533,,,,,,,,,,,,,,,,0.033,1.64,81.2,102.0,82.0,88.0
2024/09/12,6:46 PM.,WSH,MIA,away,Clear.,79,680730,RF,3,0,1,0,0,0,0,0,0,0,0,.220,.304,.300,.604,680730,mitchellparker,Parker,Left,Mitchell Parker,WSN,4.29,4.37,151.0,99.0,87.0,97.0,0.801,7.93,2.56,9.18,1.07,0.94,0.248,0.444,0.132,0.321,0.441,,,,78.0,101.0,96.0,,,,106.0,107.0,110.0,,,,,0.486,,0.098,,0.07,,,-0.73,,92.5,,,,84.5,,,,0.276,0.425,0.12,0.238,0.429,0.364,,,,97.0,96.0,96.0,0.225,0.47,80.5,0.252,0.36,0.263,,,,,,,89.0,94.0,94.0,0.191,-0.6,85.6,0.233,0.4,0.372,,,,,,
2024/09/10,6:43 PM.,PIT,MIA,away,Clear.,79,669387,1B,3,0,0,0,0,0,0,0,1,2,2,.213,.302,.298,.600,669387,carmenmlodzinski,Mlodzinski,Right,Carmen Mlodzinski,PIT,3.38,3.34,50.2,100.0,102.0,103.0,0.774,8.17,3.38,7.28,0.53,1.23,0.275,0.458,0.134,0.282,0.418,114.0,81.0,85.0,95.0,100.0,98.0,,,,118.0,99.0,114.0,93.0,101.0,97.0,,0.398,0.2,0.398,0.003,1.09,1.68,,-0.03,-28.1,96.2,92.5,88.6,,86.7,,,,0.174,0.304,0.255,0.228,0.246,0.321,0.304,0.391,0.339,,,,,,,,,,,,,0.235,0.353,0.143,,,,,,,,,,,,,,,
2024/09/07,4:11 PM.,PHI,MIA,home,Roof Closed.,72,605400,DH,2,0,0,0,0,0,0,0,1,2,1,.227,.306,.318,.624,605400,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.57,3.72,199.1,105.0,104.0,103.0,0.772,8.89,2.26,8.53,1.35,1.31,0.209,0.477,0.16,0.305,0.399,78.0,102.0,91.0,90.0,103.0,99.0,100.0,109.0,106.0,,,,69.0,99.0,92.0,0.204,0.278,0.092,,0.096,0.81,-2.57,-0.34,,-1.67,92.5,87.5,85.7,91.5,,0.279,0.426,0.135,0.168,0.318,0.224,,,,,,,,,,,,,0.221,0.381,0.37,0.313,0.475,0.136,0.389,0.796,0.178,,,,,,,,,,0.329,0.94,79.1,135.0,106.0,113.0
2024/09/06,7:10 PM.,PHI,MIA,home,Roof Closed.,72,554430,P,0,1,0,0,0,0,0,0,1,0,0,.238,.304,.333,.637,554430,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.57,2.8,200.0,104.0,106.0,108.0,0.747,10.08,2.34,6.26,0.9,1.09,0.245,0.35,0.209,0.29,0.42,,,,101.0,106.0,109.0,111.0,103.0,107.0,128.0,106.0,115.0,92.0,97.0,94.0,0.192,0.416,0.093,0.125,,0.88,-0.23,2.68,1.04,,95.3,91.1,,94.6,84.9,,,,0.209,0.395,0.296,,,,0.152,0.273,0.335,110.0,101.0,107.0,0.1,-0.98,81.8,0.205,0.397,0.387,0.189,0.259,0.142,0.226,0.371,0.183,94.0,110.0,110.0,0.074,1.47,86.1,0.137,0.196,0.402,,,,,,
2024/09/05,6:41 PM.,PHI,MIA,home,Roof Closed.,72,624133,RF,2,0,0,0,0,0,0,0,0,0,1,.238,.289,.333,.622,624133,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,3.46,3.67,150.2,103.0,82.0,100.0,0.799,8.66,2.45,8.36,0.84,2.01,0.194,0.461,0.154,0.283,0.395,73.0,100.0,98.0,68.0,101.0,91.0,87.0,106.0,104.0,22.0,85.0,77.0,101.0,98.0,93.0,0.315,0.195,0.121,0.001,0.163,0.67,-1.68,0.84,-4.62,-0.63,91.8,86.5,80.0,90.8,81.3,0.229,0.323,0.35,0.224,0.327,0.18,,,,,,,84.0,107.0,108.0,0.205,1.02,74.4,0.189,0.342,0.339,0.27,0.381,0.101,0.302,0.642,0.162,,,,,,,,,,,,,,,
2024/09/03,6:40 PM.,WSH,MIA,home,Roof Closed.,72,571578,RF,2,1,0,0,0,0,0,0,0,0,1,.250,.302,.350,.652,571578,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.62,5.53,174.2,101.0,76.0,94.0,0.788,7.16,2.78,10.72,1.29,1.42,0.218,0.384,0.141,0.333,0.396,87.0,96.0,96.0,55.0,97.0,84.0,71.0,103.0,92.0,88.0,97.0,97.0,76.0,107.0,98.0,0.338,0.076,0.192,0.343,0.034,-1.46,-0.37,-1.9,0.41,-5.53,91.3,85.7,81.0,91.5,80.0,0.409,0.773,0.279,0.311,0.578,0.133,0.216,0.335,0.354,,,,73.0,100.0,97.0,0.016,-2.3,70.0,0.5,1.25,0.526,0.339,0.567,0.091,0.301,0.434,0.223,,,,,,,,,,0.001,4.71,63.2,,,
2024/09/01,1:07 PM.,SF,MIA,away,Sunny.,69,657277,1B,4,1,1,0,0,0,0,0,0,2,2,.263,.317,.368,.685,657277,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.31,204.2,104.0,111.0,106.0,0.814,7.56,2.2,8.88,0.48,2.5,0.23,0.36,0.17,0.292,0.403,137.0,105.0,112.0,57.0,106.0,88.0,95.0,104.0,102.0,126.0,104.0,114.0,52.0,95.0,88.0,0.399,0.053,0.026,0.212,0.309,0.2,4.3,1.32,0.16,-0.13,92.6,91.0,87.4,92.6,83.8,0.275,0.411,0.216,0.179,0.231,0.329,,,,0.239,0.331,0.268,,,,,,,,,,0.268,0.338,0.144,0.077,0.077,0.265,,,,,,,,,,,,,,,
2024/08/31,6:06 PM.,SF,MIA,away,Clear.,66,696131,1B,3,0,1,0,0,0,1,0,0,1,0,.265,.324,.382,.706,696131,masonblack,Black,Right,Mason Black,SFG,6.44,6.13,36.1,101.0,99.0,99.0,0.858,7.68,3.72,11.39,1.73,0.69,0.225,0.392,0.167,0.367,0.431,92.0,88.0,77.0,86.0,103.0,98.0,101.0,100.0,97.0,109.0,97.0,101.0,,,,0.285,0.321,,0.371,0.023,-2.69,,-1.0,-0.68,-13.48,92.4,,87.6,92.6,83.3,0.667,0.833,0.0,0.333,0.548,0.236,0.0,0.0,0.179,0.318,0.591,0.16,,,,,,,,,,0.326,0.535,0.08,,,,,,,,,,,,,,,,,,
