date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff
2024/09/21,4:06 PM.,DET,BAL,home,Partly Cloudy.,79,681857,3B,0,0,0,0,0,0,0,0,1,0,0,.231,.375,.308,.683,681857,reeseolson,Olson,Right,Reese Olson,DET,3.53,3.64,112.1,97.0,91.0,97.0,0.729,8.09,2.64,8.01,0.56,1.62,0.214,0.462,0.128,0.306,0.365,102.0,97.0,105.0,70.0,94.0,86.0,75.0,103.0,95.0,111.0,97.0,103.0,,,,0.205,0.234,,0.278,0.223,-0.39,,1.85,2.08,-0.05,94.2,,86.5,94.2,84.8,0.284,0.385,0.076,0.277,0.386,0.101,0.143,0.194,0.455,,,,,,,,,,0.304,0.652,0.295,0.222,0.344,0.429,92.0,91.0,90.0,0.06,-3.32,79.0,,,,,,,,,,,,
2024/09/18,6:37 PM.,SF,BAL,home,Cloudy.,75,806185,2B,1,0,0,0,0,0,0,0,0,0,0,.231,.333,.308,.641,806185,haydenbirdsong,Birdsong,Right,Hayden Birdsong,SFG,4.75,4.65,72.0,92.0,111.0,97.0,0.728,11.0,5.38,7.13,1.38,0.96,0.239,0.394,0.1,0.417,0.382,155.0,91.0,114.0,90.0,89.0,85.0,,,,119.0,90.0,100.0,,,,,0.446,,0.184,0.184,-0.02,,,-0.26,-0.87,95.8,,88.1,,86.4,,,,0.216,0.44,0.182,0.244,0.512,0.487,,,,,,,,,,0.145,0.218,0.327,0.269,0.365,0.349,111.0,102.0,104.0,0.187,0.82,80.5,,,,,,,,,,,,
2024/09/17,6:37 PM.,SF,BAL,home,Overcast.,75,605483,3B,2,0,0,0,0,0,0,0,1,0,0,.250,.357,.333,.690,605483,blakesnell,Snell,Left,Blake Snell,SFG,3.12,2.57,104.0,98.0,122.0,104.0,0.641,12.55,3.81,5.63,0.52,1.03,0.263,0.404,0.171,0.254,0.356,110.0,108.0,116.0,116.0,96.0,100.0,,,,106.0,87.0,91.0,,,,,0.464,,0.101,0.176,1.16,,,0.11,0.95,95.9,,85.5,,88.7,,,,0.2,0.303,0.244,0.167,0.267,0.446,,,,,,,,,,0.111,0.183,0.498,0.236,0.319,0.476,148.0,99.0,109.0,0.26,2.25,81.1,,,,,,,,,,,,
2024/09/15,12:10 PM.,DET,BAL,away,Sunny.,81,672456,2B,2,0,1,0,0,0,0,0,0,0,0,.300,.364,.400,.764,672456,keidermontero,Montero,Right,Keider Montero,DET,4.76,5.24,98.1,100.0,96.0,100.0,0.805,7.05,2.84,9.15,1.74,1.07,0.236,0.442,0.133,0.346,0.467,83.0,95.0,94.0,92.0,100.0,96.0,90.0,101.0,97.0,110.0,99.0,104.0,,,,0.078,0.421,,0.28,0.109,-0.19,,1.09,0.02,-2.78,94.8,,86.0,94.1,83.5,0.32,0.32,0.038,0.27,0.486,0.18,0.235,0.391,0.259,,,,95.0,102.0,111.0,0.112,-3.94,78.8,0.269,0.615,0.224,0.289,0.474,0.329,,,,,,,,,,,,,,,,,,
2024/09/14,6:10 PM.,DET,BAL,away,Clear.,81,689225,2B,4,1,2,1,0,0,0,0,0,1,1,.250,.333,.375,.708,689225,beaubrieske,Brieske,Right,Beau Brieske,DET,3.59,3.31,67.2,101.0,110.0,102.0,0.778,9.18,3.99,7.32,0.67,0.87,0.21,0.348,0.177,0.298,0.406,103.0,108.0,110.0,120.0,99.0,101.0,84.0,106.0,97.0,122.0,93.0,100.0,,,,0.159,0.404,,0.173,0.265,0.99,,2.22,-1.62,0.26,95.9,,88.4,95.5,86.1,0.235,0.294,0.116,0.222,0.272,0.212,0.241,0.552,0.271,,,,,,,,,,,,,0.212,0.4,0.319,,,,,,,,,,,,,,,,,,
2024/09/13,6:41 PM.,DET,BAL,away,Clear.,81,689225,3B,0,0,0,0,0,0,0,0,0,0,0,.000,.200,.000,.200,689225,beaubrieske,Brieske,Right,Beau Brieske,DET,3.59,3.31,67.2,101.0,110.0,102.0,0.778,9.18,3.99,7.32,0.67,0.87,0.21,0.348,0.177,0.298,0.406,103.0,108.0,110.0,120.0,99.0,101.0,84.0,106.0,97.0,122.0,93.0,100.0,,,,0.159,0.404,,0.173,0.265,0.99,,2.22,-1.62,0.26,95.9,,88.4,95.5,86.1,0.235,0.294,0.116,0.222,0.272,0.212,0.241,0.552,0.271,,,,,,,,,,,,,0.212,0.4,0.319,,,,,,,,,,,,,,,,,,
2024/09/09,7:12 PM.,BOS,BAL,away,Partly Cloudy.,71,678394,2B,1,0,0,0,0,0,0,0,1,1,0,.000,.200,.000,.200,678394,brayanbello,Bello,Right,Brayan Bello,BOS,4.49,4.56,162.1,99.0,101.0,102.0,0.753,8.48,3.55,8.7,1.05,1.86,0.219,0.384,0.152,0.312,0.405,88.0,99.0,97.0,74.0,108.0,101.0,103.0,100.0,101.0,114.0,98.0,110.0,,,,0.403,0.048,,0.28,0.269,0.25,,-0.24,-0.58,0.15,95.6,,87.6,95.7,86.8,0.309,0.44,0.111,0.12,0.16,0.218,0.268,0.401,0.343,,,,,,,,,,,,,0.177,0.354,0.369,,,,,,,,,,,,,,,,,,
2024/09/08,12:06 PM.,TB,BAL,home,Sunny.,66,641793,3B,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,641793,zacklittell,Littell,Right,Zack Littell,TBR,3.63,4.34,156.1,104.0,81.0,99.0,0.785,8.12,1.78,9.44,1.27,0.8,0.218,0.414,0.14,0.293,0.453,,,,54.0,110.0,91.0,67.0,103.0,91.0,102.0,99.0,98.0,,,,0.148,0.221,,0.399,,0.58,,-0.6,0.45,,92.4,,,91.6,85.7,0.265,0.439,0.141,0.245,0.358,0.191,0.257,0.427,0.227,,,,,,,,,,,,,,,,,,,,,,104.0,106.0,112.0,0.232,-0.84,83.0,0.258,0.423,0.344,0.406,0.594,0.115
2024/09/07,4:32 PM.,TB,BAL,home,Overcast.,68,686752,2B,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,686752,ryanpepiot,Pepiot,Right,Ryan Pepiot,TBR,3.6,3.64,130.0,99.0,116.0,106.0,0.73,9.83,3.32,7.06,1.18,0.77,0.276,0.405,0.17,0.308,0.422,118.0,105.0,117.0,115.0,98.0,102.0,,,,119.0,95.0,106.0,100.0,103.0,100.0,,0.506,0.06,0.173,0.235,1.07,-0.88,,0.51,-0.47,94.9,91.6,85.8,,89.0,,,,0.181,0.33,0.316,0.267,0.407,0.317,0.276,0.586,0.141,,,,,,,0.167,0.167,0.5,0.216,0.353,0.286,140.0,75.0,84.0,0.027,-1.47,80.6,,,,,,,,,,,,
2024/09/03,6:36 PM.,CWS,BAL,home,Clear.,73,680897,SS,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,680897,nicknastrini,Nastrini,Right,Nick Nastrini,CHW,7.07,6.45,35.2,84.0,100.0,86.0,0.736,6.56,9.08,8.07,1.77,0.58,0.216,0.477,0.234,0.297,0.361,86.0,75.0,75.0,101.0,78.0,78.0,,,,105.0,94.0,99.0,,,,,0.454,,0.362,0.098,-1.37,,,0.09,-4.58,93.7,,85.8,,84.5,,,,0.189,0.415,0.204,0.222,0.444,0.346,,,,,,,,,,0.364,0.455,0.333,0.4,0.6,0.32,90.0,81.0,88.0,0.086,-1.7,79.2,,,,,,,,,,,,
2024/09/02,3:07 PM.,CWS,BAL,home,Sunny.,81,623167,SS,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,623167,chrisflexen,Flexen,Right,Chris Flexen,CHW,4.95,4.71,160.0,97.0,56.0,92.0,0.789,6.92,3.54,10.13,1.35,0.79,0.249,0.41,0.154,0.308,0.373,126.0,99.0,104.0,2.0,93.0,82.0,74.0,108.0,87.0,148.0,102.0,103.0,47.0,101.0,90.0,0.002,0.37,0.261,0.087,0.157,-0.64,-0.75,2.01,-2.65,-1.32,91.3,87.4,81.3,91.4,80.0,,,,0.261,0.473,0.132,0.361,0.475,0.271,0.319,0.536,0.218,,,,,,,0.246,0.393,0.308,0.257,0.436,0.379,83.0,98.0,101.0,0.122,0.43,72.0,,,,,,,,,,,,
2024/08/27,7:10 PM.,LAD,BAL,away,Clear.,75,656427,DH,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,656427,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.17,3.54,162.0,102.0,94.0,102.0,0.712,10.78,2.11,7.5,1.33,1.05,0.223,0.436,0.157,0.3,0.38,87.0,83.0,81.0,92.0,104.0,101.0,75.0,85.0,72.0,95.0,102.0,102.0,,,,0.023,0.441,,0.29,0.027,0.5,,-5.05,0.02,-0.55,93.3,,85.7,90.6,84.7,0.6,1.2,0.4,0.245,0.401,0.238,0.222,0.455,0.363,,,,101.0,103.0,107.0,0.218,2.19,77.4,0.164,0.219,0.436,0.111,0.333,0.111,,,,,,,,,,,,,,,,,,
2024/06/26,1:11 PM.,PIT,CIN,home,Overcast.,77,682847,DH,3,0,0,0,0,0,0,0,0,1,1,.000,.000,.000,.000,682847,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,PIT,3.32,4.31,135.2,100.0,104.0,99.0,0.816,7.1,2.79,7.23,1.06,0.94,0.246,0.425,0.166,0.286,0.443,66.0,87.0,88.0,97.0,104.0,97.0,105.0,97.0,95.0,121.0,102.0,109.0,90.0,100.0,94.0,0.258,0.268,0.197,0.268,0.009,1.02,0.71,1.13,-0.41,0.21,95.9,91.0,90.6,94.9,85.8,0.237,0.374,0.129,0.187,0.331,0.208,0.203,0.392,0.31,0.273,0.416,0.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
