date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff
2024/09/14,6:37 PM.,HOU,LAA,home,Clear.,72,434378,DH,0,0,0,0,0,0,0,0,0,0,0,.083,.083,.083,.166,434378,justinverlander,Verlander,Right,Justin Verlander,HOU,5.48,3.78,90.1,101.0,117.0,103.0,0.81,7.37,2.69,9.76,1.49,0.54,0.28,0.37,0.19,0.266,0.435,115.0,101.0,104.0,110.0,101.0,97.0,116.0,98.0,102.0,127.0,108.0,112.0,,,,0.487,,0.193,0.219,0.101,-0.59,,0.66,-1.46,-0.58,93.5,,84.0,86.7,77.6,0.299,0.497,0.202,0.195,0.322,0.215,0.34,0.56,0.22,0.235,0.353,0.253,,,,,,,,,,,,
2024/09/10,6:41 PM.,MIN,LAA,away,Partly Cloudy.,78,641154,CF,3,1,1,0,0,0,0,0,0,1,1,.083,.083,.083,.166,641154,pablolopez,"López, P",Right,Pablo López,MIN,4.08,3.67,185.1,104.0,98.0,105.0,0.749,9.62,1.99,8.74,1.26,1.19,0.245,0.438,0.134,0.298,0.432,95.0,104.0,105.0,92.0,103.0,108.0,97.0,105.0,101.0,106.0,103.0,110.0,,,,0.407,,0.219,0.1,0.201,1.65,,-0.84,-1.28,-0.14,95.0,,88.5,84.5,82.4,0.208,0.352,0.259,,,,0.23,0.446,0.341,0.281,0.359,0.249,97.0,107.0,107.0,0.073,-2.77,94.5,0.426,0.639,0.142,0.239,0.436,0.331
2024/09/09,6:41 PM.,MIN,LAA,away,Clear.,80,701581,CF,4,0,0,0,0,0,0,0,0,1,3,.000,.000,.000,.000,701581,davidfesta,"Festa, D",Right,David Festa,MIN,4.9,4.14,64.1,101.0,100.0,103.0,0.735,10.77,3.22,8.67,1.26,0.9,0.229,0.451,0.166,0.331,0.405,72.0,105.0,105.0,,,,107.0,96.0,99.0,118.0,103.0,105.0,,,,0.402,,0.318,,0.28,-0.79,,1.48,,-1.14,94.7,,88.4,86.1,,0.304,0.544,0.194,0.207,0.315,0.291,,,,0.237,0.463,0.394,,,,,,,,,,,,
2024/09/08,1:37 PM.,TEX,LAA,away,Sunny.,81,571760,CF,2,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,571760,andrewheaney,Heaney,Left,Andrew Heaney,TEX,4.28,4.46,160.0,102.0,80.0,99.0,0.76,8.94,2.31,8.94,1.29,0.75,0.247,0.407,0.148,0.306,0.428,83.0,102.0,94.0,126.0,105.0,103.0,77.0,102.0,98.0,79.0,100.0,103.0,20.0,51.0,51.0,0.501,0.001,0.278,0.036,0.17,0.15,-19.13,-0.26,-3.31,0.46,91.5,86.6,83.7,82.5,75.6,0.23,0.412,0.213,0.26,0.385,0.365,0.5,1.1,0.188,0.239,0.384,0.243,34.0,82.0,74.0,0.014,-4.52,92.2,0.455,0.455,0.125,,,
2024/09/07,6:08 PM.,TEX,LAA,away,Clear.,85,683004,CF,3,0,0,0,0,0,0,0,0,2,3,.000,.000,.000,.000,683004,jackleiter,Leiter,Right,Jack Leiter,TEX,8.83,6.25,35.2,97.0,121.0,103.0,0.745,7.82,4.29,11.1,1.77,0.88,0.248,0.38,0.149,0.322,0.402,106.0,77.0,85.0,90.0,95.0,100.0,133.0,98.0,105.0,118.0,104.0,109.0,58.0,65.0,57.0,0.519,0.018,0.291,0.114,0.058,-2.71,-13.12,-0.99,0.97,1.36,96.4,91.1,89.5,86.8,81.4,0.35,0.625,0.289,0.286,0.429,0.218,0.118,0.294,0.387,0.125,0.125,0.357,,,,,,,,,,,,
