date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,KC%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,vKC,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2024/09/29,3:08 PM.,TOR,MIA,away,Partly Cloudy.,69,621114,CF,4,0,1,0,0,0,0,0,0,0,1,.263,.333,.442,.775,621114,ryanburr,Burr,Right,Ryan Burr,TOR,4.13,3.56,32.2,99.0,98.0,102.0,0.694,12.95,3.31,7.99,1.1,0.72,0.225,0.45,0.138,0.4,0.375,,,,,,,79.0,94.0,91.0,,,,111.0,102.0,108.0,,,,,0.395,,0.605,,,,-0.36,,,0.6,,,,94.1,,,,85.4,,,,,,0.214,0.369,0.368,,,,0.256,0.465,0.224,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/28,3:08 PM.,TOR,MIA,away,Roof Closed.,68,684320,CF,4,1,2,1,0,1,5,0,0,2,2,.264,.337,.451,.788,684320,yarielrodriguez,Rodríguez,Right,Yariel Rodríguez,TOR,4.47,4.0,86.2,97.0,97.0,97.0,0.765,8.83,4.15,7.68,1.14,0.9,0.268,0.393,0.184,0.272,0.392,,,,97.0,95.0,100.0,86.0,93.0,87.0,84.0,94.0,92.0,120.0,104.0,111.0,,,,0.108,0.409,,0.282,0.105,,,-0.12,,2.98,0.67,-2.85,,,93.9,,,93.4,84.6,78.3,,0.167,0.167,0.149,0.213,0.36,0.335,,,,0.255,0.439,0.22,,,,0.348,0.739,0.25,,,,,,,,,,85.0,102.0,102.0,0.096,-1.17,88.9,0.194,0.306,0.215
2024/09/26,6:42 PM.,MIN,MIA,away,Clear.,82,701581,LF,4,1,0,0,0,0,0,0,0,2,6,.253,.330,.402,.732,701581,davidfesta,"Festa, D",Right,David Festa,MIN,4.9,4.14,64.1,101.0,100.0,103.0,0.735,10.77,3.22,8.67,1.26,0.9,0.229,0.451,0.166,0.331,0.405,72.0,105.0,105.0,,,,107.0,96.0,99.0,,,,118.0,103.0,105.0,,,,,0.402,,0.318,,,0.28,-0.79,,,1.48,,,-1.14,94.7,,88.4,,86.1,,,,,,0.207,0.315,0.291,,,,0.304,0.544,0.194,0.237,0.463,0.394,,,,,,,,,,,,,,,,,,,,,
2024/09/24,6:42 PM.,MIN,MIA,away,Partly Cloudy.,72,641927,RF,0,0,0,0,0,0,0,0,1,0,0,.265,.344,.422,.766,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.98,3.22,178.2,105.0,91.0,102.0,0.728,9.62,2.17,6.85,1.36,0.67,0.22,0.439,0.183,0.303,0.416,116.0,111.0,111.0,94.0,99.0,103.0,81.0,104.0,96.0,,,,74.0,100.0,101.0,84.0,104.0,100.0,,0.381,0.195,0.118,0.011,,0.294,-0.01,-0.86,,2.03,4.57,,1.98,91.7,86.2,83.4,,80.3,76.0,,,,,0.095,0.162,0.307,0.279,0.504,0.229,0.258,0.506,0.222,0.154,0.285,0.395,0.0,0.0,0.375,,,,,,,,,,,,,,,,,,
2024/07/13,4:11 PM.,CIN,MIA,away,Partly Cloudy.,91,671096,CF,4,0,1,0,0,0,0,1,1,1,5,.265,.337,.422,.759,671096,andrewabbott,"Abbott, A",Left,Andrew Abbott,CIN,3.72,4.02,138.0,98.0,92.0,97.0,0.805,7.43,3.39,8.28,1.63,0.68,0.256,0.364,0.16,0.287,0.428,96.0,94.0,97.0,101.0,98.0,99.0,78.0,96.0,89.0,,,,125.0,106.0,112.0,,,,,0.535,,0.186,0.116,,0.163,-0.26,,,0.49,-1.56,,0.23,92.8,,84.8,,82.9,80.8,,,,,,,,,,,0.254,0.451,0.194,0.214,0.429,0.273,0.327,0.653,0.179,0.189,0.307,0.287,,,,,,,,,,,,,,,
2024/07/11,7:10 PM.,HOU,MIA,away,Roof Closed.,73,814005,CF,1,0,0,0,0,0,0,0,0,1,1,.266,.333,.430,.763,814005,jakebloss,Bloss,Right,Jake Bloss,HOU,6.94,5.71,11.2,104.0,91.0,104.0,0.777,8.49,2.31,12.34,3.86,0.48,0.15,0.55,0.2,0.2,0.395,75.0,102.0,81.0,80.0,110.0,99.0,99.0,104.0,111.0,,,,97.0,106.0,107.0,,,,0.017,0.438,,0.34,0.128,,0.077,-2.92,,11.22,-0.93,-1.66,,-7.32,93.4,,86.6,91.9,85.9,78.0,,,,,0.231,0.692,0.258,,,,0.4,0.75,0.127,0.333,0.833,0.25,0.286,0.571,0.389,0.333,0.333,0.444,,,,,,,,,,,,,,,
2024/07/10,7:12 PM.,HOU,MIA,away,Roof Closed.,73,664285,RF,3,0,1,0,0,0,0,0,0,1,1,.269,.337,.436,.773,664285,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,2.91,3.41,176.1,97.0,114.0,102.0,0.744,8.63,2.81,7.15,0.66,3.02,0.205,0.416,0.129,0.321,0.425,130.0,96.0,104.0,129.0,96.0,108.0,60.0,102.0,94.0,98.0,99.0,97.0,107.0,102.0,110.0,,,,0.458,0.012,,0.043,0.313,,0.175,-4.64,,1.46,-0.2,1.59,,0.62,94.5,,89.9,94.1,85.1,79.7,,0.276,0.399,0.116,0.233,0.467,0.383,,,,0.4,1.0,0.273,0.226,0.278,0.354,0.121,0.187,0.398,,,,,,,,,,,,,,,,,,
2024/07/09,7:10 PM.,HOU,MIA,away,Roof Closed.,73,669854,PH,1,0,0,0,0,0,0,0,0,1,0,.267,.337,.440,.777,669854,ronelblanco,Blanco,Right,Ronel Blanco,HOU,2.8,4.0,167.1,100.0,94.0,98.0,0.733,8.93,3.66,6.13,1.18,0.95,0.21,0.453,0.178,0.317,0.405,119.0,104.0,108.0,75.0,96.0,100.0,85.0,95.0,90.0,,,,89.0,103.0,101.0,,,,,0.383,,0.302,0.094,,0.221,-0.42,,,2.24,2.55,,-0.16,93.4,,85.2,,86.4,80.1,,,,,0.18,0.284,0.333,,,,0.232,0.497,0.192,0.188,0.356,0.343,0.071,0.071,0.376,,,,,,,,,,,,,,,,,,
2024/07/07,1:40 PM.,CWS,MIA,home,Roof Closed.,72,686563,RF,3,1,1,0,0,0,0,0,1,1,0,.270,.341,.446,.787,686563,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.49,4.37,124.1,101.0,92.0,99.0,0.806,6.59,2.9,9.05,1.3,0.96,0.223,0.389,0.171,0.29,0.394,95.0,105.0,106.0,,,,73.0,104.0,97.0,86.0,100.0,93.0,117.0,100.0,107.0,79.0,101.0,93.0,0.28,0.123,0.192,0.218,,,0.187,-1.13,0.39,0.44,-1.39,,,-0.22,94.3,90.2,85.7,93.3,81.9,,,0.287,0.449,0.132,,,,0.263,0.45,0.191,0.25,0.411,0.252,0.248,0.394,0.269,,,,0.255,0.489,0.282,,,,,,,,,,,,,,,
2024/07/06,4:10 PM.,CWS,MIA,home,Roof Closed.,72,676979,RF,4,1,3,0,0,1,3,0,0,1,0,.268,.333,.451,.784,676979,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.58,2.85,146.0,103.0,102.0,103.0,0.694,12.88,2.03,7.58,1.11,1.25,0.259,0.394,0.175,0.33,0.458,66.0,101.0,102.0,,,,104.0,103.0,103.0,123.0,98.0,97.0,138.0,102.0,107.0,94.0,105.0,103.0,0.021,0.537,0.284,0.098,,,0.059,1.66,-0.14,4.04,-2.29,,,-0.36,97.2,91.6,91.0,97.9,84.3,,,0.154,0.154,0.321,,,,0.268,0.458,0.334,0.198,0.295,0.314,0.184,0.289,0.339,,,,0.228,0.561,0.422,,,,,,,,,,,,,,,
