date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,wFA/C,wSL/C,wCU/C,vFA,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FC%,FS%,wFC/C,wFS/C,wSI/C,vFC,vFS,vSI,ST_ba,ST_slg,ST_whiff,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,vKN (sc),Stf+ KC,Loc+ KC,Pit+ KC,KC%,KN%,wKC/C,wKN/C,vKC,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,SV_ba,SV_slg,SV_whiff
2024/08/12,6:38 PM.,LAA,TOR,away,Clear.,82,669721,RF,1,0,0,0,0,0,0,0,3,0,0,.136,.321,.182,.503,669721,davisdaniel,Daniel,Right,Davis Daniel,LAA,6.23,4.34,30.1,105.0,81.0,101.0,0.808,8.31,1.78,11.57,1.48,0.84,0.293,0.424,0.162,0.313,0.435,94.0,89.0,85.0,61.0,107.0,98.0,125.0,101.0,108.0,0.48,0.238,0.077,-1.06,-0.4,2.13,91.5,81.8,74.3,0.328,0.586,0.147,0.125,0.25,0.333,0.226,0.419,0.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,112.0,104.0,0.205,-2.86,84.6,0.4,0.533,0.226,,,
2024/08/04,1:39 PM.,NYY,TOR,away,Cloudy.,79,543037,RF,0,0,0,0,0,0,0,0,0,0,0,.143,.250,.190,.440,543037,gerritcole,Cole,Right,Gerrit Cole,NYY,3.41,3.64,95.0,101.0,111.0,105.0,0.777,9.38,2.75,7.39,1.04,0.88,0.289,0.371,0.18,0.332,0.435,,,,116.0,100.0,104.0,128.0,106.0,112.0,0.462,0.146,,0.7,1.25,,95.9,88.2,,0.189,0.365,0.234,0.209,0.239,0.301,0.222,0.27,0.264,,,,99.0,102.0,102.0,,,,0.002,0.163,,-0.7,,17.25,91.4,,93.7,,,,0.0,0.0,0.143,,,,0.32,0.56,0.22,,102.0,99.0,106.0,0.187,,2.35,,82.5,73.0,94.0,90.0,0.04,-3.6,88.2,0.333,0.667,0.28,,,
2024/08/03,1:10 PM.,NYY,TOR,away,Partly Cloudy.,90,607074,RF,2,0,0,0,0,0,0,0,0,1,0,.143,.250,.190,.440,607074,carlosrodon,Rodón,Left,Carlos Rodón,NYY,3.96,4.14,175.0,97.0,122.0,103.0,0.716,10.03,2.93,8.07,1.59,0.69,0.257,0.399,0.143,0.329,0.396,103.0,86.0,93.0,114.0,98.0,101.0,144.0,104.0,113.0,0.494,0.26,0.083,0.05,-0.4,-1.32,95.4,86.8,81.0,0.262,0.514,0.214,0.281,0.531,0.276,0.199,0.361,0.393,,,,100.0,83.0,82.0,,,,,0.035,,-3.11,,,91.8,,,,,,,,,,,,0.353,0.647,0.255,,,,,,,,,,129.0,92.0,106.0,0.129,1.44,85.5,0.188,0.247,0.495,,,
2024/08/02,8:31 PM.,NYY,TOR,away,Cloudy.,76,573186,RF,1,0,0,0,0,0,0,0,0,0,0,.158,.273,.211,.484,573186,marcusstroman,Stroman,Right,Marcus Stroman,NYY,4.31,4.94,154.2,96.0,92.0,94.0,0.82,6.58,3.49,9.72,1.11,1.6,0.207,0.4,0.148,0.325,0.359,94.0,89.0,94.0,48.0,88.0,79.0,93.0,102.0,102.0,0.032,0.16,0.165,-4.01,-2.37,-0.03,89.9,85.3,81.3,0.455,0.636,0.259,0.0,0.0,0.265,0.258,0.386,0.272,90.0,94.0,90.0,106.0,101.0,99.0,82.0,99.0,93.0,0.351,0.182,0.111,-0.26,-0.31,-0.03,88.1,83.3,90.0,,,,0.306,0.466,0.12,0.235,0.309,0.241,0.296,0.519,0.187,,,,,,,,,,,,,,,,,,,0.309,0.515,0.313
2024/07/31,12:37 PM.,BAL,TOR,away,Partly Cloudy.,90,680570,CF,0,0,0,0,0,0,0,0,1,0,0,.167,.286,.222,.508,680570,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,BAL,3.86,3.72,116.2,102.0,119.0,107.0,0.728,10.03,2.78,8.41,1.16,1.07,0.219,0.419,0.147,0.325,0.452,114.0,103.0,107.0,113.0,102.0,106.0,118.0,101.0,108.0,0.465,0.158,0.155,-0.38,-0.96,0.29,96.1,86.5,81.3,0.291,0.413,0.269,0.26,0.38,0.241,0.25,0.563,0.361,133.0,102.0,111.0,,,,,,,0.012,,,,,5.3,,,96.1,,,,0.167,0.333,0.294,,,,,,,,,,,,,,,,140.0,101.0,108.0,0.21,1.63,83.1,0.161,0.306,0.348,,,
2024/07/30,6:36 PM.,BAL,TOR,away,Overcast.,79,669203,LF,4,1,1,0,0,0,0,1,0,2,0,.167,.250,.222,.472,669203,corbinburnes,Burnes,Right,Corbin Burnes,BAL,2.92,3.34,194.1,103.0,120.0,107.0,0.735,8.38,2.22,7.64,1.02,1.4,0.21,0.425,0.19,0.289,0.399,109.0,101.0,106.0,,,,133.0,105.0,120.0,,0.146,0.215,,0.7,0.44,,87.2,80.3,,,,0.2,0.326,0.378,0.196,0.268,0.463,104.0,95.0,89.0,125.0,105.0,108.0,,,,0.078,0.45,,1.37,,-0.5,95.3,,97.0,0.125,0.5,0.457,0.235,0.412,0.157,,,,0.251,0.362,0.19,,,,,,,,,,110.0,98.0,103.0,0.11,0.2,89.2,0.194,0.339,0.377,,,
2024/07/29,3:06 PM.,BAL,TOR,away,Partly Cloudy.,90,621107,LF,1,0,0,0,0,0,0,0,0,1,0,.100,.182,.200,.382,621107,zacheflin,Eflin,Right,Zach Eflin,- - -,3.59,3.67,165.1,107.0,92.0,103.0,0.808,7.29,1.31,9.04,1.2,1.14,0.235,0.446,0.174,0.323,0.45,108.0,112.0,108.0,61.0,105.0,94.0,122.0,107.0,113.0,0.09,0.097,0.188,-0.64,0.46,-1.27,92.4,79.7,78.8,0.236,0.418,0.248,0.291,0.472,0.333,,,,91.0,109.0,105.0,85.0,105.0,98.0,,,,0.282,0.282,,1.54,,0.0,88.2,,91.7,0.236,0.473,0.203,0.293,0.404,0.133,,,,0.214,0.345,0.223,,,,,,,,,,87.0,101.0,103.0,0.061,0.21,85.6,0.188,0.354,0.105,,,
2024/07/29,8:31 PM.,BAL,TOR,away,Partly Cloudy.,83,700249,RF,4,2,1,0,0,0,1,2,1,2,1,.143,.250,.214,.464,700249,cadepovich,Povich,Left,Cade Povich,BAL,5.2,4.11,79.2,99.0,87.0,97.0,0.788,7.79,3.84,9.04,1.36,0.75,0.22,0.447,0.179,0.289,0.454,93.0,101.0,104.0,81.0,97.0,93.0,113.0,107.0,108.0,0.407,0.13,0.196,0.56,-0.43,-2.26,92.4,82.6,76.3,0.223,0.379,0.185,0.333,0.517,0.269,,,,80.0,98.0,90.0,97.0,94.0,94.0,,,,0.084,0.075,,-3.12,,0.86,88.3,,91.5,0.232,0.411,0.276,0.2,0.24,0.103,,,,0.333,0.81,0.288,,,,,,,,,,63.0,101.0,95.0,0.109,-2.05,86.1,0.25,0.542,0.235,,,
2024/07/28,1:39 PM.,TEX,TOR,home,Sunny.,81,592351,LF,1,0,0,0,0,0,0,0,0,1,0,.111,.200,.222,.422,592351,jongray,"Gray, Jn",Right,Jon Gray,TEX,4.47,4.65,102.2,103.0,85.0,98.0,0.777,7.54,2.45,9.38,0.96,0.98,0.228,0.412,0.145,0.366,0.457,97.0,97.0,102.0,73.0,103.0,91.0,97.0,105.0,105.0,0.444,0.439,0.046,-0.71,0.77,-0.7,94.9,88.6,78.9,0.311,0.443,0.15,0.333,0.333,0.267,0.213,0.344,0.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,100.0,94.0,0.071,-1.39,88.7,0.257,0.543,0.19,,,
2024/07/27,3:09 PM.,TEX,TOR,home,Sunny.,76,547179,LF,3,1,1,1,0,0,0,0,1,1,2,.125,.222,.250,.472,547179,michaellorenzen,Lorenzen,Right,Michael Lorenzen,- - -,3.31,4.59,130.1,97.0,93.0,95.0,0.796,6.7,4.14,6.97,1.17,1.03,0.249,0.386,0.188,0.322,0.411,102.0,93.0,96.0,84.0,95.0,89.0,126.0,98.0,108.0,0.272,0.149,0.079,1.0,-1.51,0.02,93.8,83.9,81.7,0.155,0.309,0.184,0.217,0.348,0.352,0.368,0.632,0.253,81.0,102.0,94.0,94.0,92.0,91.0,,,,0.212,0.1,,0.04,,-0.25,90.1,,93.6,0.19,0.429,0.291,0.291,0.441,0.062,,,,0.235,0.51,0.236,,,,,,,,,,93.0,101.0,99.0,0.188,1.94,84.6,0.122,0.173,0.373,,,
2024/07/26,7:07 PM.,TEX,TOR,home,Clear.,75,571760,PR,0,1,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,571760,andrewheaney,Heaney,Left,Andrew Heaney,TEX,4.28,4.46,160.0,102.0,80.0,99.0,0.76,8.94,2.31,8.94,1.29,0.75,0.247,0.407,0.148,0.306,0.428,126.0,105.0,103.0,77.0,102.0,98.0,79.0,100.0,103.0,0.501,0.278,0.036,0.15,-0.26,-3.31,91.5,82.5,75.6,0.23,0.412,0.213,0.5,1.1,0.188,0.26,0.385,0.365,34.0,82.0,74.0,20.0,51.0,51.0,,,,0.014,0.001,,-19.13,,-4.52,86.6,,92.2,,,,0.455,0.455,0.125,,,,,,,,,,,,,,,,83.0,102.0,94.0,0.17,0.46,83.7,0.239,0.384,0.243,,,
2024/07/25,3:09 PM.,TB,TOR,home,Partly Cloudy.,76,671737,LF,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,671737,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,4.11,4.17,138.0,98.0,116.0,103.0,0.748,10.04,3.07,7.96,1.43,1.06,0.247,0.394,0.102,0.394,0.426,100.0,91.0,93.0,129.0,97.0,102.0,,,,0.417,,0.089,-0.04,,-1.5,96.4,,79.1,0.269,0.5,0.21,0.241,0.483,0.346,,,,,,,91.0,100.0,98.0,123.0,102.0,114.0,,0.225,0.269,1.02,0.47,,90.9,90.9,,,,,,,,0.213,0.32,0.33,0.205,0.357,0.324,,,,,,,,,,,,,,,,,,,,,
2024/07/19,7:09 PM.,DET,TOR,home,Clear.,73,656427,PR,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,656427,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.17,3.54,162.0,102.0,94.0,102.0,0.712,10.78,2.11,7.5,1.33,1.05,0.223,0.436,0.157,0.3,0.38,,,,92.0,104.0,101.0,95.0,102.0,102.0,0.441,0.29,,0.5,0.02,,93.3,84.7,,0.245,0.401,0.238,0.164,0.219,0.436,0.222,0.455,0.363,75.0,85.0,72.0,,,,,,,0.023,,,,,-5.05,,,90.6,,,,0.6,1.2,0.4,,,,,,,,101.0,103.0,107.0,0.218,,2.19,,77.4,87.0,83.0,81.0,0.027,-0.55,85.7,0.111,0.333,0.111,,,
2024/07/14,1:12 PM.,AZ,TOR,away,Roof Closed.,77,668678,RF,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,668678,zacgallen,Gallen,Right,Zac Gallen,ARI,3.65,3.97,148.0,101.0,101.0,101.0,0.761,9.49,3.28,8.09,0.79,1.38,0.231,0.396,0.133,0.351,0.348,,,,101.0,95.0,96.0,107.0,102.0,102.0,0.463,0.087,,-0.55,-0.56,,93.7,87.0,,0.28,0.46,0.133,0.148,0.23,0.392,0.31,0.476,0.337,132.0,80.0,80.0,89.0,87.0,79.0,,,,0.001,0.031,,-0.78,,-1.02,90.3,,94.7,,,,,,,,,,0.25,0.625,0.36,,107.0,108.0,112.0,0.277,,2.29,,81.0,88.0,107.0,98.0,0.14,0.43,86.6,0.27,0.382,0.265,,,
2024/07/13,7:10 PM.,AZ,TOR,away,Roof Closed.,78,700270,RF,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,700270,yilberdiaz,Diaz,Right,Yilber Diaz,ARI,3.81,5.04,28.1,95.0,76.0,92.0,0.823,6.04,3.81,8.58,0.95,1.0,0.295,0.318,0.091,0.352,0.443,,,,74.0,95.0,87.0,88.0,108.0,110.0,0.58,0.273,,-0.95,1.97,,96.1,83.6,,0.301,0.521,0.112,0.222,0.333,0.353,0.13,0.174,0.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,69.0,78.0,0.143,,-0.98,,78.7,28.0,69.0,59.0,0.004,0.83,86.0,,,,,,
2024/07/07,1:12 PM.,SEA,TOR,away,Sunny.,74,669923,PR,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,669923,georgekirby,Kirby,Right,George Kirby,SEA,3.53,3.44,191.0,106.0,106.0,106.0,0.786,8.43,1.08,8.53,1.04,1.01,0.298,0.342,0.178,0.294,0.446,,,,102.0,107.0,101.0,110.0,104.0,110.0,0.339,0.237,,0.46,1.28,,96.0,87.2,,0.221,0.458,0.291,0.333,0.439,0.286,0.226,0.316,0.271,106.0,108.0,108.0,97.0,99.0,93.0,109.0,100.0,108.0,0.236,0.004,0.102,0.79,-2.05,1.5,92.3,86.0,96.0,,,,0.263,0.354,0.105,0.253,0.413,0.295,,,,73.9,114.0,110.0,113.0,0.082,0.0,-1.95,-3.5,83.4,,,,,,,,,,,,
2024/06/24,7:11 PM.,BOS,TOR,away,Partly Cloudy.,77,656557,PR,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,656557,tannerhouck,Houck,Right,Tanner Houck,BOS,3.12,4.11,178.2,100.0,108.0,104.0,0.789,7.76,2.42,7.86,0.55,2.34,0.193,0.45,0.126,0.305,0.425,,,,,,,116.0,98.0,108.0,,0.414,,,0.54,,,83.2,,,,,,,,,,,93.0,102.0,97.0,95.0,93.0,93.0,116.0,103.0,109.0,0.324,0.015,0.248,-0.95,1.74,0.67,87.1,88.4,93.5,0.23,0.357,0.302,0.27,0.325,0.142,0.195,0.265,0.208,0.2,0.4,0.235,,,,,,,,,,,,,,,,,,,,,
2024/06/23,1:41 PM.,CLE,TOR,away,Cloudy.,78,663474,CF,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,663474,tristonmckenzie,McKenzie,Right,Triston McKenzie,CLE,5.11,5.67,75.2,90.0,99.0,90.0,0.784,8.8,5.83,8.21,2.26,0.68,0.251,0.386,0.149,0.321,0.406,97.0,102.0,100.0,98.0,86.0,87.0,106.0,87.0,90.0,0.524,0.21,0.266,-2.18,1.48,-0.16,91.1,85.4,77.7,0.303,0.652,0.103,0.176,0.341,0.373,0.143,0.143,0.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
