date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CH%,wFC/C,wSI/C,wSL/C,wCH/C,vFC,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,FA%,CU%,wFA/C,wCU/C,vFA,vCU,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff
2024/06/16,1:06 PM.,SF,LAA,away,Sunny.,68,669062,3B,3,0,1,1,0,0,0,0,1,1,0,.180,.263,.300,.563,669062,erikmiller,"Miller, E",Left,Erik Miller,SFG,3.88,3.14,67.1,96.0,110.0,99.0,0.712,11.63,5.08,6.68,0.94,1.46,0.165,0.475,0.177,0.348,0.386,118.0,97.0,105.0,,,,137.0,101.0,110.0,,,,,,0.164,0.338,,,-1.06,0.1,,85.5,,83.3,,,,0.21,0.35,0.302,0.244,0.415,0.375,,,,95.0,94.0,91.0,0.497,0.001,0.99,3.94,96.9,81.1,0.184,0.311,0.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/06/13,6:40 PM.,AZ,LAA,away,Roof Closed.,74,694297,LF,1,0,0,0,0,0,0,0,0,0,0,.170,.245,.277,.522,694297,brandonpfaadt,Pfaadt,Right,Brandon Pfaadt,ARI,4.71,3.78,181.2,106.0,107.0,107.0,0.768,9.17,2.08,9.07,1.19,1.07,0.25,0.427,0.131,0.306,0.449,92.0,102.0,96.0,89.0,106.0,104.0,143.0,109.0,119.0,,,,0.222,,0.273,0.112,,-0.09,-0.12,0.84,,87.5,93.7,84.8,0.286,0.365,0.119,0.25,0.289,0.312,,,,106.0,102.0,104.0,95.0,106.0,103.0,0.334,0.053,0.37,-1.37,93.8,80.8,0.265,0.466,0.224,0.215,0.455,0.362,0.429,0.571,0.295,,,,0.006,0.45,89.6,,,,0.2,0.8,0.0,,,,,,,,,,,,
2024/06/12,6:40 PM.,AZ,LAA,away,Roof Closed.,78,677944,LF,1,0,0,0,0,0,0,0,0,0,0,.174,.250,.283,.533,677944,sladececconi,Cecconi,Right,Slade Cecconi,ARI,6.66,4.52,77.0,105.0,102.0,105.0,0.816,7.48,1.99,10.75,1.87,0.69,0.3,0.356,0.162,0.332,0.485,103.0,98.0,100.0,,,,117.0,100.0,105.0,,,,,0.001,0.24,0.121,3.94,,-1.24,-0.57,90.4,81.8,,85.1,,,,0.227,0.432,0.269,0.278,0.494,0.207,103.0,101.0,106.0,95.0,109.0,106.0,0.548,0.09,-1.46,-1.42,94.4,75.4,0.329,0.582,0.164,,,,0.2,0.4,0.289,,,,,,,,,,,,,,,,,,,,,,,,
2024/06/09,1:08 PM.,HOU,LAA,home,Overcast.,72,434378,DH,0,0,0,0,0,0,0,0,0,0,0,.178,.255,.289,.544,434378,justinverlander,Verlander,Right,Justin Verlander,HOU,5.48,3.78,90.1,101.0,117.0,103.0,0.81,7.37,2.69,9.76,1.49,0.54,0.28,0.37,0.19,0.266,0.435,115.0,101.0,104.0,,,,127.0,108.0,112.0,,,,,,0.193,0.101,,,0.66,-0.58,,84.0,,86.7,,,,0.235,0.353,0.253,0.195,0.322,0.215,110.0,101.0,97.0,116.0,98.0,102.0,0.487,0.219,-0.59,-1.46,93.5,77.6,0.299,0.497,0.202,,,,0.34,0.56,0.22,,,,,,,,,,,,,,,,,,,,,,,,
2024/06/08,7:08 PM.,HOU,LAA,home,Partly Cloudy.,69,686613,DH,0,0,0,0,0,0,0,0,0,0,0,.178,.255,.289,.544,686613,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,3.49,3.31,170.0,101.0,103.0,101.0,0.778,9.48,3.18,8.26,0.95,1.61,0.271,0.35,0.192,0.218,0.421,84.0,101.0,102.0,93.0,102.0,98.0,110.0,103.0,107.0,90.0,103.0,101.0,0.182,0.17,0.051,0.126,0.14,0.92,1.7,0.95,92.4,88.4,95.6,89.1,0.275,0.321,0.161,0.221,0.26,0.296,0.2,0.2,0.236,,,,110.0,101.0,102.0,0.347,,0.16,,96.0,,0.244,0.413,0.288,,,,0.237,0.421,0.305,,,,,,,0.23,0.363,0.216,,,,127.0,100.0,106.0,0.125,-0.79,82.9,,,,,,
2024/06/07,6:38 PM.,HOU,LAA,home,Clear.,68,664285,LF,3,0,0,0,0,0,0,0,0,3,1,.178,.255,.289,.544,664285,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,2.91,3.41,176.1,97.0,114.0,102.0,0.744,8.63,2.81,7.15,0.66,3.02,0.205,0.416,0.129,0.321,0.425,130.0,96.0,104.0,98.0,99.0,97.0,107.0,102.0,110.0,,,,0.458,,0.043,0.175,,1.46,-0.2,0.62,,89.9,94.1,85.1,0.276,0.399,0.116,0.226,0.278,0.354,0.233,0.467,0.383,129.0,96.0,108.0,60.0,102.0,94.0,0.012,0.313,-4.64,1.59,94.5,79.7,0.4,1.0,0.273,,,,0.121,0.187,0.398,,,,,,,,,,,,,,,,,,,,,,,,
2024/06/04,6:40 PM.,SD,LAA,home,Clear.,73,800049,DH,1,0,0,0,0,0,0,0,0,0,0,.190,.271,.310,.581,800049,adammazur,Mazur,Right,Adam Mazur,SDP,7.49,5.64,33.2,95.0,98.0,96.0,0.839,5.88,5.61,10.69,1.6,0.75,0.23,0.398,0.133,0.345,0.416,79.0,84.0,84.0,90.0,83.0,77.0,123.0,98.0,108.0,,,,0.041,,0.337,0.103,,-4.79,1.16,-2.61,,89.9,93.9,86.8,0.429,0.429,0.083,0.429,0.571,0.35,0.216,0.333,0.25,112.0,103.0,109.0,78.0,95.0,88.0,0.392,0.127,-3.03,-2.5,94.6,80.7,0.333,0.667,0.134,,,,0.364,0.818,0.083,,,,,,,,,,,,,,,,,,,,,,,,
2024/06/03,6:37 PM.,SD,LAA,home,Partly Cloudy.,69,663362,DH,0,0,0,0,0,0,0,0,0,0,0,.195,.277,.317,.594,663362,mattwaldron,Waldron,Right,Matt Waldron,SDP,4.91,4.11,146.2,104.0,83.0,98.0,0.806,8.16,2.45,8.9,1.29,0.91,0.207,0.402,0.164,0.302,0.441,,,,73.0,108.0,102.0,115.0,101.0,107.0,83.0,98.0,90.0,0.144,0.086,0.198,,1.88,0.64,0.5,,87.0,,90.0,79.3,0.303,0.404,0.067,,,,,,,,,,57.0,108.0,91.0,0.19,,-0.77,,90.6,,0.265,0.513,0.224,0.227,0.454,0.201,,,,,,,,,,0.231,0.385,0.144,,,,,,,,,,77.6,0.382,-1.09,0.246,0.394,0.275
2024/05/30,6:41 PM.,NYY,LAA,home,Clear.,68,607074,DH,2,0,0,0,0,0,0,0,0,1,0,.195,.277,.317,.594,607074,carlosrodon,Rodón,Left,Carlos Rodón,NYY,3.96,4.14,175.0,97.0,122.0,103.0,0.716,10.03,2.93,8.07,1.59,0.69,0.257,0.399,0.143,0.329,0.396,129.0,92.0,106.0,,,,144.0,104.0,113.0,100.0,83.0,82.0,,0.035,0.26,0.129,-3.11,,-0.4,1.44,91.8,85.5,,86.8,,,,0.188,0.247,0.495,0.199,0.361,0.393,103.0,86.0,93.0,114.0,98.0,101.0,0.494,0.083,0.05,-1.32,95.4,81.0,0.262,0.514,0.214,,,,0.281,0.531,0.276,,,,,,,0.353,0.647,0.255,,,,,,,,,,,,,,,
2024/05/28,6:39 PM.,NYY,LAA,home,Clear.,69,641482,DH,2,0,0,0,0,0,0,0,0,1,0,.205,.289,.333,.622,641482,nestorcortes,Cortes,Left,Nestor Cortes,NYY,3.77,3.62,174.1,101.0,101.0,101.0,0.79,8.36,2.01,8.36,1.24,0.64,0.253,0.37,0.164,0.317,0.432,86.0,102.0,94.0,86.0,116.0,113.0,99.0,98.0,101.0,109.0,100.0,102.0,0.014,0.28,0.168,0.097,1.32,1.37,-1.27,-0.89,87.5,83.6,90.3,78.2,0.143,0.143,0.316,0.226,0.369,0.326,0.364,0.727,0.167,,,,99.0,103.0,100.0,0.442,,0.25,,92.1,,0.235,0.443,0.215,0.284,0.511,0.25,,,,,,,,,,0.249,0.378,0.251,,,,,,,,,,,,,,,
