date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,wFA/C,wFS/C,wSI/C,wSL/C,vFA,vFS,vSI,vSL,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ KC,Loc+ KC,Pit+ KC,KC%,CH%,wKC/C,wCH/C,vCH,vKC,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,SV_ba,SV_slg,SV_whiff
2024/09/15,1:40 PM.,STL,TOR,home,Sunny.,74,571945,C,2,0,0,0,0,0,0,0,0,2,0,.159,.243,.222,.465,571945,milesmikolas,Mikolas,Right,Miles Mikolas,STL,5.35,4.65,171.2,109.0,87.0,103.0,0.859,6.4,1.31,10.17,1.36,1.15,0.243,0.406,0.152,0.33,0.495,65.0,107.0,98.0,80.0,111.0,99.0,116.0,112.0,114.0,,,,0.231,0.279,,0.283,0.23,,1.42,-1.19,93.2,,92.4,85.7,0.301,0.506,0.164,,,,0.287,0.446,0.178,0.237,0.382,0.108,0.273,0.545,0.275,,,,,,,,,,85.0,103.0,98.0,,,,0.005,0.085,4.24,-4.2,85.6,69.6,0.394,0.742,0.159,0.267,0.52,0.231,94.0,109.0,106.0,0.116,-1.97,76.6,,,
2024/09/11,3:09 PM.,NYM,TOR,home,Sunny.,68,640455,C,2,0,0,0,0,0,0,0,1,0,0,.164,.250,.230,.480,640455,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.47,3.75,181.2,97.0,90.0,96.0,0.76,9.12,3.12,6.64,1.04,0.87,0.266,0.376,0.156,0.32,0.436,88.0,103.0,99.0,95.0,100.0,97.0,88.0,88.0,93.0,,,,0.447,0.113,,0.251,1.13,,1.36,0.37,92.3,,92.3,79.5,0.174,0.435,0.32,,,,0.167,0.295,0.311,0.201,0.333,0.21,0.193,0.311,0.388,84.0,88.0,85.0,0.071,0.97,88.4,0.222,0.25,0.179,83.0,98.0,95.0,,,,,0.118,,-1.19,85.3,,0.25,0.438,0.254,,,,,,,,,,,,
2024/09/09,7:07 PM.,NYM,TOR,home,Roof Closed.,68,656731,C,1,1,0,0,0,0,0,0,0,0,0,.169,.246,.237,.483,656731,tylormegill,Megill,Right,Tylor Megill,NYM,4.04,4.2,78.0,97.0,108.0,100.0,0.734,10.5,3.69,8.08,0.92,1.04,0.263,0.368,0.191,0.33,0.421,112.0,99.0,101.0,108.0,104.0,110.0,103.0,103.0,106.0,105.0,93.0,107.0,0.098,0.467,0.073,0.132,0.29,-1.25,3.24,-0.85,95.7,84.7,94.6,85.1,0.233,0.302,0.291,0.143,0.393,0.429,0.228,0.35,0.292,0.206,0.206,0.184,0.25,1.0,0.167,101.0,96.0,93.0,0.136,-1.19,90.1,0.326,0.565,0.27,130.0,94.0,112.0,,,,,0.015,,-4.39,87.2,,0.5,0.5,0.111,0.188,0.313,0.333,91.0,77.0,82.0,0.078,-0.37,78.0,,,
2024/09/08,1:37 PM.,ATL,TOR,away,Partly Cloudy.,76,519242,C,4,0,0,0,0,0,0,0,0,3,1,.172,.250,.241,.491,519242,chrissale,Sale,Left,Chris Sale,ATL,2.38,2.8,177.2,103.0,96.0,102.0,0.711,11.4,1.98,7.14,0.46,1.34,0.247,0.435,0.167,0.249,0.435,96.0,105.0,101.0,113.0,100.0,96.0,105.0,100.0,104.0,,,,0.072,0.378,,0.403,-0.12,,-1.99,2.16,94.8,,94.2,78.6,0.171,0.236,0.427,,,,0.281,0.443,0.241,0.327,0.551,0.133,,,,,,,,,,,,,64.0,107.0,98.0,,,,,0.147,,2.97,87.1,,0.159,0.195,0.236,,,,,,,,,,,,
2024/09/04,3:08 PM.,PHI,TOR,home,Sunny.,74,650911,C,3,0,1,1,0,0,0,0,0,1,2,.185,.267,.259,.526,650911,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.32,3.56,181.2,103.0,97.0,106.0,0.78,7.58,2.18,9.02,0.54,2.67,0.214,0.418,0.178,0.285,0.426,,,,95.0,101.0,98.0,102.0,102.0,103.0,,,,0.473,,,0.169,,,-0.55,0.65,,,94.5,84.4,0.219,0.368,0.308,,,,,,,0.345,0.481,0.131,,,,86.0,52.0,74.0,0.001,2.59,86.5,,,,97.0,105.0,116.0,,,,,0.357,,1.56,85.1,,0.177,0.22,0.348,,,,,,,,,,,,
2024/09/01,1:11 PM.,MIN,TOR,away,Sunny.,69,641927,C,3,0,0,0,0,0,0,0,0,1,1,.176,.263,.235,.498,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.98,3.22,178.2,105.0,91.0,102.0,0.728,9.62,2.17,6.85,1.36,0.67,0.22,0.439,0.183,0.303,0.416,81.0,104.0,96.0,,,,74.0,100.0,101.0,,,,,0.381,,0.118,-0.01,,,2.03,91.7,,,80.3,0.095,0.162,0.307,,,,0.258,0.506,0.222,,,,,,,84.0,104.0,100.0,0.195,-0.86,86.2,0.279,0.504,0.229,116.0,111.0,111.0,,,,,0.294,,1.98,83.4,,0.154,0.285,0.395,0.0,0.0,0.375,94.0,99.0,103.0,0.011,4.57,76.0,,,
2024/08/29,7:11 PM.,BOS,TOR,away,Clear.,66,676710,C,4,1,2,2,0,0,0,0,0,0,1,.188,.264,.250,.514,676710,kuttercrawford,"Crawford, K",Right,Kutter Crawford,BOS,4.36,3.86,183.2,105.0,108.0,107.0,0.766,8.58,2.5,7.6,1.67,0.67,0.244,0.424,0.164,0.288,0.446,109.0,109.0,112.0,,,,100.0,99.0,102.0,87.0,102.0,106.0,,0.337,0.086,0.185,-0.43,0.47,,-0.56,92.6,82.4,,80.8,,,,0.192,0.26,0.404,0.255,0.5,0.198,,,,0.222,0.437,0.263,114.0,104.0,104.0,0.32,0.55,87.5,0.216,0.418,0.265,,,,98.0,97.0,99.0,0.072,,1.14,,,77.3,,,,0.143,0.171,0.219,,,,,,,,,
2024/08/24,3:08 PM.,LAA,TOR,home,Sunny.,76,608334,C,3,0,0,0,0,0,0,0,0,2,2,.159,.245,.182,.427,608334,carsonfulmer,"Fulmer, C",Right,Carson Fulmer,LAA,4.15,4.74,86.2,101.0,94.0,98.0,0.772,8.41,4.15,8.41,1.14,1.04,0.214,0.429,0.115,0.361,0.393,85.0,105.0,103.0,88.0,100.0,94.0,114.0,96.0,98.0,,,,0.237,0.234,,0.204,0.19,,0.39,1.22,93.1,,92.6,87.0,0.157,0.294,0.284,,,,0.224,0.447,0.195,0.299,0.39,0.118,0.286,0.714,0.458,,,,,,,,,,90.0,104.0,102.0,,,,,0.27,,-0.64,87.8,,0.228,0.347,0.367,0.471,1.118,0.393,109.0,102.0,103.0,0.056,-7.73,82.4,,,
2024/08/23,7:10 PM.,LAA,TOR,home,Clear.,76,686799,C,0,0,0,0,0,0,0,0,0,0,0,.171,.261,.195,.456,686799,jackkochanowicz,Kochanowicz,Right,Jack Kochanowicz,LAA,3.99,4.97,65.1,101.0,100.0,102.0,0.867,3.44,1.38,9.37,0.96,2.33,0.202,0.39,0.152,0.35,0.513,87.0,95.0,90.0,99.0,103.0,102.0,,,,,,,0.724,0.062,,,-1.87,,0.89,,96.3,,95.8,,,,,,,,0.167,0.5,0.364,0.286,0.411,0.121,,,,,,,,,,,,,74.0,103.0,98.0,,,,,0.03,,-3.35,88.3,,0.333,0.444,0.067,0.235,0.412,0.25,111.0,95.0,106.0,0.184,-1.06,85.0,,,
2024/08/21,7:08 PM.,CIN,TOR,home,Partly Cloudy.,70,607259,C,3,0,1,1,0,0,0,0,0,1,1,.171,.261,.195,.456,607259,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.1,3.19,142.1,109.0,99.0,107.0,0.786,7.33,1.14,8.09,0.82,0.89,0.265,0.393,0.198,0.23,0.441,91.0,110.0,109.0,80.0,106.0,97.0,105.0,110.0,110.0,,,,0.176,0.224,,0.061,0.73,,0.88,-0.55,92.6,,92.0,84.9,0.233,0.4,0.364,,,,0.219,0.351,0.212,0.24,0.375,0.09,,,,96.0,108.0,104.0,0.203,1.32,89.1,0.281,0.43,0.12,118.0,113.0,116.0,,,,,0.216,,1.79,80.1,,0.186,0.286,0.416,0.342,0.605,0.247,107.0,102.0,105.0,0.119,-1.69,80.8,,,
2024/08/18,1:20 PM.,CHC,TOR,away,Cloudy.,74,684007,C,3,0,1,0,0,0,0,0,1,1,0,.143,.250,.143,.393,684007,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,2.91,3.39,173.1,105.0,90.0,103.0,0.739,9.03,1.45,7.74,1.4,0.82,0.217,0.45,0.166,0.309,0.438,96.0,104.0,106.0,76.0,102.0,91.0,103.0,105.0,104.0,81.0,106.0,100.0,0.021,0.52,0.306,0.077,0.36,1.39,0.77,0.14,91.7,82.9,88.7,81.6,,,,0.204,0.283,0.431,0.229,0.47,0.176,0.25,0.333,0.37,0.267,0.311,0.347,50.0,107.0,96.0,0.005,-6.3,89.8,0.333,1.333,0.143,82.0,105.0,104.0,,,,0.0,0.039,-76.55,0.48,81.6,53.9,0.194,0.226,0.333,0.444,0.556,0.0,70.0,96.0,97.0,0.032,-0.59,72.7,,,
