date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,SI%,KC%,wSI/C,wKC/C,vSI,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
2024/08/18,1:36 PM.,PHI,WSH,away,Partly Cloudy.,83,592836,DH,3,0,1,0,0,0,1,0,0,1,1,.129,.156,.161,.317,592836,taijuanwalker,"Walker, T",Right,Taijuan Walker,PHI,7.1,7.09,83.2,98.0,88.0,95.0,0.847,6.24,3.98,11.51,2.58,0.93,0.184,0.442,0.131,0.389,0.429,,,,87.0,96.0,97.0,61.0,93.0,83.0,56.0,108.0,104.0,95.0,91.0,87.0,0.126,0.094,0.178,0.108,,-2.65,-4.99,2.03,1.99,,91.5,87.3,,85.1,74.7,0.346,0.615,0.232,0.435,1.087,0.093,,,,,,,0.172,0.31,0.149,0.157,0.314,0.28,78.0,98.0,91.0,,,,0.275,,-2.96,,91.1,,108.0,101.0,106.0,0.219,-4.16,86.7,0.378,0.684,0.082,0.38,0.652,0.163,,,
2024/08/11,11:35 AM.,LAA,WSH,home,Cloudy.,77,686799,DH,4,0,0,0,0,0,0,0,0,0,0,.107,.138,.143,.281,686799,jackkochanowicz,Kochanowicz,Right,Jack Kochanowicz,LAA,3.99,4.97,65.1,101.0,100.0,102.0,0.867,3.44,1.38,9.37,0.96,2.33,0.202,0.39,0.152,0.35,0.513,74.0,103.0,98.0,111.0,95.0,106.0,87.0,95.0,90.0,,,,,,,0.062,,,0.184,0.03,-1.87,,,-1.06,-3.35,96.3,,88.3,,85.0,0.167,0.5,0.364,,,,0.333,0.444,0.067,,,,0.235,0.412,0.25,,,,99.0,103.0,102.0,,,,0.724,,0.89,,95.8,,,,,,,,0.286,0.411,0.121,,,,,,
2024/08/10,6:45 PM.,LAA,WSH,home,Cloudy.,88,656288,DH,3,0,0,0,0,0,0,0,0,0,0,.125,.160,.167,.327,656288,griffincanning,Canning,Right,Griffin Canning,LAA,5.19,4.74,171.2,98.0,88.0,97.0,0.772,6.82,3.46,9.12,1.63,1.04,0.225,0.434,0.128,0.367,0.401,96.0,102.0,102.0,75.0,96.0,96.0,73.0,94.0,86.0,107.0,100.0,110.0,,,,0.376,,0.24,0.107,0.267,-0.85,,-0.91,-0.86,0.48,93.4,,88.6,87.7,80.6,0.251,0.529,0.147,,,,0.259,0.387,0.288,0.284,0.444,0.331,0.271,0.438,0.241,,,,76.0,89.0,78.0,,,,0.01,,-6.83,,93.0,,,,,,,,0.429,0.857,0.0,,,,,,
2024/08/09,6:45 PM.,LAA,WSH,home,Cloudy.,82,667755,DH,1,0,0,0,0,0,0,0,0,0,0,.143,.182,.190,.372,667755,josesoriano,"Soriano, J",Right,José Soriano,LAA,3.42,4.14,113.0,95.0,100.0,99.0,0.779,7.73,3.58,7.25,0.64,2.69,0.212,0.399,0.171,0.294,0.404,,,,,,,96.0,92.0,86.0,117.0,92.0,99.0,,,,0.146,,0.055,,,-2.05,,0.02,,,98.8,,,91.5,,0.356,0.622,0.103,,,,,,,0.143,0.214,0.463,0.226,0.376,0.402,,,,95.0,95.0,96.0,98.0,96.0,108.0,0.464,0.254,2.22,-0.42,97.7,86.4,120.0,100.0,112.0,0.081,0.8,92.7,0.214,0.26,0.167,0.15,0.3,0.329,,,
2024/08/08,12:05 PM.,SF,WSH,home,Drizzle.,77,690986,DH,0,1,0,0,0,0,0,0,1,0,0,.150,.190,.200,.390,690986,kyleharrison,Harrison,Left,Kyle Harrison,SFG,4.56,4.87,124.1,98.0,89.0,92.0,0.793,8.54,3.04,9.05,1.3,1.01,0.282,0.329,0.142,0.345,0.431,70.0,96.0,88.0,84.0,95.0,95.0,98.0,100.0,92.0,93.0,107.0,97.0,,,,0.577,,0.003,0.223,0.197,0.2,,-11.71,-0.22,-1.64,92.5,,84.8,88.2,80.6,0.249,0.425,0.23,,,,0.287,0.435,0.215,0.333,0.667,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.274,0.452,0.277
2024/08/07,6:45 PM.,SF,WSH,home,Overcast.,84,605483,DH,1,0,0,0,0,0,0,0,0,1,0,.150,.150,.200,.350,605483,blakesnell,Snell,Left,Blake Snell,SFG,3.12,2.57,104.0,98.0,122.0,104.0,0.641,12.55,3.81,5.63,0.52,1.03,0.263,0.404,0.171,0.254,0.356,110.0,108.0,116.0,148.0,99.0,109.0,116.0,96.0,100.0,106.0,87.0,91.0,,,,0.464,,0.101,0.26,0.176,1.16,,0.11,2.25,0.95,95.9,,85.5,88.7,81.1,0.2,0.303,0.244,,,,0.236,0.319,0.476,0.167,0.267,0.446,0.111,0.183,0.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/06,6:45 PM.,SF,WSH,home,Cloudy.,87,806185,DH,3,0,0,0,0,0,2,0,0,1,2,.158,.158,.211,.369,806185,haydenbirdsong,Birdsong,Right,Hayden Birdsong,SFG,4.75,4.65,72.0,92.0,111.0,97.0,0.728,11.0,5.38,7.13,1.38,0.96,0.239,0.394,0.1,0.417,0.382,155.0,91.0,114.0,111.0,102.0,104.0,90.0,89.0,85.0,119.0,90.0,100.0,,,,0.446,,0.184,0.187,0.184,-0.02,,-0.26,0.82,-0.87,95.8,,88.1,86.4,80.5,0.216,0.44,0.182,,,,0.269,0.365,0.349,0.244,0.512,0.487,0.145,0.218,0.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/05,6:45 PM.,SF,WSH,home,Clear.,90,657277,DH,4,0,2,0,0,0,0,0,0,1,4,.188,.188,.250,.438,657277,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.31,204.2,104.0,111.0,106.0,0.814,7.56,2.2,8.88,0.48,2.5,0.23,0.36,0.17,0.292,0.403,137.0,105.0,112.0,,,,57.0,106.0,88.0,126.0,104.0,114.0,52.0,95.0,88.0,0.053,0.026,0.212,,0.309,0.2,4.3,0.16,,-0.13,92.6,91.0,87.4,83.8,,0.179,0.231,0.329,0.077,0.077,0.265,0.275,0.411,0.216,,,,,,,0.239,0.331,0.268,95.0,104.0,102.0,,,,0.399,,1.32,,92.6,,,,,,,,0.268,0.338,0.144,,,,,,
2024/08/04,1:35 PM.,MIL,WSH,home,Cloudy.,83,668964,DH,2,0,0,0,0,0,0,0,0,1,1,.083,.083,.167,.250,668964,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.0,4.22,138.0,102.0,92.0,97.0,0.81,8.28,2.35,8.22,1.17,0.93,0.262,0.416,0.13,0.314,0.432,109.0,86.0,90.0,73.0,99.0,104.0,87.0,105.0,100.0,92.0,106.0,103.0,96.0,100.0,91.0,0.401,0.23,0.21,0.041,0.114,0.58,-0.75,1.43,-3.19,1.18,92.9,89.2,81.1,85.5,77.8,0.239,0.436,0.194,0.336,0.518,0.123,0.083,0.083,0.444,0.198,0.255,0.248,0.421,0.579,0.194,,,,71.0,92.0,74.0,,,,0.005,,11.28,,91.5,,,,,,,,0.0,0.0,0.0,,,,,,
2024/08/03,4:04 PM.,MIL,WSH,home,Partly Cloudy.,95,650644,DH,4,1,1,1,0,0,2,0,0,1,0,.100,.100,.200,.300,650644,aaroncivale,Civale,Right,Aaron Civale,- - -,4.36,4.0,161.0,100.0,96.0,100.0,0.801,8.33,2.91,8.83,1.62,0.83,0.253,0.411,0.145,0.315,0.399,,,,104.0,104.0,109.0,68.0,102.0,96.0,152.0,101.0,112.0,91.0,100.0,101.0,0.099,0.322,0.163,0.156,,-1.7,1.08,-1.03,-1.36,,92.0,88.1,,80.5,77.1,0.294,0.49,0.095,0.232,0.394,0.233,,,,0.25,0.375,0.438,0.25,0.479,0.275,0.267,0.467,0.272,71.0,93.0,83.0,,,,0.24,,0.06,,92.6,,57.0,96.0,102.0,0.02,-4.86,85.6,0.241,0.421,0.158,0.375,0.625,0.261,,,
