date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,SV_ba,SV_slg,SV_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FS%,wFS/C,wSI/C,vFS,vSI,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff,FO%,wFO/C,vFO
2024/09/27,6:40 PM.,SD,AZ,home,Roof Closed.,77,506433,RF,4,0,0,0,0,0,0,0,0,1,3,.270,.348,.547,.895,506433,yudarvish,Darvish,Right,Yu Darvish,SDP,3.31,3.62,81.2,102.0,101.0,102.0,0.755,8.6,2.42,7.16,1.32,0.89,0.171,0.504,0.154,0.325,0.467,,,,85.0,94.0,102.0,97.0,104.0,102.0,118.0,100.0,106.0,0.19,0.371,0.086,,-0.19,0.6,0.49,,94.0,,84.4,73.8,0.21,0.403,0.151,0.162,0.243,0.364,,,,0.269,0.478,0.286,,,,88.0,104.0,98.0,110.0,99.0,99.0,0.168,0.09,0.68,-0.28,87.9,93.6,0.255,0.473,0.176,0.167,0.333,0.328,0.214,0.333,0.261,80.0,103.0,97.0,0.044,2.98,90.6,0.0,0.0,0.346,89.0,114.0,112.0,0.051,2.13,78.7,,,,,,,,,
2024/09/25,6:41 PM.,SF,AZ,home,Roof Closed.,78,696131,DH,1,1,1,0,0,1,3,0,0,0,0,.278,.357,.564,.921,696131,masonblack,Black,Right,Mason Black,SFG,6.44,6.13,36.1,101.0,99.0,99.0,0.858,7.68,3.72,11.39,1.73,0.69,0.225,0.392,0.167,0.367,0.431,92.0,88.0,77.0,,,,86.0,103.0,98.0,109.0,97.0,101.0,0.321,0.371,,0.023,-2.69,-0.68,,-13.48,92.4,87.6,83.3,,0.333,0.548,0.236,,,,0.667,0.833,0.0,0.0,0.0,0.179,,,,101.0,100.0,97.0,,,,0.285,,,-1.0,,92.6,0.326,0.535,0.08,,,,0.318,0.591,0.16,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/24,6:40 PM.,SF,AZ,home,Roof Closed.,78,657277,RF,0,0,0,0,0,0,0,0,1,0,0,.273,.353,.538,.891,657277,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.31,204.2,104.0,111.0,106.0,0.814,7.56,2.2,8.88,0.48,2.5,0.23,0.36,0.17,0.292,0.403,137.0,105.0,112.0,,,,57.0,106.0,88.0,126.0,104.0,114.0,0.053,0.212,,0.309,0.2,0.16,,-0.13,92.6,87.4,83.8,,0.179,0.231,0.329,,,,0.275,0.411,0.216,,,,,,,95.0,104.0,102.0,,,,0.399,,,1.32,,92.6,0.268,0.338,0.144,,,,0.239,0.331,0.268,52.0,95.0,88.0,0.026,4.3,91.0,0.077,0.077,0.265,,,,,,,,,,,,,,,
2024/09/23,6:40 PM.,SF,AZ,home,Roof Closed.,78,806185,LF,4,0,0,0,0,0,0,0,0,2,3,.273,.349,.538,.887,806185,haydenbirdsong,Birdsong,Right,Hayden Birdsong,SFG,4.75,4.65,72.0,92.0,111.0,97.0,0.728,11.0,5.38,7.13,1.38,0.96,0.239,0.394,0.1,0.417,0.382,155.0,91.0,114.0,111.0,102.0,104.0,90.0,89.0,85.0,119.0,90.0,100.0,0.446,0.184,0.187,0.184,-0.02,-0.26,0.82,-0.87,95.8,88.1,86.4,80.5,0.216,0.44,0.182,0.145,0.218,0.327,0.269,0.365,0.349,0.244,0.512,0.487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/22,1:12 PM.,MIL,AZ,away,Roof Closed.,76,593423,RF,4,1,1,0,0,0,0,0,0,2,4,.281,.358,.555,.913,593423,frankiemontas,Montas,Right,Frankie Montas,- - -,4.84,4.71,150.2,101.0,98.0,99.0,0.777,8.84,3.94,8.36,1.43,1.1,0.235,0.376,0.147,0.311,0.418,,,,,,,83.0,105.0,98.0,117.0,103.0,106.0,0.332,0.107,,,-0.02,-1.94,,,95.6,,85.4,,0.206,0.367,0.231,,,,,,,0.288,0.577,0.325,,,,83.0,100.0,98.0,119.0,99.0,105.0,0.191,0.183,-0.23,1.13,86.0,94.8,0.248,0.407,0.113,0.218,0.297,0.426,,,,109.0,95.0,95.0,0.187,-1.4,90.4,0.326,0.609,0.223,,,,,,,,,,,,,,,
2024/09/21,6:11 PM.,MIL,AZ,away,Roof Closed.,82,650644,LF,4,0,0,0,0,0,0,0,0,3,0,.282,.361,.565,.926,650644,aaroncivale,Civale,Right,Aaron Civale,- - -,4.36,4.0,161.0,100.0,96.0,100.0,0.801,8.33,2.91,8.83,1.62,0.83,0.253,0.411,0.145,0.315,0.399,,,,104.0,104.0,109.0,68.0,102.0,96.0,152.0,101.0,112.0,0.099,0.163,0.156,,-1.7,-1.03,-1.36,,92.0,,80.5,77.1,0.294,0.49,0.095,0.25,0.479,0.275,,,,0.25,0.375,0.438,,,,71.0,93.0,83.0,57.0,96.0,102.0,0.24,0.02,-4.86,0.06,85.6,92.6,0.241,0.421,0.158,0.375,0.625,0.261,0.267,0.467,0.272,91.0,100.0,101.0,0.322,1.08,88.1,0.232,0.394,0.233,,,,,,,,,,,,,,,
2024/09/20,7:10 PM.,MIL,AZ,away,Clear.,77,607067,LF,5,0,1,1,0,0,0,0,0,2,2,.292,.371,.583,.954,607067,colinrea,Rea,Right,Colin Rea,MIL,4.29,4.91,167.2,102.0,84.0,97.0,0.827,7.25,2.31,9.07,1.56,0.95,0.24,0.456,0.137,0.329,0.443,,,,100.0,109.0,104.0,70.0,109.0,95.0,109.0,106.0,108.0,0.193,0.172,0.042,,0.49,1.41,-3.64,,92.9,,82.0,78.7,0.207,0.314,0.248,0.394,0.636,0.18,,,,,,,,,,82.0,103.0,96.0,78.0,98.0,96.0,0.311,0.088,-2.02,-0.28,86.5,92.3,0.298,0.482,0.115,0.286,0.492,0.277,0.159,0.234,0.227,76.0,94.0,88.0,0.194,-1.34,87.6,0.287,0.656,0.168,,,,,,,,,,,,,,,
2024/09/19,6:16 PM.,MIL,AZ,away,Partly Cloudy.,78,668964,LF,4,1,1,0,0,1,2,0,0,1,1,.296,.378,.591,.969,668964,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.0,4.22,138.0,102.0,92.0,97.0,0.81,8.28,2.35,8.22,1.17,0.93,0.262,0.416,0.13,0.314,0.432,109.0,86.0,90.0,73.0,99.0,104.0,87.0,105.0,100.0,92.0,106.0,103.0,0.401,0.21,0.041,0.114,0.58,1.43,-3.19,1.18,92.9,81.1,85.5,77.8,0.239,0.436,0.194,0.421,0.579,0.194,0.083,0.083,0.444,0.198,0.255,0.248,,,,71.0,92.0,74.0,,,,0.005,,,11.28,,91.5,0.0,0.0,0.0,,,,,,,96.0,100.0,91.0,0.23,-0.75,89.2,0.336,0.518,0.123,,,,,,,,,,,,,,,
2024/09/18,1:10 PM.,COL,AZ,away,Sunny.,82,596295,LF,3,1,1,1,0,0,0,0,2,1,0,.297,.382,.577,.959,596295,austingomber,Gomber,Left,Austin Gomber,COL,4.75,5.07,165.0,102.0,82.0,98.0,0.821,6.33,2.07,9.71,1.64,0.92,0.213,0.423,0.122,0.394,0.446,82.0,103.0,99.0,,,,71.0,98.0,91.0,91.0,103.0,102.0,0.404,0.167,,0.205,-1.23,-0.17,,-0.15,90.4,81.1,83.8,,0.305,0.6,0.096,0.22,0.368,0.269,0.28,0.409,0.273,0.274,0.513,0.22,,,,51.0,110.0,96.0,,,,0.001,,,-42.96,,90.1,,,,,,,,,,,,,,,,,,,93.0,109.0,107.0,0.224,-0.08,77.6,,,,,,,,,
2024/09/17,6:40 PM.,COL,AZ,away,Clear.,74,663372,LF,3,1,2,2,0,0,0,0,1,1,0,.296,.373,.574,.947,663372,ryanfeltner,Feltner,Right,Ryan Feltner,COL,4.49,4.31,162.1,100.0,97.0,99.0,0.781,7.65,2.88,9.15,1.11,1.28,0.226,0.394,0.158,0.327,0.452,117.0,95.0,102.0,108.0,107.0,113.0,81.0,102.0,96.0,109.0,99.0,104.0,0.37,0.254,0.101,0.147,0.63,-0.87,1.28,-1.02,94.6,85.2,87.4,79.2,0.24,0.376,0.177,0.164,0.26,0.248,0.299,0.485,0.394,0.355,0.523,0.226,,,,93.0,93.0,89.0,,,,0.128,,,-0.45,,94.2,0.299,0.403,0.159,,,,0.156,0.375,0.35,,,,,,,,,,,,,,,,,,,,,,,,
