date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSL/C,wCU/C,vFA,vFS,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,CH%,wFC/C,wSI/C,wCH/C,vFC,vCH,vSI,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,FO%,wFO/C,vFO
2024/09/29,12:11 PM.,OAK,SEA,home,Partly Cloudy.,56,687765,CF,4,1,1,1,0,0,1,0,0,0,2,.307,.381,.433,.814,687765,mitchspence,Spence,Right,Mitch Spence,OAK,4.58,4.14,151.1,103.0,100.0,101.0,0.792,7.49,2.62,9.81,1.19,1.4,0.179,0.472,0.137,0.309,0.406,118.0,117.0,117.0,,,,121.0,105.0,109.0,,,,,,0.326,0.121,,,0.01,-0.82,,,84.3,80.4,,,,0.278,0.493,0.276,,,,0.196,0.351,0.31,74.0,86.0,83.0,40.0,97.0,84.0,99.0,100.0,96.0,0.146,0.396,0.011,-0.41,-1.41,-7.88,90.7,88.4,91.9,0.571,0.857,0.0,0.278,0.472,0.176,0.338,0.403,0.16,,,,,,,,,,,,,,,
2024/09/28,6:41 PM.,OAK,SEA,home,Roof Closed.,55,683155,LF,5,0,2,1,0,0,0,1,0,0,3,.308,.382,.432,.814,683155,joeyestes,Estes,Right,Joey Estes,OAK,5.01,4.43,127.2,106.0,91.0,104.0,0.833,6.49,1.9,9.16,1.62,0.44,0.258,0.413,0.171,0.302,0.479,,,,80.0,106.0,99.0,114.0,113.0,117.0,,,,0.517,,0.332,,0.08,,-0.2,,92.4,,79.6,,0.257,0.469,0.175,0.261,0.435,0.223,,,,,,,78.0,93.0,94.0,61.0,93.0,83.0,111.0,89.0,91.0,0.034,0.007,0.111,-13.81,-1.55,-2.46,86.4,84.8,90.8,0.357,0.738,0.204,,,,0.263,0.579,0.147,0.217,0.367,0.216,,,,,,,,,,,,
2024/09/25,1:10 PM.,HOU,SEA,away,Roof Closed.,73,579328,RF,4,3,1,1,0,0,2,1,1,1,0,.306,.382,.429,.811,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,- - -,4.05,3.7,175.2,101.0,109.0,105.0,0.734,10.55,2.25,8.56,1.28,1.1,0.273,0.405,0.136,0.36,0.443,99.0,105.0,105.0,114.0,103.0,107.0,111.0,100.0,106.0,,,,0.471,,0.235,0.183,-0.08,,1.31,0.02,95.5,,88.3,82.4,0.274,0.505,0.28,0.21,0.28,0.297,,,,0.264,0.395,0.274,99.0,93.0,91.0,,,,,,,,,0.111,,,-0.15,,86.7,,0.194,0.25,0.358,,,,,,,,,,,,,,,,,,,,,
2024/09/24,7:12 PM.,HOU,SEA,away,Roof Closed.,73,664285,RF,5,0,0,0,0,0,0,0,0,2,1,.307,.382,.427,.809,664285,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,2.91,3.41,176.1,97.0,114.0,102.0,0.744,8.63,2.81,7.15,0.66,3.02,0.205,0.416,0.129,0.321,0.425,129.0,96.0,108.0,60.0,102.0,94.0,107.0,102.0,110.0,,,,0.012,,0.043,0.313,-4.64,,-0.2,1.59,94.5,,85.1,79.7,0.4,1.0,0.273,0.233,0.467,0.383,,,,0.121,0.187,0.398,130.0,96.0,104.0,98.0,99.0,97.0,,,,0.458,,0.175,,1.46,0.62,,89.9,94.1,0.226,0.278,0.354,,,,0.276,0.399,0.116,,,,,,,,,,,,,,,
2024/09/23,7:10 PM.,HOU,SEA,away,Roof Closed.,73,686613,RF,4,2,2,1,0,0,0,0,1,0,3,.314,.389,.436,.825,686613,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,3.49,3.31,170.0,101.0,103.0,101.0,0.778,9.48,3.18,8.26,0.95,1.61,0.271,0.35,0.192,0.218,0.421,,,,110.0,101.0,102.0,110.0,103.0,107.0,,,,0.347,,0.051,,0.16,,1.7,,96.0,,89.1,,0.244,0.413,0.288,0.2,0.2,0.236,,,,0.237,0.421,0.305,84.0,101.0,102.0,93.0,102.0,98.0,90.0,103.0,101.0,0.182,0.17,0.126,0.14,0.92,0.95,92.4,88.4,95.6,0.221,0.26,0.296,0.23,0.363,0.216,0.275,0.321,0.161,,,,127.0,100.0,106.0,0.125,-0.79,82.9,,,,,,
2024/09/22,1:37 PM.,TEX,SEA,away,Roof Closed.,74,571760,RF,5,1,1,0,0,0,2,1,0,1,2,.310,.385,.431,.816,571760,andrewheaney,Heaney,Left,Andrew Heaney,TEX,4.28,4.46,160.0,102.0,80.0,99.0,0.76,8.94,2.31,8.94,1.29,0.75,0.247,0.407,0.148,0.306,0.428,126.0,105.0,103.0,77.0,102.0,98.0,79.0,100.0,103.0,,,,0.501,,0.278,0.036,0.15,,-0.26,-3.31,91.5,,82.5,75.6,0.23,0.412,0.213,0.26,0.385,0.365,,,,0.5,1.1,0.188,83.0,102.0,94.0,34.0,82.0,74.0,20.0,51.0,51.0,0.014,0.001,0.17,-19.13,-4.52,0.46,86.6,83.7,92.2,0.239,0.384,0.243,,,,0.455,0.455,0.125,,,,,,,,,,,,,,,
2024/09/21,6:07 PM.,TEX,SEA,away,Roof Closed.,74,641540,DH,0,1,0,0,0,0,0,1,0,0,0,.313,.388,.436,.824,641540,danedunning,Dunning,Right,Dane Dunning,TEX,5.31,5.28,95.0,98.0,82.0,94.0,0.785,8.62,3.79,9.19,1.71,1.15,0.158,0.5,0.127,0.345,0.425,,,,40.0,103.0,91.0,102.0,100.0,97.0,,,,0.028,,0.234,,-2.6,,-1.44,,89.2,,80.6,,0.25,0.583,0.259,0.274,0.512,0.304,,,,0.0,0.0,0.429,83.0,94.0,86.0,79.0,102.0,97.0,74.0,99.0,94.0,0.377,0.188,0.125,-0.73,0.0,-1.22,88.1,85.0,89.7,0.233,0.488,0.327,0.254,0.46,0.242,0.276,0.442,0.133,,,,58.0,89.0,98.0,0.047,0.09,75.6,,,,0.001,-6.34,76.4
2024/09/20,7:07 PM.,TEX,SEA,away,Roof Closed.,74,594798,RF,4,2,2,0,0,0,1,1,0,1,1,.313,.388,.436,.824,594798,jacobdegrom,deGrom,Right,Jacob deGrom,TEX,1.69,2.51,10.2,110.0,143.0,122.0,0.711,11.81,0.84,9.28,0.84,0.83,0.25,0.321,0.321,0.393,0.459,125.0,117.0,108.0,138.0,116.0,127.0,154.0,105.0,119.0,,,,0.459,,0.453,0.029,-0.57,,0.51,0.17,97.3,,90.0,81.1,0.278,0.556,0.256,0.3,0.35,0.342,,,,,,,111.0,109.0,106.0,,,,,,,,,0.058,,,8.34,,90.5,,0.0,0.0,0.667,,,,,,,,,,,,,,,,,,,,,
2024/09/18,6:42 PM.,NYY,SEA,home,Clear.,65,641482,PR,0,0,0,0,0,0,0,0,0,0,0,.309,.388,.435,.823,641482,nestorcortes,Cortes,Left,Nestor Cortes,NYY,3.77,3.62,174.1,101.0,101.0,101.0,0.79,8.36,2.01,8.36,1.24,0.64,0.253,0.37,0.164,0.317,0.432,,,,99.0,103.0,100.0,99.0,98.0,101.0,,,,0.442,,0.168,,0.25,,-1.27,,92.1,,78.2,,0.235,0.443,0.215,0.364,0.727,0.167,,,,,,,86.0,102.0,94.0,86.0,116.0,113.0,109.0,100.0,102.0,0.014,0.28,0.097,1.32,1.37,-0.89,87.5,83.6,90.3,0.226,0.369,0.326,0.249,0.378,0.251,0.143,0.143,0.316,0.284,0.511,0.25,,,,,,,,,,,,
2024/09/17,6:41 PM.,NYY,SEA,home,Cloudy.,62,661563,DH,0,0,0,0,0,0,0,0,0,0,0,.309,.388,.435,.823,661563,luisgil,Gil,Right,Luis Gil,NYY,3.5,3.8,151.2,95.0,110.0,100.0,0.742,10.15,4.57,6.17,1.07,0.76,0.266,0.429,0.168,0.321,0.398,,,,128.0,96.0,102.0,108.0,94.0,105.0,,,,0.488,,0.259,,0.06,,1.37,,96.6,,87.5,,0.205,0.395,0.285,0.171,0.312,0.315,,,,,,,80.0,93.0,93.0,,,,,,,,,0.253,,,0.37,,91.6,,0.179,0.282,0.269,,,,,,,,,,,,,,,,,,,,,
