date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CU%,CH%,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFC,vCH,vSI,vSL,vCU,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FA,Loc+ FA,Pit+ FA,FA%,wFA/C,vFA,FF_ba,FF_slg,FF_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2024/04/29,6:39 PM.,PHI,LAA,home,Clear.,71,650911,CF,3,1,0,0,0,0,0,1,1,1,3,.220,.325,.541,.866,650911,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.32,3.56,181.2,103.0,97.0,106.0,0.78,7.58,2.18,9.02,0.54,2.67,0.214,0.418,0.178,0.285,0.426,97.0,105.0,116.0,,,,95.0,101.0,98.0,102.0,102.0,103.0,86.0,52.0,74.0,0.473,0.001,0.169,,0.357,2.59,-0.55,0.65,,1.56,86.5,85.1,94.5,84.4,,,,,,,,0.219,0.368,0.308,0.177,0.22,0.348,0.345,0.481,0.131,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/04/28,1:09 PM.,MIN,LAA,home,Sunny.,73,641154,DH,3,0,1,0,0,0,1,0,1,0,0,.226,.328,.557,.885,641154,pablolopez,"López, P",Right,Pablo López,MIN,4.08,3.67,185.1,104.0,98.0,105.0,0.749,9.62,1.99,8.74,1.26,1.19,0.245,0.438,0.134,0.298,0.432,95.0,104.0,105.0,92.0,103.0,108.0,97.0,107.0,107.0,106.0,103.0,110.0,,,,0.073,,0.219,0.1,0.201,,-2.77,-0.84,-1.28,-0.14,,88.5,94.5,84.5,82.4,,,,0.23,0.446,0.341,,,,0.281,0.359,0.249,0.426,0.639,0.142,0.239,0.436,0.331,97.0,105.0,101.0,0.407,1.65,95.0,0.208,0.352,0.259,,,,,,,,,,,,,,,
2024/04/27,6:38 PM.,MIN,LAA,home,Clear.,67,663978,CF,3,0,0,0,0,0,0,0,1,1,2,.223,.322,.563,.885,663978,chrispaddack,Paddack,Right,Chris Paddack,MIN,4.99,4.84,88.1,106.0,89.0,104.0,0.781,8.05,2.14,10.39,1.43,0.9,0.233,0.35,0.141,0.311,0.425,108.0,107.0,112.0,106.0,102.0,103.0,,,,71.0,97.0,96.0,,,,,,0.177,0.136,0.259,,,-0.21,-1.69,-1.51,,82.9,,85.9,78.2,,,,0.326,0.435,0.19,0.264,0.434,0.254,0.283,0.519,0.248,,,,,,,79.0,111.0,103.0,0.429,0.63,93.3,0.277,0.4,0.243,,,,,,,,,,,,,,,
2024/04/26,6:40 PM.,MIN,LAA,home,Partly Cloudy.,64,641927,CF,3,0,0,0,0,0,0,0,2,1,4,.230,.325,.580,.905,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.98,3.22,178.2,105.0,91.0,102.0,0.728,9.62,2.17,6.85,1.36,0.67,0.22,0.439,0.183,0.303,0.416,116.0,111.0,111.0,94.0,99.0,103.0,,,,74.0,100.0,101.0,84.0,104.0,100.0,,0.195,0.118,0.011,0.294,-0.86,,2.03,4.57,1.98,86.2,83.4,,80.3,76.0,0.279,0.504,0.229,0.0,0.0,0.375,0.095,0.162,0.307,0.154,0.285,0.395,,,,,,,81.0,104.0,96.0,0.381,-0.01,91.7,0.258,0.506,0.222,,,,,,,,,,,,,,,
2024/04/24,1:07 PM.,BAL,LAA,home,Cloudy.,67,665152,DH,4,1,1,0,0,1,1,0,0,1,1,.237,.321,.598,.919,665152,deankremer,Kremer,Right,Dean Kremer,BAL,4.1,4.49,129.2,100.0,88.0,98.0,0.798,8.54,3.54,7.63,1.25,0.99,0.25,0.394,0.231,0.285,0.423,,,,92.0,98.0,96.0,79.0,105.0,97.0,,,,99.0,102.0,98.0,0.151,0.23,,0.114,,0.33,0.67,,0.29,,86.9,,92.3,,77.0,0.25,0.355,0.237,0.225,0.3,0.198,,,,,,,0.247,0.353,0.072,,,,91.0,100.0,99.0,0.32,-0.18,93.4,0.245,0.503,0.232,72.0,99.0,99.0,0.184,0.73,84.1,0.139,0.248,0.36,,,,,,
2024/04/23,6:38 PM.,BAL,LAA,home,Partly Cloudy.,66,680570,CF,4,1,1,0,0,1,1,0,0,2,2,.237,.324,.581,.905,680570,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,BAL,3.86,3.72,116.2,102.0,119.0,107.0,0.728,10.03,2.78,8.41,1.16,1.07,0.219,0.419,0.147,0.325,0.452,140.0,101.0,108.0,114.0,103.0,107.0,133.0,102.0,111.0,118.0,101.0,108.0,,,,0.012,,0.158,0.155,0.21,,5.3,-0.96,0.29,1.63,,83.1,96.1,86.5,81.3,,,,0.26,0.38,0.241,0.25,0.563,0.361,0.161,0.306,0.348,0.167,0.333,0.294,,,,113.0,102.0,106.0,0.465,-0.38,96.1,0.291,0.413,0.269,,,,,,,,,,,,,,,
2024/04/22,6:38 PM.,BAL,LAA,home,Cloudy.,59,544150,CF,3,0,0,0,0,0,0,0,2,2,5,.236,.327,.562,.889,544150,albertsuarez,"Suárez, A",Right,Albert Suárez,BAL,3.7,4.05,133.2,100.0,89.0,97.0,0.786,7.27,2.9,8.75,1.14,0.8,0.241,0.426,0.136,0.304,0.391,99.0,100.0,106.0,94.0,99.0,98.0,,,,,,,74.0,99.0,92.0,,0.195,,0.132,0.172,0.73,,,0.41,-0.5,86.3,86.1,,,79.0,0.24,0.365,0.308,0.174,0.348,0.252,,,,0.274,0.434,0.228,,,,,,,90.0,101.0,96.0,0.5,-0.36,94.8,0.276,0.469,0.228,,,,,,,,,,,,,,,
2024/04/21,1:41 PM.,CIN,LAA,away,Cloudy.,49,593423,CF,4,0,0,0,0,0,0,0,0,0,1,.244,.323,.581,.904,593423,frankiemontas,Montas,Right,Frankie Montas,- - -,4.84,4.71,150.2,101.0,98.0,99.0,0.777,8.84,3.94,8.36,1.43,1.1,0.235,0.376,0.147,0.311,0.418,,,,,,,83.0,100.0,98.0,117.0,103.0,106.0,109.0,95.0,95.0,0.191,0.187,0.107,,,-1.4,1.13,-1.94,,,90.4,,94.8,85.4,,0.326,0.609,0.223,,,,0.288,0.577,0.325,,,,0.248,0.407,0.113,,,,83.0,105.0,98.0,0.332,-0.02,95.6,0.206,0.367,0.231,119.0,99.0,105.0,0.183,-0.23,86.0,0.218,0.297,0.426,,,,,,
2024/04/20,6:40 PM.,CIN,LAA,away,Partly Cloudy.,54,668933,CF,4,1,1,0,0,0,0,0,0,1,1,.256,.337,.610,.947,668933,grahamashcraft,Ashcraft,Right,Graham Ashcraft,CIN,5.24,5.18,77.1,98.0,113.0,96.0,0.795,6.63,3.14,10.36,1.28,1.54,0.273,0.369,0.154,0.285,0.43,87.0,78.0,79.0,,,,71.0,100.0,83.0,119.0,98.0,109.0,125.0,99.0,92.0,0.172,0.479,0.319,,0.03,-1.57,-2.72,1.37,,-3.78,95.6,90.5,94.8,88.4,,0.329,0.52,0.161,,,,0.145,0.217,0.372,0.333,0.333,0.2,0.333,0.5,0.119,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/04/19,6:40 PM.,CIN,LAA,away,Clear.,61,666157,CF,4,0,0,0,0,0,0,0,0,1,2,.256,.341,.628,.969,666157,nicklodolo,Lodolo,Left,Nick Lodolo,CIN,4.76,3.72,115.1,99.0,106.0,96.0,0.742,9.52,2.89,7.88,1.01,1.25,0.247,0.421,0.142,0.285,0.428,96.0,99.0,92.0,90.0,94.0,100.0,111.0,97.0,93.0,,,,,,,0.133,,,0.273,0.164,,0.99,,-0.75,-0.21,,88.1,94.1,,81.7,,,,0.217,0.302,0.429,,,,0.232,0.39,0.259,0.234,0.453,0.183,,,,119.0,103.0,97.0,0.43,0.11,94.1,0.241,0.407,0.23,,,,,,,,,,,,,,,
