date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC,FS_ba,FS_slg,FS_whiff
2024/09/29,3:06 PM.,BOS,TB,away,Cloudy.,69,682990,DH,4,0,3,0,0,0,1,0,0,1,2,.209,.287,.277,.564,682990,quinnpriester,Priester,Right,Quinn Priester,- - -,4.71,4.43,49.2,100.0,94.0,98.0,0.793,5.98,2.54,10.15,1.27,2.41,0.164,0.456,0.158,0.316,0.425,87.0,91.0,92.0,59.0,103.0,93.0,99.0,100.0,94.0,108.0,103.0,106.0,,,,0.302,0.144,,0.279,0.129,-1.72,,0.06,-0.99,1.51,93.0,,88.5,93.1,87.1,0.4,0.4,0.186,,,,,,,0.161,0.194,0.212,0.29,0.493,0.132,0.246,0.443,0.254,98.0,99.0,101.0,0.145,-1.2,80.6,0.375,0.5,0.438,,,,,,,,,,,,,,,
2024/09/26,1:10 PM.,DET,TB,away,Cloudy.,72,681857,LF,4,0,1,0,0,0,0,0,0,2,1,.199,.280,.268,.548,681857,reeseolson,Olson,Right,Reese Olson,DET,3.53,3.64,112.1,97.0,91.0,97.0,0.729,8.09,2.64,8.01,0.56,1.62,0.214,0.462,0.128,0.306,0.365,102.0,97.0,105.0,70.0,94.0,86.0,75.0,103.0,95.0,111.0,97.0,103.0,,,,0.205,0.234,,0.278,0.223,-0.39,,1.85,2.08,-0.05,94.2,,86.5,94.2,84.8,0.277,0.386,0.101,,,,,,,0.222,0.344,0.429,0.284,0.385,0.076,0.143,0.194,0.455,92.0,91.0,90.0,0.06,-3.32,79.0,0.304,0.652,0.295,,,,,,,,,,,,,,,
2024/09/25,6:40 PM.,DET,TB,away,Cloudy.,75,672456,PH,1,0,0,0,0,0,0,0,0,1,2,.198,.280,.269,.549,672456,keidermontero,Montero,Right,Keider Montero,DET,4.76,5.24,98.1,100.0,96.0,100.0,0.805,7.05,2.84,9.15,1.74,1.07,0.236,0.442,0.133,0.346,0.467,83.0,95.0,94.0,92.0,100.0,96.0,90.0,101.0,97.0,110.0,99.0,104.0,,,,0.078,0.421,,0.28,0.109,-0.19,,1.09,0.02,-2.78,94.8,,86.0,94.1,83.5,0.27,0.486,0.18,,,,,,,0.289,0.474,0.329,0.32,0.32,0.038,0.235,0.391,0.259,,,,,,,0.269,0.615,0.224,95.0,102.0,111.0,,,,,0.112,,-3.94,,78.8,,,
2024/09/22,1:40 PM.,TOR,TB,home,Dome.,72,621114,LF,3,0,1,0,0,0,0,0,1,1,0,.199,.281,.270,.551,621114,ryanburr,Burr,Right,Ryan Burr,TOR,4.13,3.56,32.2,99.0,98.0,102.0,0.694,12.95,3.31,7.99,1.1,0.72,0.225,0.45,0.138,0.4,0.375,,,,79.0,94.0,91.0,,,,111.0,102.0,108.0,,,,,0.395,,0.605,,-0.36,,,0.6,,94.1,,,,85.4,0.256,0.465,0.224,,,,,,,,,,,,,0.214,0.369,0.368,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/19,6:50 PM.,BOS,TB,home,Dome.,72,678394,LF,4,0,1,0,0,0,1,0,0,2,0,.197,.278,.269,.547,678394,brayanbello,Bello,Right,Brayan Bello,BOS,4.49,4.56,162.1,99.0,101.0,102.0,0.753,8.48,3.55,8.7,1.05,1.86,0.219,0.384,0.152,0.312,0.405,88.0,99.0,97.0,74.0,108.0,101.0,103.0,100.0,101.0,114.0,98.0,110.0,,,,0.403,0.048,,0.28,0.269,0.25,,-0.24,-0.58,0.15,95.6,,87.6,95.7,86.8,0.12,0.16,0.218,,,,,,,0.177,0.354,0.369,0.309,0.44,0.111,0.268,0.401,0.343,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/15,1:40 PM.,CLE,TB,away,Sunny.,82,594902,LF,3,0,0,0,0,0,0,0,0,1,4,.196,.278,.269,.547,594902,benlively,Lively,Right,Ben Lively,CLE,3.81,4.0,151.0,102.0,67.0,92.0,0.83,7.03,2.92,8.28,1.37,1.02,0.228,0.407,0.128,0.309,0.433,75.0,108.0,95.0,57.0,94.0,83.0,57.0,108.0,94.0,105.0,102.0,101.0,,,,0.29,0.314,,0.218,0.091,-0.21,,0.56,-0.01,-0.79,89.9,,83.9,90.4,79.4,0.268,0.504,0.166,,,,0.231,0.413,0.241,0.279,0.382,0.185,0.227,0.392,0.133,0.238,0.476,0.419,43.0,106.0,93.0,0.088,-0.11,76.9,0.206,0.365,0.18,,,,,,,,,,,,,,,
2024/09/14,6:10 PM.,CLE,TB,away,Clear.,80,676282,PH,0,0,0,0,0,0,0,0,1,0,0,.199,.282,.273,.555,676282,joeycantillo,Cantillo,Left,Joey Cantillo,CLE,4.89,3.83,38.2,95.0,97.0,93.0,0.721,10.24,3.49,8.15,1.4,1.39,0.212,0.462,0.154,0.346,0.436,94.0,90.0,96.0,96.0,91.0,87.0,,,,112.0,104.0,103.0,,,,,0.488,,0.084,0.276,-1.29,,,2.07,0.26,92.2,,77.8,,82.6,0.292,0.585,0.22,,,,,,,0.216,0.324,0.437,,,,0.188,0.375,0.424,95.0,109.0,105.0,0.152,1.01,76.2,0.172,0.276,0.271,,,,,,,,,,,,,,,
2024/09/13,7:11 PM.,CLE,TB,away,Clear.,76,676440,LF,2,0,0,0,0,0,0,0,0,0,0,.199,.279,.273,.552,676440,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.47,3.78,173.2,103.0,99.0,104.0,0.76,9.69,2.28,7.77,1.14,0.78,0.285,0.408,0.153,0.297,0.445,82.0,100.0,108.0,92.0,103.0,98.0,89.0,64.0,93.0,113.0,102.0,109.0,,,,0.003,0.434,,0.278,0.18,-0.69,,-1.41,1.74,0.13,94.6,,82.5,93.9,86.2,0.282,0.476,0.213,0.141,0.225,0.368,,,,0.238,0.431,0.291,,,,0.196,0.411,0.299,119.0,109.0,112.0,0.105,-0.9,81.3,0.208,0.458,0.184,,,,,,,,,,,,,,,
2024/09/11,6:40 PM.,PHI,TB,away,Clear.,79,554430,LF,3,1,0,0,0,0,0,0,1,3,1,.201,.281,.276,.557,554430,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.57,2.8,200.0,104.0,106.0,108.0,0.747,10.08,2.34,6.26,0.9,1.09,0.245,0.35,0.209,0.29,0.42,,,,101.0,106.0,109.0,111.0,103.0,107.0,128.0,106.0,115.0,92.0,97.0,94.0,0.192,0.416,0.093,0.125,,0.88,-0.23,2.68,1.04,,95.3,91.1,,94.6,84.9,0.209,0.395,0.296,0.226,0.371,0.183,0.152,0.273,0.335,,,,0.189,0.259,0.142,,,,110.0,101.0,107.0,0.1,-0.98,81.8,0.205,0.397,0.387,,,,94.0,110.0,110.0,0.074,,1.47,,86.1,,0.137,0.196,0.402
2024/09/10,6:42 PM.,PHI,TB,away,Clear.,80,624133,LF,5,0,1,0,0,0,0,0,0,0,7,.204,.282,.280,.562,624133,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,3.46,3.67,150.2,103.0,82.0,100.0,0.799,8.66,2.45,8.36,0.84,2.01,0.194,0.461,0.154,0.283,0.395,73.0,100.0,98.0,68.0,101.0,91.0,87.0,106.0,104.0,22.0,85.0,77.0,101.0,98.0,93.0,0.315,0.195,0.121,0.001,0.163,0.67,-1.68,0.84,-4.62,-0.63,91.8,86.5,80.0,90.8,81.3,0.224,0.327,0.18,0.302,0.642,0.162,,,,0.229,0.323,0.35,0.27,0.381,0.101,,,,84.0,107.0,108.0,0.205,1.02,74.4,0.189,0.342,0.339,,,,,,,,,,,,,,,
