date,time,series,result,opponent,team,location,weather,temp,opposingPitcherId,oppRuns,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,hits,atBats,stolenBases,rbi,leftOnBase,id,fullName,boxscoreName,PitchingHand,PlayerName,oppStarterIP,oppStarterH,oppStarterR,oppStarterER,oppStarterBB,oppStarterK,oppStarterHR,oppStarterP,oppStarterS,oppStarterERA,teamPitcherId,teamPitcherName,teamStarterIP,teamStarterER,teamStarterK,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,FA%,SL%,KC%,CH%,wFA/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSL,vKC,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,CU%,wFC/C,wSI/C,wCU/C,vFC,vSI,vCU,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff
2023/03/28,7:10 PM.,1,W,SUG,HOU,home,Partly Cloudy.,73,666215,1,5,3,0,1,9,5,7,30,0,5,14,666215,forrestwhitley,Whitley,Right,Forrest Whitley,3.2,2,1,1,0,5,0,56,39,2.45,677651,Luis Garcia,5.0,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/03/30,6:14 PM.,2,L,CWS,HOU,home,Roof Closed.,73,656302,3,2,0,0,1,13,2,4,30,1,1,10,656302,dylancease,Cease,Right,Dylan Cease,6.1,2,1,1,0,10,0,86,62,1.42,664285,Framber Valdez,5.0,0,4,CHW,4.58,4.13,177.0,97.0,115.0,104.0,0.705,10.88,4.02,8.75,0.97,0.92,0.243,0.432,0.173,0.341,0.376,60.0,90.0,78.0,125.0,95.0,103.0,120.0,101.0,108.0,83.0,94.0,99.0,0.432,0.386,0.152,0.03,-0.15,0.4,-1.83,1.0,95.6,74.6,86.3,80.2,0.216,0.339,0.433,0.273,0.436,0.205,0.298,0.538,0.249,0.111,0.111,0.5379999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/03/31,7:11 PM.,2,W,CWS,HOU,home,Roof Closed.,73,458681,3,6,1,0,1,8,7,7,28,2,6,15,458681,lancelynn,Lynn,Right,Lance Lynn,5.2,3,2,2,4,6,1,96,55,3.18,664299,Cristian Javier,5.0,3,6,- - -,5.73,4.86,183.2,102.0,94.0,100.0,0.74,9.36,3.28,9.26,2.16,0.82,0.241,0.419,0.17,0.32,0.403,56.0,95.0,90.0,92.0,105.0,104.0,97.0,98.0,106.0,,,,0.437,0.063,,0.07,-0.4,-3.65,,-1.23,92.4,84.9,83.0,,0.286,0.446,0.308,0.255,0.52,0.316,0.208,0.453,0.354,0.302,0.372,0.29600000000000004,109.0,97.0,106.0,93.0,95.0,87.0,104.0,105.0,99.0,0.126,0.23,0.074,-0.35,1.21,-2.24,88.7,91.4,80.8,0.273,0.512,0.267,0.239,0.394,0.177,,,,,,,,,,,,,,,,,,
2023/04/01,1:10 PM.,2,W,CWS,HOU,home,Roof Closed.,73,608337,4,6,1,0,0,8,3,11,36,1,6,25,608337,lucasgiolito,Giolito,Right,Lucas Giolito,5.0,5,3,2,1,6,0,97,63,3.60,664353,José Urquidy,4.0,3,5,- - -,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.343,0.413,99.0,100.0,107.0,84.0,100.0,95.0,107.0,105.0,104.0,,,,0.419,0.282,,0.283,-0.85,-0.25,,-0.2,93.1,80.9,84.0,,0.236,0.438,0.345,0.262,0.546,0.2,0.5,0.5,0.2,0.209,0.442,0.35200000000000004,81.0,76.0,78.0,,,,,,,,,0.015,,,-3.72,,,77.9,,,,,,,,,,,,,,,,,,,,,,,,
2023/04/02,1:11 PM.,2,L,CWS,HOU,home,Roof Closed.,73,605182,6,3,0,0,0,12,6,7,34,2,2,23,605182,mikeclevinger,Clevinger,Right,Mike Clevinger,5.0,3,0,0,3,8,0,98,60,0.00,677651,Luis Garcia,5.0,3,4,CHW,3.77,4.1,131.1,100.0,100.0,100.0,0.8,7.54,2.74,8.29,1.1,0.62,0.259,0.433,0.179,0.269,0.437,80.0,96.0,95.0,101.0,103.0,100.0,113.0,97.0,104.0,,,,0.479,0.271,,0.128,-0.21,0.5,,1.69,94.3,86.1,79.4,,0.203,0.366,0.306,0.283,0.494,0.174,0.167,0.167,0.2,0.175,0.206,0.293,80.0,96.0,97.0,91.0,100.0,90.0,90.0,100.0,100.0,0.024,0.082,0.016,-0.07,1.47,0.55,84.9,93.1,76.0,0.256,0.395,0.264,0.2,0.2,0.2,,,,,,,,,,,,,,,,,,
2023/04/03,7:11 PM.,3,L,DET,HOU,home,Clear.,73,571510,7,6,1,0,1,4,5,9,42,0,6,24,571510,matthewboyd,Boyd,Left,Matthew Boyd,4.1,2,2,2,3,3,0,76,43,4.15,686613,Hunter Brown,4.2,4,5,DET,5.45,4.24,71.0,98.0,86.0,96.0,0.717,9.25,3.17,8.75,1.39,0.9,0.222,0.394,0.153,0.32,0.379,87.0,97.0,101.0,81.0,102.0,94.0,95.0,95.0,96.0,,,,0.386,0.284,,0.186,-0.64,0.57,,0.56,91.4,80.2,79.6,,0.203,0.338,0.305,0.281,0.509,0.295,0.4,1.0,0.182,0.245,0.367,0.389,90.0,87.0,92.0,76.0,100.0,90.0,,,,0.07,,0.074,,2.52,-2.52,,90.8,73.8,,,,0.207,0.207,0.244,,,,,,,,,,,,,,,,,,
2023/04/04,7:11 PM.,3,L,DET,HOU,home,Roof Closed.,73,666159,6,3,0,0,1,6,3,10,34,0,3,14,666159,mattmanning,Manning,Right,Matt Manning,5.2,6,2,2,2,4,1,89,54,3.18,664285,Framber Valdez,7.0,2,9,DET,3.58,5.48,78.0,102.0,104.0,102.0,0.831,5.77,2.42,6.92,1.27,0.83,0.272,0.423,0.142,0.389,0.492,62.0,96.0,84.0,103.0,104.0,100.0,112.0,102.0,107.0,,,,0.478,0.315,,0.036,0.58,1.21,,0.93,93.4,87.7,81.9,,0.185,0.383,0.261,0.214,0.366,0.182,0.258,0.419,0.094,0.111,0.111,0.063,102.0,99.0,101.0,,,,,,,,,0.172,,,-0.9,,,79.5,,,,,,,,,,,,,,,,,,,,,,,,
2023/04/05,1:10 PM.,3,W,DET,HOU,home,Roof Closed.,73,593958,2,8,4,0,3,4,2,11,34,0,8,9,593958,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,4.2,6,4,4,2,1,2,95,58,6.30,664299,Cristian Javier,6.0,1,5,DET,3.3,4.04,152.2,103.0,83.0,97.0,0.781,8.43,2.83,7.55,0.88,1.1,0.279,0.407,0.152,0.311,0.429,91.0,102.0,103.0,73.0,101.0,91.0,103.0,107.0,106.0,,,,0.454,0.072,,0.189,0.65,3.12,,0.71,92.2,85.9,84.5,,0.089,0.178,0.395,0.278,0.431,0.222,,,,0.233,0.292,0.317,,,,84.0,117.0,107.0,90.0,101.0,98.0,0.093,0.192,,0.51,1.11,,88.8,92.4,,0.2,0.471,0.19399999999999998,0.165,0.228,0.135,,,,,,,,,,,,,,,,,,
2023/04/07,3:17 PM.,4,L,MIN,HOU,away,Sunny.,47,543243,3,2,2,0,0,16,2,5,34,0,2,12,543243,sonnygray,"Gray, So",Right,Sonny Gray,7.0,4,1,1,1,13,0,98,61,0.75,664353,José Urquidy,5.1,1,6,MIN,2.79,3.66,184.0,101.0,103.0,104.0,0.759,8.95,2.69,7.63,0.39,1.55,0.255,0.424,0.143,0.3,0.422,84.0,95.0,89.0,105.0,99.0,100.0,122.0,108.0,121.0,,,,0.271,0.205,0.001,0.067,0.61,3.25,-0.41,-0.63,92.9,87.9,84.3,72.9,0.096,0.117,0.413,0.301,0.422,0.16399999999999998,0.257,0.371,0.282,0.27,0.405,0.174,91.0,98.0,101.0,82.0,99.0,94.0,118.0,102.0,102.0,0.157,0.131,0.168,1.3,-0.46,0.87,87.6,92.8,79.6,0.265,0.368,0.278,0.275,0.413,0.177,,,,,,,,,,,,,,,,,,
2023/04/08,1:12 PM.,4,L,MIN,HOU,away,Sunny.,56,657746,9,6,0,0,2,17,1,7,35,0,6,5,657746,joeryan,Ryan,Right,Joe Ryan,6.0,3,4,4,1,10,1,81,53,3.75,677651,Luis Garcia,4.0,4,4,MIN,4.51,3.53,161.2,107.0,99.0,105.0,0.749,10.97,1.89,8.63,1.78,0.63,0.232,0.423,0.147,0.326,0.455,,,,102.0,112.0,108.0,102.0,88.0,94.0,,,,0.569,0.159,,,0.89,-2.12,,,92.3,,80.3,,0.32,0.56,0.24100000000000002,0.24,0.457,0.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,104.0,102.0,0.272,-0.3,83.9,0.242,0.415,0.213,,,,,,,,,
