date,time,series,result,opponent,team,location,weather,temp,opposingPitcherId,oppRuns,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,hits,atBats,stolenBases,rbi,leftOnBase,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,oppStarterIP,oppStarterH,oppStarterR,oppStarterER,oppStarterBB,oppStarterK,oppStarterHR,oppStarterP,oppStarterS,oppStarterERA,teamPitcherId,teamPitcherName,teamStarterIP,teamStarterER,teamStarterK,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,KC%,wFC/C,wKC/C,vFC,vKC,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ FS,Loc+ FS,Pit+ FS,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C
2023/03/28,1:08 PM.,1,W,KC,TEX,home,Roof Closed.,74,663903,3,5,2,1,0,8,4,8,30,2,3,15,663903,bradysinger,Singer,Right,Brady Singer,KCR,5.52,4.93,159.2,100.0,84.0,95.0,0.789,7.5,2.76,10.26,1.13,1.62,0.23,0.439,0.119,0.387,0.443,53.0,96.0,88.0,89.0,-304.0,-276.0,86.0,99.0,90.0,86.0,101.0,104.0,0.51,0.002,0.426,0.063,-2.24,-1.24,0.01,-0.3,90.9,87.7,92.1,84.0,0.339,0.555,0.113,0.0,0.0,0.6,0.265,0.353,0.10400000000000001,5.0,4,1,1,1,5,0,68,43,2.13,527048,Martín Pérez,5.0,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/03/30,3:09 PM.,2,W,PHI,TEX,home,Cloudy.,69,605400,7,11,1,0,2,8,6,10,32,1,10,7,605400,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,4.46,3.71,193.2,107.0,101.0,106.0,0.76,9.39,2.09,8.27,1.49,1.13,0.215,0.477,0.156,0.323,0.419,70.0,111.0,103.0,95.0,107.0,103.0,100.0,107.0,101.0,,,,0.188,0.295,,0.126,-0.03,0.46,,0.14,92.7,85.9,91.8,,0.279,0.416,0.106,,,,0.22,0.319,0.319,3.2,4,5,5,2,4,1,72,48,12.27,594798,Jacob deGrom,3.2,5,7,118.0,105.0,113.0,111.0,110.0,105.0,0.075,0.316,0.4,0.47,86.3,79.4,0.221,0.398,0.33299999999999996,0.246,0.503,0.217,0.246,0.508,0.301,,,,,,,,,,,,,,,,,,,,,
2023/04/01,3:07 PM.,2,W,PHI,TEX,home,Sunny.,71,554430,3,16,2,0,3,12,6,17,40,0,15,23,554430,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,3.61,3.18,192.0,105.0,107.0,110.0,0.74,9.94,1.83,7.88,0.94,1.07,0.279,0.38,0.214,0.313,0.421,48.0,106.0,77.0,112.0,109.0,114.0,105.0,105.0,107.0,107.0,101.0,111.0,0.18,0.435,0.123,0.004,1.69,1.62,0.36,-6.22,95.8,90.8,95.2,84.4,0.252,0.308,0.192,0.198,0.36,0.392,,,,4.1,7,5,4,1,7,1,94,55,8.31,543135,Nathan Eovaldi,5.0,3,6,,,,96.0,102.0,102.0,0.144,,-0.63,,90.9,,0.264,0.473,0.33,0.199,0.333,0.314,0.27,0.426,0.228,116.0,105.0,114.0,0.115,-1.61,81.4,,,,,,,,,,,,,,,
2023/04/02,6:08 PM.,2,W,PHI,TEX,home,Roof Closed.,72,663559,1,2,1,0,1,6,0,8,30,0,2,13,663559,baileyfalter,Falter,Left,Bailey Falter,- - -,5.36,4.93,80.2,104.0,76.0,97.0,0.844,6.69,2.23,10.49,1.9,1.06,0.247,0.408,0.157,0.307,0.474,59.0,92.0,77.0,72.0,105.0,96.0,77.0,103.0,92.0,77.0,105.0,100.0,0.072,0.444,0.189,0.046,-0.08,-1.63,-1.91,-0.8,90.7,84.6,90.7,84.5,0.333,0.571,0.133,0.288,0.746,0.19899999999999998,0.273,0.364,0.33299999999999996,5.1,7,2,2,0,3,1,72,49,3.38,527048,Martín Pérez,5.2,1,7,,,,,,,,,,,,,0.267,0.493,0.209,0.305,0.435,0.156,,,,87.0,108.0,105.0,0.225,-0.85,76.5,0.024,3.65,85.0,0.0,0.0,0.33299999999999996,,,,,,,,,
2023/04/03,7:08 PM.,3,L,BAL,TEX,home,Roof Closed.,74,680694,2,0,0,0,0,7,1,1,29,0,0,9,680694,kylebradish,Bradish,Right,Kyle Bradish,BAL,2.83,3.77,168.2,103.0,126.0,105.0,0.759,8.96,2.35,7.04,0.75,1.61,0.258,0.336,0.116,0.269,0.432,97.0,100.0,98.0,101.0,96.0,96.0,88.0,104.0,98.0,171.0,105.0,116.0,0.207,0.224,0.313,0.083,-1.0,1.53,1.77,-0.36,94.5,90.8,95.0,88.1,0.23,0.367,0.15,0.168,0.272,0.364,0.259,0.37,0.114,1.2,1,0,0,1,2,0,28,17,0.00,592351,Jon Gray,6.1,2,7,,,,,,,,,,,,,0.142,0.165,0.35600000000000004,0.366,0.602,0.15,,,,135.0,105.0,109.0,0.173,3.99,84.8,,,,,,,,,,,,,,,
2023/04/04,7:07 PM.,3,L,BAL,TEX,home,Roof Closed.,74,502043,7,2,1,0,2,8,1,7,32,0,2,10,502043,kylegibson,Gibson,Right,Kyle Gibson,BAL,4.73,4.8,192.0,100.0,93.0,97.0,0.768,7.36,2.58,9.28,1.08,1.57,0.205,0.452,0.136,0.311,0.394,88.0,99.0,96.0,78.0,96.0,89.0,93.0,101.0,97.0,110.0,105.0,107.0,0.261,0.134,0.184,0.17,-0.69,-0.08,2.01,-0.29,92.1,85.5,91.9,81.6,0.289,0.459,0.11,0.147,0.228,0.47100000000000003,0.288,0.453,0.29100000000000004,7.0,6,2,2,0,5,2,88,58,4.50,571760,Andrew Heaney,2.2,7,2,,,,90.0,95.0,92.0,0.166,,-1.02,,89.8,,0.279,0.419,0.40399999999999997,0.287,0.55,0.156,0.345,0.552,0.154,90.0,102.0,99.0,0.084,0.01,79.5,,,,,,,,,,,,,,,
2023/04/05,1:07 PM.,3,W,BAL,TEX,home,Roof Closed.,74,680570,2,5,2,0,1,9,1,9,33,0,5,12,680570,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,BAL,4.35,4.21,122.0,102.0,117.0,108.0,0.759,9.52,3.1,8.93,1.18,1.4,0.226,0.408,0.12,0.372,0.44,110.0,102.0,115.0,116.0,104.0,106.0,,,,126.0,103.0,114.0,,0.496,0.148,0.224,-0.83,,1.92,1.7,97.4,83.9,,82.4,,,,0.153,0.169,0.34,0.201,0.318,0.28300000000000003,5.0,4,2,2,1,5,0,83,53,3.60,594798,Jacob deGrom,6.0,1,11,,,,76.0,90.0,86.0,0.052,,-1.59,,90.0,,0.176,0.353,0.281,0.342,0.535,0.24100000000000002,0.333,0.889,0.14300000000000002,146.0,97.0,101.0,0.081,-0.49,79.9,,,,,,,,,,,,,,,
2023/04/07,1:20 PM.,4,L,CHC,TEX,away,Sunny.,43,573186,2,0,1,0,0,11,3,3,29,0,0,12,573186,marcusstroman,Stroman,Right,Marcus Stroman,CHC,3.95,4.27,136.2,100.0,101.0,99.0,0.793,7.84,3.42,7.9,0.59,2.6,0.207,0.434,0.135,0.302,0.382,,,,58.0,106.0,91.0,102.0,97.0,95.0,78.0,111.0,109.0,0.464,0.082,0.051,,0.34,1.08,-0.41,,92.0,,91.4,86.1,0.245,0.332,0.14300000000000002,0.184,0.237,0.322,,,,6.0,2,0,0,3,6,0,89,52,0.00,543135,Nathan Eovaldi,5.2,2,6,,,,105.0,96.0,98.0,0.096,,0.96,,89.7,,,,,0.154,0.256,0.32,0.26,0.42,0.242,139.0,103.0,111.0,0.23,0.34,84.6,0.077,0.12,86.6,0.205,0.308,0.324,46.0,95.0,91.0,0.24,0.38,0.301,,,
2023/04/08,3:05 PM.,4,L,CHC,TEX,away,Sunny.,57,657006,10,3,2,0,0,6,6,7,34,0,3,21,657006,justinsteele,Steele,Left,Justin Steele,CHC,3.06,3.5,173.1,102.0,99.0,102.0,0.781,9.14,1.87,8.67,0.73,1.7,0.243,0.433,0.179,0.278,0.467,69.0,85.0,78.0,88.0,102.0,98.0,45.0,95.0,88.0,123.0,104.0,111.0,0.018,0.626,0.339,0.01,0.67,0.89,0.54,-1.94,91.8,87.5,92.2,83.3,0.25,0.333,0.16699999999999998,0.217,0.346,0.311,0.4,0.4,0.1,6.0,4,1,1,4,3,0,96,60,0.75,527048,Martín Pérez,5.0,2,5,,,,,,,,,,,,,0.0,0.0,0.33299999999999996,0.275,0.393,0.203,,,,87.0,98.0,109.0,0.006,2.44,80.7,,,,,,,,,,,,,,,
2023/04/09,1:19 PM.,4,W,CHC,TEX,away,Partly Cloudy.,63,592791,2,8,5,1,0,10,2,10,39,1,7,16,592791,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,4.84,4.7,154.1,106.0,99.0,104.0,0.804,8.16,2.39,9.1,1.57,0.88,0.22,0.418,0.177,0.311,0.437,82.0,94.0,98.0,87.0,104.0,97.0,97.0,107.0,97.0,117.0,113.0,122.0,0.102,0.342,0.154,0.031,-0.69,0.9,0.75,-0.22,93.7,86.5,93.9,80.9,0.296,0.394,0.133,0.233,0.333,0.27399999999999997,0.28,0.44,0.106,5.0,6,5,4,1,7,0,83,55,7.00,592351,Jon Gray,5.2,2,4,,,,101.0,102.0,99.0,0.222,,-0.32,,88.6,,0.198,0.349,0.2,0.261,0.553,0.204,0.311,0.521,0.27399999999999997,109.0,111.0,113.0,0.149,-0.12,80.5,,,,,,,,,,,,,,,
