date,time,series,result,opponent,team,location,weather,temp,opposingPitcherId,oppRuns,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,hits,atBats,stolenBases,rbi,leftOnBase,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,SI%,FA%,CU%,CH%,wFA/C,wSI/C,wCU/C,wCH/C,vFA,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,SV_ba,SV_slg,SV_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,oppStarterIP,oppStarterH,oppStarterR,oppStarterER,oppStarterBB,oppStarterK,oppStarterHR,oppStarterP,oppStarterS,oppStarterERA,teamPitcherId,teamPitcherName,teamStarterIP,teamStarterER,teamStarterK,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,wFC/C,wFS/C,vFC,vFS,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,vKN (sc),KN%,wKN/C,FO%,wFO/C,vFO
2023/03/28,12:07 PM.,1,W,TOR,PHI,home,Partly Cloudy.,79,621244,5,6,1,0,0,13,4,8,30,0,5,7,621244,joseberrios,Berríos,Right,José Berríos,TOR,3.65,4.51,189.2,104.0,100.0,103.0,0.764,8.73,2.47,8.21,1.19,1.12,0.225,0.406,0.151,0.311,0.418,90.0,104.0,101.0,116.0,104.0,110.0,96.0,103.0,99.0,92.0,104.0,99.0,0.315,0.204,0.296,0.185,0.72,0.61,0.31,-0.38,94.3,84.1,93.8,82.6,0.255,0.398,0.131,0.216,0.357,0.305,0.245,0.409,0.33,0.254,0.456,0.276,4.2,3,4,4,3,4,0,76,48,4.30,663559,Bailey Falter,1.2,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/03/30,3:09 PM.,2,L,TEX,PHI,away,Cloudy.,69,594798,11,7,4,3,1,13,2,12,39,1,6,10,594798,jacobdegrom,deGrom,Right,Jacob deGrom,TEX,2.67,1.87,30.1,106.0,161.0,117.0,0.603,13.35,1.19,5.64,0.59,0.83,0.333,0.273,0.212,0.212,0.371,132.0,101.0,106.0,133.0,116.0,132.0,155.0,104.0,112.0,,,,,0.521,0.02,0.089,2.0,,6.08,3.57,98.7,91.4,,84.8,,,,,,,0.1,0.1,0.318,0.177,0.339,0.35,3.2,6,5,5,0,7,1,73,49,12.27,605400,Aaron Nola,3.2,5,4,179.0,110.0,125.0,0.37,0.39,91.8,0.189,0.378,0.5329999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/04/01,3:07 PM.,2,L,TEX,PHI,away,Sunny.,71,543135,16,3,4,1,0,7,3,9,34,1,3,15,543135,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.63,3.98,144.0,100.0,101.0,98.0,0.758,8.25,2.94,7.31,0.94,1.59,0.196,0.469,0.14,0.367,0.397,,,,99.0,104.0,102.0,92.0,97.0,93.0,,,,,0.372,0.135,,0.41,,0.86,,95.1,,,76.0,,,,,,,,,,0.234,0.423,0.183,5.0,6,3,3,2,6,0,82,49,5.40,554430,Zack Wheeler,4.1,4,7,101.0,113.0,109.0,0.04,-3.23,83.9,0.303,0.606,0.13699999999999998,86.0,98.0,92.0,125.0,101.0,106.0,0.176,0.276,1.33,1.26,90.6,87.9,0.196,0.314,0.355,0.238,0.417,0.198,0.2,0.22,0.41700000000000004,,,,,,,,,,,,
2023/04/02,6:08 PM.,2,L,TEX,PHI,away,Roof Closed.,72,527048,2,1,2,0,0,8,3,9,33,0,0,16,527048,martinperez,"Pérez, M",Left,Martín Pérez,TEX,4.45,4.9,141.2,104.0,74.0,95.0,0.837,5.91,3.11,9.53,1.33,1.28,0.223,0.431,0.139,0.294,0.399,71.0,110.0,99.0,78.0,101.0,100.0,75.0,102.0,99.0,73.0,102.0,95.0,0.428,0.04,0.037,0.265,3.25,0.44,3.35,-0.75,91.8,84.1,91.6,79.1,0.244,0.394,0.09699999999999999,,,,0.316,0.447,0.278,0.167,0.222,0.146,5.2,8,1,1,3,7,0,98,60,1.59,663559,Bailey Falter,5.1,2,3,88.0,94.0,96.0,0.01,2.0,83.4,0.0,0.0,0.2,79.0,99.0,88.0,,,,0.221,,-2.02,,89.2,,,,,0.342,0.64,0.11699999999999999,0.063,0.063,0.353,,,,,,,,,,,,
2023/04/03,7:08 PM.,3,L,NYY,PHI,away,Partly Cloudy.,53,641482,8,1,2,0,0,7,0,11,37,0,1,18,641482,nestorcortes,Cortes,Left,Nestor Cortes,NYY,4.97,3.66,63.1,103.0,104.0,104.0,0.79,9.52,2.84,8.38,1.56,0.46,0.233,0.432,0.176,0.29,0.441,92.0,111.0,110.0,,,,102.0,106.0,106.0,138.0,99.0,111.0,0.005,0.521,,0.028,0.68,4.05,,-6.99,91.6,83.4,89.3,,,,,,,,0.5,0.6,0.294,0.213,0.352,0.249,5.0,7,1,1,0,3,0,80,55,1.80,592836,Taijuan Walker,4.1,4,5,92.0,103.0,103.0,0.158,-1.47,76.9,0.2,0.2,0.429,110.0,102.0,102.0,,,,0.288,,0.39,,86.6,,,,,0.26,0.545,0.20600000000000002,,,,,,,,,,,,,,,
2023/04/04,7:09 PM.,3,W,NYY,PHI,away,Cloudy.,65,593334,1,4,1,0,2,12,1,10,37,1,4,10,593334,domingogerman,Germán,Right,Domingo Germán,NYY,4.56,4.3,108.2,100.0,92.0,98.0,0.707,9.44,2.82,6.87,1.66,0.97,0.159,0.486,0.166,0.328,0.416,96.0,98.0,95.0,94.0,102.0,104.0,89.0,100.0,97.0,82.0,95.0,87.0,0.105,0.277,0.409,0.209,-1.75,0.95,1.5,1.01,92.3,85.8,92.4,82.9,0.15,0.325,0.13,,,,0.2,0.306,0.322,0.321,0.741,0.19,4.2,4,4,4,0,8,2,75,52,7.71,621381,Matt Strahm,4.0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174,0.344,0.39299999999999996,,,,,,,,,,,,
2023/04/05,1:08 PM.,3,L,NYY,PHI,away,Drizzle.,48,543037,4,2,1,0,1,12,3,5,29,0,2,5,543037,gerritcole,Cole,Right,Gerrit Cole,NYY,2.63,3.48,209.0,104.0,121.0,109.0,0.765,9.56,2.07,6.76,0.86,1.01,0.243,0.366,0.151,0.311,0.425,72.0,100.0,96.0,,,,125.0,104.0,108.0,,,,,0.53,,0.071,1.66,,,-0.54,96.7,89.1,,,,,,,,,0.235,0.51,0.28600000000000003,0.201,0.332,0.228,6.1,3,1,1,3,8,0,103,68,0.73,605400,Aaron Nola,6.0,3,5,136.0,105.0,114.0,0.208,1.69,89.1,0.186,0.251,0.327,107.0,103.0,102.0,,,,0.07,,0.61,,92.7,,,,,0.262,0.377,0.311,0.215,0.269,0.244,114.0,103.0,113.0,0.121,0.94,82.9,,,,,,
2023/04/07,3:06 PM.,4,W,CIN,PHI,home,Partly Cloudy.,57,668881,2,5,3,0,2,9,4,10,34,1,5,17,668881,huntergreene,"Greene, H",Right,Hunter Greene,CIN,4.82,3.82,112.0,103.0,124.0,107.0,0.725,12.21,3.86,8.92,1.53,0.74,0.241,0.407,0.128,0.345,0.42,69.0,88.0,90.0,,,,127.0,103.0,105.0,,,,,0.544,,0.053,-0.95,,,-2.39,98.3,91.1,,,,,,,,,0.304,0.478,0.242,0.265,0.518,0.252,4.2,5,2,2,3,5,0,93,57,5.63,554430,Zack Wheeler,5.1,2,5,126.0,104.0,112.0,0.404,0.16,87.3,0.229,0.416,0.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/04/08,4:07 PM.,4,W,CIN,PHI,home,Cloudy.,53,666157,2,3,1,0,0,15,3,6,30,1,3,11,666157,nicklodolo,Lodolo,Left,Nick Lodolo,CIN,6.29,4.83,34.1,101.0,97.0,98.0,0.722,12.32,2.62,13.11,2.62,1.24,0.304,0.382,0.137,0.314,0.412,78.0,99.0,88.0,97.0,94.0,97.0,103.0,106.0,100.0,92.0,102.0,101.0,0.053,0.464,0.358,0.125,-0.45,-7.52,-2.74,-4.06,93.2,87.3,93.4,79.6,0.7,1.0,0.0,,,,0.471,0.706,0.326,0.297,0.578,0.19,7.0,3,0,0,2,12,0,106,68,1.50,663559,Bailey Falter,5.0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.286,0.536,0.45,,,,,,,,,,,,
2023/04/09,1:21 PM.,4,L,CIN,PHI,home,Sunny.,58,656818,6,4,1,1,1,9,3,7,30,1,4,7,656818,connoroverton,Overton,Right,Connor Overton,CIN,11.45,6.61,11.0,93.0,77.0,89.0,0.734,7.36,5.73,15.55,2.45,0.94,0.179,0.564,0.103,0.308,0.412,64.0,94.0,92.0,,,,76.0,101.0,89.0,83.0,90.0,82.0,0.135,0.275,,0.235,-1.27,-2.74,,-3.39,91.1,84.5,90.6,,0.667,0.667,0.1,,,,0.308,0.692,0.28,0.308,0.615,0.24,4.0,6,4,4,3,4,1,65,42,10.13,592836,Taijuan Walker,4.2,2,5,98.0,96.0,102.0,0.23,-8.32,81.5,0.8,1.8,0.16699999999999998,61.0,63.0,64.0,,,,0.125,,-6.73,,88.7,,,,,0.5,1.25,0.0,,,,,,,,,,,,,,,
