date,time,series,result,opponent,team,location,weather,temp,opposingPitcherId,oppRuns,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,hits,atBats,stolenBases,rbi,leftOnBase,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,oppStarterIP,oppStarterH,oppStarterR,oppStarterER,oppStarterBB,oppStarterK,oppStarterHR,oppStarterP,oppStarterS,oppStarterERA,teamPitcherId,teamPitcherName,teamStarterIP,teamStarterER,teamStarterK,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FO%,wFO/C,vFO,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C
2023/03/30,4:13 PM.,1,L,NYM,MIA,home,Roof Closed.,76,453286,5,3,3,0,1,12,2,5,30,0,3,8,453286,maxscherzer,Scherzer,Right,Max Scherzer,- - -,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.412,0.183,0.319,0.434,94.0,106.0,106.0,96.0,101.0,104.0,104.0,101.0,101.0,106.0,108.0,108.0,98.0,108.0,99.0,0.463,0.104,0.168,0.124,0.141,0.72,2.12,-0.21,0.51,0.03,93.7,88.4,83.8,84.0,75.4,0.255,0.458,0.23800000000000002,0.25,0.545,0.364,0.207,0.283,0.275,0.187,0.373,0.326,0.135,0.243,0.33299999999999996,6.0,4,3,3,2,6,1,91,63,4.50,645261,Sandy Alcantara,5.2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/03/31,6:44 PM.,1,W,NYM,MIA,home,Partly Cloudy.,80,656849,1,2,0,1,2,5,1,10,32,0,2,15,656849,davidpeterson,"Peterson, D",Left,David Peterson,NYM,5.03,4.96,111.0,97.0,90.0,94.0,0.727,10.38,4.05,10.05,1.3,2.18,0.256,0.422,0.13,0.338,0.378,84.0,97.0,93.0,89.0,97.0,99.0,76.0,95.0,87.0,105.0,99.0,102.0,,,,0.273,,0.197,0.088,0.189,-0.83,,-2.58,2.63,-1.35,92.7,,85.3,85.3,78.6,0.287,0.425,0.281,0.268,0.472,0.39399999999999996,0.325,0.55,0.309,0.2,0.2,0.365,,,,5.0,8,1,1,1,5,1,84,51,1.80,666200,Jesús Luzardo,5.2,0,5,97.0,97.0,95.0,0.253,0.66,91.5,0.314,0.486,0.165,,,,,,,,,,,,,,,,,,,,,,,,
2023/04/01,4:10 PM.,1,L,NYM,MIA,home,Roof Closed.,72,656731,6,2,2,0,1,12,3,10,36,0,2,18,656731,tylormegill,Megill,Right,Tylor Megill,NYM,4.7,5.85,126.1,97.0,90.0,95.0,0.789,7.48,4.13,10.04,1.28,1.25,0.275,0.345,0.123,0.32,0.414,88.0,97.0,98.0,101.0,91.0,96.0,86.0,95.0,89.0,96.0,103.0,106.0,,,,0.557,,0.206,0.086,0.149,-0.4,,-1.04,-0.05,-0.09,94.9,,87.9,84.4,77.2,0.314,0.494,0.184,0.264,0.445,0.311,0.264,0.396,0.24100000000000002,0.167,0.167,0.354,,,,5.0,6,2,2,2,7,1,93,54,3.60,665795,Edward Cabrera,4.0,2,2,,,,,,,,,,116.0,83.0,118.0,0.002,5.58,86.1,,,,,,,,,,,,,,,,,,
2023/04/02,1:41 PM.,1,L,NYM,MIA,home,Roof Closed.,72,673540,5,1,1,0,0,12,5,4,29,0,1,17,673540,kodaisenga,Senga,Right,Kodai Senga,NYM,2.98,3.87,166.1,95.0,97.0,97.0,0.721,10.93,4.17,6.82,0.92,1.23,0.252,0.416,0.161,0.333,0.382,,,,91.0,90.0,87.0,109.0,97.0,97.0,100.0,93.0,102.0,93.0,95.0,93.0,0.37,0.25,0.116,0.027,,0.17,2.52,-0.96,-0.23,,95.7,90.8,,82.7,72.8,0.244,0.399,0.17300000000000001,0.333,0.952,0.245,,,,0.125,0.5,0.444,0.244,0.339,0.182,5.1,3,1,1,3,8,0,88,53,1.69,669432,Trevor Rogers,4.1,3,4,,,,,,,,,,,,,,,,0.237,0.95,83.2,0.11,0.147,0.595,,,,,,,,,,,,
2023/04/03,6:42 PM.,2,L,MIN,MIA,home,Partly Cloudy.,83,641816,11,1,2,0,0,11,1,12,36,0,1,19,641816,tylermahle,Mahle,Right,Tyler Mahle,MIN,3.16,3.23,25.2,106.0,111.0,105.0,0.774,9.82,1.75,7.71,1.75,0.84,0.232,0.348,0.203,0.246,0.359,,,,,,,122.0,104.0,105.0,104.0,101.0,102.0,44.0,122.0,104.0,0.518,0.021,0.264,,,1.08,12.66,-0.02,,,92.6,84.7,,83.8,,0.25,0.455,0.179,0.219,0.313,0.255,,,,,,,,,,5.0,5,1,1,1,7,0,83,53,1.80,456501,Johnny Cueto,1.0,4,0,,,,,,,,,,100.0,116.0,112.0,0.197,-1.89,84.9,,,,0.211,0.579,0.37200000000000005,,,,,,,,,,,,
2023/04/04,6:43 PM.,2,W,MIN,MIA,home,Clear.,83,628317,0,1,0,0,1,12,1,3,26,1,1,5,628317,kentamaeda,Maeda,Right,Kenta Maeda,MIN,4.23,3.74,104.1,103.0,105.0,102.0,0.735,10.09,2.42,8.11,1.47,0.69,0.225,0.389,0.1,0.336,0.399,,,,94.0,96.0,95.0,76.0,102.0,91.0,105.0,99.0,103.0,,,,0.274,,0.306,0.036,,0.35,,-0.07,-2.4,,91.0,,,81.6,76.4,0.275,0.451,0.251,0.206,0.471,0.28800000000000003,,,,0.333,0.667,0.063,,,,5.0,3,1,1,0,9,1,79,54,1.80,645261,Sandy Alcantara,9.0,0,5,73.0,107.0,96.0,0.064,-0.88,90.3,0.385,0.538,0.128,138.0,107.0,112.0,0.319,1.6,84.1,,,,0.182,0.263,0.35,,,,,,,,,,,,
2023/04/05,1:10 PM.,2,W,MIN,MIA,home,Partly Cloudy.,84,641154,2,5,0,0,2,10,1,7,29,1,5,4,641154,pablolopez,"López, P",Right,Pablo López,MIN,3.66,3.0,194.0,107.0,99.0,109.0,0.717,10.86,2.23,8.16,1.11,1.25,0.208,0.438,0.175,0.295,0.428,90.0,108.0,109.0,93.0,110.0,114.0,100.0,108.0,105.0,111.0,106.0,114.0,,,,0.345,,0.214,0.125,0.211,0.1,,1.34,0.25,-0.17,94.9,,88.4,84.4,82.5,0.268,0.468,0.315,0.173,0.287,0.366,0.257,0.41,0.284,0.202,0.33,0.364,,,,7.0,3,1,1,1,8,1,88,60,0.73,666200,Jesús Luzardo,7.0,1,10,98.0,105.0,104.0,0.106,2.08,94.5,0.278,0.342,0.126,,,,,,,,,,,,,,,,,,,,,,,,
2023/04/07,1:13 PM.,3,L,NYM,MIA,away,Cloudy.,56,656731,9,3,1,0,1,7,4,6,31,0,3,9,656731,tylormegill,Megill,Right,Tylor Megill,NYM,4.7,5.85,126.1,97.0,90.0,95.0,0.789,7.48,4.13,10.04,1.28,1.25,0.275,0.345,0.123,0.32,0.414,88.0,97.0,98.0,101.0,91.0,96.0,86.0,95.0,89.0,96.0,103.0,106.0,,,,0.557,,0.206,0.086,0.149,-0.4,,-1.04,-0.05,-0.09,94.9,,87.9,84.4,77.2,0.314,0.494,0.184,0.264,0.445,0.311,0.264,0.396,0.24100000000000002,0.167,0.167,0.354,,,,6.0,3,0,0,2,3,0,88,51,1.64,665795,Edward Cabrera,2.2,2,4,,,,,,,,,,116.0,83.0,118.0,0.002,5.58,86.1,,,,,,,,,,,,,,,,,,
2023/04/08,4:11 PM.,3,L,NYM,MIA,away,Cloudy.,52,673540,5,2,0,0,1,7,5,5,32,0,2,14,673540,kodaisenga,Senga,Right,Kodai Senga,NYM,2.98,3.87,166.1,95.0,97.0,97.0,0.721,10.93,4.17,6.82,0.92,1.23,0.252,0.416,0.161,0.333,0.382,,,,91.0,90.0,87.0,109.0,97.0,97.0,100.0,93.0,102.0,93.0,95.0,93.0,0.37,0.25,0.116,0.027,,0.17,2.52,-0.96,-0.23,,95.7,90.8,,82.7,72.8,0.244,0.399,0.17300000000000001,0.333,0.952,0.245,,,,0.125,0.5,0.444,0.244,0.339,0.182,6.0,3,1,1,3,6,1,90,54,1.59,669432,Trevor Rogers,4.2,3,5,,,,,,,,,,,,,,,,0.237,0.95,83.2,0.11,0.147,0.595,,,,,,,,,,,,
2023/04/09,1:40 PM.,3,W,NYM,MIA,away,Sunny.,49,471911,2,7,1,0,2,7,5,11,36,5,7,16,471911,carloscarrasco,Carrasco,Right,Carlos Carrasco,NYM,6.8,6.77,90.0,98.0,93.0,96.0,0.765,6.6,3.8,11.5,1.8,1.52,0.195,0.459,0.13,0.352,0.382,108.0,103.0,104.0,88.0,103.0,104.0,75.0,95.0,85.0,104.0,98.0,108.0,86.0,88.0,95.0,0.323,0.004,0.184,0.091,0.299,-2.35,-9.5,-1.99,-1.25,0.12,92.7,89.5,87.2,84.1,80.1,0.358,0.651,0.166,0.329,0.575,0.32899999999999996,0.22,0.314,0.311,0.25,0.594,0.217,,,,4.2,6,6,6,3,1,2,83,45,11.42,666129,Braxton Garrett,4.2,2,7,91.0,90.0,87.0,0.1,-3.88,91.5,0.45,0.725,0.129,,,,,,,,,,,,,,,,,,,,,,,,
