date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,KC%,CH%,wFA/C,wFC/C,wSI/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vKC,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff,vKN (sc),KN%,wKN/C
2023-09-29,7:10 PM.,NYY,KC,home,Clear.,87,607074,DH,5,1,2,0,0,0,0,1,0,0,0,0.323,0.368,0.435,0.803,607074,carlosrodon,Rodón,Left,Carlos Rodón,NYY,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.116,0.381,0.429,84.0,67.0,81.0,106.0,101.0,100.0,,,,,,,,,,,0.603,,,0.043,-1.05,,,,0.96,95.3,,85.5,,,0.294,0.55,0.217,,,,0.375,1.25,0.211,0.0,0.0,0.421,126.0,95.0,104.0,0.29,-0.06,85.4,0.2,0.347,0.372,,,,102.0,92.0,96.0,0.065,-3.96,79.7,,,,,,,,,,,,,,,,,,
2023-09-28,3:10 PM.,DET,KC,away,Overcast.,63,687830,3B,4,0,0,0,0,0,0,0,0,2,0,0.316,0.365,0.439,0.804,687830,sawyergipsonlong,Gipson-Long,Right,Sawyer Gipson-Long,DET,2.7,2.52,20.0,101.0,108.0,103.0,0.662,11.7,3.6,6.3,0.9,0.74,0.271,0.438,0.125,0.208,0.378,121.0,95.0,102.0,112.0,99.0,99.0,115.0,104.0,95.0,,,,83.0,103.0,101.0,0.188,0.238,0.012,,0.244,2.45,-1.39,4.55,,-1.53,93.6,87.6,85.8,92.4,,0.174,0.304,0.1889999999999999,,,,,,,0.176,0.412,0.5,94.0,105.0,110.0,0.318,-0.88,82.4,0.273,0.455,0.409,0.083,0.167,0.258,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-27,6:40 PM.,DET,KC,away,Overcast.,64,669373,2B,3,0,0,0,0,0,0,0,0,1,2,0.34,0.39,0.472,0.862,669373,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.8,2.3,80.1,106.0,97.0,107.0,0.716,11.43,1.57,6.5,0.45,1.64,0.209,0.435,0.168,0.272,0.455,93.0,102.0,114.0,94.0,112.0,103.0,98.0,109.0,105.0,81.0,90.0,93.0,,,,0.122,0.36,,0.068,0.244,2.49,,2.7,0.54,3.25,95.8,,84.3,95.9,76.4,0.206,0.299,0.256,,,,0.143,0.214,0.36,0.167,0.205,0.506,114.0,104.0,109.0,0.207,-0.49,87.6,0.224,0.448,0.24,0.229,0.286,0.173,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-26,6:40 PM.,DET,KC,away,Cloudy.,65,681857,1B,2,0,1,0,0,0,1,0,0,1,0,0.36,0.411,0.5,0.911,681857,reeseolson,Olson,Right,Reese Olson,DET,3.99,4.73,103.2,100.0,104.0,101.0,0.743,8.94,2.86,7.21,1.22,1.17,0.189,0.4,0.13,0.354,0.4,98.0,94.0,97.0,93.0,103.0,101.0,82.0,108.0,100.0,,,,,,,0.2,0.285,,,0.151,0.85,,1.25,,0.98,94.8,,87.8,94.8,,0.171,0.381,0.158,,,,0.167,0.222,0.311,0.208,0.283,0.359,132.0,98.0,104.0,0.306,-0.14,84.8,0.217,0.433,0.416,0.278,0.367,0.121,95.0,93.0,95.0,0.058,0.83,78.8,,,,,,,,,,,,,,,,,,
2023-09-24,1:10 PM.,HOU,KC,away,Roof Closed.,73,686613,1B,4,1,1,0,0,0,0,0,0,0,1,0.354,0.407,0.5,0.907,686613,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,5.09,4.27,155.2,100.0,104.0,101.0,0.77,10.29,3.18,9.08,1.5,1.78,0.274,0.364,0.135,0.362,0.433,,,,101.0,99.0,96.0,90.0,103.0,93.0,112.0,102.0,110.0,,,,0.002,0.461,0.235,0.238,,0.01,-0.4,-0.16,-0.77,,95.7,91.7,,96.0,82.9,0.271,0.511,0.223,0.297,0.506,0.208,0.247,0.374,0.303,0.121,0.242,0.37,104.0,92.0,97.0,0.017,-2.64,84.6,0.25,0.625,0.3329999999999999,,,,,,,,,,92.0,104.0,105.0,0.048,0.92,88.2,,,,,,,,,,,,
2023-09-22,7:12 PM.,HOU,KC,away,Roof Closed.,73,664285,2B,1,1,0,0,0,0,1,0,0,1,1,0.364,0.42,0.523,0.943,664285,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.246,0.443,0.109,0.374,0.445,96.0,98.0,94.0,98.0,-63.0,-49.0,97.0,98.0,96.0,,,,99.0,99.0,95.0,0.468,0.001,0.034,,0.157,-16.35,0.45,0.93,,0.73,95.7,89.1,90.1,95.3,,,,,0.182,0.182,0.435,0.158,0.211,0.402,0.231,0.342,0.311,,,,0.087,-0.32,84.7,0.189,0.405,0.4379999999999999,0.274,0.455,0.126,118.0,98.0,106.0,0.253,1.07,80.2,,,,,,,,,,,,,,,,,,
2023-09-20,1:11 PM.,CLE,KC,home,Sunny.,79,608337,1B,4,0,2,0,0,0,0,0,0,1,2,0.372,0.426,0.535,0.961,608337,lucasgiolito,Giolito,Right,Lucas Giolito,- - -,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.343,0.413,99.0,100.0,107.0,84.0,100.0,95.0,,,,,,,,,,,0.419,,,0.283,-0.85,,,,-0.2,93.1,,80.9,,,0.262,0.546,0.2,,,,0.5,0.5,0.2,0.209,0.442,0.352,107.0,105.0,104.0,0.282,-0.25,84.0,0.236,0.438,0.345,,,,81.0,76.0,78.0,0.015,-3.72,77.9,,,,,,,,,,,,,,,,,,
2023-09-19,6:41 PM.,CLE,KC,home,Partly Cloudy.,76,671106,2B,3,0,2,0,0,0,2,1,0,0,0,0.359,0.419,0.538,0.957,671106,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.432,0.155,0.337,0.414,60.0,104.0,105.0,82.0,101.0,95.0,,,,,,,110.0,97.0,98.0,,0.451,0.089,,0.213,-0.12,-2.1,,,1.49,91.4,86.3,82.7,,,0.257,0.482,0.177,0.462,0.692,0.17,,,,0.191,0.223,0.33,108.0,98.0,101.0,0.247,-0.74,79.3,0.3,0.3,0.368,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-17,1:12 PM.,HOU,KC,home,Sunny.,73,664285,2B,4,1,2,0,0,0,0,0,0,0,1,0.333,0.4,0.528,0.928,664285,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.246,0.443,0.109,0.374,0.445,96.0,98.0,94.0,98.0,-63.0,-49.0,97.0,98.0,96.0,,,,99.0,99.0,95.0,0.468,0.001,0.034,,0.157,-16.35,0.45,0.93,,0.73,95.7,89.1,90.1,95.3,,,,,0.182,0.182,0.435,0.158,0.211,0.402,0.231,0.342,0.311,,,,0.087,-0.32,84.7,0.189,0.405,0.4379999999999999,0.274,0.455,0.126,118.0,98.0,106.0,0.253,1.07,80.2,,,,,,,,,,,,,,,,,,
2023-09-15,7:10 PM.,HOU,KC,home,Cloudy.,79,664299,3B,3,0,0,0,0,0,0,0,0,1,2,0.313,0.389,0.531,0.92,664299,cristianjavier,Javier,Right,Cristian Javier,HOU,4.56,4.42,162.0,98.0,102.0,100.0,0.762,8.83,3.44,7.94,1.39,0.46,0.266,0.368,0.15,0.331,0.399,78.0,101.0,98.0,101.0,98.0,98.0,,,,91.0,99.0,102.0,,,,,0.584,,0.075,0.041,0.44,,,-1.17,-1.29,92.7,,83.7,,76.6,0.236,0.455,0.265,,,,0.268,0.366,0.195,0.28,0.36,0.392,108.0,95.0,102.0,0.3,-0.09,79.5,0.211,0.367,0.287,,,,,,,,,,,,,,,,,,,,,,,,,,,
