date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,FS%,SL%,CU%,CH%,wFA/C,wFS/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFS,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,FS_ba,FS_slg,FS_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,KC%,wKC/C,vKC,Stf+ KC,Loc+ KC,Pit+ KC
2023-06-29,1:09 PM.,LAA,CWS,away,Sunny.,75,663776,RF,0,0,0,0,0,0,0,0,0,0,0,0.222,0.282,0.278,0.56,663776,patricksandoval,Sandoval,Left,Patrick Sandoval,LAA,4.11,4.7,144.2,97.0,92.0,97.0,0.741,7.96,4.6,9.02,0.75,1.55,0.196,0.427,0.166,0.297,0.414,99.0,98.0,100.0,99.0,96.0,101.0,63.0,94.0,89.0,69.0,97.0,86.0,123.0,100.0,107.0,0.111,0.256,,0.285,0.09,0.258,-1.22,,0.36,0.02,0.27,0.3,93.0,,83.0,93.2,86.5,76.5,0.336,0.507,0.156,0.286,0.286,0.237,0.2,0.5,0.306,0.269,0.327,0.129,0.184,0.33,0.432,,,,,,,,,,,,,,,,,,,,,
2023-06-27,6:38 PM.,LAA,CWS,away,Clear.,73,660271,PR,0,0,0,0,0,0,0,0,0,0,0,0.222,0.282,0.278,0.56,660271,shoheiohtani,Ohtani,Right,Shohei Ohtani,LAA,3.14,3.82,132.0,96.0,121.0,103.0,0.722,11.39,3.75,5.8,1.23,1.25,0.253,0.441,0.185,0.343,0.457,,,,87.0,97.0,105.0,114.0,99.0,100.0,104.0,94.0,95.0,136.0,97.0,112.0,0.06,0.33,0.062,0.356,0.036,,1.64,-0.25,-0.53,1.81,1.15,,96.8,88.6,,94.5,83.7,75.7,0.164,0.236,0.27,0.111,0.167,0.417,0.146,0.339,0.365,0.273,0.409,0.225,,,,0.179,0.205,0.411,96.0,89.0,88.0,0.156,-0.82,88.6,0.31,0.606,0.228,129.0,93.0,108.0,,,,,,
2023-05-27,1:10 PM.,DET,CWS,away,Partly Cloudy.,72,547179,CF,0,0,0,0,0,0,0,0,0,0,0,0.222,0.282,0.278,0.56,547179,michaellorenzen,Lorenzen,Right,Michael Lorenzen,- - -,4.18,4.51,153.0,101.0,101.0,101.0,0.809,6.53,2.76,8.12,1.18,1.06,0.246,0.417,0.097,0.352,0.447,95.0,101.0,102.0,103.0,112.0,110.0,98.0,100.0,97.0,82.0,108.0,100.0,116.0,102.0,106.0,0.12,0.347,,0.297,0.011,0.216,1.17,,0.73,0.34,-4.26,0.26,94.3,,84.5,93.7,84.7,82.3,0.211,0.333,0.171,0.667,1.667,0.182,0.293,0.61,0.214,0.333,0.4,0.038,0.186,0.403,0.314,,,,89.0,75.0,71.0,0.009,-7.35,90.8,0.6,1.2,0.1669999999999999,,,,,,,,,
2023-05-26,6:41 PM.,DET,CWS,away,Clear.,71,666214,CF,0,0,0,0,0,0,0,0,0,0,0,0.222,0.282,0.278,0.56,666214,joeywentz,Wentz,Left,Joey Wentz,DET,6.9,5.77,105.2,100.0,89.0,95.0,0.766,8.35,4.0,11.16,2.13,0.84,0.228,0.418,0.147,0.357,0.424,95.0,101.0,98.0,102.0,106.0,105.0,80.0,100.0,92.0,,,,,,,,0.416,,,0.158,0.175,-2.53,,,,-0.86,-0.22,93.4,,85.0,,,77.5,0.374,0.682,0.19,0.247,0.356,0.285,,,,,,,0.189,0.392,0.318,,,,91.0,97.0,93.0,0.251,-0.57,86.0,0.271,0.5,0.291,,,,,,,,,
2023-05-24,1:10 PM.,CLE,CWS,away,Partly Cloudy.,67,615698,CF,1,0,0,0,0,0,0,0,0,0,0,0.222,0.282,0.278,0.56,615698,calquantrill,Quantrill,Right,Cal Quantrill,CLE,5.24,5.85,99.2,98.0,95.0,95.0,0.83,5.24,3.16,10.02,0.99,1.12,0.224,0.451,0.186,0.311,0.384,85.0,94.0,91.0,103.0,110.0,111.0,75.0,77.0,73.0,86.0,96.0,90.0,,,,0.416,0.01,0.123,,0.109,0.101,-2.44,-1.13,0.18,,1.28,-2.42,93.8,86.8,86.1,93.7,,82.0,0.333,0.667,0.2,0.188,0.313,0.158,,,,0.277,0.428,0.1689999999999999,0.344,0.625,0.182,0.241,0.362,0.225,103.0,94.0,93.0,0.241,-0.89,88.1,0.33,0.495,0.221,113.0,104.0,104.0,,,,,,
2023-05-23,6:10 PM.,CLE,CWS,away,Partly Cloudy.,69,671106,PR,0,1,0,0,0,0,0,0,0,0,0,0.229,0.289,0.286,0.575,671106,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.432,0.155,0.337,0.414,60.0,104.0,105.0,,,,82.0,101.0,95.0,,,,108.0,98.0,101.0,,0.451,,0.247,,0.213,-0.12,,,-0.74,,1.49,91.4,,82.7,,79.3,,0.257,0.482,0.177,,,,0.3,0.3,0.368,,,,0.191,0.223,0.33,,,,110.0,97.0,98.0,0.089,-2.1,86.3,0.462,0.692,0.17,,,,,,,,,
2023-05-21,1:11 PM.,KC,CWS,home,Sunny.,75,672578,RF,1,0,0,0,0,0,0,0,0,0,2,0.229,0.289,0.286,0.575,672578,carloshernandez,"Hernández, C",Right,Carlos Hernández,KCR,5.27,4.7,70.0,100.0,124.0,106.0,0.726,9.9,3.99,7.97,1.29,0.75,0.241,0.45,0.105,0.403,0.43,,,,,,,134.0,99.0,105.0,145.0,87.0,126.0,118.0,103.0,112.0,0.007,0.552,0.111,0.235,0.001,0.001,0.09,0.44,-3.63,0.71,-3.64,-5.8,99.1,89.0,77.7,98.1,88.6,70.1,0.272,0.507,0.254,0.208,0.5,0.3779999999999999,0.173,0.307,0.379,,,,,,,0.2,0.267,0.362,,,,0.001,-10.95,83.8,,,,93.0,100.0,104.0,0.093,-0.29,84.0,117.0,95.0,103.0
2023-05-20,1:11 PM.,KC,CWS,home,Sunny.,59,543475,RF,3,0,0,0,0,0,0,0,0,2,1,0.235,0.297,0.294,0.591,543475,jordanlyles,Lyles,Right,Jordan Lyles,KCR,6.28,4.93,177.2,101.0,85.0,97.0,0.817,6.08,2.28,8.92,1.98,0.69,0.217,0.463,0.139,0.332,0.402,73.0,95.0,90.0,95.0,97.0,99.0,75.0,101.0,92.0,76.0,103.0,88.0,99.0,107.0,110.0,0.131,0.306,,0.247,0.131,0.109,1.11,,-0.01,-1.31,-1.6,-1.66,91.2,,85.5,90.5,80.2,79.4,0.227,0.444,0.154,0.238,0.476,0.2189999999999999,0.28,0.543,0.249,0.248,0.457,0.158,0.26,0.481,0.257,,,,96.0,99.0,98.0,0.076,-0.94,86.8,0.314,0.725,0.19,,,,,,,,,
2023-05-17,7:10 PM.,CLE,CWS,home,Partly Cloudy.,50,685410,PR,0,1,0,0,0,0,0,1,0,0,0,0.258,0.324,0.323,0.647,685410,peytonbattenfield,Battenfield,Right,Peyton Battenfield,CLE,5.19,6.16,34.2,100.0,88.0,94.0,0.756,7.01,3.12,8.83,1.82,1.05,0.168,0.495,0.056,0.439,0.39,72.0,88.0,86.0,72.0,97.0,98.0,73.0,94.0,89.0,,,,,,,,0.446,,,0.107,0.038,-2.36,,,,0.03,-4.8,90.8,,84.7,,,79.7,0.323,0.645,0.129,0.4,0.4,0.429,,,,,,,0.4,0.8,0.3329999999999999,,,,109.0,109.0,98.0,0.408,2.7,87.3,0.164,0.279,0.318,,,,,,,,,
2023-05-14,1:10 PM.,HOU,CWS,home,Overcast.,58,686613,PH,1,0,0,0,0,0,0,0,0,0,0,0.258,0.324,0.323,0.647,686613,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,5.09,4.27,155.2,100.0,104.0,101.0,0.77,10.29,3.18,9.08,1.5,1.78,0.274,0.364,0.135,0.362,0.433,,,,,,,101.0,99.0,96.0,90.0,103.0,93.0,104.0,92.0,97.0,0.002,0.461,0.048,0.017,,,0.01,0.92,-0.16,-2.64,,,95.7,88.2,,96.0,84.6,,0.271,0.511,0.223,0.247,0.374,0.303,0.25,0.625,0.3329999999999999,,,,0.121,0.242,0.37,,,,,,,0.235,-0.4,91.7,0.297,0.506,0.208,92.0,104.0,105.0,0.238,-0.77,82.9,112.0,102.0,110.0
2023-05-13,6:16 PM.,HOU,CWS,home,Cloudy.,59,656232,DH,2,0,0,0,0,0,0,0,0,0,1,0.267,0.333,0.333,0.666,656232,brandonbielak,Bielak,Right,Brandon Bielak,HOU,3.83,5.44,80.0,97.0,85.0,91.0,0.785,6.98,4.05,9.68,1.35,1.55,0.192,0.46,0.14,0.364,0.394,90.0,100.0,98.0,101.0,90.0,88.0,73.0,97.0,87.0,78.0,99.0,88.0,99.0,93.0,95.0,0.214,0.306,,0.118,0.111,0.247,-1.15,,-0.12,-3.74,-0.81,0.83,92.1,,87.1,92.1,82.0,79.5,0.273,0.505,0.159,0.217,0.217,0.302,0.333,0.722,0.355,0.338,0.477,0.135,0.227,0.352,0.332,,,,,,,0.004,-0.48,84.4,,,,,,,,,,,,
2023-05-12,9:20 PM.,HOU,CWS,home,Overcast.,58,641585,RF,2,0,0,0,0,0,0,0,0,1,2,0.286,0.355,0.357,0.712,641585,jpfrance,"France, J",Right,J.P. France,HOU,3.83,4.86,136.1,100.0,103.0,102.0,0.797,6.67,3.1,9.11,1.25,1.14,0.244,0.392,0.135,0.309,0.454,75.0,102.0,112.0,116.0,98.0,100.0,101.0,97.0,98.0,,,,109.0,99.0,105.0,,0.431,,0.091,0.137,0.152,-0.26,,,-2.09,0.16,2.51,93.0,,81.8,,80.1,76.0,0.308,0.481,0.106,0.145,0.273,0.422,0.25,0.533,0.298,,,,0.183,0.237,0.308,,,,116.0,108.0,103.0,0.189,0.33,86.8,0.317,0.446,0.22,,,,,,,,,
2023-05-11,2:10 PM.,KC,CWS,away,Rain.,67,663903,RF,4,0,0,0,0,0,0,0,0,1,3,0.308,0.379,0.385,0.764,663903,bradysinger,Singer,Right,Brady Singer,KCR,5.52,4.93,159.2,100.0,84.0,95.0,0.789,7.5,2.76,10.26,1.13,1.62,0.23,0.439,0.119,0.387,0.443,53.0,96.0,88.0,,,,89.0,-304.0,-276.0,86.0,99.0,90.0,86.0,101.0,104.0,0.51,0.002,,0.426,,0.063,-2.24,,-1.24,0.01,,-0.3,90.9,,87.7,92.1,84.0,,,,,,,,0.0,0.0,0.6,0.339,0.555,0.113,0.265,0.353,0.104,,,,,,,,,,,,,,,,,,,,,
2023-05-09,8:40 PM.,KC,CWS,away,Cloudy.,69,543475,RF,1,0,0,0,0,0,0,0,0,1,0,0.364,0.44,0.455,0.895,543475,jordanlyles,Lyles,Right,Jordan Lyles,KCR,6.28,4.93,177.2,101.0,85.0,97.0,0.817,6.08,2.28,8.92,1.98,0.69,0.217,0.463,0.139,0.332,0.402,73.0,95.0,90.0,95.0,97.0,99.0,75.0,101.0,92.0,76.0,103.0,88.0,99.0,107.0,110.0,0.131,0.306,,0.247,0.131,0.109,1.11,,-0.01,-1.31,-1.6,-1.66,91.2,,85.5,90.5,80.2,79.4,0.227,0.444,0.154,0.238,0.476,0.2189999999999999,0.28,0.543,0.249,0.248,0.457,0.158,0.26,0.481,0.257,,,,96.0,99.0,98.0,0.076,-0.94,86.8,0.314,0.725,0.19,,,,,,,,,
2023-05-08,6:40 PM.,KC,CWS,away,Clear.,82,425844,RF,4,0,1,0,0,0,0,0,0,0,5,0.381,0.458,0.476,0.934,425844,zackgreinke,Greinke,Right,Zack Greinke,KCR,5.06,5.06,142.1,104.0,85.0,100.0,0.848,6.13,1.45,9.99,1.58,1.19,0.26,0.39,0.147,0.29,0.425,84.0,109.0,109.0,96.0,97.0,104.0,72.0,103.0,92.0,76.0,106.0,93.0,94.0,103.0,106.0,0.157,0.265,,0.2,0.141,0.166,0.25,,-0.92,1.12,-2.99,0.06,89.5,,86.5,89.8,79.2,72.5,0.276,0.472,0.159,0.386,0.729,0.155,0.214,0.282,0.231,0.333,0.609,0.081,0.241,0.37,0.207,,,,100.0,113.0,103.0,0.07,-0.94,85.2,0.32,0.5,0.186,,,,0.0,-3.64,57.9,,,
2023-05-07,4:11 PM.,CIN,CWS,away,Cloudy.,77,668933,CF,2,0,0,0,0,0,0,0,0,0,1,0.412,0.5,0.529,1.029,668933,grahamashcraft,Ashcraft,Right,Graham Ashcraft,CIN,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.164,0.302,0.435,,,,,,,,,,57.0,90.0,82.0,166.0,102.0,114.0,0.097,,,0.373,,0.0,,,-1.17,-0.37,,-25.75,,,90.4,96.5,88.3,,,,,,,,0.221,0.461,0.3289999999999999,0.286,0.429,0.1,,,,,,,116.0,98.0,100.0,0.529,0.15,95.8,0.292,0.436,0.171,,,,,,,,,
2023-05-06,6:41 PM.,CIN,CWS,away,Partly Cloudy.,76,666157,RF,3,0,1,1,0,0,0,0,1,0,0,0.467,0.556,0.6,1.156,666157,nicklodolo,Lodolo,Left,Nick Lodolo,CIN,6.29,4.83,34.1,101.0,97.0,98.0,0.722,12.32,2.62,13.11,2.62,1.24,0.304,0.382,0.137,0.314,0.412,78.0,99.0,88.0,97.0,94.0,97.0,103.0,106.0,100.0,92.0,102.0,101.0,,,,0.053,0.464,,,0.358,0.125,-0.45,,-7.52,,-2.74,-4.06,93.2,,87.3,93.4,,79.6,0.297,0.578,0.19,0.286,0.536,0.45,,,,0.7,1.0,0.0,0.471,0.706,0.326,,,,,,,,,,,,,,,,,,,,,
2023-05-05,6:41 PM.,CIN,CWS,away,Clear.,75,668881,RF,0,0,0,0,0,0,0,0,0,0,0,0.5,0.571,0.583,1.154,668881,huntergreene,"Greene, H",Right,Hunter Greene,CIN,4.82,3.82,112.0,103.0,124.0,107.0,0.725,12.21,3.86,8.92,1.53,0.74,0.241,0.407,0.128,0.345,0.42,69.0,88.0,90.0,,,,127.0,103.0,105.0,,,,126.0,104.0,112.0,,0.544,,0.404,,0.053,-0.95,,,0.16,,-2.39,98.3,,91.1,,87.3,,0.265,0.518,0.252,,,,0.229,0.416,0.392,,,,0.304,0.478,0.242,,,,,,,,,,,,,,,,,,,,,
2023-05-04,1:11 PM.,MIN,CWS,home,Sunny.,63,641154,RF,0,0,0,0,0,0,0,0,0,0,0,0.5,0.571,0.583,1.154,641154,pablolopez,"López, P",Right,Pablo López,MIN,3.66,3.0,194.0,107.0,99.0,109.0,0.717,10.86,2.23,8.16,1.11,1.25,0.208,0.438,0.175,0.295,0.428,90.0,108.0,109.0,93.0,110.0,114.0,100.0,108.0,105.0,98.0,105.0,104.0,111.0,106.0,114.0,0.106,0.345,,0.214,0.125,0.211,0.1,,2.08,1.34,0.25,-0.17,94.9,,88.4,94.5,84.4,82.5,0.268,0.468,0.315,0.202,0.33,0.364,0.173,0.287,0.366,0.278,0.342,0.126,0.257,0.41,0.284,,,,,,,,,,,,,,,,,,,,,
2023-05-03,6:10 PM.,MIN,CWS,home,Clear.,48,686973,RF,0,0,0,0,0,0,0,0,0,0,0,0.5,0.571,0.583,1.154,686973,louievarland,Varland,Right,Louie Varland,MIN,4.63,4.58,68.0,106.0,99.0,105.0,0.767,9.4,2.25,8.74,2.12,1.12,0.263,0.376,0.082,0.381,0.467,86.0,91.0,95.0,,,,107.0,111.0,110.0,104.0,93.0,94.0,107.0,107.0,107.0,0.009,0.427,,0.132,,0.113,-0.42,,6.39,-2.34,,-1.07,95.3,,85.9,95.7,83.9,,0.267,0.533,0.237,,,,0.22,0.512,0.263,,,,0.267,0.6,0.264,,,,89.0,105.0,102.0,0.319,0.85,89.3,0.25,0.405,0.285,,,,,,,,,
2023-05-02,6:10 PM.,MIN,CWS,home,Overcast.,48,657746,RF,1,0,0,0,0,0,0,0,0,0,2,0.5,0.571,0.583,1.154,657746,joeryan,Ryan,Right,Joe Ryan,MIN,4.51,3.53,161.2,107.0,99.0,105.0,0.749,10.97,1.89,8.63,1.78,0.63,0.232,0.423,0.147,0.326,0.455,,,,,,,102.0,112.0,108.0,,,,102.0,88.0,94.0,,0.569,0.272,0.159,,,0.89,-0.3,,-2.12,,,92.3,83.9,,,80.3,,0.24,0.457,0.287,,,,0.32,0.56,0.241,,,,,,,0.242,0.415,0.213,,,,,,,,,,91.0,104.0,102.0,,,,,,
2023-04-30,1:11 PM.,TB,CWS,home,Rain.,46,656876,CF,5,3,4,0,0,0,1,0,1,1,0,0.545,0.615,0.636,1.251,656876,drewrasmussen,Rasmussen,Right,Drew Rasmussen,TBR,2.62,2.91,44.2,109.0,121.0,113.0,0.79,9.47,2.22,7.25,0.4,1.97,0.28,0.424,0.169,0.203,0.487,,,,71.0,106.0,103.0,131.0,111.0,122.0,98.0,109.0,99.0,115.0,121.0,130.0,0.122,0.295,,0.151,0.073,,0.17,,2.15,3.01,1.91,,95.7,,,95.1,84.5,80.0,0.275,0.333,0.208,0.2,0.2,0.261,0.129,0.161,0.245,0.273,0.364,0.171,,,,,,,133.0,104.0,106.0,0.359,1.83,88.2,0.204,0.327,0.275,,,,,,,,,
2023-04-29,6:10 PM.,TB,CWS,home,Cloudy.,56,676534,CF,3,0,0,0,0,0,0,0,1,1,3,0.333,0.429,0.5,0.929,676534,calvinfaucher,Faucher,Right,Calvin Faucher,TBR,7.01,6.61,25.2,102.0,113.0,104.0,0.777,8.77,4.21,10.87,1.4,1.64,0.268,0.366,0.159,0.329,0.444,,,,90.0,101.0,105.0,,,,93.0,97.0,98.0,132.0,104.0,108.0,0.288,,,0.296,0.101,,,,-2.24,0.16,-2.81,,,,,95.0,87.2,84.6,,,,0.333,0.333,0.294,0.267,0.4,0.26,0.364,0.864,0.182,,,,,,,109.0,102.0,100.0,0.315,-0.08,91.1,0.258,0.29,0.213,,,,,,,,,
2023-04-28,6:10 PM.,TB,CWS,home,Partly Cloudy.,55,621107,RF,0,0,0,0,0,0,0,0,0,0,0,0.667,0.667,1.0,1.667,621107,zacheflin,Eflin,Right,Zach Eflin,TBR,3.5,3.02,177.2,108.0,98.0,106.0,0.775,9.42,1.22,8.0,0.96,1.48,0.21,0.449,0.159,0.343,0.449,75.0,99.0,94.0,100.0,110.0,107.0,83.0,123.0,112.0,98.0,107.0,105.0,122.0,120.0,127.0,0.319,0.062,,0.044,0.263,0.051,2.53,,1.09,0.79,1.27,-0.61,92.9,,86.4,92.2,80.0,79.1,0.104,0.208,0.32,0.185,0.339,0.349,0.6,0.6,0.5,0.259,0.315,0.129,0.192,0.308,0.283,,,,100.0,106.0,102.0,0.261,-0.01,88.5,0.307,0.588,0.1669999999999999,,,,,,,,,
2023-04-27,6:10 PM.,TB,CWS,home,Partly Cloudy.,56,663556,CF,2,1,2,1,0,0,1,0,0,0,0,0.667,0.667,1.0,1.667,663556,shanemcclanahan,McClanahan,Left,Shane McClanahan,TBR,3.29,4.13,115.0,102.0,112.0,106.0,0.694,9.47,3.21,7.43,1.17,1.18,0.28,0.384,0.134,0.355,0.455,115.0,104.0,109.0,115.0,101.0,107.0,111.0,100.0,104.0,,,,107.0,102.0,105.0,,0.419,,0.153,0.17,0.258,-0.34,,,-0.27,1.12,2.65,96.8,,86.9,,89.3,83.5,0.269,0.479,0.233,0.197,0.344,0.314,0.261,0.58,0.291,,,,0.153,0.191,0.541,,,,,,,,,,,,,,,,,,,,,
2023-04-26,1:07 PM.,TOR,CWS,away,Roof Closed.,68,579328,RF,1,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,82.0,93.0,83.0,98.0,103.0,105.0,117.0,99.0,102.0,,,,101.0,105.0,108.0,,0.451,,0.259,0.193,0.097,0.05,,,1.11,0.24,-1.83,95.1,,88.7,,88.7,83.1,0.27,0.412,0.268,0.284,0.463,0.307,0.225,0.396,0.302,,,,0.254,0.508,0.193,,,,,,,,,,,,,,,,,,,,,
2023-04-22,4:05 PM.,TB,CWS,away,Dome.,72,663556,RF,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,663556,shanemcclanahan,McClanahan,Left,Shane McClanahan,TBR,3.29,4.13,115.0,102.0,112.0,106.0,0.694,9.47,3.21,7.43,1.17,1.18,0.28,0.384,0.134,0.355,0.455,115.0,104.0,109.0,115.0,101.0,107.0,111.0,100.0,104.0,,,,107.0,102.0,105.0,,0.419,,0.153,0.17,0.258,-0.34,,,-0.27,1.12,2.65,96.8,,86.9,,89.3,83.5,0.269,0.479,0.233,0.197,0.344,0.314,0.261,0.58,0.291,,,,0.153,0.191,0.541,,,,,,,,,,,,,,,,,,,,,
2023-04-18,6:40 PM.,PHI,CWS,home,Clear.,54,663559,LF,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,663559,baileyfalter,Falter,Left,Bailey Falter,- - -,5.36,4.93,80.2,104.0,76.0,97.0,0.844,6.69,2.23,10.49,1.9,1.06,0.247,0.408,0.157,0.307,0.474,59.0,92.0,77.0,87.0,108.0,105.0,72.0,105.0,96.0,77.0,103.0,92.0,77.0,105.0,100.0,0.072,0.444,0.024,0.189,0.225,0.046,-0.08,3.65,-1.63,-1.91,-0.85,-0.8,90.7,85.0,84.6,90.7,84.5,76.5,0.305,0.435,0.156,0.267,0.493,0.209,0.288,0.746,0.1989999999999999,0.333,0.571,0.133,0.273,0.364,0.3329999999999999,0.0,0.0,0.3329999999999999,,,,,,,,,,,,,,,,,,
