date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CU%,CH%,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFC,vCH,vSI,vSL,vCU,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FA,Loc+ FA,Pit+ FA,FA%,wFA/C,vFA,FF_ba,FF_slg,FF_whiff,SV_ba,SV_slg,SV_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,KC%,wKC/C,vKC,FO%,wFO/C,vFO
2023-07-01,1:17 PM.,NYY,STL,home,Partly Cloudy.,90,622663,DH,1,0,0,0,0,0,0,0,0,0,0,0.29,0.313,0.387,0.7,622663,luisseverino,"Severino, L",Right,Luis Severino,NYY,6.65,5.89,89.1,103.0,104.0,101.0,0.822,7.96,3.43,11.38,2.32,1.14,0.248,0.399,0.144,0.346,0.447,80.0,99.0,97.0,,,,92.0,91.0,87.0,126.0,109.0,117.0,110.0,100.0,98.0,0.028,0.15,0.188,,0.186,-0.08,5.41,-2.59,,-1.4,90.8,86.7,95.7,84.7,,0.208,0.313,0.173,0.279,0.441,0.216,,,,0.289,0.566,0.254,0.091,0.091,0.208,103.0,104.0,98.0,0.449,-2.42,96.5,0.355,0.692,0.196,,,,,,,,,,,,,,,,,,
2023-07-01,7:32 PM.,NYY,STL,home,Cloudy.,76,641656,DH,0,0,0,0,0,0,0,0,0,0,0,0.29,0.313,0.387,0.7,641656,ianhamilton,"Hamilton, I",Right,Ian Hamilton,NYY,2.64,3.48,58.0,98.0,105.0,100.0,0.675,10.71,4.03,6.98,0.31,2.52,0.199,0.411,0.191,0.277,0.387,,,,,,,98.0,90.0,89.0,110.0,100.0,106.0,,,,0.234,,0.542,,,,-0.07,2.12,,,,,95.6,88.1,,,,,,,,,,,0.156,0.234,0.425,0.378,0.422,0.115,101.0,99.0,96.0,0.224,0.06,96.2,0.222,0.361,0.298,,,,,,,,,,,,,,,,,,
2023-06-29,6:16 PM.,HOU,STL,home,Partly Cloudy.,85,641585,CF,1,0,0,0,0,0,0,0,0,0,0,0.3,0.323,0.4,0.723,641585,jpfrance,"France, J",Right,J.P. France,HOU,3.83,4.86,136.1,100.0,103.0,102.0,0.797,6.67,3.1,9.11,1.25,1.14,0.244,0.392,0.135,0.309,0.454,75.0,102.0,112.0,116.0,98.0,100.0,,,,109.0,99.0,105.0,116.0,108.0,103.0,,0.189,0.091,0.137,0.152,0.33,,-2.09,0.16,2.51,86.8,81.8,,80.1,76.0,0.317,0.446,0.22,0.183,0.237,0.308,0.145,0.273,0.422,0.25,0.533,0.298,,,,101.0,97.0,98.0,0.431,-0.26,93.0,0.308,0.481,0.106,,,,,,,,,,,,,,,,,,
2023-06-18,1:42 PM.,NYM,STL,away,Partly Cloudy.,78,471911,LF,0,0,0,0,0,0,0,0,0,0,0,0.31,0.333,0.414,0.747,471911,carloscarrasco,Carrasco,Right,Carlos Carrasco,NYM,6.8,6.77,90.0,98.0,93.0,96.0,0.765,6.6,3.8,11.5,1.8,1.52,0.195,0.459,0.13,0.352,0.382,108.0,103.0,104.0,88.0,103.0,104.0,91.0,90.0,87.0,104.0,98.0,108.0,86.0,88.0,95.0,0.1,0.004,0.184,0.091,0.299,-9.5,-3.88,-1.99,-1.25,0.12,89.5,87.2,91.5,84.1,80.1,,,,0.22,0.314,0.311,0.25,0.594,0.217,0.329,0.575,0.3289999999999999,0.45,0.725,0.129,75.0,95.0,85.0,0.323,-2.35,92.7,0.358,0.651,0.166,,,,,,,,,,,,,,,,,,
2023-06-17,4:12 PM.,NYM,STL,away,Partly Cloudy.,78,673540,LF,0,0,0,0,0,0,0,0,0,0,0,0.31,0.333,0.414,0.747,673540,kodaisenga,Senga,Right,Kodai Senga,NYM,2.98,3.87,166.1,95.0,97.0,97.0,0.721,10.93,4.17,6.82,0.92,1.23,0.252,0.416,0.161,0.333,0.382,,,,91.0,90.0,87.0,,,,100.0,93.0,102.0,93.0,95.0,93.0,,0.25,0.116,0.027,,2.52,,-0.96,-0.23,,90.8,,,82.7,72.8,0.244,0.339,0.182,,,,0.125,0.5,0.444,0.333,0.952,0.245,,,,109.0,97.0,97.0,0.37,0.17,95.7,0.244,0.399,0.173,,,,,,,,,,0.11,0.147,0.595,,,,0.237,0.95,83.2
2023-06-07,7:08 PM.,TEX,STL,away,Roof Closed.,74,592351,LF,0,0,0,0,0,0,0,0,0,0,0,0.31,0.333,0.414,0.747,592351,jongray,"Gray, Jn",Right,Jon Gray,TEX,4.12,4.48,157.1,101.0,97.0,100.0,0.758,8.12,3.09,8.52,1.26,1.1,0.288,0.348,0.157,0.324,0.437,77.0,96.0,97.0,99.0,90.0,98.0,,,,116.0,103.0,109.0,,,,,,0.398,0.062,0.116,,,2.33,-1.69,1.71,,88.8,,87.2,78.2,,,,0.211,0.268,0.213,0.263,0.737,0.27,0.105,0.211,0.324,,,,82.0,100.0,92.0,0.424,-1.83,95.7,0.346,0.551,0.179,,,,,,,,,,,,,,,,,,
2023-06-05,7:08 PM.,TEX,STL,away,Roof Closed.,74,527048,LF,2,0,0,0,0,0,0,0,0,0,2,0.31,0.333,0.414,0.747,527048,martinperez,"Pérez, M",Left,Martín Pérez,TEX,4.45,4.9,141.2,104.0,74.0,95.0,0.837,5.91,3.11,9.53,1.33,1.28,0.223,0.431,0.139,0.294,0.399,71.0,110.0,99.0,78.0,101.0,100.0,73.0,102.0,95.0,88.0,94.0,96.0,79.0,99.0,88.0,0.428,0.221,0.01,0.037,0.265,-2.02,0.44,2.0,3.35,-0.75,89.2,84.1,91.6,83.4,79.1,0.342,0.64,0.1169999999999999,0.316,0.447,0.278,0.063,0.063,0.353,0.0,0.0,0.2,0.244,0.394,0.0969999999999999,75.0,102.0,99.0,0.04,3.25,91.8,0.167,0.222,0.146,,,,,,,,,,,,,,,,,,
2023-06-04,11:37 AM.,PIT,STL,away,Partly Cloudy.,73,448179,PR,0,0,0,0,0,0,0,0,0,0,0,0.333,0.357,0.444,0.801,448179,richhill,Hill,Left,Rich Hill,- - -,5.41,5.66,146.1,97.0,94.0,97.0,0.832,7.93,3.57,10.15,1.41,1.01,0.196,0.459,0.14,0.336,0.448,80.0,81.0,80.0,116.0,94.0,103.0,98.0,101.0,98.0,90.0,92.0,97.0,85.0,97.0,93.0,0.04,0.147,0.088,0.354,0.023,-1.27,2.5,-2.52,-1.16,-0.06,83.3,83.0,86.1,71.1,72.0,0.39,0.701,0.1989999999999999,0.263,0.421,0.037,0.283,0.47,0.174,0.5,0.929,0.125,0.105,0.105,0.226,77.0,102.0,94.0,0.342,-0.32,88.4,0.249,0.454,0.218,,,,,,,,,,,,,0.008,-3.65,67.1,,,
2023-05-30,6:46 PM.,KC,STL,home,Partly Cloudy.,88,425844,CF,0,0,0,0,0,0,0,0,0,0,0,0.333,0.357,0.444,0.801,425844,zackgreinke,Greinke,Right,Zack Greinke,KCR,5.06,5.06,142.1,104.0,85.0,100.0,0.848,6.13,1.45,9.99,1.58,1.19,0.26,0.39,0.147,0.29,0.425,84.0,109.0,109.0,96.0,97.0,104.0,76.0,106.0,93.0,94.0,103.0,106.0,100.0,113.0,103.0,0.157,0.07,0.2,0.141,0.166,-0.94,-0.92,1.12,-2.99,0.06,85.2,86.5,89.8,79.2,72.5,0.32,0.5,0.186,0.241,0.37,0.207,0.386,0.729,0.155,0.214,0.282,0.231,0.333,0.609,0.081,72.0,103.0,92.0,0.265,0.25,89.5,0.276,0.472,0.159,,,,,,,,,,,,,0.0,-3.64,57.9,,,
2023-05-29,1:16 PM.,KC,STL,home,Partly Cloudy.,85,622251,CF,3,0,0,0,0,0,0,0,0,1,0,0.333,0.357,0.444,0.801,622251,joshstaumont,Staumont,Right,Josh Staumont,KCR,5.4,4.45,20.0,90.0,108.0,94.0,0.741,10.8,5.85,7.2,0.45,1.35,0.388,0.245,0.163,0.286,0.417,,,,101.0,97.0,100.0,102.0,82.0,83.0,106.0,94.0,104.0,,,,0.111,,0.225,0.2,,,0.74,2.56,0.55,,,,96.5,85.8,81.8,,,,,,,0.24,0.28,0.182,0.133,0.133,0.472,0.0,0.0,0.2269999999999999,112.0,88.0,91.0,0.464,-0.26,95.6,0.296,0.444,0.2339999999999999,,,,,,,,,,,,,,,,,,
2023-05-27,7:16 PM.,CLE,STL,away,Partly Cloudy.,67,676440,RF,0,0,0,0,0,0,0,0,1,0,0,0.375,0.4,0.5,0.9,676440,tannerbibee,Bibee,Right,Tanner Bibee,CLE,2.98,3.69,142.0,100.0,98.0,101.0,0.763,8.94,2.85,7.73,0.82,0.88,0.244,0.383,0.168,0.302,0.427,101.0,98.0,105.0,88.0,98.0,102.0,,,,110.0,106.0,115.0,,,,,,0.27,0.093,0.166,,,1.35,-1.11,1.07,,83.8,,84.7,78.3,,,,0.213,0.298,0.3779999999999999,0.271,0.479,0.233,0.206,0.355,0.317,,,,91.0,97.0,91.0,0.471,0.6,94.9,0.243,0.348,0.19,,,,,,,,,,,,,,,,,,
2023-05-25,12:37 PM.,CIN,STL,away,Partly Cloudy.,65,596133,RF,4,0,0,0,0,0,0,0,0,2,2,0.375,0.375,0.5,0.875,596133,lukeweaver,Weaver,Right,Luke Weaver,- - -,6.4,5.55,123.2,102.0,95.0,100.0,0.805,7.93,2.91,11.28,2.11,0.91,0.261,0.395,0.134,0.378,0.433,83.0,103.0,100.0,,,,,,,112.0,101.0,104.0,99.0,103.0,102.0,,0.11,0.137,,0.2,0.87,,-2.22,,-2.01,90.3,86.1,,85.8,,0.218,0.473,0.252,0.316,0.547,0.3229999999999999,0.255,0.691,0.1669999999999999,0.235,0.294,0.321,,,,88.0,102.0,96.0,0.435,-1.47,94.0,0.311,0.543,0.175,,,,,,,,,,,,,0.118,-1.56,81.7,,,
2023-05-24,6:40 PM.,CIN,STL,away,Partly Cloudy.,80,594902,RF,4,0,1,1,0,0,0,0,0,1,3,0.45,0.45,0.6,1.05,594902,benlively,Lively,Right,Ben Lively,CIN,5.38,5.03,88.2,101.0,79.0,95.0,0.814,8.02,2.54,9.74,2.03,1.02,0.301,0.38,0.163,0.312,0.449,59.0,94.0,89.0,101.0,105.0,103.0,83.0,108.0,98.0,71.0,102.0,102.0,98.0,92.0,82.0,0.219,0.049,0.243,0.066,0.102,0.62,0.24,1.68,-4.42,-1.4,88.1,84.4,91.5,80.1,76.3,0.267,0.267,0.257,0.265,0.412,0.133,0.273,0.909,0.128,0.158,0.303,0.336,0.257,0.416,0.153,80.0,99.0,90.0,0.321,-2.09,90.6,0.362,0.667,0.181,,,,,,,,,,,,,,,,,,
2023-05-23,6:41 PM.,CIN,STL,away,Partly Cloudy.,80,668933,RF,2,0,1,0,0,0,0,0,0,0,1,0.5,0.5,0.625,1.125,668933,grahamashcraft,Ashcraft,Right,Graham Ashcraft,CIN,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.164,0.302,0.435,,,,,,,57.0,90.0,82.0,166.0,102.0,114.0,116.0,98.0,100.0,0.097,0.529,0.373,,0.0,0.15,-1.17,-0.37,,-25.75,95.8,90.4,96.5,88.3,,0.292,0.436,0.171,,,,,,,0.221,0.461,0.3289999999999999,0.286,0.429,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-22,6:41 PM.,CIN,STL,away,Partly Cloudy.,77,682227,LF,3,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.643,1.143,682227,brandonwilliamson,Williamson,Left,Brandon Williamson,CIN,4.46,4.77,117.0,99.0,93.0,96.0,0.801,7.54,3.0,8.54,1.38,0.88,0.287,0.384,0.139,0.324,0.444,97.0,94.0,99.0,98.0,96.0,103.0,,,,132.0,104.0,113.0,106.0,102.0,98.0,,0.298,0.102,0.064,0.165,1.71,,-1.33,-1.75,-0.51,89.3,84.0,,81.7,73.1,0.252,0.433,0.185,0.183,0.39,0.3989999999999999,0.333,0.6,0.143,0.0,0.0,0.273,,,,64.0,99.0,86.0,0.372,-0.15,92.8,0.269,0.433,0.171,,,,,,,,,,,,,,,,,,
2023-05-21,1:17 PM.,LAD,STL,home,Sunny.,75,477132,RF,4,0,3,1,0,0,5,0,0,0,0,0.545,0.545,0.727,1.272,477132,claytonkershaw,Kershaw,Left,Clayton Kershaw,LAD,2.46,3.77,131.2,100.0,101.0,101.0,0.733,9.36,2.73,6.84,1.3,1.43,0.23,0.493,0.155,0.332,0.425,34.0,98.0,91.0,94.0,100.0,106.0,90.0,115.0,107.0,112.0,102.0,104.0,,,,0.002,,0.434,0.175,0.017,,14.84,2.06,0.13,-0.46,,84.6,90.9,86.5,73.4,,,,0.2,0.2,0.6,0.212,0.338,0.3379999999999999,0.167,0.338,0.362,0.0,0.0,0.0,96.0,97.0,96.0,0.369,0.23,90.7,0.281,0.451,0.0969999999999999,,,,116.0,127.0,165.0,0.002,13.51,84.4,0.0,0.0,0.0,,,,,,
2023-05-20,6:16 PM.,LAD,STL,home,Clear.,72,592789,RF,0,0,0,0,0,0,0,0,0,0,0,0.429,0.429,0.571,1.0,592789,noahsyndergaard,Syndergaard,Right,Noah Syndergaard,- - -,6.5,6.48,88.2,104.0,80.0,99.0,0.834,5.68,1.93,10.56,2.23,0.94,0.203,0.438,0.147,0.363,0.468,72.0,104.0,100.0,95.0,104.0,107.0,87.0,102.0,96.0,88.0,99.0,97.0,85.0,103.0,98.0,0.261,0.126,0.067,0.141,0.222,-0.49,-1.16,-2.33,-0.93,-2.71,89.5,87.3,92.3,85.0,77.9,0.333,0.489,0.1889999999999999,0.286,0.571,0.218,0.233,0.512,0.22,0.24,0.72,0.083,0.363,0.593,0.138,65.0,109.0,95.0,0.181,0.68,92.2,0.208,0.354,0.182,,,,43.0,87.0,84.0,0.003,1.25,87.7,,,,,,,,,
2023-05-19,7:15 PM.,LAD,STL,home,Overcast.,67,664062,RF,3,0,0,0,0,0,0,0,0,0,1,0.429,0.429,0.571,1.0,664062,tonygonsolin,Gonsolin,Right,Tony Gonsolin,LAD,4.98,5.89,103.0,97.0,97.0,98.0,0.803,7.17,3.5,7.51,1.66,0.79,0.19,0.395,0.141,0.389,0.388,,,,107.0,83.0,90.0,,,,90.0,103.0,108.0,,,,,,0.183,0.151,,,,-0.82,-2.12,,,,,86.8,80.9,,,,,,,0.313,0.656,0.209,0.268,0.439,0.253,,,,80.0,99.0,91.0,0.395,1.42,92.4,0.221,0.436,0.157,,,,120.0,98.0,106.0,0.272,0.21,83.0,0.181,0.315,0.27,,,,,,
