date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,SV_ba,SV_slg,SV_whiff,FS_ba,FS_slg,FS_whiff,vKN (sc),Stf+ KC,Loc+ KC,Pit+ KC,KC%,KN%,wKC/C,wKN/C,vKC
2024-09-03,6:36 PM.,BAL,CWS,away,Clear.,73,700249,2B,3,0,0,0,0,0,0,0,0,1,1,0.211,0.25,0.316,0.566,700249,cadepovich,Povich,Left,Cade Povich,BAL,5.2,4.11,79.2,99.0,87.0,97.0,0.788,7.79,3.84,9.04,1.36,0.75,0.22,0.447,0.179,0.289,0.454,63.0,101.0,95.0,93.0,101.0,104.0,81.0,97.0,93.0,80.0,98.0,90.0,113.0,107.0,108.0,97.0,94.0,94.0,0.084,0.407,0.075,0.13,0.196,0.109,0.56,-3.12,0.86,-0.43,-2.26,-2.05,92.4,88.3,86.1,91.5,82.6,76.3,0.25,0.542,0.235,0.223,0.379,0.185,0.2,0.24,0.103,0.333,0.81,0.288,,,,0.333,0.517,0.269,0.232,0.411,0.276,,,,,,,,,,,,,,,,,,,,,
2024-08-27,7:10 PM.,TEX,CWS,home,Cloudy.,77,571760,SS,3,0,1,0,0,0,0,0,0,0,1,0.216,0.256,0.324,0.58,571760,andrewheaney,Heaney,Left,Andrew Heaney,TEX,4.28,4.46,160.0,102.0,80.0,99.0,0.76,8.94,2.31,8.94,1.29,0.75,0.247,0.407,0.148,0.306,0.428,83.0,102.0,94.0,126.0,105.0,103.0,77.0,102.0,98.0,34.0,82.0,74.0,79.0,100.0,103.0,20.0,51.0,51.0,0.014,0.501,0.001,0.278,0.036,0.17,0.15,-19.13,-4.52,-0.26,-3.31,0.46,91.5,86.6,83.7,92.2,82.5,75.6,0.239,0.384,0.243,0.23,0.412,0.213,0.455,0.455,0.125,,,,0.26,0.385,0.365,0.5,1.1,0.188,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-26,7:10 PM.,DET,CWS,home,Clear.,91,680744,2B,4,0,2,0,0,0,0,1,0,1,1,0.213,0.254,0.324,0.578,680744,tymadden,Madden,Right,Ty Madden,DET,4.3,4.11,23.0,98.0,97.0,99.0,0.785,6.65,3.13,9.78,0.78,1.1,0.293,0.413,0.107,0.36,0.434,,,,,,,96.0,104.0,106.0,84.0,88.0,82.0,102.0,85.0,91.0,100.0,98.0,92.0,0.047,0.427,0.154,0.181,,,1.27,-5.26,0.27,-0.09,,,94.3,88.2,,92.5,84.3,,,,,0.205,0.308,0.154,0.2,0.2,0.0,0.529,0.882,0.237,0.25,0.333,0.375,0.333,0.333,0.25,,,,91.0,96.0,98.0,0.151,0.64,85.2,,,,0.2,0.2,0.438,,97.0,93.0,96.0,0.04,,-2.42,,79.6
2024-08-24,6:10 PM.,DET,CWS,home,Cloudy.,86,669373,SS,4,1,1,0,0,0,0,0,0,1,1,0.202,0.245,0.317,0.562,669373,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.39,2.72,192.0,103.0,103.0,106.0,0.717,10.69,1.64,6.66,0.7,1.27,0.256,0.387,0.181,0.254,0.475,97.0,104.0,114.0,,,,112.0,104.0,103.0,95.0,105.0,104.0,111.0,99.0,103.0,,,,0.205,0.332,,0.149,,0.271,1.84,,1.25,0.78,,1.13,96.8,,86.3,96.6,88.7,,0.216,0.322,0.461,0.197,0.286,0.277,0.207,0.305,0.16,,,,0.169,0.364,0.346,0.158,0.316,0.175,,,,,,,,,,,,,,,,,95.0,91.0,101.0,0.042,,1.26,,78.5
2024-08-23,7:11 PM.,DET,CWS,home,Clear.,80,672456,2B,4,0,0,0,0,0,0,0,0,2,0,0.2,0.245,0.32,0.565,672456,keidermontero,Montero,Right,Keider Montero,DET,4.76,5.24,98.1,100.0,96.0,100.0,0.805,7.05,2.84,9.15,1.74,1.07,0.236,0.442,0.133,0.346,0.467,83.0,95.0,94.0,,,,92.0,100.0,96.0,90.0,101.0,97.0,110.0,99.0,104.0,,,,0.078,0.421,,0.28,,0.109,-0.19,,1.09,0.02,,-2.78,94.8,,86.0,94.1,83.5,,0.289,0.474,0.329,0.27,0.486,0.18,0.32,0.32,0.038,,,,0.235,0.391,0.259,0.269,0.615,0.224,,,,,,,,,,,,,,,,,95.0,102.0,111.0,0.112,,-3.94,,78.8
2024-08-21,12:45 PM.,SF,CWS,away,Sunny.,66,657277,2B,3,0,0,0,0,0,0,0,0,0,0,0.208,0.255,0.333,0.588,657277,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.31,204.2,104.0,111.0,106.0,0.814,7.56,2.2,8.88,0.48,2.5,0.23,0.36,0.17,0.292,0.403,137.0,105.0,112.0,,,,57.0,106.0,88.0,95.0,104.0,102.0,126.0,104.0,114.0,52.0,95.0,88.0,0.399,0.053,0.026,0.212,,0.309,0.2,4.3,1.32,0.16,,-0.13,92.6,91.0,87.4,92.6,83.8,,0.275,0.411,0.216,0.179,0.231,0.329,0.268,0.338,0.144,0.077,0.077,0.265,,,,,,,0.239,0.331,0.268,,,,,,,,,,,,,,,,,,,,,
2024-08-20,6:45 PM.,SF,CWS,away,Clear.,69,592662,SS,3,0,0,0,0,0,0,0,0,0,3,0.215,0.263,0.344,0.607,592662,robbieray,Ray,Left,Robbie Ray,SFG,4.7,3.72,30.2,95.0,102.0,95.0,0.667,12.62,4.4,5.87,1.76,0.53,0.344,0.391,0.281,0.219,0.377,,,,,,,96.0,98.0,96.0,,,,99.0,91.0,91.0,,,,,0.528,,0.322,,,0.46,,,0.18,,,94.1,,,,88.4,,,,,0.167,0.367,0.264,,,,,,,0.148,0.222,0.458,0.316,0.684,0.489,,,,,,,,,,,,,,,,,133.0,96.0,100.0,0.15,,-2.65,,83.5
2024-08-19,6:45 PM.,SF,CWS,away,Clear.,68,690986,SS,2,1,2,0,0,0,0,1,2,0,0,0.222,0.271,0.356,0.627,690986,kyleharrison,Harrison,Left,Kyle Harrison,SFG,4.56,4.87,124.1,98.0,89.0,92.0,0.793,8.54,3.04,9.05,1.3,1.01,0.282,0.329,0.142,0.345,0.431,70.0,96.0,88.0,84.0,95.0,95.0,98.0,100.0,92.0,,,,93.0,107.0,97.0,,,,,0.577,,0.003,0.223,0.197,0.2,,,-11.71,-0.22,-1.64,92.5,,84.8,,88.2,80.6,0.287,0.435,0.215,0.249,0.425,0.23,,,,,,,0.333,0.667,0.5,,,,,,,,,,,,,0.274,0.452,0.277,,,,,,,,,,,,
2024-08-17,6:10 PM.,HOU,CWS,away,Roof Closed.,73,686613,2B,3,0,0,0,0,0,0,0,0,1,1,0.205,0.239,0.341,0.58,686613,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,3.49,3.31,170.0,101.0,103.0,101.0,0.778,9.48,3.18,8.26,0.95,1.61,0.271,0.35,0.192,0.218,0.421,84.0,101.0,102.0,,,,110.0,101.0,102.0,93.0,102.0,98.0,110.0,103.0,107.0,90.0,103.0,101.0,0.182,0.347,0.17,0.051,,0.126,0.16,0.14,0.92,1.7,,0.95,96.0,92.4,88.4,95.6,89.1,,0.221,0.26,0.296,0.244,0.413,0.288,0.275,0.321,0.161,0.23,0.363,0.216,0.2,0.2,0.236,0.237,0.421,0.305,,,,,,,,,,,,,,,,,127.0,100.0,106.0,0.125,,-0.79,,82.9
2024-08-16,7:10 PM.,HOU,CWS,away,Roof Closed.,73,681293,2B,3,0,0,0,0,0,0,0,1,1,3,0.212,0.247,0.353,0.6,681293,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,4.53,4.05,145.0,99.0,95.0,99.0,0.739,10.61,4.03,8.63,1.3,0.85,0.247,0.437,0.147,0.314,0.444,89.0,97.0,90.0,118.0,98.0,104.0,91.0,100.0,99.0,,,,117.0,93.0,101.0,66.0,98.0,96.0,,0.41,0.196,0.108,0.2,0.086,-1.33,0.57,,0.99,0.8,-2.52,94.1,88.2,85.5,,80.8,78.4,0.395,0.512,0.378,0.303,0.528,0.198,,,,0.248,0.444,0.228,,,,0.171,0.282,0.424,0.113,0.226,0.386,,,,,,,,,,,,,,,,,,,,,
2024-08-14,7:10 PM.,NYY,CWS,home,Partly Cloudy.,79,701542,2B,3,0,1,1,0,0,0,0,0,1,0,0.22,0.247,0.366,0.613,701542,willwarren,"Warren, W",Right,Will Warren,NYY,10.32,4.52,22.2,99.0,102.0,104.0,0.756,11.51,3.97,13.1,1.99,0.86,0.174,0.406,0.116,0.362,0.376,90.0,101.0,107.0,,,,92.0,102.0,101.0,93.0,104.0,108.0,126.0,88.0,98.0,112.0,117.0,129.0,0.264,0.306,0.044,0.264,,0.122,1.94,-5.11,-4.69,-2.61,,-6.86,93.8,86.4,86.3,93.1,83.1,,0.545,1.0,0.32,0.074,0.222,0.246,0.485,0.818,0.164,0.5,0.5,0.333,,,,,,,0.3,0.6,0.371,,,,,,,,,,,,,,,,,,,,,
2024-08-13,7:10 PM.,NYY,CWS,home,Clear.,80,641482,SS,4,0,1,1,0,0,0,0,0,1,4,0.215,0.244,0.354,0.598,641482,nestorcortes,Cortes,Left,Nestor Cortes,NYY,3.77,3.62,174.1,101.0,101.0,101.0,0.79,8.36,2.01,8.36,1.24,0.64,0.253,0.37,0.164,0.317,0.432,86.0,102.0,94.0,,,,99.0,103.0,100.0,86.0,116.0,113.0,99.0,98.0,101.0,109.0,100.0,102.0,0.014,0.442,0.28,0.168,,0.097,0.25,1.32,1.37,-1.27,,-0.89,92.1,87.5,83.6,90.3,78.2,,0.226,0.369,0.326,0.235,0.443,0.215,0.143,0.143,0.316,0.249,0.378,0.251,0.364,0.727,0.167,,,,0.284,0.511,0.25,,,,,,,,,,,,,,,,,,,,,
2024-08-12,7:10 PM.,NYY,CWS,home,Cloudy.,77,661563,2B,4,1,1,0,0,1,3,0,0,1,1,0.213,0.244,0.347,0.591,661563,luisgil,Gil,Right,Luis Gil,NYY,3.5,3.8,151.2,95.0,110.0,100.0,0.742,10.15,4.57,6.17,1.07,0.76,0.266,0.429,0.168,0.321,0.398,80.0,93.0,93.0,,,,128.0,96.0,102.0,,,,108.0,94.0,105.0,,,,,0.488,,0.259,,0.253,0.06,,,1.37,,0.37,96.6,,91.6,,87.5,,0.179,0.282,0.269,0.205,0.395,0.285,,,,,,,0.171,0.312,0.315,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-10,6:15 PM.,CHC,CWS,home,Partly Cloudy.,76,657006,SS,4,0,1,0,0,0,1,0,0,1,3,0.211,0.243,0.31,0.553,657006,justinsteele,Steele,Left,Justin Steele,CHC,3.07,2.74,134.2,103.0,99.0,102.0,0.792,9.02,2.47,7.42,0.8,1.2,0.288,0.38,0.174,0.264,0.513,70.0,92.0,94.0,92.0,120.0,108.0,89.0,102.0,100.0,64.0,104.0,95.0,130.0,105.0,109.0,,,,0.053,0.595,,0.297,0.022,0.033,0.38,,0.43,1.81,2.76,0.32,91.6,,86.2,91.6,83.3,79.9,0.222,0.222,0.172,0.253,0.396,0.223,0.292,0.458,0.182,,,,0.16,0.243,0.282,0.0,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-09,7:10 PM.,CHC,CWS,home,Overcast.,69,592791,2B,4,0,1,0,0,0,1,0,0,1,1,0.209,0.243,0.313,0.556,592791,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.27,4.05,165.1,107.0,85.0,102.0,0.823,6.8,1.8,8.38,1.14,0.99,0.223,0.445,0.136,0.328,0.468,78.0,102.0,95.0,104.0,111.0,113.0,66.0,106.0,96.0,74.0,104.0,92.0,104.0,116.0,120.0,92.0,103.0,98.0,0.109,0.296,0.251,0.155,0.147,0.043,-0.27,2.12,1.47,0.65,-1.04,-2.45,92.3,86.5,86.0,92.5,80.4,79.5,0.273,0.576,0.148,0.287,0.497,0.147,0.219,0.297,0.085,0.252,0.31,0.191,,,,0.232,0.424,0.23,0.183,0.296,0.317,,,,,,,,,,,,,,,,,,,,,
2024-08-07,12:37 PM.,OAK,CWS,away,Sunny.,75,683155,2B,4,0,0,0,0,0,0,0,0,0,1,0.206,0.242,0.317,0.559,683155,joeyestes,Estes,Right,Joey Estes,OAK,5.01,4.43,127.2,106.0,91.0,104.0,0.833,6.49,1.9,9.16,1.62,0.44,0.258,0.413,0.171,0.302,0.479,78.0,93.0,94.0,,,,80.0,106.0,99.0,61.0,93.0,83.0,114.0,113.0,117.0,111.0,89.0,91.0,0.034,0.517,0.007,0.332,,0.111,0.08,-13.81,-1.55,-0.2,,-2.46,92.4,86.4,84.8,90.8,79.6,,0.357,0.738,0.204,0.257,0.469,0.175,0.263,0.579,0.147,,,,0.261,0.435,0.223,,,,0.217,0.367,0.216,,,,,,,,,,,,,,,,,,,,,
2024-08-06,6:40 PM.,OAK,CWS,away,Clear.,76,548389,2B,4,1,2,0,0,0,0,0,0,1,0,0.22,0.258,0.339,0.597,548389,rossstripling,Stripling,Right,Ross Stripling,OAK,6.01,4.74,85.1,105.0,86.0,98.0,0.849,5.17,2.32,11.5,0.74,1.11,0.304,0.359,0.175,0.301,0.443,90.0,111.0,105.0,,,,62.0,100.0,87.0,90.0,102.0,90.0,121.0,108.0,112.0,80.0,107.0,92.0,0.142,0.303,0.159,0.134,,0.176,-0.05,0.67,-0.67,-1.89,,-1.87,91.7,87.5,82.7,90.2,84.7,,0.333,0.52,0.241,0.244,0.422,0.175,0.39,0.441,0.078,0.245,0.367,0.156,0.328,0.5,0.157,0.364,0.455,0.179,,,,,,,,,,,,,,,,,89.0,105.0,106.0,0.086,,-1.1,,76.3
