date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,KC%,wFC/C,wSI/C,wKC/C,vFC,vSI,vKC,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,FA%,CU%,CH%,wFA/C,wCU/C,wCH/C,vFA,vCH,vCU,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,SV_ba,SV_slg,SV_whiff,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff
2023-07-25,7:10 PM.,CIN,MIL,home,Clear.,85,671096,2B,2,0,0,0,0,0,0,0,0,2,2,0.2,0.273,0.3,0.573,671096,andrewabbott,"Abbott, A",Left,Andrew Abbott,CIN,3.87,3.93,109.1,101.0,87.0,97.0,0.765,9.88,3.62,8.23,1.32,0.55,0.255,0.381,0.133,0.347,0.404,,,,,,,,,,,,,,,,,,,0.367,0.65,0.26,,,,,,,72.0,96.0,91.0,99.0,103.0,103.0,81.0,99.0,91.0,0.501,0.171,0.163,-0.02,-2.27,0.99,92.7,86.6,80.9,0.203,0.27,0.3939999999999999,0.249,0.459,0.198,106.0,107.0,113.0,0.165,1.61,82.9,0.174,0.304,0.29,,,,,,,,,,,,,,,
2023-07-24,7:10 PM.,CIN,MIL,home,Overcast.,78,668933,DH,2,0,0,0,0,0,0,0,0,2,3,0.25,0.333,0.375,0.708,668933,grahamashcraft,Ashcraft,Right,Graham Ashcraft,CIN,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.164,0.302,0.435,57.0,90.0,82.0,,,,116.0,98.0,100.0,0.097,0.529,,0.15,-1.17,,95.8,96.5,,,,,0.286,0.429,0.1,0.292,0.436,0.171,,,,,,,,,,,,0.0,,,-25.75,,90.4,,,,,,,,166.0,102.0,114.0,0.373,-0.37,88.3,0.221,0.461,0.3289999999999999,,,,,,,,,,,,,,,
2023-07-19,6:44 PM.,PHI,MIL,away,Cloudy.,82,650911,2B,2,1,0,0,0,0,0,0,0,1,0,0.333,0.429,0.5,0.929,650911,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.44,3.74,99.1,101.0,83.0,100.0,0.759,8.7,1.45,7.97,1.45,2.19,0.21,0.445,0.157,0.342,0.429,71.0,104.0,97.0,,,,,,,0.462,,,,0.65,,,92.1,,,,,0.297,0.523,0.107,,,,75.0,98.0,104.0,,,,,,,,,0.327,,,1.1,,81.8,,0.148,0.274,0.43,,,,123.0,100.0,100.0,0.211,0.2,82.7,0.25,0.456,0.297,,,,,,,,,,,,,,,
2023-07-06,1:10 PM.,CHC,MIL,home,Partly Cloudy.,76,573186,DH,0,0,0,0,0,0,0,0,0,0,0,0.5,0.6,0.75,1.35,573186,marcusstroman,Stroman,Right,Marcus Stroman,CHC,3.95,4.27,136.2,100.0,101.0,99.0,0.793,7.84,3.42,7.9,0.59,2.6,0.207,0.434,0.135,0.302,0.382,102.0,97.0,95.0,,,,105.0,96.0,98.0,0.464,0.096,,0.96,1.08,,89.7,91.4,,,,,0.245,0.332,0.143,0.26,0.42,0.242,,,,139.0,103.0,111.0,58.0,106.0,91.0,0.082,0.23,,0.34,0.34,,92.0,,84.6,,,,0.154,0.256,0.32,78.0,111.0,109.0,0.051,-0.41,86.1,0.184,0.237,0.322,46.0,95.0,91.0,0.077,0.12,86.6,0.24,0.38,0.301,0.205,0.308,0.324,,,
2023-07-05,7:10 PM.,CHC,MIL,home,Roof Closed.,81,657006,DH,3,1,1,0,0,0,0,1,1,0,0,0.5,0.6,0.75,1.35,657006,justinsteele,Steele,Left,Justin Steele,CHC,3.06,3.5,173.1,102.0,99.0,102.0,0.781,9.14,1.87,8.67,0.73,1.7,0.243,0.433,0.179,0.278,0.467,45.0,95.0,88.0,,,,,,,0.018,,,,0.89,,,92.2,,0.0,0.0,0.3329999999999999,0.25,0.333,0.1669999999999999,,,,69.0,85.0,78.0,87.0,98.0,109.0,88.0,102.0,98.0,0.626,0.006,0.01,0.67,2.44,-1.94,91.8,87.5,80.7,0.4,0.4,0.1,0.275,0.393,0.203,123.0,104.0,111.0,0.339,0.54,83.3,0.217,0.346,0.311,,,,,,,,,,,,,,,
2023-07-04,3:09 PM.,CHC,MIL,home,Partly Cloudy.,86,543294,DH,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,2.0,3.0,543294,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,3.74,4.13,137.0,105.0,60.0,93.0,0.801,6.11,1.77,9.07,0.85,1.36,0.196,0.438,0.233,0.249,0.383,72.0,110.0,99.0,,,,,,,0.349,,,,0.04,,,87.5,,0.25,0.25,0.4379999999999999,0.318,0.46,0.08,,,,43.0,107.0,90.0,97.0,79.0,84.0,67.0,100.0,93.0,0.205,0.035,0.411,-1.61,0.0,1.43,87.8,80.7,73.3,0.18,0.279,0.324,0.38,0.658,0.1119999999999999,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-03,1:11 PM.,CHC,MIL,home,Sunny.,83,592767,PH,1,0,1,1,0,0,3,0,0,0,0,1.0,1.0,2.0,3.0,592767,drewsmyly,Smyly,Left,Drew Smyly,CHC,5.0,4.13,142.1,98.0,92.0,95.0,0.755,8.92,3.54,9.3,1.64,0.79,0.229,0.428,0.182,0.31,0.382,77.0,94.0,88.0,105.0,102.0,103.0,86.0,94.0,82.0,0.389,0.117,0.494,-0.51,-1.32,-0.09,88.6,91.9,78.6,0.229,0.399,0.36,0.314,0.6,0.173,0.293,0.463,0.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-27,7:18 PM.,BOS,NYY,away,Clear.,81,676710,PR,0,1,0,0,0,0,0,0,0,0,0,0.238,0.304,0.381,0.685,676710,kuttercrawford,"Crawford, K",Right,Kutter Crawford,BOS,4.36,3.86,183.2,105.0,108.0,107.0,0.766,8.58,2.5,7.6,1.67,0.67,0.244,0.424,0.164,0.288,0.446,,,,98.0,97.0,99.0,114.0,104.0,104.0,,0.32,0.072,0.55,,1.14,87.5,,77.3,0.143,0.171,0.219,,,,0.216,0.418,0.265,,,,,,,109.0,109.0,112.0,0.337,,,-0.43,,,92.6,,,,,,0.255,0.5,0.198,100.0,99.0,102.0,0.185,-0.56,80.8,,,,87.0,102.0,106.0,0.086,0.47,82.4,,,,0.192,0.26,0.404,0.222,0.437,0.263
2024-07-24,7:08 PM.,NYM,NYY,home,Partly Cloudy.,76,640455,RF,0,0,0,0,0,0,0,0,0,0,0,0.238,0.304,0.381,0.685,640455,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.47,3.75,181.2,97.0,90.0,96.0,0.76,9.12,3.12,6.64,1.04,0.87,0.266,0.376,0.156,0.32,0.436,95.0,100.0,97.0,,,,84.0,88.0,85.0,0.447,0.071,,0.97,1.36,,88.4,92.3,,,,,0.201,0.333,0.21,0.222,0.25,0.179,83.0,98.0,95.0,,,,88.0,103.0,99.0,0.113,,0.118,1.13,,-1.19,92.3,85.3,,0.25,0.438,0.254,0.167,0.295,0.311,88.0,88.0,93.0,0.251,0.37,79.5,0.174,0.435,0.32,,,,,,,,,,,,,0.193,0.311,0.388
2024-07-23,7:09 PM.,NYM,NYY,home,Cloudy.,76,500779,DH,3,0,0,0,0,0,0,0,0,2,2,0.238,0.304,0.381,0.685,500779,josequintana,Quintana,Left,Jose Quintana,NYM,3.75,4.52,170.1,97.0,83.0,93.0,0.801,7.13,3.33,7.93,1.16,1.35,0.224,0.407,0.173,0.344,0.337,76.0,97.0,91.0,,,,,,,0.304,,,,0.82,,,90.8,,0.265,0.444,0.264,0.249,0.431,0.131,,,,70.0,100.0,97.0,110.0,100.0,99.0,70.0,92.0,85.0,0.225,0.278,0.193,-0.32,-0.04,0.5,90.7,85.7,77.7,0.203,0.26,0.367,0.227,0.427,0.169,,,,,,,,,,,,,,,,0.195,0.366,0.284,,,,,,
