date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2023-09-14,12:37 PM.,PIT,WSH,away,Partly Cloudy.,67,656605,LF,3,0,0,0,0,0,0,0,0,1,0,0.161,0.297,0.258,0.555,656605,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,4.21,4.18,194.1,103.0,104.0,103.0,0.797,9.73,2.55,8.66,1.16,1.29,0.277,0.358,0.172,0.31,0.456,83.0,104.0,97.0,91.0,94.0,98.0,100.0,106.0,100.0,142.0,104.0,123.0,0.261,0.161,0.08,0.028,0.66,-0.5,-1.97,-2.63,95.2,90.7,82.8,78.0,0.176,0.351,0.302,0.221,0.324,0.272,0.273,0.614,0.235,0.36,0.6,0.211,93.0,106.0,100.0,99.0,98.0,99.0,0.228,0.242,-0.07,1.66,89.7,93.9,0.258,0.346,0.105,0.316,0.503,0.236,,,,,,,,,,,,,,,,,,,,,
2023-09-13,6:36 PM.,PIT,WSH,away,Partly Cloudy.,70,681882,LF,3,1,0,0,0,0,0,0,1,1,2,0.179,0.324,0.286,0.61,681882,colinselby,Selby,Right,Colin Selby,PIT,9.0,5.52,24.0,93.0,114.0,97.0,0.714,11.25,5.63,10.88,1.5,1.74,0.232,0.449,0.188,0.333,0.391,,,,109.0,104.0,111.0,100.0,53.0,53.0,127.0,85.0,94.0,0.002,0.364,0.172,,-5.8,0.01,-0.52,,97.4,,88.4,82.7,,,,0.192,0.423,0.418,0.241,0.31,0.342,,,,106.0,97.0,95.0,,,,0.462,,,-1.24,,96.6,0.395,0.535,0.163,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-11,6:37 PM.,PIT,WSH,away,Clear.,77,656578,LF,3,0,0,0,0,0,0,0,1,0,0,0.2,0.333,0.32,0.653,656578,andrejackson,Jackson,Right,Andre Jackson,- - -,4.99,5.37,61.1,101.0,93.0,97.0,0.782,8.36,3.23,7.63,1.61,0.91,0.267,0.449,0.125,0.415,0.429,85.0,106.0,100.0,96.0,93.0,93.0,99.0,98.0,94.0,90.0,101.0,103.0,0.446,0.17,0.065,0.32,0.74,1.4,1.88,-1.7,94.9,86.9,87.1,81.5,0.222,0.367,0.191,0.148,0.296,0.206,0.067,0.067,0.3229999999999999,0.273,0.566,0.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-09,8:15 PM.,LAD,WSH,home,Cloudy.,72,676272,RF,3,0,0,0,0,0,0,0,0,2,1,0.227,0.346,0.364,0.71,676272,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,3.76,3.4,124.1,102.0,123.0,110.0,0.764,8.61,2.32,7.6,0.87,1.46,0.256,0.428,0.147,0.299,0.426,105.0,100.0,117.0,115.0,100.0,110.0,130.0,102.0,105.0,153.0,110.0,121.0,0.289,0.174,0.185,0.16,1.2,-1.0,1.25,0.6,99.0,88.2,89.7,80.6,0.258,0.367,0.206,0.5,0.75,0.25,0.184,0.303,0.36,0.133,0.307,0.3989999999999999,107.0,99.0,100.0,,,,0.192,,,1.75,,98.8,0.258,0.382,0.178,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-08,7:05 PM.,LAD,WSH,home,Partly Cloudy.,89,686218,RF,3,0,1,0,0,0,0,0,1,0,0,0.263,0.391,0.421,0.812,686218,emmetsheehan,Sheehan,Right,Emmet Sheehan,LAD,4.92,3.5,60.1,95.0,101.0,97.0,0.732,9.55,3.88,6.86,1.64,0.62,0.21,0.433,0.121,0.287,0.395,74.0,99.0,100.0,,,,104.0,96.0,95.0,112.0,98.0,103.0,0.6,0.228,,0.172,0.04,1.57,,0.51,95.4,82.9,85.8,,0.24,0.504,0.2019999999999999,0.091,0.182,0.412,,,,0.178,0.333,0.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-06,7:05 PM.,NYM,WSH,home,Clear.,97,676130,RF,3,0,0,0,0,0,0,0,0,1,1,0.25,0.368,0.438,0.806,676130,josebutto,Buttó,Right,José Buttó,NYM,3.64,3.9,42.0,96.0,97.0,94.0,0.745,8.14,4.93,7.07,0.64,1.07,0.161,0.458,0.161,0.314,0.364,83.0,96.0,92.0,76.0,88.0,94.0,101.0,96.0,94.0,109.0,104.0,106.0,0.509,0.151,0.055,0.229,1.65,1.11,1.56,-2.44,93.8,85.5,86.2,80.0,0.174,0.275,0.2269999999999999,0.154,0.308,0.389,0.2,0.2,0.267,0.316,0.395,0.373,86.0,86.0,79.0,,,,0.056,,,4.53,,92.9,0.231,0.231,0.185,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-05,7:04 PM.,NYM,WSH,home,Partly Cloudy.,92,500779,LF,4,0,1,0,0,0,0,0,0,0,2,0.308,0.438,0.538,0.976,500779,josequintana,Quintana,Left,Jose Quintana,NYM,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.286,0.349,65.0,102.0,91.0,96.0,106.0,102.0,81.0,101.0,95.0,,,,0.242,,0.253,0.181,-2.28,,1.45,-1.18,90.2,85.8,,77.2,0.391,0.594,0.217,,,,0.214,0.268,0.2689999999999999,0.276,0.379,0.296,78.0,99.0,91.0,,,,0.323,,,3.29,,90.4,0.196,0.25,0.135,,,,0.211,0.368,0.207,,,,,,,,,,,,,,,,,,
2023-09-03,1:36 PM.,MIA,WSH,home,Sunny.,91,645261,LF,4,0,1,0,0,0,0,0,0,0,1,0.333,0.5,0.667,1.167,645261,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,MIA,4.14,4.33,184.2,105.0,113.0,108.0,0.771,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.343,0.452,108.0,104.0,107.0,134.0,99.0,105.0,111.0,111.0,107.0,116.0,103.0,110.0,0.213,0.201,0.022,0.273,-0.27,0.72,-0.52,-0.43,98.0,91.1,89.9,86.1,0.253,0.448,0.267,0.227,0.364,0.352,0.308,0.308,0.182,0.282,0.401,0.299,115.0,106.0,108.0,,,,0.29,,,1.72,,97.6,0.237,0.366,0.124,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-02,4:05 PM.,MIA,WSH,home,Sunny.,84,456501,LF,3,0,1,0,0,0,0,0,1,1,0,0.4,0.625,1.0,1.625,456501,johnnycueto,Cueto,Right,Johnny Cueto,MIA,6.02,5.13,52.1,107.0,84.0,103.0,0.831,6.71,2.58,8.77,2.92,0.7,0.298,0.472,0.161,0.323,0.408,73.0,106.0,102.0,120.0,47.0,56.0,87.0,116.0,112.0,88.0,95.0,96.0,0.346,0.234,0.004,0.192,-0.03,-1.92,-3.06,-3.11,92.2,84.1,86.1,76.0,0.242,0.53,0.245,0.27,0.73,0.154,,,,0.286,0.595,0.278,89.0,103.0,100.0,69.0,90.0,66.0,0.196,0.028,0.08,2.47,88.1,92.2,0.244,0.4,0.035,0.222,0.333,0.1,,,,,,,,,,,,,,,,,,,,,
2023-09-01,7:05 PM.,MIA,WSH,home,Clear.,75,691587,LF,2,1,1,0,0,1,1,0,2,0,0,0.5,0.75,2.0,2.75,691587,euryperez,"Pérez, Eu",Right,Eury Pérez,MIA,3.15,3.61,91.1,98.0,110.0,105.0,0.685,10.64,3.05,7.09,1.48,0.46,0.206,0.464,0.159,0.391,0.407,86.0,85.0,82.0,91.0,95.0,99.0,128.0,100.0,109.0,101.0,102.0,107.0,0.454,0.308,0.14,0.098,-0.47,0.99,1.89,0.99,97.5,89.7,86.4,81.2,0.289,0.585,0.187,0.183,0.365,0.477,0.098,0.171,0.5429999999999999,0.045,0.045,0.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-18,1:36 PM.,PHI,WSH,away,Partly Cloudy.,83,592836,DH,3,0,1,0,0,0,1,0,0,1,1,0.129,0.156,0.161,0.317,592836,taijuanwalker,"Walker, T",Right,Taijuan Walker,PHI,7.1,7.09,83.2,98.0,88.0,95.0,0.847,6.24,3.98,11.51,2.58,0.93,0.184,0.442,0.131,0.389,0.429,,,,87.0,96.0,97.0,61.0,93.0,83.0,56.0,108.0,104.0,0.126,0.178,0.108,,-2.65,2.03,1.99,,91.5,,85.1,74.7,0.346,0.615,0.232,,,,0.172,0.31,0.149,,,,78.0,98.0,91.0,95.0,91.0,87.0,0.275,0.094,-4.99,-2.96,87.3,91.1,0.378,0.684,0.082,0.435,1.087,0.093,,,,0.157,0.314,0.28,,,,,,,108.0,101.0,106.0,0.219,-4.16,86.7,0.38,0.652,0.163
2024-08-11,11:35 AM.,LAA,WSH,home,Cloudy.,77,686799,DH,4,0,0,0,0,0,0,0,0,0,0,0.107,0.138,0.143,0.281,686799,jackkochanowicz,Kochanowicz,Right,Jack Kochanowicz,LAA,3.99,4.97,65.1,101.0,100.0,102.0,0.867,3.44,1.38,9.37,0.96,2.33,0.202,0.39,0.152,0.35,0.513,74.0,103.0,98.0,111.0,95.0,106.0,87.0,95.0,90.0,,,,0.062,,0.184,0.03,-1.87,,-1.06,-3.35,96.3,88.3,,85.0,0.167,0.5,0.364,,,,0.235,0.412,0.25,0.333,0.444,0.067,99.0,103.0,102.0,,,,0.724,,,0.89,,95.8,0.286,0.411,0.121,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-10,6:45 PM.,LAA,WSH,home,Cloudy.,88,656288,DH,3,0,0,0,0,0,0,0,0,0,0,0.125,0.16,0.167,0.327,656288,griffincanning,Canning,Right,Griffin Canning,LAA,5.19,4.74,171.2,98.0,88.0,97.0,0.772,6.82,3.46,9.12,1.63,1.04,0.225,0.434,0.128,0.367,0.401,96.0,102.0,102.0,75.0,96.0,96.0,73.0,94.0,86.0,107.0,100.0,110.0,0.376,0.24,0.107,0.267,-0.85,-0.91,-0.86,0.48,93.4,88.6,87.7,80.6,0.251,0.529,0.147,0.284,0.444,0.331,0.271,0.438,0.241,0.259,0.387,0.288,76.0,89.0,78.0,,,,0.01,,,-6.83,,93.0,0.429,0.857,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-09,6:45 PM.,LAA,WSH,home,Cloudy.,82,667755,DH,1,0,0,0,0,0,0,0,0,0,0,0.143,0.182,0.19,0.372,667755,josesoriano,"Soriano, J",Right,José Soriano,LAA,3.42,4.14,113.0,95.0,100.0,99.0,0.779,7.73,3.58,7.25,0.64,2.69,0.212,0.399,0.171,0.294,0.404,,,,,,,96.0,92.0,86.0,117.0,92.0,99.0,0.146,0.055,,,-2.05,0.02,,,98.8,,91.5,,0.356,0.622,0.103,0.143,0.214,0.463,0.226,0.376,0.402,,,,95.0,95.0,96.0,,,,0.464,,,2.22,,97.7,0.214,0.26,0.167,,,,,,,,,,98.0,96.0,108.0,0.254,-0.42,86.4,120.0,100.0,112.0,0.081,0.8,92.7,0.15,0.3,0.329
2024-08-08,12:05 PM.,SF,WSH,home,Drizzle.,77,690986,DH,0,1,0,0,0,0,0,0,1,0,0,0.15,0.19,0.2,0.39,690986,kyleharrison,Harrison,Left,Kyle Harrison,SFG,4.56,4.87,124.1,98.0,89.0,92.0,0.793,8.54,3.04,9.05,1.3,1.01,0.282,0.329,0.142,0.345,0.431,70.0,96.0,88.0,84.0,95.0,95.0,98.0,100.0,92.0,93.0,107.0,97.0,0.577,0.003,0.223,0.197,0.2,-11.71,-0.22,-1.64,92.5,84.8,88.2,80.6,0.249,0.425,0.23,0.333,0.667,0.5,,,,0.287,0.435,0.215,,,,,,,,,,,,,,,,,,,0.274,0.452,0.277,,,,,,,,,,,,,,,,,,
2024-08-07,6:45 PM.,SF,WSH,home,Overcast.,84,605483,DH,1,0,0,0,0,0,0,0,0,1,0,0.15,0.15,0.2,0.35,605483,blakesnell,Snell,Left,Blake Snell,SFG,3.12,2.57,104.0,98.0,122.0,104.0,0.641,12.55,3.81,5.63,0.52,1.03,0.263,0.404,0.171,0.254,0.356,110.0,108.0,116.0,148.0,99.0,109.0,116.0,96.0,100.0,106.0,87.0,91.0,0.464,0.101,0.26,0.176,1.16,0.11,2.25,0.95,95.9,85.5,88.7,81.1,0.2,0.303,0.244,0.167,0.267,0.446,0.111,0.183,0.498,0.236,0.319,0.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-06,6:45 PM.,SF,WSH,home,Cloudy.,87,806185,DH,3,0,0,0,0,0,2,0,0,1,2,0.158,0.158,0.211,0.369,806185,haydenbirdsong,Birdsong,Right,Hayden Birdsong,SFG,4.75,4.65,72.0,92.0,111.0,97.0,0.728,11.0,5.38,7.13,1.38,0.96,0.239,0.394,0.1,0.417,0.382,155.0,91.0,114.0,111.0,102.0,104.0,90.0,89.0,85.0,119.0,90.0,100.0,0.446,0.184,0.187,0.184,-0.02,-0.26,0.82,-0.87,95.8,88.1,86.4,80.5,0.216,0.44,0.182,0.244,0.512,0.487,0.145,0.218,0.327,0.269,0.365,0.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-05,6:45 PM.,SF,WSH,home,Clear.,90,657277,DH,4,0,2,0,0,0,0,0,0,1,4,0.188,0.188,0.25,0.438,657277,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.31,204.2,104.0,111.0,106.0,0.814,7.56,2.2,8.88,0.48,2.5,0.23,0.36,0.17,0.292,0.403,137.0,105.0,112.0,,,,57.0,106.0,88.0,126.0,104.0,114.0,0.053,0.212,,0.309,0.2,0.16,,-0.13,92.6,87.4,83.8,,0.179,0.231,0.329,,,,,,,0.275,0.411,0.216,95.0,104.0,102.0,52.0,95.0,88.0,0.399,0.026,4.3,1.32,91.0,92.6,0.268,0.338,0.144,0.077,0.077,0.265,,,,0.239,0.331,0.268,,,,,,,,,,,,,,,
2024-08-04,1:35 PM.,MIL,WSH,home,Cloudy.,83,668964,DH,2,0,0,0,0,0,0,0,0,1,1,0.083,0.083,0.167,0.25,668964,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.0,4.22,138.0,102.0,92.0,97.0,0.81,8.28,2.35,8.22,1.17,0.93,0.262,0.416,0.13,0.314,0.432,109.0,86.0,90.0,73.0,99.0,104.0,87.0,105.0,100.0,92.0,106.0,103.0,0.401,0.21,0.041,0.114,0.58,1.43,-3.19,1.18,92.9,81.1,85.5,77.8,0.239,0.436,0.194,0.198,0.255,0.248,0.421,0.579,0.194,0.083,0.083,0.444,71.0,92.0,74.0,96.0,100.0,91.0,0.005,0.23,-0.75,11.28,89.2,91.5,0.0,0.0,0.0,0.336,0.518,0.123,,,,,,,,,,,,,,,,,,,,,
2024-08-03,4:04 PM.,MIL,WSH,home,Partly Cloudy.,95,650644,DH,4,1,1,1,0,0,2,0,0,1,0,0.1,0.1,0.2,0.3,650644,aaroncivale,Civale,Right,Aaron Civale,- - -,4.36,4.0,161.0,100.0,96.0,100.0,0.801,8.33,2.91,8.83,1.62,0.83,0.253,0.411,0.145,0.315,0.399,,,,104.0,104.0,109.0,68.0,102.0,96.0,152.0,101.0,112.0,0.099,0.163,0.156,,-1.7,-1.03,-1.36,,92.0,,80.5,77.1,0.294,0.49,0.095,0.25,0.375,0.438,0.25,0.479,0.275,,,,71.0,93.0,83.0,91.0,100.0,101.0,0.24,0.322,1.08,0.06,88.1,92.6,0.241,0.421,0.158,0.232,0.394,0.233,,,,0.267,0.467,0.272,,,,,,,57.0,96.0,102.0,0.02,-4.86,85.6,0.375,0.625,0.261
2024-08-02,6:45 PM.,MIL,WSH,home,Cloudy.,95,593423,RF,3,0,0,0,0,0,0,0,0,2,3,0.0,0.0,0.0,0.0,593423,frankiemontas,Montas,Right,Frankie Montas,- - -,4.84,4.71,150.2,101.0,98.0,99.0,0.777,8.84,3.94,8.36,1.43,1.1,0.235,0.376,0.147,0.311,0.418,,,,,,,83.0,105.0,98.0,117.0,103.0,106.0,0.332,0.107,,,-0.02,-1.94,,,95.6,,85.4,,0.206,0.367,0.231,0.288,0.577,0.325,,,,,,,83.0,100.0,98.0,109.0,95.0,95.0,0.191,0.187,-1.4,1.13,90.4,94.8,0.248,0.407,0.113,0.326,0.609,0.223,,,,,,,,,,,,,119.0,99.0,105.0,0.183,-0.23,86.0,0.218,0.297,0.426
2024-07-31,12:41 PM.,AZ,WSH,away,Roof Closed.,78,668678,RF,2,0,0,0,0,0,0,0,0,1,3,0.0,0.0,0.0,0.0,668678,zacgallen,Gallen,Right,Zac Gallen,ARI,3.65,3.97,148.0,101.0,101.0,101.0,0.761,9.49,3.28,8.09,0.79,1.38,0.231,0.396,0.133,0.351,0.348,88.0,107.0,98.0,,,,101.0,95.0,96.0,107.0,102.0,102.0,0.463,0.087,,0.14,-0.55,-0.56,,0.43,93.7,86.6,87.0,,0.28,0.46,0.133,0.31,0.476,0.337,0.148,0.23,0.392,0.27,0.382,0.265,132.0,80.0,80.0,89.0,87.0,79.0,0.001,0.031,-0.78,-1.02,90.3,94.7,,,,0.25,0.625,0.36,,,,,,,107.0,108.0,112.0,0.277,2.29,81.0,,,,,,,,,
2024-07-30,6:40 PM.,AZ,WSH,away,Roof Closed.,78,669194,RF,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,669194,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.24,4.17,150.2,106.0,100.0,104.0,0.838,7.53,2.03,9.26,1.02,1.14,0.274,0.39,0.14,0.338,0.463,108.0,99.0,107.0,91.0,94.0,94.0,105.0,107.0,106.0,111.0,112.0,110.0,0.557,0.103,0.057,0.099,0.64,-0.66,1.81,-2.35,95.2,83.0,83.8,77.8,0.249,0.418,0.195,0.226,0.34,0.156,0.138,0.207,0.148,0.302,0.587,0.203,,,,78.0,107.0,96.0,,0.184,-0.85,,91.2,,,,,0.317,0.508,0.154,,,,0.4,0.733,0.167,,,,,,,,,,,,,,,
