date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff
2024-09-25,6:40 PM.,OAK,TEX,away,Partly Cloudy.,64,669620,LF,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,669620,bradybasso,Basso,Left,Brady Basso,0.225,0.325,0.165,0.357,0.571,0.227,,,,OAK,4.03,3.46,22.1,104.0,82.0,98.0,0.765,7.66,2.01,9.27,1.21,1.07,0.275,0.406,0.145,0.333,0.443,77.0,96.0,84.0,79.0,112.0,110.0,77.0,100.0,95.0,43.0,110.0,99.0,,,,102.0,107.0,103.0,0.023,0.469,0.18,,0.206,0.123,2.37,-2.37,-1.21,,1.0,-3.63,92.2,88.1,86.4,92.0,,76.4,0.385,0.615,0.308,,,,0.2,0.2,0.385
2024-09-11,12:41 PM.,AZ,TEX,away,Roof Closed.,78,518876,RF,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,518876,merrillkelly,"Kelly, M",Right,Merrill Kelly,0.26,0.54,0.204,0.099,0.099,0.315,0.273,0.455,0.394,ARI,4.03,4.94,73.2,105.0,98.0,101.0,0.806,7.7,2.32,8.19,1.34,1.17,0.209,0.456,0.13,0.335,0.381,122.0,108.0,106.0,116.0,108.0,107.0,73.0,106.0,97.0,84.0,98.0,90.0,114.0,111.0,111.0,95.0,103.0,98.0,0.147,0.197,0.252,0.118,0.077,0.21,-0.76,0.01,-3.28,-0.18,-1.78,4.47,91.9,90.3,88.4,92.3,85.6,82.2,0.276,0.5,0.109,0.378,0.644,0.086,0.25,0.55,0.205
2024-09-06,7:07 PM.,LAA,TEX,home,Roof Closed.,74,691951,LF,2,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,691951,samuelaldegheri,Aldegheri,Left,Sam Aldegheri,0.313,0.531,0.194,0.222,0.222,0.214,0.273,0.455,0.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
