date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,SL%,CU%,CH%,wSI/C,wSL/C,wCU/C,wCH/C,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ FA,Loc+ FA,Pit+ FA,FA%,KC%,wFA/C,wKC/C,vFA,vKC,FF_ba,FF_slg,FF_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C,FO%,wFO/C,vFO
2023-07-24,6:40 PM.,SD,PIT,away,Clear.,72,506433,2B,3,0,1,0,0,0,0,0,0,1,2,0.233,0.276,0.356,0.632,506433,yudarvish,Darvish,Right,Yu Darvish,SDP,4.56,3.82,136.1,102.0,112.0,106.0,0.769,9.31,2.84,8.85,1.19,1.19,0.236,0.39,0.181,0.306,0.453,180.0,50.0,53.0,97.0,94.0,104.0,101.0,106.0,102.0,125.0,98.0,108.0,0.186,0.363,0.051,0.001,0.46,-0.68,1.37,-1.35,82.3,94.3,84.0,72.3,0.319,0.418,0.157,,,,0.13,0.203,0.391,0.432,0.703,0.244,122.0,110.0,114.0,0.167,0.066,-1.74,3.06,94.7,79.3,0.253,0.538,0.159,105.0,111.0,112.0,93.0,95.0,99.0,0.089,2.4,90.9,0.2,0.32,0.196,95.0,104.0,100.0,0.077,1.21,89.2,0.167,0.217,0.4,,,,,,,,,
2023-07-21,6:39 PM.,LAA,PIT,away,Partly Cloudy.,79,660271,SS,3,0,0,0,0,0,0,0,0,1,2,0.231,0.276,0.357,0.633,660271,shoheiohtani,Ohtani,Right,Shohei Ohtani,LAA,3.14,3.82,132.0,96.0,121.0,103.0,0.722,11.39,3.75,5.8,1.23,1.25,0.253,0.441,0.185,0.343,0.457,,,,87.0,97.0,105.0,104.0,94.0,95.0,136.0,97.0,112.0,0.06,0.356,0.036,,-0.53,1.81,1.15,,,94.5,83.7,75.7,0.273,0.409,0.225,,,,0.111,0.167,0.417,0.146,0.339,0.365,114.0,99.0,100.0,0.33,,1.64,,96.8,,0.164,0.236,0.27,,,,96.0,89.0,88.0,0.156,-0.82,88.6,0.31,0.606,0.228,129.0,93.0,108.0,0.062,-0.25,88.6,0.179,0.205,0.411,,,,,,,,,
2023-07-19,12:37 PM.,CLE,PIT,home,Cloudy.,75,650644,SS,4,0,0,0,0,0,0,0,0,2,4,0.235,0.28,0.362,0.642,650644,aaroncivale,Civale,Right,Aaron Civale,- - -,3.46,3.69,122.1,106.0,105.0,104.0,0.786,8.53,2.43,8.02,0.88,1.0,0.212,0.458,0.149,0.307,0.413,,,,153.0,113.0,120.0,75.0,101.0,89.0,128.0,111.0,116.0,0.185,0.058,0.244,,1.59,0.15,0.77,,,92.4,82.5,78.1,0.202,0.292,0.144,,,,0.188,0.323,0.273,0.172,0.345,0.2319999999999999,76.0,101.0,91.0,0.123,,-0.65,,91.8,,0.359,0.436,0.243,,,,96.0,104.0,103.0,0.372,1.13,87.7,0.261,0.406,0.2339999999999999,58.0,95.0,95.0,0.017,-6.33,85.2,0.5,0.625,0.182,,,,,,,,,
2023-07-16,12:07 PM.,SF,PIT,home,Partly Cloudy.,79,622072,SS,4,0,0,0,0,0,0,0,0,1,3,0.24,0.285,0.37,0.655,622072,alexwood,Wood,Left,Alex Wood,SFG,4.33,4.64,97.2,97.0,87.0,93.0,0.802,6.82,3.87,9.03,0.83,1.23,0.249,0.393,0.138,0.285,0.413,78.0,103.0,99.0,,,,80.0,95.0,88.0,110.0,93.0,95.0,0.446,0.261,,0.292,0.12,-0.8,,-0.33,85.2,91.5,82.4,,0.234,0.433,0.242,0.273,0.388,0.154,,,,0.288,0.441,0.25,,,,,0.001,,-5.8,,83.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-15,7:46 PM.,SF,PIT,home,Overcast.,86,502171,SS,4,0,1,0,0,0,0,0,0,0,0,0.245,0.291,0.378,0.669,502171,alexcobb,Cobb,Right,Alex Cobb,SFG,3.87,4.73,151.1,102.0,91.0,100.0,0.808,7.79,2.2,9.69,1.13,2.6,0.216,0.43,0.142,0.356,0.399,,,,,,,92.0,103.0,96.0,113.0,111.0,115.0,0.397,0.051,,,0.33,-1.31,,,,94.5,86.2,,0.28,0.435,0.129,,,,0.379,0.638,0.32,0.333,0.542,0.306,61.0,79.0,76.0,0.003,0.162,-3.47,-1.38,95.8,83.6,,,,115.0,95.0,103.0,,,,,,,,,,78.0,103.0,103.0,0.388,0.2,89.5,0.239,0.386,0.246,,,,,,,,,
2023-07-14,7:06 PM.,SF,PIT,home,Partly Cloudy.,85,548389,SS,3,0,2,0,0,0,1,0,0,0,0,0.245,0.291,0.38,0.671,548389,rossstripling,Stripling,Right,Ross Stripling,SFG,5.36,5.59,89.0,108.0,84.0,103.0,0.785,7.08,1.62,10.52,2.02,1.42,0.195,0.399,0.15,0.328,0.433,94.0,112.0,113.0,,,,47.0,109.0,88.0,97.0,109.0,106.0,0.092,0.292,,0.248,-0.64,0.07,,-2.35,83.7,90.3,87.2,,0.325,0.55,0.123,0.305,0.508,0.289,0.2,0.2,0.206,0.274,0.487,0.179,59.0,106.0,96.0,0.26,0.099,-0.38,1.22,92.5,75.9,0.275,0.512,0.275,119.0,95.0,102.0,,,,,,,,,,83.0,107.0,102.0,0.009,-0.82,85.6,,,,,,,,,,,,
2023-07-09,1:12 PM.,AZ,PIT,away,Roof Closed.,77,605200,SS,4,1,1,0,0,0,0,0,0,1,1,0.238,0.287,0.376,0.663,605200,zachdavies,Davies,Right,Zach Davies,ARI,7.0,5.48,82.1,100.0,75.0,92.0,0.799,7.87,4.26,10.71,1.09,1.3,0.239,0.398,0.14,0.371,0.36,78.0,106.0,100.0,89.0,99.0,100.0,71.0,97.0,88.0,113.0,105.0,101.0,0.325,0.027,0.061,0.248,-1.5,-1.83,-0.55,-1.19,80.7,89.6,80.8,77.0,0.381,0.552,0.096,0.275,0.477,0.372,0.188,0.5,0.2,0.25,0.5,0.1669999999999999,72.0,100.0,91.0,0.226,,-0.05,,89.3,,0.21,0.355,0.181,,,,73.0,93.0,88.0,0.113,0.13,87.5,0.3,0.3,0.145,,,,,,,,,,,,,,,,,,
2023-07-08,1:09 PM.,AZ,PIT,away,Roof Closed.,76,669459,SS,4,0,0,0,0,0,0,0,0,1,2,0.237,0.288,0.379,0.667,669459,kylenelson,"Nelson, K",Left,Kyle Nelson,ARI,4.18,3.74,56.0,108.0,91.0,106.0,0.71,10.77,2.25,9.48,1.93,0.88,0.217,0.471,0.178,0.344,0.434,,,,,,,,,,104.0,111.0,113.0,,0.592,0.001,,,-0.18,4.16,,,,85.4,78.4,,,,,,,,,,0.228,0.447,0.4039999999999999,64.0,104.0,93.0,0.321,,-1.23,,92.0,,0.321,0.556,0.141,,,,101.0,108.0,102.0,0.086,0.71,88.3,0.294,0.412,0.159,,,,,,,,,,,,,,,,,,
2023-07-07,6:40 PM.,AZ,PIT,away,Roof Closed.,74,668678,SS,3,0,1,0,0,0,1,1,1,0,1,0.243,0.294,0.387,0.681,668678,zacgallen,Gallen,Right,Zac Gallen,ARI,3.47,4.16,210.0,104.0,106.0,107.0,0.761,9.43,2.01,8.06,0.94,1.19,0.223,0.418,0.098,0.401,0.419,86.0,107.0,114.0,,,,97.0,95.0,92.0,105.0,116.0,112.0,0.007,0.045,,0.139,-3.38,0.34,,1.05,86.8,93.0,87.4,,0.286,0.714,0.125,0.21,0.336,0.314,0.21,0.344,0.405,0.25,0.389,0.265,104.0,104.0,106.0,0.491,0.227,1.59,0.46,93.6,82.5,0.238,0.36,0.192,121.0,104.0,112.0,106.0,99.0,94.0,0.092,-2.24,90.2,0.352,0.648,0.205,,,,,,,,,,,,,,,,,,
2023-07-06,7:10 PM.,LAD,PIT,away,Clear.,69,628711,SS,1,0,1,0,0,0,0,0,0,0,0,0.241,0.29,0.388,0.678,628711,juliourias,"Urías, J",Left,Julio Urías,LAD,4.6,4.16,117.1,105.0,105.0,107.0,0.788,8.97,1.84,8.59,1.84,0.82,0.234,0.471,0.192,0.312,0.453,91.0,109.0,108.0,132.0,103.0,112.0,,,,,,,,,0.3,0.157,,,0.84,-3.03,86.1,,,79.2,,,,0.296,0.593,0.299,,,,,,,90.0,101.0,98.0,0.451,,0.02,,92.7,,0.267,0.503,0.218,,,,109.0,124.0,127.0,0.092,-0.42,87.1,0.186,0.322,0.278,,,,,,,,,,0.233,0.457,0.2289999999999999,,,,,,
