date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CH%,wFC/C,wSI/C,wSL/C,wCH/C,vFC,vCH,vSI,vSL,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,FA%,CU%,wFA/C,wCU/C,vFA,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2023-09-19,7:05 PM.,CWS,WSH,home,Clear.,74,570632,LF,2,0,0,0,0,0,0,0,0,0,1,0.171,0.194,0.171,0.365,570632,joseurena,Ureña,Right,José Ureña,- - -,6.45,5.77,44.2,99.0,90.0,93.0,0.803,5.84,4.43,10.07,2.62,1.34,0.205,0.53,0.093,0.411,0.372,107.0,98.0,98.0,101.0,103.0,105.0,,,,0.288,,0.253,0.243,,-1.62,-0.94,-0.46,,87.4,95.0,86.2,,,,0.214,0.452,0.36,0.339,0.589,0.171,61.0,98.0,82.0,,,,90.0,95.0,88.0,0.217,,-4.06,,95.4,,0.351,1.0,0.075,0.22,0.39,0.258,,,,,,,,,,,,,,,,,,
2023-08-26,4:11 PM.,MIA,WSH,away,Roof Closed.,72,691587,LF,0,0,0,0,0,0,0,0,0,0,0,0.182,0.206,0.182,0.388,691587,euryperez,"Pérez, Eu",Right,Eury Pérez,MIA,3.15,3.61,91.1,98.0,110.0,105.0,0.685,10.64,3.05,7.09,1.48,0.46,0.206,0.464,0.159,0.391,0.407,,,,101.0,102.0,107.0,,,,,,0.308,0.098,,,0.99,0.99,,89.7,,86.4,,,,0.183,0.365,0.477,,,,86.0,85.0,82.0,91.0,95.0,99.0,128.0,100.0,109.0,0.454,0.14,-0.47,1.89,97.5,81.2,0.289,0.585,0.187,0.045,0.045,0.462,0.098,0.171,0.5429999999999999,,,,,,,,,,,,,,,
2023-08-25,6:41 PM.,MIA,WSH,away,Roof Closed.,72,666129,LF,0,0,0,0,0,0,0,0,0,0,0,0.182,0.206,0.182,0.388,666129,braxtongarrett,"Garrett, B",Left,Braxton Garrett,MIA,3.66,4.58,159.2,101.0,91.0,97.0,0.762,8.79,1.63,8.68,1.13,1.72,0.184,0.501,0.13,0.413,0.434,91.0,102.0,97.0,100.0,102.0,102.0,95.0,100.0,97.0,0.317,0.177,0.258,0.088,1.53,1.06,0.45,0.73,87.5,84.1,90.5,82.8,0.243,0.477,0.247,0.169,0.302,0.408,0.256,0.377,0.107,85.0,95.0,86.0,80.0,97.0,95.0,79.0,101.0,93.0,0.075,0.084,-1.84,-4.44,90.8,77.7,0.325,0.575,0.159,0.286,0.327,0.327,0.5,1.059,0.2,,,,,,,,,,,,,,,
2023-08-24,1:09 PM.,NYY,WSH,away,Cloudy.,74,650633,LF,0,0,0,0,0,0,0,0,0,0,0,0.182,0.206,0.182,0.388,650633,michaelking,King,Right,Michael King,NYY,2.75,3.48,104.2,102.0,113.0,105.0,0.725,10.92,2.75,7.57,0.86,1.2,0.243,0.442,0.169,0.288,0.403,109.0,104.0,104.0,144.0,93.0,108.0,,,,0.335,,0.293,0.145,,1.26,-0.8,3.43,,87.2,94.0,81.8,,,,0.264,0.455,0.395,0.273,0.398,0.157,71.0,105.0,97.0,,,,106.0,108.0,106.0,0.227,,1.4,,94.7,,0.2,0.294,0.25,0.104,0.134,0.41,,,,,,,,,,,,,,,,,,
2023-08-23,7:09 PM.,NYY,WSH,away,Clear.,73,622663,LF,3,0,0,0,0,0,0,0,0,2,1,0.182,0.206,0.182,0.388,622663,luisseverino,"Severino, L",Right,Luis Severino,NYY,6.65,5.89,89.1,103.0,104.0,101.0,0.822,7.96,3.43,11.38,2.32,1.14,0.248,0.399,0.144,0.346,0.447,92.0,91.0,87.0,126.0,109.0,117.0,110.0,100.0,98.0,0.028,0.15,0.188,0.186,-0.08,5.41,-2.59,-1.4,90.8,86.7,95.7,84.7,0.208,0.313,0.173,0.289,0.566,0.254,0.091,0.091,0.208,80.0,99.0,97.0,,,,103.0,104.0,98.0,0.449,,-2.42,,96.5,,0.355,0.692,0.196,0.279,0.441,0.216,,,,,,,,,,,,,,,,,,
2023-08-22,7:08 PM.,NYY,WSH,away,Partly Cloudy.,77,607074,LF,0,0,0,0,0,0,0,0,0,0,0,0.2,0.226,0.2,0.426,607074,carlosrodon,Rodón,Left,Carlos Rodón,NYY,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.116,0.381,0.429,,,,126.0,95.0,104.0,,,,,,0.29,0.043,,,-0.06,0.96,,85.5,,85.4,,,,0.2,0.347,0.372,,,,84.0,67.0,81.0,102.0,92.0,96.0,106.0,101.0,100.0,0.603,0.065,-1.05,-3.96,95.3,79.7,0.294,0.55,0.217,0.0,0.0,0.421,0.375,1.25,0.211,,,,,,,,,,,,,,,
2023-08-20,7:12 PM.,PHI,WSH,home,Clear.,79,554430,LF,3,0,0,0,0,0,0,0,0,0,1,0.2,0.226,0.2,0.426,554430,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,3.61,3.18,192.0,105.0,107.0,110.0,0.74,9.94,1.83,7.88,0.94,1.07,0.279,0.38,0.214,0.313,0.421,105.0,105.0,107.0,107.0,101.0,111.0,96.0,102.0,102.0,0.18,0.144,0.123,0.004,-0.63,1.62,0.36,-6.22,90.9,90.8,95.2,84.4,0.27,0.426,0.228,0.198,0.36,0.392,0.252,0.308,0.192,48.0,106.0,77.0,116.0,105.0,114.0,112.0,109.0,114.0,0.435,0.115,1.69,-1.61,95.8,81.4,0.199,0.333,0.314,,,,0.264,0.473,0.33,,,,,,,,,,,,,,,
2023-08-18,7:05 PM.,PHI,WSH,home,Clear.,84,547179,LF,4,2,3,0,0,0,2,0,0,0,1,0.222,0.25,0.222,0.472,547179,michaellorenzen,Lorenzen,Right,Michael Lorenzen,- - -,4.18,4.51,153.0,101.0,101.0,101.0,0.809,6.53,2.76,8.12,1.18,1.06,0.246,0.417,0.097,0.352,0.447,82.0,108.0,100.0,116.0,102.0,106.0,89.0,75.0,71.0,0.12,0.009,0.297,0.216,-7.35,0.73,0.34,0.26,90.8,84.5,93.7,84.7,0.6,1.2,0.1669999999999999,0.293,0.61,0.214,0.333,0.4,0.038,95.0,101.0,102.0,103.0,112.0,110.0,98.0,100.0,97.0,0.347,0.011,1.17,-4.26,94.3,82.3,0.211,0.333,0.171,0.186,0.403,0.314,0.667,1.667,0.182,,,,,,,,,,,,,,,
2023-08-15,7:07 PM.,BOS,WSH,home,Partly Cloudy.,81,601713,LF,4,1,1,0,0,0,0,0,0,2,0,0.13,0.167,0.13,0.297,601713,nickpivetta,Pivetta,Right,Nick Pivetta,BOS,4.04,3.98,142.2,102.0,119.0,107.0,0.733,11.54,3.15,6.94,1.45,0.87,0.231,0.438,0.124,0.354,0.421,,,,124.0,107.0,112.0,78.0,104.0,98.0,,0.078,0.165,,0.67,,1.59,,88.4,,,85.8,0.267,0.467,0.379,0.114,0.182,0.4379999999999999,,,,,,,117.0,102.0,106.0,125.0,101.0,109.0,0.506,0.247,0.57,-0.09,94.6,79.4,0.214,0.44,0.247,,,,0.215,0.4,0.313,,,,,,,49.0,109.0,69.0,0.005,-13.1,84.8,0.25,1.0,0.1669999999999999
2023-08-13,1:35 PM.,OAK,WSH,home,Partly Cloudy.,88,686610,PR,0,1,0,0,0,0,0,0,0,0,0,0.105,0.15,0.105,0.255,686610,kenwaldichuk,Waldichuk,Left,Ken Waldichuk,OAK,5.36,4.67,141.0,95.0,91.0,93.0,0.767,8.43,4.53,9.51,1.53,0.99,0.223,0.401,0.155,0.31,0.414,,,,96.0,99.0,100.0,,,,,,0.271,0.166,,,-0.79,-1.4,,84.2,,81.1,,,,0.218,0.423,0.3279999999999999,,,,92.0,90.0,88.0,93.0,77.0,85.0,89.0,95.0,92.0,0.543,0.02,-0.52,-3.62,93.3,74.5,0.275,0.493,0.178,0.34,0.515,0.374,0.333,0.833,0.0,,,,,,,,,,,,,,,
2023-08-12,7:05 PM.,OAK,WSH,home,Cloudy.,87,665622,LF,3,0,2,0,0,0,0,0,1,1,2,0.105,0.15,0.105,0.255,665622,luismedina,Medina,Right,Luis Medina,OAK,5.42,4.8,109.2,94.0,107.0,95.0,0.767,8.7,4.68,8.95,1.15,1.27,0.321,0.349,0.154,0.352,0.416,117.0,96.0,96.0,106.0,97.0,100.0,,,,0.142,,0.238,0.087,,-0.8,-0.8,1.25,,87.3,95.5,85.3,,,,0.233,0.456,0.484,0.313,0.406,0.141,84.0,86.0,90.0,99.0,96.0,98.0,112.0,93.0,94.0,0.415,0.117,-0.35,-0.73,96.1,79.6,0.272,0.494,0.121,0.256,0.282,0.304,0.146,0.366,0.308,,,,,,,,,,,,,,,
