date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FS%,wFS/C,wSI/C,vFS,vSI,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff,FO%,wFO/C,vFO
2023-09-26,7:07 PM.,SEA,HOU,away,Roof Closed.,57,669923,PR,0,1,0,0,0,0,0,0,0,0,0,0.205,0.295,0.333,0.628,669923,georgekirby,Kirby,Right,George Kirby,SEA,3.35,3.9,190.2,110.0,106.0,109.0,0.799,8.12,0.9,8.45,1.04,1.19,0.298,0.407,0.177,0.327,0.482,94.0,107.0,111.0,,,,97.0,111.0,105.0,126.0,106.0,112.0,,,,0.394,,0.197,,0.018,1.34,,1.03,,-5.31,96.1,,86.6,86.3,,,,,0.234,0.392,0.28,0.264,0.377,0.22,0.5,0.9,0.125,0.265,0.458,0.159,106.0,110.0,109.0,95.0,103.0,110.0,0.216,0.061,1.07,0.43,84.9,95.8,0.261,0.383,0.131,0.143,0.286,0.357,,,,0.115,0.35,81.8,75.1,0.001,0.26,,,,,,,,,,,,
2023-09-10,1:10 PM.,SD,HOU,home,Roof Closed.,73,663362,SS,1,0,0,0,0,0,0,0,0,1,0,0.205,0.295,0.333,0.628,663362,mattwaldron,Waldron,Right,Matt Waldron,SDP,4.35,4.48,41.1,106.0,88.0,101.0,0.832,6.75,2.61,8.49,1.96,0.96,0.238,0.415,0.215,0.308,0.456,,,,,,,76.0,105.0,98.0,101.0,100.0,109.0,104.0,114.0,109.0,0.205,0.131,0.16,,,-0.95,0.15,-0.44,,,91.3,86.7,,79.8,,0.214,0.464,0.193,0.259,0.519,0.217,0.269,0.5,0.204,,,,,,,81.0,106.0,95.0,,,,0.236,,,0.75,,91.3,0.239,0.457,0.095,,,,,,,,,,76.6,0.267,-1.01,0.242,0.485,0.247,,,,,,,,,
2023-09-08,7:10 PM.,SD,HOU,home,Roof Closed.,73,605483,3B,0,0,0,0,0,0,0,0,0,0,0,0.211,0.302,0.342,0.644,605483,blakesnell,Snell,Left,Blake Snell,SDP,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.388,0.168,0.309,0.326,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,107.0,91.0,94.0,,,,0.486,,0.131,0.198,0.184,0.07,,0.68,2.55,2.65,95.5,,86.7,88.4,81.0,,,,0.255,0.389,0.195,0.123,0.26,0.536,0.185,0.266,0.4679999999999999,0.079,0.14,0.563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-06,7:07 PM.,TEX,HOU,away,Roof Closed.,74,453286,2B,1,0,0,0,0,0,0,0,0,1,1,0.211,0.302,0.342,0.644,453286,maxscherzer,Scherzer,Right,Max Scherzer,- - -,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.412,0.183,0.319,0.434,94.0,106.0,106.0,96.0,101.0,104.0,104.0,101.0,101.0,106.0,108.0,108.0,98.0,108.0,99.0,0.463,0.104,0.168,0.124,0.141,0.72,2.12,-0.21,0.51,0.03,93.7,88.4,83.8,84.0,75.4,0.135,0.243,0.3329999999999999,0.255,0.458,0.238,0.25,0.545,0.364,0.207,0.283,0.275,0.187,0.373,0.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-05,7:09 PM.,TEX,HOU,away,Roof Closed.,74,543135,2B,1,0,1,0,0,0,0,0,0,0,0,0.216,0.31,0.351,0.661,543135,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.63,3.98,144.0,100.0,101.0,98.0,0.758,8.25,2.94,7.31,0.94,1.59,0.196,0.469,0.14,0.367,0.397,,,,99.0,104.0,102.0,92.0,97.0,93.0,101.0,113.0,109.0,86.0,98.0,92.0,0.372,0.176,0.04,0.135,,0.41,1.33,-3.23,0.86,,95.1,90.6,,83.9,76.0,0.238,0.417,0.198,0.234,0.423,0.183,0.303,0.606,0.1369999999999999,,,,0.2,0.22,0.417,,,,125.0,101.0,106.0,,0.276,1.26,,87.9,,,,,0.196,0.314,0.355,,,,,,,,,,,,,,,,,,,,,
2023-09-04,3:08 PM.,TEX,HOU,away,Roof Closed.,74,571760,3B,0,0,0,0,0,0,0,0,0,0,0,0.194,0.293,0.333,0.626,571760,andrewheaney,Heaney,Left,Andrew Heaney,TEX,4.15,4.55,147.1,100.0,103.0,100.0,0.768,9.22,3.67,8.74,1.4,0.96,0.255,0.44,0.121,0.343,0.399,101.0,97.0,92.0,80.0,143.0,68.0,107.0,99.0,99.0,94.0,104.0,108.0,,,,0.579,,0.252,0.0,0.169,0.1,,-1.35,-3.87,-0.11,92.5,,84.0,82.0,74.4,,,,0.236,0.431,0.256,0.259,0.443,0.296,0.274,0.452,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-13,1:11 PM.,LAA,HOU,home,Roof Closed.,73,681217,SS,4,0,1,1,0,0,0,0,0,1,1,0.194,0.293,0.333,0.626,681217,chasesilseth,Silseth,Right,Chase Silseth,LAA,3.96,4.27,52.1,97.0,93.0,97.0,0.741,9.63,4.47,7.05,1.55,1.68,0.153,0.496,0.117,0.401,0.411,,,,107.0,93.0,97.0,93.0,90.0,85.0,102.0,94.0,102.0,99.0,92.0,92.0,0.349,0.084,0.229,0.024,,-1.53,3.24,1.7,-5.15,,95.0,90.3,,82.0,79.4,0.167,0.167,0.268,0.255,0.553,0.248,0.143,0.571,0.143,,,,0.333,1.333,0.0,82.0,105.0,97.0,84.0,108.0,116.0,0.148,0.167,1.35,1.39,87.2,94.3,0.344,0.469,0.14,0.137,0.294,0.345,,,,,,,,,,,,,,,,,,,,,
2023-08-12,6:16 PM.,LAA,HOU,home,Roof Closed.,73,542881,SS,0,0,0,0,0,0,0,0,0,0,0,0.188,0.297,0.313,0.61,542881,tyleranderson,Anderson,Left,Tyler Anderson,LAA,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.246,0.401,0.182,0.289,0.406,92.0,101.0,106.0,105.0,84.0,83.0,81.0,96.0,89.0,105.0,76.0,95.0,104.0,103.0,98.0,0.374,0.224,0.007,0.002,0.338,-1.25,0.48,-1.06,-0.33,0.08,90.1,85.1,80.0,78.1,72.9,0.239,0.366,0.268,0.301,0.566,0.193,0.2,0.2,0.3329999999999999,0.238,0.381,0.3979999999999999,,,,92.0,93.0,81.0,,,,0.055,0.001,-4.72,-3.61,90.1,88.5,0.36,0.68,0.102,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-11,7:11 PM.,LAA,HOU,home,Roof Closed.,73,672282,3B,2,0,0,0,0,0,0,0,0,2,3,0.188,0.297,0.313,0.61,672282,reiddetmers,Detmers,Left,Reid Detmers,LAA,4.48,4.55,148.2,99.0,101.0,99.0,0.749,10.17,3.63,8.54,1.15,0.91,0.223,0.444,0.139,0.362,0.438,92.0,101.0,97.0,93.0,94.0,105.0,87.0,101.0,95.0,124.0,100.0,102.0,,,,0.432,,0.319,0.194,0.054,-0.38,,0.91,0.14,-2.03,94.3,,84.8,88.7,74.7,,,,0.291,0.505,0.212,0.0,0.0,0.267,0.242,0.424,0.246,0.191,0.326,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-05,1:07 PM.,NYY,HOU,away,Sunny.,80,641482,1B,2,0,0,0,0,0,0,0,0,1,0,0.2,0.314,0.333,0.647,641482,nestorcortes,Cortes,Left,Nestor Cortes,NYY,4.97,3.66,63.1,103.0,104.0,104.0,0.79,9.52,2.84,8.38,1.56,0.46,0.233,0.432,0.176,0.29,0.441,92.0,111.0,110.0,,,,102.0,106.0,106.0,92.0,103.0,103.0,110.0,102.0,102.0,0.521,0.288,0.158,,0.028,0.68,0.39,-1.47,,-6.99,91.6,86.6,83.4,76.9,,0.26,0.545,0.206,0.213,0.352,0.249,0.2,0.2,0.429,0.5,0.6,0.294,,,,138.0,99.0,111.0,,,,0.005,,,4.05,,89.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
