date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CH%,wFA/C,wSL/C,wCH/C,vFA,vCH,vSL,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CU%,wSI/C,wCU/C,vSI,vCU,ST_ba,ST_slg,ST_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2024-09-29,3:06 PM.,BOS,TB,away,Cloudy.,69,682990,C,3,0,0,0,0,0,0,0,1,0,3,0.171,0.189,0.257,0.446,682990,quinnpriester,Priester,Right,Quinn Priester,- - -,4.71,4.43,49.2,100.0,94.0,98.0,0.793,5.98,2.54,10.15,1.27,2.41,0.164,0.456,0.158,0.316,0.425,87.0,91.0,92.0,59.0,103.0,93.0,108.0,103.0,106.0,0.144,0.279,0.129,-1.72,-0.99,1.51,93.0,88.5,87.1,0.246,0.443,0.254,0.4,0.4,0.186,0.161,0.194,0.212,98.0,99.0,101.0,99.0,100.0,94.0,0.302,0.145,0.06,-1.2,93.1,80.6,,,,0.375,0.5,0.438,0.29,0.493,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-27,7:10 PM.,BOS,TB,away,Partly Cloudy.,72,601713,C,2,0,0,0,0,0,0,0,0,0,0,0.188,0.182,0.281,0.463,601713,nickpivetta,Pivetta,Right,Nick Pivetta,BOS,4.14,3.51,145.2,104.0,133.0,108.0,0.775,10.63,2.22,7.91,1.73,0.69,0.238,0.42,0.142,0.378,0.449,,,,122.0,105.0,108.0,155.0,103.0,111.0,0.486,0.291,,0.73,-0.1,,93.9,,82.6,0.143,0.393,0.326,0.239,0.399,0.218,,,,118.0,104.0,104.0,,,,,0.163,,0.61,,80.0,0.224,0.436,0.35,0.167,0.4,0.206,,,,104.0,96.0,82.0,0.059,-4.63,88.3,0.394,0.879,0.211,,,,,,,,,,,,,,,,,,
2024-09-25,6:40 PM.,DET,TB,away,Cloudy.,75,672456,C,2,0,1,0,0,0,0,0,0,1,0,0.2,0.194,0.3,0.494,672456,keidermontero,Montero,Right,Keider Montero,DET,4.76,5.24,98.1,100.0,96.0,100.0,0.805,7.05,2.84,9.15,1.74,1.07,0.236,0.442,0.133,0.346,0.467,83.0,95.0,94.0,92.0,100.0,96.0,110.0,99.0,104.0,0.421,0.28,0.109,-0.19,0.02,-2.78,94.8,86.0,83.5,0.235,0.391,0.259,0.27,0.486,0.18,0.289,0.474,0.329,,,,90.0,101.0,97.0,0.078,,1.09,,94.1,,,,,0.269,0.615,0.224,0.32,0.32,0.038,,,,,,,,,,,,,,,,,,,,,,95.0,102.0,111.0,0.112,-3.94,78.8
2024-09-24,1:59 PM.,DET,TB,away,Overcast.,68,669373,C,0,0,0,0,0,0,0,0,0,0,0,0.179,0.172,0.286,0.458,669373,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.39,2.72,192.0,103.0,103.0,106.0,0.717,10.69,1.64,6.66,0.7,1.27,0.256,0.387,0.181,0.254,0.475,97.0,104.0,114.0,112.0,104.0,103.0,111.0,99.0,103.0,0.332,0.149,0.271,1.84,0.78,1.13,96.8,86.3,88.7,0.169,0.364,0.346,0.197,0.286,0.277,0.216,0.322,0.461,,,,95.0,105.0,104.0,0.205,,1.25,,96.6,,,,,0.158,0.316,0.175,0.207,0.305,0.16,,,,,,,,,,,,,,,,,,,,,,95.0,91.0,101.0,0.042,1.26,78.5
2024-09-22,1:40 PM.,TOR,TB,home,Dome.,72,621114,C,0,0,0,0,0,0,0,0,0,0,0,0.179,0.172,0.286,0.458,621114,ryanburr,Burr,Right,Ryan Burr,TOR,4.13,3.56,32.2,99.0,98.0,102.0,0.694,12.95,3.31,7.99,1.1,0.72,0.225,0.45,0.138,0.4,0.375,,,,79.0,94.0,91.0,111.0,102.0,108.0,0.395,0.605,,-0.36,0.6,,94.1,,85.4,0.214,0.369,0.368,0.256,0.465,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-20,6:51 PM.,TOR,TB,home,Dome.,72,621244,C,3,0,0,0,0,0,0,0,0,1,2,0.179,0.172,0.286,0.458,621244,joseberrios,Berríos,Right,José Berríos,TOR,3.6,4.74,192.1,103.0,92.0,99.0,0.808,7.16,2.53,7.86,1.45,1.17,0.257,0.421,0.15,0.352,0.414,86.0,104.0,101.0,82.0,99.0,92.0,,,,0.183,,0.16,-1.26,,0.88,94.1,84.8,,,,,0.305,0.558,0.189,0.171,0.364,0.269,111.0,102.0,106.0,85.0,103.0,95.0,0.337,0.286,1.02,0.28,93.4,83.2,,,,,,,0.268,0.366,0.125,84.0,108.0,99.0,0.035,-1.83,91.4,0.36,0.48,0.123,,,,,,,,,,0.188,0.404,0.31,,,,,,
2024-09-18,6:50 PM.,BOS,TB,home,Dome.,72,656557,C,1,0,0,0,0,0,0,0,0,1,2,0.2,0.192,0.32,0.512,656557,tannerhouck,Houck,Right,Tanner Houck,BOS,3.12,4.11,178.2,100.0,108.0,104.0,0.789,7.76,2.42,7.86,0.55,2.34,0.193,0.45,0.126,0.305,0.425,,,,,,,116.0,98.0,108.0,,0.414,,,0.54,,,,83.2,,,,,,,,,,,,,93.0,102.0,97.0,0.324,,0.67,,93.5,,0.23,0.357,0.302,,,,0.27,0.325,0.142,95.0,93.0,93.0,0.015,-0.95,87.1,0.2,0.4,0.235,116.0,103.0,109.0,0.248,1.74,88.4,0.195,0.265,0.208,,,,,,,,,
2024-09-17,6:51 PM.,BOS,TB,home,Dome.,72,601713,C,4,0,1,0,0,0,0,0,0,2,3,0.208,0.2,0.333,0.533,601713,nickpivetta,Pivetta,Right,Nick Pivetta,BOS,4.14,3.51,145.2,104.0,133.0,108.0,0.775,10.63,2.22,7.91,1.73,0.69,0.238,0.42,0.142,0.378,0.449,,,,122.0,105.0,108.0,155.0,103.0,111.0,0.486,0.291,,0.73,-0.1,,93.9,,82.6,0.143,0.393,0.326,0.239,0.399,0.218,,,,118.0,104.0,104.0,,,,,0.163,,0.61,,80.0,0.224,0.436,0.35,0.167,0.4,0.206,,,,104.0,96.0,82.0,0.059,-4.63,88.3,0.394,0.879,0.211,,,,,,,,,,,,,,,,,,
2024-09-14,6:10 PM.,CLE,TB,away,Clear.,80,676282,C,3,0,0,0,0,0,0,0,0,1,1,0.2,0.19,0.35,0.54,676282,joeycantillo,Cantillo,Left,Joey Cantillo,CLE,4.89,3.83,38.2,95.0,97.0,93.0,0.721,10.24,3.49,8.15,1.4,1.39,0.212,0.462,0.154,0.346,0.436,94.0,90.0,96.0,96.0,91.0,87.0,112.0,104.0,103.0,0.488,0.084,0.276,-1.29,2.07,0.26,92.2,77.8,82.6,0.188,0.375,0.424,0.292,0.585,0.22,0.216,0.324,0.437,95.0,109.0,105.0,,,,,0.152,,1.01,,76.2,,,,0.172,0.276,0.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-13,7:11 PM.,CLE,TB,away,Clear.,76,676440,C,3,1,1,0,0,1,2,0,0,0,1,0.235,0.222,0.412,0.634,676440,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.47,3.78,173.2,103.0,99.0,104.0,0.76,9.69,2.28,7.77,1.14,0.78,0.285,0.408,0.153,0.297,0.445,82.0,100.0,108.0,92.0,103.0,98.0,113.0,102.0,109.0,0.434,0.278,0.18,-0.69,1.74,0.13,94.6,82.5,86.2,0.196,0.411,0.299,0.282,0.476,0.213,0.238,0.431,0.291,119.0,109.0,112.0,89.0,64.0,93.0,0.003,0.105,-1.41,-0.9,93.9,81.3,,,,0.208,0.458,0.184,,,,,,,,,,0.141,0.225,0.368,,,,,,,,,,,,,,,,,,
