date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC,FS_ba,FS_slg,FS_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff,SV_ba,SV_slg,SV_whiff,FO%,wFO/C,vFO
2023-08-02,1:05 PM.,MIL,WSH,home,Partly Cloudy.,81,489119,PH,1,1,0,0,0,0,0,0,0,0,0,0.25,0.283,0.354,0.637,489119,wademiley,Miley,Left,Wade Miley,MIL,3.14,4.33,120.1,104.0,92.0,100.0,0.828,5.91,2.84,7.4,1.2,1.23,0.237,0.422,0.166,0.319,0.406,84.0,108.0,104.0,78.0,106.0,99.0,88.0,109.0,96.0,113.0,108.0,103.0,101.0,103.0,101.0,0.046,0.195,0.443,0.049,0.246,0.46,1.07,-2.53,0.62,0.6,90.4,87.1,83.7,90.7,79.1,0.198,0.453,0.134,0.232,0.446,0.172,0.192,0.308,0.349,0.219,0.281,0.239,79.0,99.0,98.0,0.022,2.01,75.8,,,,0.333,0.375,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-01,7:06 PM.,MIL,WSH,home,Cloudy.,79,642547,LF,3,2,1,0,1,0,0,0,1,1,0,0.252,0.285,0.357,0.642,642547,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.86,3.35,165.2,102.0,103.0,105.0,0.698,11.41,2.93,7.12,1.41,1.04,0.267,0.455,0.171,0.308,0.405,50.0,97.0,85.0,117.0,104.0,110.0,,,,115.0,99.0,104.0,,,,,0.512,,0.218,0.146,0.89,,,0.36,0.15,94.4,,88.6,,82.4,0.213,0.387,0.292,,,,0.203,0.392,0.46,0.224,0.388,0.312,85.0,103.0,110.0,0.124,0.2,76.9,0.214,0.381,0.3379999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-31,7:05 PM.,MIL,WSH,home,Clear.,84,669203,LF,3,1,1,1,0,0,0,0,0,1,2,0.25,0.279,0.343,0.622,669203,corbinburnes,Burnes,Right,Corbin Burnes,MIL,3.39,3.38,193.2,102.0,127.0,107.0,0.736,9.29,3.07,6.55,1.02,1.3,0.21,0.459,0.19,0.29,0.38,82.0,105.0,112.0,,,,103.0,97.0,90.0,144.0,110.0,127.0,127.0,101.0,103.0,0.077,,0.554,0.085,0.112,,1.51,-2.42,1.12,1.07,,94.4,89.3,95.3,86.0,,,,0.209,0.34,0.2269999999999999,0.159,0.275,0.4379999999999999,0.204,0.258,0.306,160.0,104.0,113.0,0.171,1.35,79.8,0.133,0.211,0.488,0.291,0.564,0.129,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-30,1:40 PM.,NYM,WSH,away,Sunny.,77,434378,RF,2,0,0,0,0,0,0,0,0,0,1,0.248,0.278,0.336,0.614,434378,justinverlander,Verlander,Right,Justin Verlander,- - -,3.22,3.63,162.1,104.0,106.0,105.0,0.8,7.98,2.49,7.71,1.0,0.79,0.232,0.438,0.168,0.307,0.433,102.0,107.0,113.0,97.0,100.0,100.0,,,,127.0,112.0,111.0,,,,,0.5,,0.253,0.047,0.89,,,0.97,-0.23,94.3,,85.2,,86.9,0.235,0.417,0.181,,,,0.201,0.325,0.292,0.214,0.286,0.286,105.0,103.0,106.0,0.2,0.43,78.2,0.241,0.328,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-28,7:10 PM.,NYM,WSH,away,Partly Cloudy.,87,453286,LF,3,0,0,0,0,0,0,0,0,2,2,0.252,0.282,0.341,0.623,453286,maxscherzer,Scherzer,Right,Max Scherzer,- - -,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.412,0.183,0.319,0.434,94.0,106.0,106.0,104.0,101.0,101.0,,,,106.0,108.0,108.0,98.0,108.0,99.0,,0.463,0.104,0.168,0.141,0.72,2.12,,-0.21,0.03,93.7,88.4,83.8,,84.0,0.255,0.458,0.238,0.135,0.243,0.3329999999999999,0.25,0.545,0.364,0.207,0.283,0.275,96.0,101.0,104.0,0.124,0.51,75.4,0.187,0.373,0.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-27,7:11 PM.,NYM,WSH,away,Clear.,90,673540,LF,3,0,1,0,0,0,0,0,0,0,3,0.258,0.288,0.348,0.636,673540,kodaisenga,Senga,Right,Kodai Senga,NYM,2.98,3.87,166.1,95.0,97.0,97.0,0.721,10.93,4.17,6.82,0.92,1.23,0.252,0.416,0.161,0.333,0.382,,,,109.0,97.0,97.0,,,,100.0,93.0,102.0,93.0,95.0,93.0,,0.37,0.25,0.116,,0.17,2.52,,-0.96,,95.7,90.8,,,82.7,0.244,0.399,0.173,0.244,0.339,0.182,0.333,0.952,0.245,,,,91.0,90.0,87.0,0.027,-0.23,72.8,0.125,0.5,0.444,,,,,,,,,,,,,,,,0.11,0.147,0.595,,,,,,,,,,0.237,0.95,83.2
2023-07-26,12:06 PM.,COL,WSH,home,Sunny.,86,663567,LF,2,0,1,0,0,0,0,0,0,0,0,0.256,0.287,0.349,0.636,663567,peterlambert,"Lambert, P",Right,Peter Lambert,COL,5.36,5.44,87.1,99.0,90.0,95.0,0.796,7.32,2.89,9.58,1.85,0.99,0.273,0.365,0.122,0.435,0.424,86.0,98.0,92.0,82.0,97.0,89.0,,,,109.0,104.0,109.0,,,,,0.446,,0.323,0.2,-0.78,,,-1.15,-1.74,93.2,,86.2,,86.2,0.271,0.586,0.1669999999999999,,,,0.308,0.641,0.198,0.235,0.459,0.325,74.0,108.0,101.0,0.032,1.04,78.0,0.267,0.267,0.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24,7:05 PM.,COL,WSH,home,Partly Cloudy.,85,656234,LF,2,0,1,0,0,0,0,0,0,0,0,0.252,0.284,0.346,0.63,656234,jakebird,Bird,Right,Jake Bird,COL,4.33,4.48,89.1,99.0,108.0,91.0,0.809,7.76,2.72,9.47,0.6,1.99,0.196,0.407,0.133,0.333,0.466,47.0,112.0,34.0,,,,99.0,96.0,80.0,105.0,98.0,103.0,112.0,99.0,98.0,0.595,,0.132,0.071,0.002,,-1.98,-0.04,0.95,-46.49,,89.7,87.3,94.4,86.3,,,,0.341,0.614,0.25,0.222,0.278,0.325,,,,135.0,110.0,114.0,0.2,1.82,81.7,0.133,0.265,0.3829999999999999,0.32,0.402,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-22,7:06 PM.,SF,WSH,home,Partly Cloudy.,84,657277,LF,4,1,2,0,0,0,1,0,0,1,3,0.248,0.28,0.344,0.624,657277,loganwebb,Webb,Right,Logan Webb,SFG,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.143,0.325,0.419,112.0,106.0,103.0,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,,,,0.336,0.037,,0.212,0.416,-1.37,,0.31,0.11,2.18,92.6,,87.5,92.3,84.3,0.226,0.452,0.3,,,,0.208,0.369,0.286,0.225,0.309,0.228,,,,,,,,,,0.313,0.481,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-19,7:05 PM.,CHC,WSH,away,Partly Cloudy.,77,543294,LF,4,0,1,0,0,0,0,0,0,0,3,0.24,0.273,0.339,0.612,543294,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,3.74,4.13,137.0,105.0,60.0,93.0,0.801,6.11,1.77,9.07,0.85,1.36,0.196,0.438,0.233,0.249,0.383,43.0,107.0,90.0,67.0,100.0,93.0,72.0,110.0,99.0,,,,,,,0.349,0.205,,,0.411,-1.61,,0.04,,1.43,87.8,,80.7,87.5,,0.38,0.658,0.1119999999999999,,,,,,,0.18,0.279,0.324,97.0,79.0,84.0,0.035,0.0,73.3,0.25,0.25,0.4379999999999999,0.318,0.46,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
