date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,KC%,wFC/C,wSI/C,wKC/C,vFC,vSI,vKC,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,SL%,CU%,CH%,wFA/C,wFS/C,wSL/C,wCU/C,wCH/C,vFA,vFS,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff
2023-03-28,12:05 PM.,CHC,CWS,away,Partly Cloudy.,74,592767,CF,2,0,0,0,0,0,0,0,0,0,0,0.111,0.111,0.111,0.222,592767,drewsmyly,Smyly,Left,Drew Smyly,CHC,5.0,4.13,142.1,98.0,92.0,95.0,0.755,8.92,3.54,9.3,1.64,0.79,0.229,0.428,0.182,0.31,0.382,77.0,94.0,88.0,105.0,102.0,103.0,86.0,94.0,82.0,0.389,0.117,0.494,-0.51,-1.32,-0.09,88.6,91.9,78.6,0.229,0.399,0.36,0.314,0.6,0.173,0.293,0.463,0.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-10,7:08 PM.,KC,NYY,away,Clear.,78,608379,DH,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,608379,michaelwacha,Wacha,Right,Michael Wacha,KCR,3.35,4.05,166.2,102.0,91.0,99.0,0.784,7.83,2.43,8.32,0.92,0.93,0.258,0.429,0.213,0.282,0.436,78.0,103.0,89.0,,,,78.0,100.0,92.0,0.153,0.114,,-0.94,0.29,,88.8,93.6,,0.357,0.643,0.174,0.252,0.301,0.099,0.319,0.458,0.148,111.0,109.0,112.0,72.0,89.0,92.0,83.0,103.0,99.0,97.0,89.0,90.0,,,,0.238,,0.092,0.081,0.322,0.39,,-2.39,-1.64,2.26,93.6,,81.2,84.1,75.2,0.279,0.449,0.169,,,,,,,0.169,0.312,0.341,0.371,0.6,0.373
2024-09-08,1:20 PM.,CHC,NYY,away,Sunny.,70,592791,PR,0,0,0,0,0,0,0,1,0,0,0,0.2,0.2,0.2,0.4,592791,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.27,4.05,165.1,107.0,85.0,102.0,0.823,6.8,1.8,8.38,1.14,0.99,0.223,0.445,0.136,0.328,0.468,74.0,104.0,92.0,,,,92.0,103.0,98.0,0.109,0.251,,2.12,1.47,,86.5,92.5,,0.232,0.424,0.23,0.219,0.297,0.085,0.252,0.31,0.191,78.0,102.0,95.0,104.0,111.0,113.0,66.0,106.0,96.0,104.0,116.0,120.0,,,,0.296,,0.155,0.147,0.043,-0.27,,0.65,-1.04,-2.45,92.3,,86.0,80.4,79.5,0.287,0.497,0.147,,,,0.183,0.296,0.317,0.273,0.576,0.148,,,
2024-09-04,7:09 PM.,TEX,NYY,away,Roof Closed.,74,543135,LF,1,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,543135,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.8,3.91,170.2,104.0,98.0,103.0,0.751,8.75,2.21,7.75,1.21,1.47,0.227,0.399,0.119,0.341,0.458,,,,,,,91.0,108.0,99.0,,0.148,,-1.41,,,91.4,,,0.214,0.471,0.355,,,,0.327,0.624,0.2,,,,99.0,104.0,104.0,75.0,105.0,98.0,114.0,102.0,102.0,127.0,101.0,110.0,0.374,0.308,0.033,0.137,,0.83,1.55,-0.69,-0.79,,95.4,88.4,,86.3,76.7,0.212,0.335,0.178,0.2,0.286,0.368,,,,,,,0.269,0.462,0.25
2024-09-03,7:07 PM.,TEX,NYY,away,Roof Closed.,74,571760,PR,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,571760,andrewheaney,Heaney,Left,Andrew Heaney,TEX,4.28,4.46,160.0,102.0,80.0,99.0,0.76,8.94,2.31,8.94,1.29,0.75,0.247,0.407,0.148,0.306,0.428,34.0,82.0,74.0,,,,20.0,51.0,51.0,0.014,0.001,,-19.13,-4.52,,86.6,92.2,,0.5,1.1,0.188,0.455,0.455,0.125,,,,83.0,102.0,94.0,126.0,105.0,103.0,77.0,102.0,98.0,79.0,100.0,103.0,,,,0.501,,0.278,0.036,0.17,0.15,,-0.26,-3.31,0.46,91.5,,83.7,82.5,75.6,0.23,0.412,0.213,,,,,,,0.239,0.384,0.243,0.26,0.385,0.365
2024-06-11,6:40 PM.,SEA,CWS,away,Partly Cloudy.,61,646242,RF,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,646242,jhonathandiaz,"Diaz, J",Left,Jhonathan Díaz,SEA,4.66,3.86,9.2,99.0,74.0,92.0,0.872,7.45,2.79,13.03,1.86,1.07,0.194,0.333,0.111,0.278,0.446,66.0,102.0,88.0,,,,,,,0.199,,,,-1.41,,,88.3,,0.5,1.25,0.167,0.571,0.714,0.059,,,,73.0,95.0,71.0,91.0,105.0,117.0,61.0,96.0,84.0,94.0,102.0,107.0,,,,0.313,,0.211,0.12,0.157,-1.34,,-2.5,-5.38,-3.42,90.2,,81.1,78.6,73.1,0.214,0.643,0.111,,,,,,,0.167,0.167,0.091,0.308,0.385,0.353
2024-06-10,6:40 PM.,SEA,CWS,away,Partly Cloudy.,64,669302,LF,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,669302,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,3.23,3.14,208.2,101.0,121.0,106.0,0.705,9.49,1.6,6.38,1.12,1.2,0.236,0.45,0.135,0.325,0.429,91.0,102.0,97.0,,,,116.0,104.0,103.0,0.015,0.106,,0.14,0.32,,92.3,95.5,,0.181,0.301,0.354,0.286,0.286,0.05,0.247,0.483,0.272,,,,124.0,99.0,107.0,106.0,101.0,97.0,146.0,102.0,115.0,99.0,96.0,104.0,0.308,0.134,0.32,0.118,,1.41,1.18,1.72,0.81,,96.6,84.5,,88.4,83.2,0.204,0.383,0.193,0.101,0.162,0.506,,,,,,,0.21,0.375,0.368
2024-06-09,1:11 PM.,BOS,CWS,home,Sunny.,78,677161,LF,1,1,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,677161,zackkelly,"Kelly, Z",Right,Zack Kelly,BOS,3.97,4.25,56.2,100.0,110.0,104.0,0.743,9.69,4.29,6.99,1.59,1.37,0.212,0.417,0.159,0.265,0.422,,,,,,,78.0,101.0,102.0,,0.218,,-0.23,,,91.1,,,,,,,,,0.277,0.574,0.219,122.0,103.0,109.0,,,,107.0,96.0,93.0,131.0,102.0,115.0,,,,0.301,,0.272,,0.209,-1.3,,2.07,,-0.3,96.5,,83.6,82.2,,0.25,0.344,0.23,,,,0.138,0.224,0.344,0.163,0.465,0.326,,,
2024-06-08,3:10 PM.,BOS,CWS,home,Cloudy.,77,678394,CF,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,678394,brayanbello,Bello,Right,Brayan Bello,BOS,4.49,4.56,162.1,99.0,101.0,102.0,0.753,8.48,3.55,8.7,1.05,1.86,0.219,0.384,0.152,0.312,0.405,103.0,100.0,101.0,,,,,,,0.403,,,,-0.24,,,95.7,,,,,0.309,0.44,0.111,,,,88.0,99.0,97.0,,,,74.0,108.0,101.0,114.0,98.0,110.0,,,,0.048,,0.28,,0.269,0.25,,-0.58,,0.15,95.6,,87.6,86.8,,0.12,0.16,0.218,,,,,,,0.177,0.354,0.369,0.268,0.401,0.343
2024-06-07,7:10 PM.,BOS,CWS,home,Cloudy.,73,681867,LF,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,681867,coopercriswell,Criswell,Right,Cooper Criswell,BOS,4.08,4.31,99.1,102.0,100.0,99.0,0.848,6.61,2.81,9.33,0.91,1.51,0.208,0.486,0.153,0.358,0.41,102.0,108.0,100.0,,,,79.0,103.0,93.0,0.297,0.154,,0.64,0.48,,86.4,89.1,,,,,0.33,0.511,0.073,0.163,0.306,0.294,99.0,103.0,102.0,,,,,,,110.0,95.0,99.0,,,,,,0.288,,0.261,,,-1.92,,0.55,,,84.4,77.1,,,,,,,,0.287,0.479,0.207,0.256,0.338,0.171,0.429,0.857,0.154
