date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff
2024-08-28,7:10 PM.,MIL,SF,away,Roof Closed.,78,642547,C,2,0,0,0,0,0,0,0,0,1,1,0.167,0.167,0.167,0.334,642547,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.68,3.88,173.2,98.0,103.0,100.0,0.719,10.36,3.52,7.41,1.35,0.82,0.262,0.376,0.197,0.318,0.373,84.0,92.0,88.0,112.0,99.0,101.0,,,,98.0,99.0,105.0,,0.539,0.217,0.175,0.05,,-0.09,0.84,94.3,87.7,,81.4,0.239,0.424,0.252,,,,0.203,0.384,0.41,0.218,0.291,0.369,,,,104.0,106.0,110.0,0.07,0.36,78.1,0.182,0.341,0.372
2024-08-25,1:11 PM.,SEA,SF,away,Partly Cloudy.,63,693433,C,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,693433,bryanwoo,Woo,Right,Bryan Woo,SEA,2.89,2.72,121.1,107.0,104.0,107.0,0.785,7.49,0.96,7.12,1.04,0.96,0.285,0.344,0.144,0.256,0.499,91.0,104.0,100.0,97.0,109.0,107.0,116.0,109.0,109.0,113.0,101.0,107.0,0.23,0.489,0.187,0.094,1.44,1.85,1.23,0.0,94.8,89.6,94.7,84.2,0.218,0.355,0.273,0.234,0.315,0.097,0.265,0.529,0.241,0.186,0.373,0.207,0.1,0.1,0.417,,,,,,,,,
2024-08-23,7:10 PM.,SEA,SF,away,Roof Closed.,57,622491,C,4,0,1,0,0,0,0,0,0,1,1,0.25,0.25,0.25,0.5,622491,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.64,3.91,175.1,105.0,101.0,102.0,0.768,8.98,2.41,8.11,1.28,0.94,0.26,0.409,0.159,0.319,0.406,89.0,104.0,97.0,120.0,105.0,103.0,100.0,102.0,98.0,72.0,106.0,108.0,0.179,0.454,0.224,0.143,0.97,-0.41,0.65,-1.63,95.6,88.1,95.6,85.7,0.203,0.365,0.273,0.298,0.457,0.105,0.207,0.357,0.358,0.287,0.545,0.265,,,,,,,,,,,,
