date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CU%,CH%,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFC,vCH,vSI,vSL,vCU,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FA,Loc+ FA,Pit+ FA,FA%,wFA/C,vFA,FF_ba,FF_slg,FF_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2024-07-05,1:20 PM.,CHC,LAA,away,Partly Cloudy.,85,657006,3B,3,0,0,0,0,0,0,0,0,1,0,0.205,0.295,0.313,0.608,657006,justinsteele,Steele,Left,Justin Steele,CHC,3.07,2.74,134.2,103.0,99.0,102.0,0.792,9.02,2.47,7.42,0.8,1.2,0.288,0.38,0.174,0.264,0.513,70.0,92.0,94.0,92.0,120.0,108.0,64.0,104.0,95.0,130.0,105.0,109.0,,,,0.053,,0.297,0.022,0.033,,0.43,1.81,2.76,0.32,,86.2,91.6,83.3,79.9,,,,0.0,0.0,0.2,0.16,0.243,0.282,0.222,0.222,0.172,0.292,0.458,0.182,,,,89.0,102.0,100.0,0.595,0.38,91.6,0.253,0.396,0.223,,,,,,,,,,,,,,,
2024-07-04,1:07 PM.,OAK,LAA,away,Sunny.,81,676664,3B,3,0,0,0,0,0,0,0,0,1,0,0.213,0.304,0.325,0.629,676664,jpsears,Sears,Left,JP Sears,OAK,4.38,4.43,180.2,99.0,90.0,94.0,0.8,6.82,2.44,8.57,1.39,0.79,0.244,0.413,0.171,0.325,0.443,84.0,94.0,83.0,,,,84.0,100.0,87.0,118.0,100.0,105.0,,,,0.106,,0.339,,0.192,,1.37,-0.1,,-0.21,,84.0,90.0,78.9,,,,,,,,0.23,0.525,0.259,0.297,0.428,0.188,0.276,0.395,0.104,0.239,0.381,0.213,70.0,102.0,92.0,0.363,-0.8,91.9,0.23,0.476,0.256,,,,,,,,,,,,,,,
2024-06-30,1:08 PM.,DET,LAA,home,Partly Cloudy.,87,663554,3B,3,0,0,0,0,0,0,0,1,0,1,0.221,0.307,0.338,0.645,663554,caseymize,Mize,Right,Casey Mize,DET,4.49,4.74,102.1,102.0,107.0,101.0,0.803,6.86,2.55,10.64,0.97,1.65,0.227,0.405,0.149,0.335,0.435,,,,,,,92.0,108.0,105.0,107.0,101.0,102.0,,,,0.08,,0.277,,,,1.3,-0.46,,,,,95.5,85.7,,,,,0.261,0.522,0.216,0.271,0.5,0.218,,,,0.293,0.341,0.08,,,,106.0,105.0,102.0,0.386,-0.47,95.5,0.306,0.428,0.205,112.0,99.0,102.0,0.181,-1.06,86.2,0.286,0.405,0.322,102.0,90.0,94.0,0.075,-2.21,79.6
2024-06-29,7:08 PM.,DET,LAA,home,Clear.,77,681857,3B,4,0,0,0,0,0,0,0,0,2,6,0.23,0.31,0.351,0.661,681857,reeseolson,Olson,Right,Reese Olson,DET,3.53,3.64,112.1,97.0,91.0,97.0,0.729,8.09,2.64,8.01,0.56,1.62,0.214,0.462,0.128,0.306,0.365,102.0,97.0,105.0,92.0,91.0,90.0,75.0,103.0,95.0,111.0,97.0,103.0,,,,0.205,,0.278,0.06,0.223,,1.85,2.08,-3.32,-0.05,,86.5,94.2,84.8,79.0,,,,0.304,0.652,0.295,0.143,0.194,0.455,0.222,0.344,0.429,0.284,0.385,0.076,,,,70.0,94.0,86.0,0.234,-0.39,94.2,0.277,0.386,0.101,,,,,,,,,,,,,,,
2024-06-27,6:37 PM.,DET,LAA,home,Clear.,77,656427,3B,4,1,1,0,0,1,1,0,0,3,2,0.243,0.325,0.371,0.696,656427,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.17,3.54,162.0,102.0,94.0,102.0,0.712,10.78,2.11,7.5,1.33,1.05,0.223,0.436,0.157,0.3,0.38,87.0,83.0,81.0,,,,75.0,85.0,72.0,95.0,102.0,102.0,,,,0.023,,0.29,,0.027,,-5.05,0.02,,-0.55,,85.7,90.6,84.7,,,,,0.164,0.219,0.436,0.222,0.455,0.363,0.111,0.333,0.111,0.6,1.2,0.4,,,,92.0,104.0,101.0,0.441,0.5,93.3,0.245,0.401,0.238,,,,,,,,,,101.0,103.0,107.0,0.218,2.19,77.4
2024-06-26,1:06 PM.,OAK,LAA,home,Sunny.,80,683155,3B,4,0,0,0,0,0,0,0,0,2,4,0.242,0.329,0.333,0.662,683155,joeyestes,Estes,Right,Joey Estes,OAK,5.01,4.43,127.2,106.0,91.0,104.0,0.833,6.49,1.9,9.16,1.62,0.44,0.258,0.413,0.171,0.302,0.479,78.0,93.0,94.0,,,,61.0,93.0,83.0,114.0,113.0,117.0,111.0,89.0,91.0,0.034,0.007,0.332,,0.111,-13.81,-1.55,-0.2,,-2.46,86.4,84.8,90.8,79.6,,,,,,,,0.261,0.435,0.223,0.357,0.738,0.204,0.263,0.579,0.147,0.217,0.367,0.216,80.0,106.0,99.0,0.517,0.08,92.4,0.257,0.469,0.175,,,,,,,,,,,,,,,
2024-06-25,6:38 PM.,OAK,LAA,home,Clear.,79,687765,DH,1,0,0,0,0,0,0,0,0,0,0,0.258,0.347,0.355,0.702,687765,mitchspence,Spence,Right,Mitch Spence,OAK,4.58,4.14,151.1,103.0,100.0,101.0,0.792,7.49,2.62,9.81,1.19,1.4,0.179,0.472,0.137,0.309,0.406,74.0,86.0,83.0,118.0,117.0,117.0,40.0,97.0,84.0,121.0,105.0,109.0,99.0,100.0,96.0,0.146,0.396,0.326,0.121,0.011,-0.41,-1.41,0.01,-0.82,-7.88,90.7,88.4,91.9,84.3,80.4,0.278,0.472,0.176,0.196,0.351,0.31,0.278,0.493,0.276,0.571,0.857,0.0,0.338,0.403,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-26,6:40 PM.,MIN,LAA,home,Partly Cloudy.,64,641927,3B,2,0,0,0,0,0,0,0,0,2,1,0.262,0.352,0.361,0.713,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.98,3.22,178.2,105.0,91.0,102.0,0.728,9.62,2.17,6.85,1.36,0.67,0.22,0.439,0.183,0.303,0.416,116.0,111.0,111.0,94.0,99.0,103.0,,,,74.0,100.0,101.0,84.0,104.0,100.0,,0.195,0.118,0.011,0.294,-0.86,,2.03,4.57,1.98,86.2,83.4,,80.3,76.0,0.279,0.504,0.229,0.0,0.0,0.375,0.095,0.162,0.307,0.154,0.285,0.395,,,,,,,81.0,104.0,96.0,0.381,-0.01,91.7,0.258,0.506,0.222,,,,,,,,,,,,,,,
2024-04-24,1:07 PM.,BAL,LAA,home,Cloudy.,67,665152,3B,2,0,0,0,0,0,0,0,0,2,0,0.271,0.362,0.373,0.735,665152,deankremer,Kremer,Right,Dean Kremer,BAL,4.1,4.49,129.2,100.0,88.0,98.0,0.798,8.54,3.54,7.63,1.25,0.99,0.25,0.394,0.231,0.285,0.423,,,,92.0,98.0,96.0,79.0,105.0,97.0,,,,99.0,102.0,98.0,0.151,0.23,,0.114,,0.33,0.67,,0.29,,86.9,,92.3,,77.0,0.25,0.355,0.237,0.225,0.3,0.198,,,,,,,0.247,0.353,0.072,,,,91.0,100.0,99.0,0.32,-0.18,93.4,0.245,0.503,0.232,72.0,99.0,99.0,0.184,0.73,84.1,0.139,0.248,0.36,,,,,,
2024-04-23,6:38 PM.,BAL,LAA,home,Partly Cloudy.,66,680570,3B,3,0,0,0,0,0,0,0,1,3,3,0.281,0.373,0.386,0.759,680570,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,BAL,3.86,3.72,116.2,102.0,119.0,107.0,0.728,10.03,2.78,8.41,1.16,1.07,0.219,0.419,0.147,0.325,0.452,140.0,101.0,108.0,114.0,103.0,107.0,133.0,102.0,111.0,118.0,101.0,108.0,,,,0.012,,0.158,0.155,0.21,,5.3,-0.96,0.29,1.63,,83.1,96.1,86.5,81.3,,,,0.26,0.38,0.241,0.25,0.563,0.361,0.161,0.306,0.348,0.167,0.333,0.294,,,,113.0,102.0,106.0,0.465,-0.38,96.1,0.291,0.413,0.269,,,,,,,,,,,,,,,
