date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CH%,wFA/C,wSL/C,wCH/C,vFA,vCH,vSL,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,wFC/C,wFS/C,vFC,vFS,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,vKN (sc),Stf+ SI,Loc+ SI,Pit+ SI,SI%,KC%,KN%,wSI/C,wKC/C,wKN/C,vSI,vKC,SI_ba,SI_slg,SI_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,ST_ba,ST_slg,ST_whiff
2023-08-22,6:39 PM.,CIN,LAA,home,Clear.,81,668933,CF,4,0,1,0,0,0,0,0,0,1,1,0.263,0.367,0.49,0.857,668933,grahamashcraft,Ashcraft,Right,Graham Ashcraft,CIN,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.164,0.302,0.435,,,,,,,166.0,102.0,114.0,,0.373,0.0,,-0.37,-25.75,,90.4,88.3,,,,,,,0.221,0.461,0.3289999999999999,,,,,,,,,,116.0,98.0,100.0,,,,0.529,,0.15,,95.8,,,,,0.292,0.436,0.171,,57.0,90.0,82.0,0.097,,,-1.17,,,96.5,,0.286,0.429,0.1,,,,,,,,,
2023-07-03,6:41 PM.,SD,LAA,away,Clear.,68,605483,CF,4,0,2,0,0,0,1,0,1,2,1,0.263,0.369,0.493,0.862,605483,blakesnell,Snell,Left,Blake Snell,SDP,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.388,0.168,0.309,0.326,72.0,103.0,106.0,120.0,91.0,96.0,107.0,91.0,94.0,0.486,0.131,0.184,0.07,0.68,2.65,95.5,86.7,88.4,0.255,0.389,0.195,0.185,0.266,0.4679999999999999,0.123,0.26,0.536,106.0,102.0,110.0,0.198,2.55,81.0,0.079,0.14,0.563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-02,1:08 PM.,AZ,LAA,home,Sunny.,80,668678,CF,4,1,1,0,0,1,1,0,0,3,0,0.26,0.365,0.493,0.858,668678,zacgallen,Gallen,Right,Zac Gallen,ARI,3.47,4.16,210.0,104.0,106.0,107.0,0.761,9.43,2.01,8.06,0.94,1.19,0.223,0.418,0.098,0.401,0.419,86.0,107.0,114.0,104.0,104.0,106.0,105.0,116.0,112.0,0.491,0.045,0.139,1.59,0.34,1.05,93.6,86.8,87.4,0.238,0.36,0.192,0.21,0.336,0.314,0.25,0.389,0.265,,,,,,,0.21,0.344,0.405,106.0,99.0,94.0,,,,0.092,,-2.24,,90.2,,,,,0.352,0.648,0.205,,97.0,95.0,92.0,0.007,0.227,,-3.38,0.46,,93.0,82.5,0.286,0.714,0.125,,,,121.0,104.0,112.0,,,
2023-07-01,7:08 PM.,AZ,LAA,home,Clear.,69,669194,CF,3,0,0,0,0,0,0,0,1,3,0,0.26,0.367,0.486,0.853,669194,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,5.31,5.27,144.0,104.0,101.0,103.0,0.823,6.0,2.88,9.94,1.5,0.83,0.229,0.413,0.131,0.362,0.463,96.0,96.0,98.0,102.0,104.0,103.0,106.0,105.0,113.0,0.546,0.134,0.133,-0.72,0.52,-0.16,94.4,83.3,81.7,0.308,0.553,0.1669999999999999,0.203,0.407,0.312,0.174,0.565,0.257,99.0,94.0,98.0,0.052,-2.44,76.4,0.429,0.714,0.182,101.0,111.0,105.0,,,,0.135,,-1.72,,85.6,,,,,0.326,0.539,0.218,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-30,6:40 PM.,AZ,LAA,home,Clear.,76,674072,CF,4,0,2,0,0,0,0,0,0,1,2,0.263,0.368,0.491,0.859,674072,tommyhenry,Henry,Left,Tommy Henry,ARI,4.15,4.3,89.0,96.0,83.0,91.0,0.788,6.47,3.54,8.7,1.21,0.82,0.277,0.403,0.162,0.317,0.407,91.0,102.0,99.0,72.0,91.0,83.0,92.0,101.0,93.0,0.49,0.127,0.193,-0.88,2.53,-0.09,90.7,84.0,83.1,0.292,0.523,0.155,0.278,0.444,0.331,0.158,0.281,0.287,95.0,101.0,102.0,0.191,0.71,79.1,0.229,0.325,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-29,1:09 PM.,CWS,LAA,home,Sunny.,75,458681,CF,5,1,3,1,0,0,0,0,0,1,2,0.26,0.367,0.491,0.858,458681,lancelynn,Lynn,Right,Lance Lynn,- - -,5.73,4.86,183.2,102.0,94.0,100.0,0.74,9.36,3.28,9.26,2.16,0.82,0.241,0.419,0.17,0.32,0.403,56.0,95.0,90.0,92.0,105.0,104.0,97.0,98.0,106.0,0.437,0.063,0.07,-0.4,-3.65,-1.23,92.4,84.9,83.0,0.255,0.52,0.316,0.302,0.372,0.296,0.286,0.446,0.308,109.0,97.0,106.0,0.074,-2.24,80.8,0.208,0.453,0.354,104.0,105.0,99.0,,,,0.23,,-0.35,,88.7,,,,,0.273,0.512,0.267,,93.0,95.0,87.0,0.126,,,1.21,,,91.4,,0.239,0.394,0.177,,,,,,,,,
2023-06-28,6:38 PM.,CWS,LAA,home,Clear.,71,608337,CF,3,1,1,0,1,0,1,0,0,0,0,0.254,0.363,0.486,0.849,608337,lucasgiolito,Giolito,Right,Lucas Giolito,- - -,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.343,0.413,99.0,100.0,107.0,84.0,100.0,95.0,107.0,105.0,104.0,0.419,0.282,0.283,-0.85,-0.25,-0.2,93.1,80.9,84.0,0.262,0.546,0.2,0.209,0.442,0.352,0.236,0.438,0.345,81.0,76.0,78.0,0.015,-3.72,77.9,0.5,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-26,6:39 PM.,CWS,LAA,home,Clear.,74,656302,CF,3,1,0,0,0,0,0,1,1,3,1,0.253,0.363,0.48,0.843,656302,dylancease,Cease,Right,Dylan Cease,CHW,4.58,4.13,177.0,97.0,115.0,104.0,0.705,10.88,4.02,8.75,0.97,0.92,0.243,0.432,0.173,0.341,0.376,60.0,90.0,78.0,125.0,95.0,103.0,120.0,101.0,108.0,0.432,0.386,0.03,-0.15,0.4,1.0,95.6,74.6,86.3,0.273,0.436,0.205,0.111,0.111,0.5379999999999999,0.216,0.339,0.433,,,,,,,0.298,0.538,0.249,,,,,,,,,,,,,,,,,,,,,,,,0.152,,,-1.83,,,80.2,,,,,,,83.0,94.0,99.0,,,
2023-06-25,1:11 PM.,COL,LAA,away,Sunny.,73,596295,CF,3,0,0,0,0,0,0,0,0,0,3,0.255,0.365,0.486,0.851,596295,austingomber,Gomber,Left,Austin Gomber,COL,5.5,5.74,139.0,99.0,78.0,94.0,0.829,5.63,2.78,10.62,1.68,1.1,0.213,0.443,0.151,0.389,0.463,73.0,100.0,98.0,68.0,97.0,85.0,93.0,98.0,102.0,0.439,0.201,0.181,-1.99,0.96,-0.07,90.6,81.6,84.8,0.344,0.656,0.118,0.296,0.509,0.1989999999999999,0.275,0.383,0.247,,,,,,,0.226,0.358,0.28,,,,,,,,,,,,,,,,,,,,66.0,7.0,2.0,0.012,0.168,,-5.34,-0.75,,90.8,77.6,0.4,1.0,0.1669999999999999,,,,90.0,103.0,104.0,,,
2023-06-24,7:13 PM.,COL,LAA,away,Clear.,86,502624,CF,3,3,3,0,0,1,1,0,1,0,0,0.258,0.366,0.491,0.857,502624,chaseanderson,Anderson,Right,Chase Anderson,- - -,5.42,4.96,86.1,99.0,82.0,94.0,0.8,6.67,3.44,9.38,1.77,0.84,0.261,0.354,0.153,0.325,0.397,71.0,106.0,104.0,67.0,93.0,82.0,104.0,114.0,115.0,0.312,0.082,0.229,-2.17,0.92,2.14,93.3,83.9,80.6,0.351,0.619,0.173,0.163,0.25,0.287,0.172,0.172,0.246,75.0,91.0,92.0,0.041,-4.22,77.6,0.3,0.9,0.125,108.0,98.0,97.0,,,,0.263,,0.63,,89.2,,,,,0.244,0.444,0.226,,70.0,96.0,82.0,0.073,,,-5.45,,,92.6,,0.545,0.955,0.073,,,,,,,,,
