date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,KC%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wKC/C,vFA,vFC,vFS,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,CU%,CH%,wCU/C,wCH/C,vCH,vCU,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff
2023-05-08,6:47 PM.,WSH,SF,home,Partly Cloudy.,57,663623,CF,2,0,0,0,0,0,0,0,0,1,1,0.0,0.25,0.0,0.25,663623,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,4.61,5.1,121.0,101.0,99.0,98.0,0.839,7.36,4.02,8.78,1.49,1.08,0.252,0.369,0.125,0.374,0.427,92.0,100.0,94.0,101.0,101.0,98.0,,,,,,,,,,0.287,0.356,,,,,-0.01,,,-0.75,,,94.5,,,93.9,,,0.208,0.376,0.192,0.197,0.362,0.257,,,,0.25,0.5,0.156,,,,78.0,99.0,95.0,110.0,100.0,103.0,,,,0.306,0.051,0.08,1.21,87.8,80.9,0.348,0.525,0.093,,,,,,,,,
2023-05-07,1:05 PM.,MIL,SF,home,Partly Cloudy.,60,605288,CF,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3,0.0,0.3,605288,adrianhouser,Houser,Right,Adrian Houser,MIL,4.12,4.21,111.1,103.0,83.0,97.0,0.839,7.76,2.75,9.78,1.05,1.32,0.194,0.409,0.134,0.36,0.424,80.0,103.0,92.0,86.0,104.0,100.0,83.0,102.0,99.0,,,,,,,0.471,0.238,,,0.166,,0.29,,,0.46,-0.89,,93.4,,,92.1,82.3,,0.227,0.34,0.237,0.269,0.538,0.127,,,,0.294,0.471,0.2,0.258,0.484,0.284,88.0,92.0,93.0,67.0,100.0,95.0,,,,0.085,0.04,-1.08,-2.07,84.3,79.4,0.296,0.396,0.129,,,,,,,,,
2023-05-06,4:16 PM.,MIL,SF,home,Cloudy.,59,607067,CF,3,0,0,0,0,0,0,0,0,0,0,0.0,0.3,0.0,0.3,607067,colinrea,Rea,Right,Colin Rea,MIL,4.55,4.42,124.2,104.0,89.0,99.0,0.786,7.94,2.74,7.94,1.66,1.16,0.216,0.436,0.123,0.359,0.419,82.0,111.0,99.0,96.0,105.0,99.0,97.0,109.0,109.0,,,,62.0,96.0,91.0,0.299,0.193,0.265,0.056,0.109,,2.43,-0.01,-5.76,0.31,-0.31,,93.2,86.7,86.0,92.6,83.1,,0.135,0.27,0.264,0.242,0.455,0.231,0.245,0.519,0.293,,,,0.226,0.377,0.362,,,,101.0,105.0,105.0,87.0,99.0,95.0,0.079,,-0.94,,,78.8,0.253,0.42,0.136,0.44,0.84,0.184,,,,,,
2023-05-05,7:20 PM.,MIL,SF,home,Cloudy.,55,669203,CF,2,1,0,0,0,0,0,0,1,1,2,0.0,0.429,0.0,0.429,669203,corbinburnes,Burnes,Right,Corbin Burnes,MIL,3.39,3.38,193.2,102.0,127.0,107.0,0.736,9.29,3.07,6.55,1.02,1.3,0.21,0.459,0.19,0.29,0.38,,,,103.0,97.0,90.0,144.0,110.0,127.0,,,,,,,0.077,,0.554,,0.085,,,1.51,,-2.42,1.12,,,94.4,,95.3,86.0,,,,,0.133,0.211,0.488,0.209,0.34,0.2269999999999999,0.204,0.258,0.306,0.159,0.275,0.4379999999999999,82.0,105.0,112.0,160.0,104.0,113.0,127.0,101.0,103.0,0.171,0.112,1.35,1.07,89.3,79.8,0.291,0.564,0.129,,,,,,,,,
2023-05-03,1:10 PM.,HOU,SF,away,Roof Closed.,73,664285,CF,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5,0.0,0.5,664285,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.246,0.443,0.109,0.374,0.445,98.0,-63.0,-49.0,97.0,98.0,96.0,,,,,,,,,,0.468,0.001,0.034,,0.087,,-16.35,0.45,,0.93,-0.32,,95.7,89.1,,95.3,84.7,,,,,0.158,0.211,0.402,0.182,0.182,0.435,0.231,0.342,0.311,0.189,0.405,0.4379999999999999,96.0,98.0,94.0,118.0,98.0,106.0,99.0,99.0,95.0,0.253,0.157,1.07,0.73,90.1,80.2,0.274,0.455,0.126,,,,,,,,,
2023-05-02,7:10 PM.,HOU,SF,away,Cloudy.,76,686613,CF,2,0,0,0,0,0,0,0,2,0,1,0.0,0.5,0.0,0.5,686613,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,5.09,4.27,155.2,100.0,104.0,101.0,0.77,10.29,3.18,9.08,1.5,1.78,0.274,0.364,0.135,0.362,0.433,101.0,99.0,96.0,90.0,103.0,93.0,104.0,92.0,97.0,112.0,102.0,110.0,92.0,104.0,105.0,0.002,0.461,0.235,0.048,0.017,0.238,0.01,-0.4,0.92,-0.16,-2.64,-0.77,95.7,91.7,88.2,96.0,84.6,82.9,0.271,0.511,0.223,0.247,0.374,0.303,0.297,0.506,0.208,0.121,0.242,0.37,0.25,0.625,0.3329999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-21,4:11 PM.,NYM,PHI,away,Partly Cloudy.,77,640455,CF,1,0,0,0,0,0,1,0,0,0,1,0.25,0.333,0.375,0.708,640455,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.47,3.75,181.2,97.0,90.0,96.0,0.76,9.12,3.12,6.64,1.04,0.87,0.266,0.376,0.156,0.32,0.436,88.0,103.0,99.0,95.0,100.0,97.0,88.0,88.0,93.0,,,,,,,0.447,0.113,0.071,,0.251,,1.13,0.97,,1.36,0.37,,92.3,88.4,,92.3,79.5,,0.167,0.295,0.311,,,,0.222,0.25,0.179,0.25,0.438,0.254,0.174,0.435,0.32,83.0,98.0,95.0,,,,84.0,88.0,85.0,,0.118,,-1.19,85.3,,0.201,0.333,0.21,,,,0.193,0.311,0.388,,,
2024-09-19,7:16 PM.,NYM,PHI,away,Cloudy.,78,622663,CF,2,0,0,0,0,0,0,0,0,0,2,0.261,0.346,0.391,0.737,622663,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.91,3.88,182.0,101.0,107.0,101.0,0.812,7.96,2.97,8.21,1.14,1.28,0.273,0.372,0.203,0.288,0.434,101.0,104.0,102.0,90.0,98.0,94.0,143.0,100.0,111.0,,,,,,,0.248,0.355,0.081,,0.242,,0.15,1.05,,1.24,0.26,,96.2,92.6,,95.6,85.6,,0.243,0.392,0.218,,,,0.2,0.3,0.26,0.358,0.66,0.186,0.263,0.342,0.284,87.0,95.0,95.0,,,,92.0,91.0,89.0,,0.075,,-3.63,86.1,,0.278,0.414,0.122,,,,0.139,0.238,0.386,,,
2024-09-17,6:42 PM.,MIL,PHI,away,Clear.,76,593423,CF,2,0,0,0,0,0,0,0,0,2,2,0.286,0.375,0.429,0.804,593423,frankiemontas,Montas,Right,Frankie Montas,- - -,4.84,4.71,150.2,101.0,98.0,99.0,0.777,8.84,3.94,8.36,1.43,1.1,0.235,0.376,0.147,0.311,0.418,83.0,105.0,98.0,83.0,100.0,98.0,117.0,103.0,106.0,,,,119.0,99.0,105.0,0.191,0.332,0.187,0.183,0.107,,-0.02,-1.4,-0.23,1.13,-1.94,,95.6,90.4,86.0,94.8,85.4,,0.206,0.367,0.231,,,,0.326,0.609,0.223,,,,0.288,0.577,0.325,,,,,,,109.0,95.0,95.0,,,,,,,0.248,0.407,0.113,0.218,0.297,0.426,,,,,,
2024-09-16,6:41 PM.,MIL,PHI,away,Partly Cloudy.,7,650644,CF,1,0,0,0,0,0,0,0,1,0,0,0.316,0.409,0.474,0.883,650644,aaroncivale,Civale,Right,Aaron Civale,- - -,4.36,4.0,161.0,100.0,96.0,100.0,0.801,8.33,2.91,8.83,1.62,0.83,0.253,0.411,0.145,0.315,0.399,68.0,102.0,96.0,71.0,93.0,83.0,152.0,101.0,112.0,,,,57.0,96.0,102.0,0.24,0.099,0.322,0.02,0.163,,-1.7,1.08,-4.86,0.06,-1.03,,92.0,88.1,85.6,92.6,80.5,,0.294,0.49,0.095,0.25,0.479,0.275,0.232,0.394,0.233,,,,0.25,0.375,0.438,,,,104.0,104.0,109.0,91.0,100.0,101.0,0.156,,-1.36,,,77.1,0.241,0.421,0.158,0.375,0.625,0.261,0.267,0.467,0.272,,,
