date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSL,vKC,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2024-09-21,6:10 PM.,COL,LAD,home,Clear.,69,615698,C,4,0,1,0,0,0,1,0,0,0,2,0.333,0.429,0.333,0.762,615698,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.98,5.31,148.1,96.0,90.0,94.0,0.81,6.67,4.19,9.47,1.4,1.33,0.219,0.425,0.133,0.367,0.407,88.0,97.0,103.0,,,,,,,,,,76.0,96.0,93.0,,0.135,,,0.018,,-0.41,,,1.81,,87.8,84.9,,,,,,,,,0.25,0.531,0.282,,,,0.296,0.507,0.203,0.222,0.222,0.167,79.0,95.0,89.0,0.402,-2.0,93.8,0.35,0.596,0.184,98.0,101.0,104.0,0.126,-0.77,79.6,109.0,94.0,97.0,0.32,0.4,86.5,0.206,0.314,0.234
2024-09-19,4:40 PM.,MIA,LAD,away,Roof Closed.,72,665795,C,1,1,0,0,0,0,0,0,1,1,0,0.375,0.5,0.375,0.875,665795,edwardcabrera,"Cabrera, E",Right,Edward Cabrera,MIA,4.95,4.78,96.1,97.0,101.0,99.0,0.738,10.0,4.67,7.66,1.4,1.45,0.199,0.465,0.137,0.348,0.393,96.0,98.0,103.0,97.0,91.0,87.0,114.0,102.0,105.0,,,,,,,0.274,,0.085,,0.332,-1.63,,1.65,,0.15,96.3,,93.0,89.2,,0.129,0.226,0.313,0.304,0.543,0.164,0.206,0.426,0.394,,,,,,,0.206,0.321,0.338,110.0,94.0,95.0,0.091,0.07,96.7,0.231,0.333,0.151,106.0,101.0,104.0,0.217,-0.03,84.8,,,,,,,,,
2024-09-17,6:40 PM.,MIA,LAD,away,Roof Closed.,72,670766,C,4,1,2,0,0,0,0,0,0,0,0,0.429,0.5,0.429,0.929,670766,darrenmccaughan,McCaughan,Right,Darren McCaughan,- - -,6.21,5.64,42.0,98.0,87.0,94.0,0.87,6.0,3.21,11.36,1.93,0.7,0.219,0.466,0.151,0.308,0.462,69.0,87.0,75.0,49.0,94.0,82.0,119.0,102.0,109.0,,,,,,,0.195,,0.38,,0.111,-0.09,,-3.09,,-1.8,89.4,,81.1,81.9,,,,,0.243,0.405,0.18,,,,0.311,0.689,0.142,,,,0.333,0.381,0.325,80.0,99.0,91.0,0.315,-1.47,89.0,0.346,0.5,0.089,,,,,,,,,,,,,,,
2024-08-25,1:10 PM.,TB,LAD,home,Sunny.,83,682052,C,2,0,1,0,0,0,0,0,1,1,0,0.333,0.5,0.333,0.833,682052,jacoblopez,"Lopez, Ja",Left,Jacob Lopez,TBR,5.23,3.59,10.1,89.0,86.0,86.0,0.768,6.97,6.1,4.35,1.74,0.3,0.345,0.379,0.172,0.31,0.393,80.0,83.0,88.0,93.0,101.0,109.0,80.0,94.0,89.0,,,,91.0,99.0,91.0,0.421,0.129,0.376,,0.073,-1.78,-3.45,3.45,,-1.14,90.6,87.0,83.0,77.9,,0.053,0.053,0.355,0.231,0.538,0.125,,,,,,,0.25,1.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-31,5:40 PM.,SD,LAD,away,Clear.,73,656302,PH,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,656302,dylancease,Cease,Right,Dylan Cease,SDP,3.47,3.31,189.1,100.0,121.0,107.0,0.693,10.65,3.09,6.51,0.86,0.94,0.203,0.433,0.147,0.307,0.389,54.0,72.0,68.0,123.0,95.0,102.0,112.0,100.0,105.0,105.0,95.0,102.0,113.0,89.0,90.0,0.435,0.006,0.471,0.079,0.009,0.22,-5.11,1.98,-0.95,-4.13,96.9,91.8,69.7,87.2,82.3,0.159,0.257,0.447,0.235,0.39,0.203,0.28,0.44,0.286,0.2,0.267,0.385,0.25,1.0,0.0,0.25,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,
