date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,SL%,KC%,CH%,wSI/C,wSL/C,wKC/C,wCH/C,vCH,vSI,vSL,vKC,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,FA%,FS%,CU%,wFA/C,wFS/C,wCU/C,vFA,vFS,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,FS_ba,FS_slg,FS_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FS,Loc+ FS,Pit+ FS
2023-09-30,6:11 PM.,MIL,CHC,away,Clear.,75,641778,DH,5,0,3,0,1,0,1,0,0,2,0,0.385,0.385,0.846,1.231,641778,ericlauer,Lauer,Left,Eric Lauer,MIL,6.56,7.54,46.2,97.0,82.0,90.0,0.811,8.29,4.63,10.41,3.09,0.49,0.201,0.465,0.09,0.438,0.431,59.0,99.0,91.0,,,,89.0,105.0,100.0,,0.078,,0.007,,2.07,,-17.68,82.8,,82.6,,,,,0.188,0.188,0.111,,,,89.0,91.0,90.0,79.0,101.0,93.0,0.432,,0.124,-1.01,,-6.37,90.8,,75.3,0.261,0.58,0.258,0.412,1.235,0.138,,,,82.0,93.0,87.0,0.358,-2.06,86.7,0.309,0.568,0.212,,,,,,
2023-09-24,1:20 PM.,COL,CHC,home,Sunny.,73,621389,CF,2,0,0,0,0,0,0,0,0,1,3,0.25,0.25,0.75,1.0,621389,tyblach,Blach,Left,Ty Blach,COL,5.54,7.26,78.0,102.0,75.0,88.0,0.856,5.77,2.77,12.0,1.73,1.18,0.279,0.371,0.121,0.39,0.447,20.0,103.0,96.0,69.0,104.0,84.0,,,,0.55,,,0.221,-1.22,,,-1.35,79.9,89.3,,,0.322,0.561,0.102,,,,0.371,0.486,0.207,66.0,98.0,98.0,,,,,,0.064,,,-0.44,,,78.9,,,,0.211,0.211,0.257,,,,170.0,99.0,85.0,0.165,-2.26,83.7,0.348,0.652,0.184,,,,,,
2023-09-22,1:19 PM.,COL,CHC,home,Partly Cloudy.,74,663562,DH,1,0,0,0,0,0,0,0,0,1,0,0.333,0.333,1.0,1.333,663562,noahdavis,Davis,Right,Noah Davis,COL,8.7,4.8,30.0,95.0,85.0,90.0,0.823,7.8,4.5,12.9,1.8,1.31,0.267,0.396,0.129,0.366,0.459,82.0,81.0,79.0,75.0,97.0,86.0,103.0,99.0,102.0,0.504,0.143,,0.092,-2.48,0.59,,-7.33,84.7,93.5,83.8,,0.4,0.6,0.115,0.143,0.357,0.2289999999999999,0.533,0.867,0.292,110.0,77.0,95.0,63.0,89.0,80.0,0.017,,0.075,1.13,,-2.62,91.0,,78.4,0.333,0.333,0.3329999999999999,0.267,0.267,0.208,,,,95.0,102.0,95.0,0.17,0.75,88.3,0.143,0.357,0.32,,,,,,
2023-09-19,8:05 PM.,PIT,CHC,home,Overcast.,64,663559,LF,4,1,2,1,0,1,5,0,0,1,1,0.4,0.4,1.2,1.6,663559,baileyfalter,Falter,Left,Bailey Falter,- - -,5.36,4.93,80.2,104.0,76.0,97.0,0.844,6.69,2.23,10.49,1.9,1.06,0.247,0.408,0.157,0.307,0.474,59.0,92.0,77.0,77.0,103.0,92.0,77.0,105.0,100.0,0.072,0.189,,0.046,-1.63,-1.91,,-0.8,84.6,90.7,84.5,,0.333,0.571,0.133,0.288,0.746,0.1989999999999999,0.273,0.364,0.3329999999999999,87.0,108.0,105.0,72.0,105.0,96.0,0.444,0.024,0.225,-0.08,3.65,-0.85,90.7,85.0,76.5,0.305,0.435,0.156,0.267,0.493,0.209,0.0,0.0,0.3329999999999999,,,,,,,,,,,,,,,
2023-09-06,1:20 PM.,SF,CHC,home,Sunny.,80,622072,DH,1,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,622072,alexwood,Wood,Left,Alex Wood,SFG,4.33,4.64,97.2,97.0,87.0,93.0,0.802,6.82,3.87,9.03,0.83,1.23,0.249,0.393,0.138,0.285,0.413,78.0,103.0,99.0,80.0,95.0,88.0,110.0,93.0,95.0,0.446,0.261,0.001,0.292,0.12,-0.8,-5.8,-0.33,85.2,91.5,82.4,83.6,0.234,0.433,0.242,0.288,0.441,0.25,0.273,0.388,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-13,1:15 PM.,STL,CHC,away,Sunny.,88,458681,LF,2,0,1,0,0,0,0,0,0,0,0,0.28,0.357,0.44,0.797,458681,lancelynn,Lynn,Right,Lance Lynn,STL,3.84,4.94,117.1,100.0,83.0,94.0,0.795,8.36,3.38,8.67,1.23,0.88,0.243,0.384,0.161,0.308,0.401,61.0,88.0,82.0,66.0,93.0,84.0,102.0,101.0,109.0,0.167,0.013,,0.063,-0.46,-1.62,,-2.47,84.8,91.2,82.0,,0.284,0.469,0.11,,,,0.292,0.292,0.225,112.0,96.0,99.0,85.0,102.0,97.0,0.472,,0.062,0.87,,-1.98,92.3,,80.4,0.199,0.393,0.287,0.211,0.342,0.203,,,,91.0,101.0,94.0,0.223,-1.03,88.1,0.317,0.426,0.262,0.25,0.25,0.0,,,
2024-07-11,6:37 PM.,BAL,CHC,away,Cloudy.,89,544150,LF,1,0,0,0,0,0,0,0,0,0,1,0.261,0.346,0.435,0.781,544150,albertsuarez,"Suárez, A",Right,Albert Suárez,BAL,3.7,4.05,133.2,100.0,89.0,97.0,0.786,7.27,2.9,8.75,1.14,0.8,0.241,0.426,0.136,0.304,0.391,99.0,100.0,106.0,,,,,,,,,,0.172,,,,-0.5,86.1,,,,,,,,,,0.274,0.434,0.228,94.0,99.0,98.0,90.0,101.0,96.0,0.5,,0.132,-0.36,,0.41,94.8,,79.0,0.276,0.469,0.228,0.174,0.348,0.252,,,,74.0,99.0,92.0,0.195,0.73,86.3,0.24,0.365,0.308,,,,,,
2024-05-02,1:10 PM.,NYM,CHC,away,Sunny.,71,605288,RF,0,0,0,0,0,0,0,0,0,0,0,0.273,0.36,0.455,0.815,605288,adrianhouser,Houser,Right,Adrian Houser,NYM,5.84,5.24,69.1,100.0,91.0,97.0,0.834,5.84,4.15,9.61,1.04,1.43,0.254,0.417,0.136,0.307,0.433,98.0,95.0,95.0,96.0,99.0,96.0,91.0,103.0,101.0,0.445,0.173,,0.127,0.25,-1.67,,-2.31,84.1,92.5,83.2,,0.252,0.382,0.122,0.286,0.571,0.213,0.308,0.462,0.333,83.0,99.0,93.0,72.0,104.0,94.0,0.168,,0.087,0.63,,-4.53,93.6,,79.6,0.179,0.333,0.193,0.476,0.762,0.15,,,,,,,,,,,,,,,,,,
2024-04-30,7:11 PM.,NYM,CHC,away,Cloudy.,56,640455,RF,2,0,1,0,0,0,0,0,0,1,2,0.273,0.36,0.455,0.815,640455,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.47,3.75,181.2,97.0,90.0,96.0,0.76,9.12,3.12,6.64,1.04,0.87,0.266,0.376,0.156,0.32,0.436,83.0,98.0,95.0,95.0,100.0,97.0,88.0,88.0,93.0,0.447,0.251,,0.118,1.36,0.37,,-1.19,85.3,92.3,79.5,,0.201,0.333,0.21,0.174,0.435,0.32,0.25,0.438,0.254,,,,88.0,103.0,99.0,0.113,,,1.13,,,92.3,,,0.167,0.295,0.311,,,,,,,84.0,88.0,85.0,0.071,0.97,88.4,0.222,0.25,0.179,0.193,0.311,0.388,,,
2024-04-27,4:10 PM.,BOS,CHC,away,Partly Cloudy.,61,670174,LF,0,0,0,0,0,0,0,0,1,0,0,0.25,0.348,0.45,0.798,670174,joshwinckowski,Winckowski,Right,Josh Winckowski,BOS,4.14,4.37,76.0,102.0,101.0,100.0,0.809,7.11,3.08,9.59,1.18,1.8,0.228,0.402,0.159,0.321,0.436,101.0,96.0,99.0,105.0,102.0,101.0,124.0,107.0,112.0,0.336,0.133,,0.128,-0.16,0.49,,-2.35,91.5,95.1,85.2,,0.306,0.454,0.177,0.167,0.222,0.316,0.356,0.467,0.094,,,,72.0,117.0,106.0,0.051,,,0.47,,,95.1,,,0.167,0.167,0.29,,,,,,,94.0,101.0,95.0,0.352,-0.21,90.4,0.253,0.495,0.233,,,,,,
2024-04-25,1:20 PM.,HOU,CHC,home,Sunny.,53,434378,LF,3,0,0,0,0,0,0,1,0,2,0,0.25,0.318,0.45,0.768,434378,justinverlander,Verlander,Right,Justin Verlander,HOU,5.48,3.78,90.1,101.0,117.0,103.0,0.81,7.37,2.69,9.76,1.49,0.54,0.28,0.37,0.19,0.266,0.435,115.0,101.0,104.0,,,,127.0,108.0,112.0,,0.193,,0.101,,0.66,,-0.58,84.0,,86.7,,,,,0.195,0.322,0.215,0.235,0.353,0.253,110.0,101.0,97.0,116.0,98.0,102.0,0.487,,0.219,-0.59,,-1.46,93.5,,77.6,0.299,0.497,0.202,0.34,0.56,0.22,,,,,,,,,,,,,,,,,,
2024-04-24,6:40 PM.,HOU,CHC,home,Clear.,40,681293,LF,3,0,1,0,0,0,0,0,0,1,1,0.294,0.333,0.529,0.862,681293,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,4.53,4.05,145.0,99.0,95.0,99.0,0.739,10.61,4.03,8.63,1.3,0.85,0.247,0.437,0.147,0.314,0.444,89.0,97.0,90.0,,,,117.0,93.0,101.0,,0.108,,0.086,,0.99,,-2.52,85.5,,80.8,,,,,,,,0.395,0.512,0.378,118.0,98.0,104.0,91.0,100.0,99.0,0.41,,0.2,-1.33,,0.8,94.1,,78.4,0.303,0.528,0.198,0.171,0.282,0.424,,,,66.0,98.0,96.0,0.196,0.57,88.2,0.248,0.444,0.228,0.113,0.226,0.386,,,
