date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,KC%,wFC/C,wKC/C,vFC,vKC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,SV_ba,SV_slg,SV_whiff,FS_ba,FS_slg,FS_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff
2023-08-30,1:11 PM.,SEA,OAK,away,Cloudy.,69,682243,C,3,0,1,0,0,0,0,0,0,1,1,0.224,0.287,0.354,0.641,682243,brycemiller,"Miller, B",Right,Bryce Miller,SEA,4.32,4.86,131.1,104.0,117.0,109.0,0.783,8.15,1.78,8.5,1.23,0.76,0.242,0.379,0.13,0.356,0.464,90.0,101.0,107.0,113.0,102.0,102.0,121.0,105.0,110.0,104.0,101.0,99.0,112.0,100.0,107.0,0.076,0.585,0.274,0.009,0.056,0.3,1.22,0.14,-8.41,0.66,95.1,85.0,95.1,85.0,78.2,0.167,0.433,0.179,0.3,0.475,0.174,0.256,0.45,0.271,0.26,0.36,0.096,0.667,1.333,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-27,1:11 PM.,CWS,OAK,away,Sunny.,71,605182,C,3,0,0,0,0,0,0,0,0,2,1,0.222,0.286,0.354,0.64,605182,mikeclevinger,Clevinger,Right,Mike Clevinger,CHW,3.77,4.1,131.1,100.0,100.0,100.0,0.8,7.54,2.74,8.29,1.1,0.62,0.259,0.433,0.179,0.269,0.437,80.0,96.0,95.0,80.0,96.0,97.0,101.0,103.0,100.0,91.0,100.0,90.0,113.0,97.0,104.0,0.024,0.479,0.271,0.016,0.128,-0.21,1.47,0.5,0.55,1.69,94.3,86.1,93.1,79.4,76.0,0.175,0.206,0.293,0.203,0.366,0.306,0.283,0.494,0.174,0.2,0.2,0.2,0.167,0.167,0.2,,,,90.0,100.0,100.0,0.082,,-0.07,,84.9,,0.256,0.395,0.264,,,,,,,,,,,,,,,,,,
2023-08-26,6:10 PM.,CWS,OAK,away,Cloudy.,72,657053,1B,1,0,0,0,0,0,0,0,0,0,1,0.227,0.291,0.362,0.653,657053,toukitoussaint,Toussaint,Right,Touki Toussaint,- - -,4.97,5.37,87.0,94.0,95.0,93.0,0.769,8.79,5.9,7.14,1.03,1.6,0.179,0.477,0.106,0.315,0.366,,,,108.0,99.0,104.0,79.0,87.0,79.0,94.0,94.0,89.0,88.0,112.0,117.0,0.265,0.235,0.023,0.288,,-1.46,0.33,-6.26,1.81,,93.6,,92.9,86.6,76.1,,,,0.333,1.333,0.357,0.294,0.426,0.217,0.3,0.412,0.095,0.115,0.184,0.356,,,,,,,,,,,,,,,,96.0,96.0,99.0,0.189,-0.3,87.5,,,,0.188,0.348,0.324,,,,,,
2023-08-23,12:38 PM.,KC,OAK,home,Sunny.,82,666142,1B,2,0,0,0,0,0,0,0,0,0,1,0.229,0.293,0.364,0.657,666142,coleragans,Ragans,Left,Cole Ragans,- - -,3.47,3.33,96.0,99.0,101.0,101.0,0.713,10.59,3.84,6.56,0.66,1.21,0.284,0.364,0.178,0.284,0.409,90.0,97.0,103.0,,,,108.0,100.0,100.0,,,,126.0,114.0,125.0,,0.401,0.104,,0.237,0.24,,2.79,,2.84,96.5,86.6,,86.6,,0.152,0.192,0.344,0.18,0.2,0.4,0.234,0.411,0.2789999999999999,,,,0.194,0.306,0.295,,,,89.0,92.0,87.0,0.134,0.124,1.47,-0.05,91.8,81.8,0.27,0.378,0.238,,,,,,,,,,,,,,,,,,
2023-08-22,6:40 PM.,KC,OAK,home,Clear.,72,672582,1B,4,1,1,0,0,0,0,0,0,2,3,0.232,0.297,0.37,0.667,672582,angelzerpa,Zerpa,Left,Angel Zerpa,KCR,4.85,4.36,42.2,101.0,77.0,96.0,0.822,7.59,1.69,9.7,1.48,1.6,0.224,0.418,0.164,0.381,0.46,67.0,97.0,93.0,,,,59.0,100.0,88.0,80.0,106.0,98.0,106.0,102.0,107.0,0.232,0.335,0.239,,0.194,0.43,0.96,-0.82,,-2.48,94.5,86.9,94.6,86.2,,0.379,0.552,0.313,0.244,0.463,0.231,0.222,0.407,0.216,0.289,0.467,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-20,1:08 PM.,BAL,OAK,home,Partly Cloudy.,78,680694,C,2,0,0,0,0,0,0,0,0,2,0,0.231,0.298,0.373,0.671,680694,kylebradish,Bradish,Right,Kyle Bradish,BAL,2.83,3.77,168.2,103.0,126.0,105.0,0.759,8.96,2.35,7.04,0.75,1.61,0.258,0.336,0.116,0.269,0.432,97.0,100.0,98.0,135.0,105.0,109.0,101.0,96.0,96.0,88.0,104.0,98.0,171.0,105.0,116.0,0.207,0.224,0.313,0.173,0.083,-1.0,1.53,1.77,3.99,-0.36,94.5,90.8,95.0,88.1,84.8,0.259,0.37,0.114,0.168,0.272,0.364,0.366,0.602,0.15,0.23,0.367,0.15,0.142,0.165,0.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-19,6:08 PM.,BAL,OAK,home,Partly Cloudy.,70,608344,1B,2,0,0,0,0,0,0,0,0,1,1,0.235,0.297,0.379,0.676,608344,coleirvin,"Irvin, C",Left,Cole Irvin,BAL,4.42,5.59,77.1,104.0,80.0,97.0,0.811,7.91,2.44,9.08,1.28,1.11,0.267,0.379,0.163,0.321,0.447,75.0,106.0,101.0,92.0,94.0,91.0,68.0,110.0,99.0,75.0,103.0,97.0,,,,0.207,0.28,,0.143,0.211,0.22,0.95,,-0.89,-2.77,92.2,84.2,91.9,,77.2,0.324,0.568,0.168,,,,0.247,0.459,0.204,0.28,0.36,0.195,0.229,0.343,0.23,,,,99.0,99.0,94.0,0.159,,2.29,,85.5,,0.18,0.279,0.26,,,,,,,,,,,,,,,,,,
2023-08-16,5:45 PM.,STL,OAK,away,Clear.,83,669461,DH,4,1,1,0,0,0,1,0,0,0,3,0.238,0.297,0.385,0.682,669461,matthewliberatore,Liberatore,Left,Matthew Liberatore,STL,5.25,5.96,61.2,93.0,88.0,93.0,0.825,6.71,3.65,9.63,0.73,1.28,0.322,0.342,0.131,0.372,0.426,72.0,100.0,96.0,101.0,87.0,97.0,72.0,98.0,90.0,91.0,92.0,91.0,117.0,88.0,99.0,0.185,0.382,0.127,0.224,0.081,-0.74,1.76,-2.12,-1.62,-0.64,94.2,87.3,94.3,86.6,76.6,0.278,0.389,0.125,0.333,0.533,0.286,0.308,0.49,0.161,0.208,0.302,0.098,0.222,0.472,0.3379999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-15,6:46 PM.,STL,OAK,away,Cloudy.,74,641712,1B,1,0,1,0,0,0,0,0,0,0,0,0.238,0.298,0.389,0.687,641712,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,STL,4.98,6.0,81.1,96.0,94.0,91.0,0.818,4.98,3.76,9.74,1.0,1.89,0.16,0.461,0.141,0.349,0.419,85.0,66.0,62.0,81.0,103.0,96.0,81.0,99.0,88.0,81.0,97.0,87.0,120.0,95.0,100.0,0.377,0.222,0.321,0.055,0.024,0.43,0.04,-0.76,-0.31,-4.54,91.1,84.4,91.6,85.1,81.4,0.2,0.4,0.0,0.258,0.43,0.3929999999999999,0.281,0.328,0.129,0.308,0.526,0.072,0.25,0.25,0.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,1:07 PM.,CWS,OAK,home,Sunny.,81,656302,C,3,0,0,0,0,0,0,0,1,1,2,0.232,0.293,0.384,0.677,656302,dylancease,Cease,Right,Dylan Cease,CHW,4.58,4.13,177.0,97.0,115.0,104.0,0.705,10.88,4.02,8.75,0.97,0.92,0.243,0.432,0.173,0.341,0.376,60.0,90.0,78.0,,,,125.0,95.0,103.0,,,,120.0,101.0,108.0,,0.432,0.386,,0.03,-0.15,,0.4,,1.0,95.6,74.6,,86.3,,0.111,0.111,0.5379999999999999,0.216,0.339,0.433,0.273,0.436,0.205,,,,0.298,0.538,0.249,83.0,94.0,99.0,,,,,0.152,,-1.83,,80.2,,,,,,,,,,,,,,,,,,,,,
