date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,SI%,FA%,CU%,CH%,wFA/C,wSI/C,wCU/C,wCH/C,vFA,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SV_ba,SV_slg,SV_whiff,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FC%,SL%,wFC/C,wSL/C,vFC,vSL,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff
2024-09-18,1:08 PM.,CWS,LAA,home,Partly Cloudy.,75,694363,2B,0,0,0,0,0,0,0,0,1,0,0,0.19,0.393,0.476,0.869,694363,jaredshuster,Shuster,Left,Jared Shuster,CHW,4.3,4.71,73.1,100.0,75.0,93.0,0.779,6.87,4.05,9.08,1.1,0.77,0.284,0.401,0.147,0.263,0.408,71.0,99.0,94.0,,,,71.0,97.0,86.0,68.0,101.0,88.0,0.047,0.375,,0.294,-0.54,-0.83,,-0.49,92.5,84.1,91.8,,0.313,0.5,0.086,,,,0.274,0.487,0.162,0.244,0.372,0.312,,,,85.0,104.0,102.0,,,,,0.284,,0.49,,86.0,,,,,,,0.25,0.316,0.288
2024-09-17,6:39 PM.,CWS,LAA,home,Partly Cloudy.,71,663436,2B,1,1,0,0,0,0,0,0,2,0,2,0.19,0.37,0.476,0.846,663436,davismartin,Martin,Right,Davis Martin,CHW,4.32,4.02,50.0,99.0,104.0,98.0,0.748,8.46,4.14,9.0,0.9,1.25,0.207,0.455,0.221,0.29,0.406,143.0,103.0,107.0,95.0,91.0,93.0,92.0,95.0,91.0,,,,,0.285,0.076,0.196,-2.03,,-2.54,-0.16,93.6,89.3,,78.4,,,,0.357,0.429,0.348,0.389,0.472,0.202,0.34,0.4,0.204,,,,114.0,108.0,111.0,76.0,93.0,84.0,0.175,0.268,1.59,1.22,89.0,83.6,,,,0.206,0.294,0.231,0.121,0.293,0.378
2024-09-16,6:39 PM.,CWS,LAA,home,Partly Cloudy.,68,686563,2B,3,2,1,0,0,1,1,0,1,1,0,0.2,0.333,0.5,0.833,686563,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.49,4.37,124.1,101.0,92.0,99.0,0.806,6.59,2.9,9.05,1.3,0.96,0.223,0.389,0.171,0.29,0.394,95.0,105.0,106.0,,,,73.0,104.0,97.0,86.0,100.0,93.0,0.28,0.123,,0.187,-1.13,0.44,,-0.22,94.3,85.7,93.3,,0.287,0.449,0.132,,,,0.25,0.411,0.252,0.248,0.394,0.269,,,,117.0,100.0,107.0,79.0,101.0,93.0,0.192,0.218,0.39,-1.39,90.2,81.9,0.255,0.489,0.282,0.263,0.45,0.191,,,
2024-09-15,1:10 PM.,HOU,LAA,home,Cloudy.,76,669854,2B,1,0,1,0,0,0,2,0,0,0,0,0.176,0.3,0.353,0.653,669854,ronelblanco,Blanco,Right,Ronel Blanco,HOU,2.8,4.0,167.1,100.0,94.0,98.0,0.733,8.93,3.66,6.13,1.18,0.95,0.21,0.453,0.178,0.317,0.405,119.0,104.0,108.0,75.0,96.0,100.0,85.0,95.0,90.0,,,,,0.383,0.094,0.221,-0.42,,2.55,-0.16,93.4,85.2,,80.1,,,,0.071,0.071,0.376,0.232,0.497,0.192,0.188,0.356,0.343,,,,89.0,103.0,101.0,,,,,0.302,,2.24,,86.4,,,,,,,0.18,0.284,0.333
2024-09-13,6:37 PM.,HOU,LAA,home,Clear.,73,579328,DH,4,0,0,0,0,0,0,0,0,3,2,0.125,0.263,0.313,0.576,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,- - -,4.05,3.7,175.2,101.0,109.0,105.0,0.734,10.55,2.25,8.56,1.28,1.1,0.273,0.405,0.136,0.36,0.443,99.0,93.0,91.0,99.0,105.0,105.0,114.0,103.0,107.0,,,,,0.471,0.183,0.111,-0.08,,0.02,-0.15,95.5,86.7,,82.4,,,,0.264,0.395,0.274,0.274,0.505,0.28,0.194,0.25,0.358,,,,111.0,100.0,106.0,,,,,0.235,,1.31,,88.3,,,,,,,0.21,0.28,0.297
2024-09-10,6:41 PM.,MIN,LAA,away,Partly Cloudy.,78,641154,1B,0,1,0,0,0,0,0,0,1,0,0,0.167,0.333,0.417,0.75,641154,pablolopez,"López, P",Right,Pablo López,MIN,4.08,3.67,185.1,104.0,98.0,105.0,0.749,9.62,1.99,8.74,1.26,1.19,0.245,0.438,0.134,0.298,0.432,95.0,104.0,105.0,92.0,103.0,108.0,97.0,105.0,101.0,97.0,107.0,107.0,0.073,0.407,0.1,0.201,1.65,-2.77,-1.28,-0.14,95.0,88.5,94.5,82.4,0.426,0.639,0.142,0.23,0.446,0.341,0.208,0.352,0.259,0.281,0.359,0.249,,,,106.0,103.0,110.0,,,,,0.219,,-0.84,,84.5,0.239,0.436,0.331,,,,,,
2024-09-08,1:37 PM.,TEX,LAA,away,Sunny.,81,571760,3B,4,1,1,0,0,1,3,0,0,2,2,0.167,0.286,0.417,0.703,571760,andrewheaney,Heaney,Left,Andrew Heaney,TEX,4.28,4.46,160.0,102.0,80.0,99.0,0.76,8.94,2.31,8.94,1.29,0.75,0.247,0.407,0.148,0.306,0.428,83.0,102.0,94.0,126.0,105.0,103.0,77.0,102.0,98.0,34.0,82.0,74.0,0.014,0.501,0.036,0.17,0.15,-4.52,-3.31,0.46,91.5,83.7,92.2,75.6,0.455,0.455,0.125,0.5,1.1,0.188,0.23,0.412,0.213,0.239,0.384,0.243,,,,79.0,100.0,103.0,20.0,51.0,51.0,0.001,0.278,-19.13,-0.26,86.6,82.5,,,,,,,0.26,0.385,0.365
2024-09-05,7:08 PM.,TEX,LAA,away,Roof Closed.,74,674003,3B,2,0,0,0,0,0,0,0,1,2,2,0.125,0.3,0.125,0.425,674003,codybradford,Bradford,Left,Cody Bradford,TEX,3.54,3.54,76.1,105.0,94.0,100.0,0.793,8.25,1.53,7.55,1.18,0.82,0.263,0.357,0.138,0.304,0.427,105.0,104.0,109.0,96.0,103.0,104.0,94.0,105.0,93.0,,,,,0.523,0.128,0.273,1.75,,-2.32,0.86,89.8,80.9,,74.9,,,,0.306,0.556,0.129,0.185,0.344,0.213,0.21,0.333,0.338,,,,49.0,114.0,107.0,70.0,112.0,85.0,0.007,0.07,-3.68,-0.79,86.4,82.7,,,,,,,0.32,0.48,0.182
2024-09-04,6:40 PM.,LAD,LAA,home,Clear.,93,676272,3B,0,0,0,0,0,0,0,0,0,0,0,0.167,0.286,0.167,0.453,676272,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,8.52,7.0,56.0,93.0,113.0,97.0,0.784,8.36,4.82,11.09,2.73,1.24,0.23,0.391,0.126,0.391,0.409,104.0,91.0,96.0,120.0,99.0,104.0,119.0,89.0,92.0,101.0,93.0,89.0,0.136,0.379,0.19,0.199,-1.44,-4.54,-1.0,0.29,97.6,86.4,97.3,79.8,0.433,0.9,0.174,0.357,0.536,0.286,0.327,0.634,0.167,0.13,0.217,0.41,,,,115.0,99.0,108.0,,,,,0.096,,-3.17,,88.6,,,,,,,0.333,0.619,0.275
2024-08-07,7:37 PM.,NYY,LAA,away,Cloudy.,67,701542,3B,4,1,1,0,0,0,0,0,0,1,5,0.167,0.286,0.167,0.453,701542,willwarren,"Warren, W",Right,Will Warren,NYY,10.32,4.52,22.2,99.0,102.0,104.0,0.756,11.51,3.97,13.1,1.99,0.86,0.174,0.406,0.116,0.362,0.376,90.0,101.0,107.0,,,,92.0,102.0,101.0,93.0,104.0,108.0,0.264,0.306,,0.122,1.94,-4.69,,-6.86,93.8,86.3,93.1,,0.485,0.818,0.164,,,,0.074,0.222,0.246,0.545,1.0,0.32,,,,126.0,88.0,98.0,112.0,117.0,129.0,0.044,0.264,-5.11,-2.61,86.4,83.1,0.3,0.6,0.371,0.5,0.5,0.333,,,
