date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,SI%,KC%,wSI/C,wKC/C,vSI,vKC,SI_ba,SI_slg,SI_whiff,SV_ba,SV_slg,SV_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2023-07-26,1:10 PM.,TOR,LAD,home,Sunny.,92,579328,PH,1,0,0,0,0,0,0,0,0,0,0,0.136,0.231,0.182,0.413,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,82.0,93.0,83.0,98.0,103.0,105.0,117.0,99.0,102.0,101.0,105.0,108.0,,,,0.451,,0.259,0.193,0.097,0.05,,1.11,0.24,-1.83,95.1,,88.7,88.7,83.1,0.27,0.412,0.268,0.225,0.396,0.302,0.254,0.508,0.193,0.284,0.463,0.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-25,7:10 PM.,TOR,LAD,home,Clear.,83,605135,2B,1,0,0,0,0,0,0,0,0,0,1,0.143,0.24,0.19,0.43,605135,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,3.6,4.04,200.0,100.0,92.0,99.0,0.8,8.37,2.66,7.92,1.26,1.12,0.271,0.381,0.165,0.285,0.459,72.0,93.0,91.0,93.0,92.0,100.0,74.0,106.0,98.0,106.0,93.0,102.0,95.0,105.0,102.0,0.093,0.153,0.136,0.126,0.065,-3.9,-1.13,-0.72,0.67,1.71,92.4,87.8,84.1,75.6,70.7,0.333,0.652,0.206,0.227,0.636,0.191,0.189,0.351,0.1009999999999999,0.192,0.295,0.318,0.274,0.496,0.253,92.0,104.0,98.0,,,,0.393,,2.11,,91.9,,0.22,0.336,0.144,,,,78.0,84.0,84.0,0.033,-3.07,82.6,0.375,0.563,0.226
2023-07-24,7:10 PM.,TOR,LAD,home,Clear.,78,621244,3B,2,0,0,0,0,0,0,0,1,0,1,0.15,0.25,0.2,0.45,621244,joseberrios,Berríos,Right,José Berríos,TOR,3.65,4.51,189.2,104.0,100.0,103.0,0.764,8.73,2.47,8.21,1.19,1.12,0.225,0.406,0.151,0.311,0.418,90.0,104.0,101.0,116.0,104.0,110.0,96.0,103.0,99.0,,,,,,,0.204,,,0.296,0.185,0.72,,,0.31,-0.38,94.3,,84.1,,82.6,0.254,0.456,0.276,,,,0.245,0.409,0.33,,,,,,,92.0,104.0,99.0,,,,0.315,,0.61,,93.8,,0.255,0.398,0.131,0.216,0.357,0.305,,,,,,,,,
2023-07-23,1:39 PM.,TEX,LAD,away,Roof Closed.,74,527048,2B,1,0,0,0,0,0,0,0,0,1,1,0.167,0.238,0.222,0.46,527048,martinperez,"Pérez, M",Left,Martín Pérez,TEX,4.45,4.9,141.2,104.0,74.0,95.0,0.837,5.91,3.11,9.53,1.33,1.28,0.223,0.431,0.139,0.294,0.399,71.0,110.0,99.0,78.0,101.0,100.0,75.0,102.0,99.0,88.0,94.0,96.0,79.0,99.0,88.0,0.04,0.221,0.01,0.037,0.265,3.25,-2.02,2.0,3.35,-0.75,91.8,89.2,84.1,83.4,79.1,0.167,0.222,0.146,0.0,0.0,0.2,0.316,0.447,0.278,0.063,0.063,0.353,0.342,0.64,0.1169999999999999,73.0,102.0,95.0,,,,0.428,,0.44,,91.6,,0.244,0.394,0.0969999999999999,,,,,,,,,,,,
2023-07-22,3:07 PM.,TEX,LAD,away,Roof Closed.,72,641540,2B,1,1,0,0,0,0,0,0,1,1,0,0.176,0.25,0.235,0.485,641540,danedunning,Dunning,Right,Dane Dunning,TEX,3.7,4.48,172.2,102.0,84.0,96.0,0.794,7.3,2.87,8.5,1.04,1.41,0.203,0.443,0.146,0.315,0.415,65.0,102.0,92.0,78.0,82.0,84.0,71.0,96.0,85.0,101.0,106.0,106.0,90.0,100.0,95.0,0.032,0.2,0.234,0.016,0.156,-3.75,0.82,0.14,-3.56,-0.87,90.5,88.9,85.7,82.1,78.1,0.294,0.765,0.235,0.212,0.364,0.345,0.301,0.478,0.258,0.25,0.25,0.5,0.258,0.393,0.231,79.0,104.0,94.0,,,,0.331,0.032,1.37,-0.43,91.0,77.5,0.246,0.354,0.08,,,,,,,,,,,,
2023-07-21,7:07 PM.,TEX,LAD,away,Roof Closed.,74,571760,2B,4,1,1,0,0,0,0,0,0,1,5,0.188,0.222,0.25,0.472,571760,andrewheaney,Heaney,Left,Andrew Heaney,TEX,4.15,4.55,147.1,100.0,103.0,100.0,0.768,9.22,3.67,8.74,1.4,0.96,0.255,0.44,0.121,0.343,0.399,101.0,97.0,92.0,80.0,143.0,68.0,107.0,99.0,99.0,94.0,104.0,108.0,,,,0.579,,0.252,0.0,0.169,0.1,,-1.35,-3.87,-0.11,92.5,,84.0,82.0,74.4,0.236,0.431,0.256,0.259,0.443,0.296,0.274,0.452,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-19,1:46 PM.,BAL,LAD,away,Partly Cloudy.,85,665152,PH,1,0,0,0,0,0,0,0,0,0,0,0.167,0.214,0.25,0.464,665152,deankremer,Kremer,Right,Dean Kremer,BAL,4.12,4.93,172.2,102.0,99.0,100.0,0.785,8.18,2.87,8.91,1.41,1.05,0.282,0.38,0.145,0.311,0.423,86.0,91.0,93.0,93.0,94.0,98.0,106.0,103.0,102.0,116.0,98.0,105.0,104.0,106.0,102.0,0.371,0.239,0.033,0.089,0.123,0.43,0.02,-1.43,-2.29,-1.4,94.6,88.8,85.3,82.8,78.1,0.252,0.409,0.262,0.25,0.417,0.244,0.26,0.377,0.27,0.347,0.592,0.24,0.222,0.416,0.2769999999999999,84.0,106.0,99.0,,,,0.145,,1.81,,91.9,,0.269,0.38,0.081,,,,,,,,,,,,
2023-07-18,7:08 PM.,BAL,LAD,away,Clear.,87,669330,2B,1,0,0,0,0,0,0,0,0,0,0,0.182,0.231,0.273,0.504,669330,tylerwells,"Wells, T",Right,Tyler Wells,BAL,3.64,3.96,118.2,103.0,93.0,101.0,0.765,8.87,2.58,6.29,1.9,0.59,0.244,0.371,0.175,0.337,0.415,126.0,106.0,111.0,84.0,95.0,100.0,84.0,102.0,99.0,88.0,108.0,103.0,85.0,100.0,96.0,0.377,0.195,0.164,0.078,0.185,0.59,0.67,1.18,0.41,0.43,92.5,88.7,85.4,84.0,74.1,0.2,0.467,0.266,0.149,0.23,0.28,0.196,0.382,0.3279999999999999,0.217,0.348,0.184,0.212,0.537,0.193,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-08,6:10 PM.,LAA,LAD,home,Clear.,73,672282,2B,1,0,0,0,0,0,0,0,0,0,0,0.2,0.25,0.3,0.55,672282,reiddetmers,Detmers,Left,Reid Detmers,LAA,4.48,4.55,148.2,99.0,101.0,99.0,0.749,10.17,3.63,8.54,1.15,0.91,0.223,0.444,0.139,0.362,0.438,92.0,101.0,97.0,93.0,94.0,105.0,87.0,101.0,95.0,124.0,100.0,102.0,,,,0.432,,0.319,0.194,0.054,-0.38,,0.91,0.14,-2.03,94.3,,84.8,88.7,74.7,0.291,0.505,0.212,0.0,0.0,0.267,0.242,0.424,0.246,0.191,0.326,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-02,1:11 PM.,KC,LAD,away,Partly Cloudy.,82,663903,P,0,0,0,0,0,0,0,0,0,0,0,0.222,0.273,0.333,0.606,663903,bradysinger,Singer,Right,Brady Singer,KCR,5.52,4.93,159.2,100.0,84.0,95.0,0.789,7.5,2.76,10.26,1.13,1.62,0.23,0.439,0.119,0.387,0.443,53.0,96.0,88.0,,,,89.0,-304.0,-276.0,86.0,101.0,104.0,,,,0.002,,0.426,,0.063,-2.24,,0.01,,-0.3,90.9,,87.7,84.0,,,,,0.0,0.0,0.6,0.265,0.353,0.104,,,,,,,86.0,99.0,90.0,,,,0.51,,-1.24,,92.1,,0.339,0.555,0.113,,,,,,,,,,,,
