date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FC%,FS%,SL%,wFA/C,wFC/C,wFS/C,wSL/C,vFA,vFC,vFS,vSL,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CU%,CH%,wSI/C,wCU/C,wCH/C,vCH,vSI,vCU,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff
2023-09-30,6:11 PM.,CWS,SD,away,Clear.,76,605182,1B,4,0,2,1,0,0,1,0,0,2,2,0.168,0.239,0.396,0.635,605182,mikeclevinger,Clevinger,Right,Mike Clevinger,CHW,3.77,4.1,131.1,100.0,100.0,100.0,0.8,7.54,2.74,8.29,1.1,0.62,0.259,0.433,0.179,0.269,0.437,101.0,103.0,100.0,113.0,97.0,104.0,90.0,100.0,100.0,,,,0.479,0.082,,0.271,-0.21,-0.07,,0.5,94.3,84.9,,79.4,0.283,0.494,0.174,0.203,0.366,0.306,,,,80.0,96.0,95.0,80.0,96.0,97.0,91.0,100.0,90.0,0.024,0.016,0.128,1.47,0.55,1.69,86.1,93.1,76.0,0.167,0.167,0.2,0.175,0.206,0.293,0.2,0.2,0.2,0.256,0.395,0.264,,,,,,,,,
2023-09-27,6:43 PM.,SF,SD,away,Partly Cloudy.,62,640455,1B,0,0,0,0,0,0,0,0,0,0,0,0.155,0.229,0.381,0.61,640455,seanmanaea,Manaea,Left,Sean Manaea,SFG,4.44,4.21,117.2,101.0,91.0,96.0,0.777,9.79,3.21,7.95,1.07,1.1,0.255,0.371,0.143,0.305,0.448,90.0,105.0,95.0,92.0,95.0,98.0,,,,,,,0.562,0.0,,0.26,0.91,-5.8,,-0.93,93.6,90.3,,82.3,0.235,0.39,0.233,0.122,0.143,0.367,,,,90.0,97.0,94.0,,,,121.0,109.0,108.0,0.008,,0.17,-6.19,,1.06,86.6,94.0,,,,,0.224,0.342,0.183,0.4,0.8,0.25,,,,,,,,,,,,
2023-09-25,6:46 PM.,SF,SD,away,Clear.,68,657277,1B,4,0,0,0,0,0,0,0,0,0,2,0.155,0.229,0.381,0.61,657277,loganwebb,Webb,Right,Logan Webb,SFG,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.143,0.325,0.419,88.0,119.0,100.0,91.0,100.0,111.0,,,,,,,0.037,,,0.212,-1.37,,,0.11,92.6,,,84.3,0.226,0.452,0.3,0.208,0.369,0.286,,,,112.0,106.0,103.0,,,,105.0,103.0,98.0,0.336,,0.416,0.31,,2.18,87.5,92.3,,,,,0.225,0.309,0.228,0.313,0.481,0.104,,,,,,,,,,,,
2023-09-23,5:41 PM.,STL,SD,home,Clear.,70,663765,1B,2,0,0,0,0,0,0,0,0,0,0,0.161,0.238,0.398,0.636,663765,jakewoodford,Woodford,Right,Jake Woodford,STL,6.23,7.04,47.2,99.0,90.0,96.0,0.863,5.48,4.15,11.52,2.08,1.79,0.167,0.429,0.119,0.363,0.433,82.0,93.0,85.0,104.0,101.0,105.0,94.0,107.0,104.0,,,,0.068,0.056,,0.232,-10.74,-2.62,,-0.99,92.4,89.8,,81.7,0.571,1.357,0.296,0.241,0.448,0.186,,,,61.0,88.0,72.0,88.0,95.0,97.0,87.0,104.0,98.0,0.502,0.101,0.041,-0.6,-3.61,-0.23,86.2,92.0,76.3,0.455,0.727,0.2,0.167,0.167,0.182,0.299,0.536,0.11,0.5,0.625,0.1669999999999999,,,,,,,,,
2023-09-22,6:44 PM.,STL,SD,home,Cloudy.,67,641712,1B,3,0,0,0,0,0,0,0,0,0,4,0.165,0.243,0.407,0.65,641712,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,STL,4.98,6.0,81.1,96.0,94.0,91.0,0.818,4.98,3.76,9.74,1.0,1.89,0.16,0.461,0.141,0.349,0.419,81.0,99.0,88.0,120.0,95.0,100.0,,,,,,,0.222,,,0.321,0.43,,,-0.76,91.1,,,85.1,0.281,0.328,0.129,0.258,0.43,0.3929999999999999,,,,85.0,66.0,62.0,81.0,103.0,96.0,81.0,97.0,87.0,0.377,0.055,0.024,0.04,-0.31,-4.54,84.4,91.6,81.4,0.25,0.25,0.306,0.2,0.4,0.0,0.308,0.526,0.072,,,,,,,,,,,,
2023-09-20,1:11 PM.,COL,SD,home,Partly Cloudy.,72,502624,1B,0,0,0,0,0,0,1,0,0,0,0,0.17,0.25,0.42,0.67,502624,chaseanderson,Anderson,Right,Chase Anderson,- - -,5.42,4.96,86.1,99.0,82.0,94.0,0.8,6.67,3.44,9.38,1.77,0.84,0.261,0.354,0.153,0.325,0.397,67.0,93.0,82.0,104.0,114.0,115.0,108.0,98.0,97.0,,,,0.312,0.263,,0.082,-2.17,0.63,,0.92,93.3,89.2,,80.6,0.351,0.619,0.173,0.172,0.172,0.246,,,,71.0,106.0,104.0,75.0,91.0,92.0,70.0,96.0,82.0,0.073,0.041,0.229,-5.45,-4.22,2.14,83.9,92.6,77.6,0.3,0.9,0.125,0.163,0.25,0.287,0.545,0.955,0.073,0.244,0.444,0.226,,,,,,,,,
2023-09-19,6:40 PM.,COL,SD,home,Partly Cloudy.,69,663372,1B,2,0,0,0,0,0,0,0,1,1,3,0.17,0.253,0.42,0.673,663372,ryanfeltner,Feltner,Right,Ryan Feltner,COL,5.82,4.64,43.1,101.0,96.0,100.0,0.81,7.89,5.82,9.35,0.42,1.29,0.241,0.331,0.188,0.248,0.448,96.0,100.0,93.0,95.0,106.0,105.0,,,,,,,0.278,,,0.313,-0.01,,,1.27,94.8,,,88.6,0.25,0.295,0.225,0.178,0.289,0.163,,,,93.0,90.0,96.0,91.0,110.0,117.0,103.0,99.0,95.0,0.173,0.089,0.147,-4.88,-2.31,2.91,84.1,94.3,79.7,0.333,0.4,0.118,0.08,0.08,0.421,0.475,0.675,0.15,,,,,,,,,,,,
2023-09-16,1:07 PM.,OAK,SD,away,Overcast.,68,695243,1B,2,0,0,0,0,0,0,0,1,1,2,0.174,0.242,0.43,0.672,695243,masonmiller,"Miller, M",Right,Mason Miller,OAK,3.78,3.18,33.1,96.0,125.0,103.0,0.762,10.26,4.32,6.48,0.54,0.5,0.39,0.268,0.183,0.268,0.433,136.0,98.0,106.0,113.0,97.0,104.0,117.0,95.0,100.0,,,,0.555,0.158,,0.238,0.94,-1.76,,1.87,98.3,94.1,,85.8,0.219,0.391,0.21,0.118,0.147,0.471,,,,83.0,80.0,77.0,,,,,,,,,0.049,,,1.62,90.3,,,,,,0.0,0.0,0.429,,,,0.375,0.375,0.208,,,,,,,,,
2023-08-11,6:40 PM.,AZ,SD,away,Roof Closed.,78,669194,DH,2,0,0,0,0,0,0,0,0,1,1,0.179,0.239,0.44,0.679,669194,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,5.31,5.27,144.0,104.0,101.0,103.0,0.823,6.0,2.88,9.94,1.5,0.83,0.229,0.413,0.131,0.362,0.463,102.0,104.0,103.0,106.0,105.0,113.0,101.0,111.0,105.0,,,,0.546,0.135,,0.134,-0.72,-1.72,,0.52,94.4,85.6,,81.7,0.308,0.553,0.1669999999999999,0.174,0.565,0.257,,,,96.0,96.0,98.0,99.0,94.0,98.0,,,,,0.052,0.133,,-2.44,-0.16,83.3,,76.4,0.429,0.714,0.182,0.203,0.407,0.312,,,,0.326,0.539,0.218,,,,,,,,,
2023-08-09,6:40 PM.,SEA,SD,away,Partly Cloudy.,75,676106,DH,1,0,0,0,0,0,0,0,1,0,1,0.183,0.244,0.451,0.695,676106,emersonhancock,Hancock,Right,Emerson Hancock,SEA,4.5,3.33,12.0,105.0,84.0,100.0,0.853,4.5,2.25,9.75,0.75,1.27,0.25,0.475,0.25,0.175,0.428,89.0,128.0,125.0,84.0,113.0,106.0,,,,,,,0.464,,,0.268,1.54,,,3.26,92.5,,,86.7,0.25,0.438,0.213,0.214,0.214,0.143,,,,89.0,95.0,102.0,,,,68.0,103.0,98.0,0.139,,0.129,1.65,,-7.29,84.5,92.7,,,,,0.5,0.5,0.231,0.25,0.25,0.133,,,,,,,,,,,,
