date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FC%,FS%,SL%,wFA/C,wFC/C,wFS/C,wSL/C,vFA,vFC,vFS,vSL,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CU%,CH%,wSI/C,wCU/C,wCH/C,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff
2024-09-29,3:06 PM.,TB,BOS,home,Cloudy.,69,686752,DH,2,0,0,0,0,0,0,0,1,1,3,0.0,0.217,0.0,0.217,686752,ryanpepiot,Pepiot,Right,Ryan Pepiot,TBR,3.6,3.64,130.0,99.0,116.0,106.0,0.73,9.83,3.32,7.06,1.18,0.77,0.276,0.405,0.17,0.308,0.422,115.0,98.0,102.0,119.0,95.0,106.0,100.0,103.0,100.0,,,,0.506,0.06,,0.173,1.07,-0.88,,0.51,94.9,91.6,,89.0,0.181,0.33,0.316,,,,0.267,0.407,0.317,118.0,105.0,117.0,140.0,75.0,84.0,,,,,0.027,0.235,,-1.47,-0.47,85.8,,80.6,,,,0.276,0.586,0.141,0.167,0.167,0.5,,,,0.216,0.353,0.286,,,,,,,,,
2024-09-28,4:11 PM.,TB,BOS,home,Sunny.,71,669358,DH,4,0,0,0,0,0,0,0,0,2,3,0.0,0.2,0.0,0.2,669358,shanebaz,Baz,Right,Shane Baz,TBR,3.06,3.62,79.1,100.0,115.0,103.0,0.779,7.83,3.06,6.47,1.02,0.91,0.269,0.402,0.142,0.342,0.456,121.0,101.0,104.0,111.0,96.0,100.0,,,,,,,0.479,,,0.213,0.81,,,-0.08,95.6,,,87.3,0.252,0.37,0.221,,,,0.164,0.4,0.222,85.0,97.0,94.0,119.0,104.0,109.0,,,,,0.205,0.103,,1.71,2.88,88.1,,83.6,,,,,,,0.169,0.247,0.311,,,,0.115,0.115,0.276,,,,,,,,,
2024-09-24,7:08 PM.,TOR,BOS,away,Roof Closed.,68,670102,1B,0,1,0,0,0,0,0,0,0,0,0,0.0,0.25,0.0,0.25,670102,bowdenfrancis,Francis,Right,Bowden Francis,TOR,3.3,3.39,103.2,102.0,97.0,104.0,0.8,7.99,1.91,6.42,1.48,0.74,0.247,0.498,0.171,0.341,0.465,94.0,106.0,107.0,96.0,92.0,92.0,,,,109.0,105.0,110.0,0.513,,0.184,0.092,2.21,,1.44,-1.47,92.9,,83.8,81.7,0.174,0.371,0.185,0.169,0.169,0.225,0.25,0.583,0.436,,,,99.0,94.0,100.0,79.0,96.0,85.0,0.029,0.182,,1.45,-1.71,,,90.3,73.5,0.182,0.455,0.067,,,,0.308,0.558,0.243,,,,,,,,,,,,,,,
2024-09-02,7:10 PM.,NYM,BOS,away,Clear.,75,622663,PH,1,0,0,0,0,0,0,0,0,1,0,0.0,0.25,0.0,0.25,622663,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.91,3.88,182.0,101.0,107.0,101.0,0.812,7.96,2.97,8.21,1.14,1.28,0.273,0.372,0.203,0.288,0.434,101.0,104.0,102.0,143.0,100.0,111.0,92.0,91.0,89.0,,,,0.355,0.081,,0.242,0.15,1.05,,0.26,96.2,92.6,,85.6,0.243,0.392,0.218,,,,0.263,0.342,0.284,87.0,95.0,95.0,,,,90.0,98.0,94.0,0.248,,0.075,1.24,,-3.63,86.1,95.6,,0.278,0.414,0.122,0.2,0.3,0.26,,,,0.139,0.238,0.386,0.358,0.66,0.186,,,,,,,,,
2024-08-30,6:40 PM.,DET,BOS,away,Clear.,91,663554,2B,0,0,0,0,0,0,0,0,0,0,0,0.0,0.267,0.0,0.267,663554,caseymize,Mize,Right,Casey Mize,DET,4.49,4.74,102.1,102.0,107.0,101.0,0.803,6.86,2.55,10.64,0.97,1.65,0.227,0.405,0.149,0.335,0.435,106.0,105.0,102.0,107.0,101.0,102.0,,,,112.0,99.0,102.0,0.386,,0.181,0.277,-0.47,,-1.06,-0.46,95.5,,86.2,85.7,0.306,0.428,0.205,0.286,0.405,0.322,0.271,0.5,0.218,,,,,,,92.0,108.0,105.0,0.08,,,1.3,,,,95.5,,0.293,0.341,0.08,,,,0.261,0.522,0.216,,,,,,,102.0,90.0,94.0,0.075,-2.21,79.6,,,
2024-08-29,7:11 PM.,TOR,BOS,home,Clear.,66,670102,2B,3,0,0,0,0,0,0,0,0,0,0,0.0,0.267,0.0,0.267,670102,bowdenfrancis,Francis,Right,Bowden Francis,TOR,3.3,3.39,103.2,102.0,97.0,104.0,0.8,7.99,1.91,6.42,1.48,0.74,0.247,0.498,0.171,0.341,0.465,94.0,106.0,107.0,96.0,92.0,92.0,,,,109.0,105.0,110.0,0.513,,0.184,0.092,2.21,,1.44,-1.47,92.9,,83.8,81.7,0.174,0.371,0.185,0.169,0.169,0.225,0.25,0.583,0.436,,,,99.0,94.0,100.0,79.0,96.0,85.0,0.029,0.182,,1.45,-1.71,,,90.3,73.5,0.182,0.455,0.067,,,,0.308,0.558,0.243,,,,,,,,,,,,,,,
2024-08-28,7:12 PM.,TOR,BOS,home,Clear.,87,605135,2B,0,0,0,0,0,0,0,0,0,0,0,0.0,0.273,0.0,0.273,605135,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,4.16,4.52,171.0,98.0,94.0,96.0,0.805,8.84,3.68,9.47,0.95,1.14,0.27,0.365,0.177,0.331,0.437,64.0,103.0,94.0,120.0,96.0,106.0,79.0,101.0,91.0,87.0,90.0,86.0,0.045,0.197,0.043,0.118,-1.6,0.44,-2.64,-0.88,92.6,89.6,84.1,77.2,0.242,0.394,0.25,0.303,0.364,0.167,0.375,0.781,0.096,75.0,87.0,84.0,101.0,91.0,102.0,96.0,101.0,97.0,0.407,0.137,0.053,-0.08,-0.09,-2.29,84.5,92.5,71.0,0.327,0.423,0.128,0.188,0.316,0.268,0.221,0.351,0.292,0.154,0.231,0.458,0.321,0.607,0.158,,,,,,,,,
2024-08-26,7:09 PM.,TOR,BOS,home,Cloudy.,75,621244,2B,3,0,0,0,0,0,0,0,0,0,0,0.0,0.273,0.0,0.273,621244,joseberrios,Berríos,Right,José Berríos,TOR,3.6,4.74,192.1,103.0,92.0,99.0,0.808,7.16,2.53,7.86,1.45,1.17,0.257,0.421,0.15,0.352,0.414,82.0,99.0,92.0,,,,84.0,108.0,99.0,,,,0.183,0.035,,,-1.26,-1.83,,,94.1,91.4,,,0.305,0.558,0.189,,,,,,,86.0,104.0,101.0,111.0,102.0,106.0,85.0,103.0,95.0,0.337,0.286,0.16,1.02,0.28,0.88,84.8,93.4,83.2,0.268,0.366,0.125,0.36,0.48,0.123,,,,,,,0.171,0.364,0.269,,,,,,,0.188,0.404,0.31
2024-08-24,4:11 PM.,AZ,BOS,home,Partly Cloudy.,83,668678,2B,4,0,0,0,0,0,0,0,0,3,1,0.0,0.375,0.0,0.375,668678,zacgallen,Gallen,Right,Zac Gallen,ARI,3.65,3.97,148.0,101.0,101.0,101.0,0.761,9.49,3.28,8.09,0.79,1.38,0.231,0.396,0.133,0.351,0.348,101.0,95.0,96.0,107.0,102.0,102.0,89.0,87.0,79.0,,,,0.463,0.031,,0.087,-0.55,-0.78,,-0.56,93.7,90.3,,87.0,0.28,0.46,0.133,,,,0.31,0.476,0.337,88.0,107.0,98.0,,,,132.0,80.0,80.0,0.001,,0.14,-1.02,,0.43,86.6,94.7,,,,,0.25,0.625,0.36,0.148,0.23,0.392,,,,0.27,0.382,0.265,107.0,108.0,112.0,0.277,2.29,81.0,,,
2024-08-23,7:13 PM.,AZ,BOS,home,Partly Cloudy.,78,669194,PH,0,0,0,0,0,0,0,0,1,0,0,0.0,0.75,0.0,0.75,669194,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.24,4.17,150.2,106.0,100.0,104.0,0.838,7.53,2.03,9.26,1.02,1.14,0.274,0.39,0.14,0.338,0.463,105.0,107.0,106.0,111.0,112.0,110.0,78.0,107.0,96.0,,,,0.557,0.184,,0.103,0.64,-0.85,,-0.66,95.2,91.2,,83.8,0.249,0.418,0.195,,,,0.226,0.34,0.156,108.0,99.0,107.0,91.0,94.0,94.0,,,,,0.057,0.099,,1.81,-2.35,83.0,,77.8,,,,0.317,0.508,0.154,0.138,0.207,0.148,0.4,0.733,0.167,0.302,0.587,0.203,,,,,,,,,
