date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI_ba,SI_slg,SI_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff
2023-09-30,6:11 PM.,SD,CWS,home,Clear.,76,608379,LF,2,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,608379,michaelwacha,Wacha,Right,Michael Wacha,SDP,3.22,4.27,134.1,102.0,89.0,101.0,0.775,8.31,2.88,7.57,1.0,0.8,0.17,0.488,0.154,0.3,0.43,101.0,106.0,110.0,86.0,92.0,94.0,73.0,104.0,94.0,,,,0.133,0.288,,0.11,0.345,1.23,-0.36,,1.04,1.06,92.0,81.6,91.9,,74.0,0.188,0.323,0.1669999999999999,,,,0.207,0.346,0.359,0.172,0.31,0.27,84.0,103.0,103.0,0.25,0.45,0.111,96.0,100.0,96.0,0.124,-2.13,86.9,0.364,0.582,0.165
2023-09-29,6:40 PM.,SD,CWS,home,Clear.,68,607259,PH,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,607259,nickmartinez,"Martinez, N",Right,Nick Martinez,SDP,3.43,3.98,110.1,102.0,92.0,101.0,0.728,8.65,3.26,8.08,0.98,1.91,0.206,0.431,0.235,0.251,0.397,97.0,102.0,106.0,88.0,97.0,100.0,92.0,100.0,98.0,,,,0.224,0.13,0.002,0.191,0.288,-0.91,1.23,-4.18,0.59,2.41,93.3,80.7,92.9,84.5,81.8,0.25,0.423,0.225,,,,0.158,0.226,0.465,0.164,0.295,0.347,87.0,108.0,101.0,0.293,0.333,0.088,96.0,102.0,96.0,0.164,-1.99,89.5,0.382,0.632,0.1689999999999999
2023-09-28,1:10 PM.,AZ,CWS,home,Cloudy.,68,686826,RF,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,686826,brycejarvis,Jarvis,Right,Bryce Jarvis,ARI,3.04,5.55,23.2,93.0,88.0,91.0,0.843,4.56,3.42,5.32,1.14,1.15,0.239,0.437,0.155,0.423,0.411,79.0,84.0,83.0,71.0,86.0,87.0,80.0,93.0,86.0,107.0,98.0,102.0,0.003,0.522,0.311,0.049,0.116,2.43,-4.6,1.54,1.51,-0.42,95.4,84.4,94.3,84.5,81.5,0.22,0.38,0.12,0.087,0.217,0.326,0.143,0.143,0.2,0.0,0.0,0.1669999999999999,,,,,,,,,,,,,,,
2023-09-27,1:10 PM.,AZ,CWS,home,Cloudy.,68,694297,PH,1,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,694297,brandonpfaadt,Pfaadt,Right,Brandon Pfaadt,ARI,5.72,4.48,96.0,104.0,103.0,105.0,0.769,8.81,2.44,10.22,2.06,0.73,0.201,0.443,0.148,0.386,0.466,90.0,100.0,97.0,106.0,89.0,97.0,97.0,105.0,102.0,119.0,106.0,117.0,0.099,0.454,0.27,0.055,0.122,-1.63,-0.03,1.21,-1.24,-3.66,93.6,86.7,93.1,83.8,78.8,0.327,0.654,0.176,0.18,0.323,0.337,0.4,0.711,0.33,0.294,0.529,0.294,97.0,108.0,100.0,0.313,0.563,0.188,,,,,,,,,
