date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wCU/C,wCH/C,vFA,vFC,vCH,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,SL%,wSI/C,wSL/C,vSI,vSL,ST_ba,ST_slg,ST_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,SV_ba,SV_slg,SV_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2024-09-29,4:36 PM.,PIT,NYY,home,Rain.,61,663559,1B,3,0,0,0,0,0,0,0,0,2,1,0.171,0.264,0.349,0.613,663559,baileyfalter,Falter,Left,Bailey Falter,PIT,4.43,4.81,142.1,99.0,90.0,97.0,0.824,6.13,2.85,8.73,1.07,0.86,0.292,0.369,0.144,0.324,0.477,,,,100.0,99.0,98.0,85.0,100.0,97.0,,,,0.484,,0.152,,0.38,,-1.24,,91.8,,,77.7,0.255,0.41,0.166,,,,,,,0.305,0.61,0.207,99.0,101.0,99.0,91.0,96.0,96.0,0.142,0.216,1.23,0.27,92.0,86.1,,,,0.26,0.448,0.157,0.245,0.304,0.287,,,,43.0,95.0,70.0,0.006,-7.04,86.9,0.333,1.333,0.125,,,,,,
2024-08-31,1:08 PM.,STL,NYY,home,Cloudy.,74,502043,1B,0,0,0,0,0,0,0,0,0,0,0,0.174,0.269,0.356,0.625,502043,kylegibson,Gibson,Right,Kyle Gibson,STL,4.24,4.87,169.2,98.0,93.0,95.0,0.756,8.01,3.61,8.54,1.22,1.29,0.218,0.431,0.166,0.351,0.359,99.0,92.0,89.0,102.0,103.0,104.0,80.0,88.0,83.0,96.0,95.0,91.0,0.132,0.211,0.086,0.099,-1.39,0.21,-2.21,1.2,91.4,88.6,84.9,78.3,0.268,0.563,0.065,0.19,0.254,0.39,0.299,0.479,0.181,0.325,0.675,0.462,84.0,101.0,96.0,104.0,102.0,105.0,0.264,0.207,0.22,0.92,90.7,80.7,0.2,0.312,0.412,0.267,0.422,0.092,,,,,,,,,,,,,,,,,,,,,
2024-08-30,7:09 PM.,STL,NYY,home,Cloudy.,71,607200,1B,3,0,0,0,0,0,0,0,0,0,1,0.174,0.269,0.356,0.625,607200,erickfedde,Fedde,Right,Erick Fedde,- - -,3.3,3.91,177.1,104.0,90.0,99.0,0.807,7.82,2.64,7.82,1.02,1.07,0.264,0.367,0.181,0.309,0.399,86.0,108.0,106.0,,,,17.0,112.0,76.0,78.0,104.0,97.0,0.003,0.323,,0.164,-6.18,0.43,,-0.54,92.9,89.9,87.7,,0.5,0.5,0.0,0.228,0.351,0.165,0.262,0.47,0.232,,,,76.0,105.0,93.0,126.0,101.0,106.0,0.308,0.202,0.59,1.28,93.0,83.5,0.165,0.309,0.251,0.25,0.358,0.202,,,,,,,,,,,,,,,,,,,,,
2024-08-24,2:09 PM.,COL,NYY,home,Partly Cloudy.,82,687134,1B,4,0,0,0,0,0,0,0,0,2,2,0.178,0.273,0.363,0.636,687134,bradleyblalock,Blalock,Right,Bradley Blalock,- - -,5.87,6.58,30.2,95.0,90.0,93.0,0.821,5.87,5.87,10.27,1.17,0.89,0.179,0.387,0.142,0.434,0.426,,,,103.0,110.0,109.0,78.0,91.0,86.0,85.0,93.0,94.0,0.474,0.038,0.115,,-1.33,-4.12,-0.99,,93.5,88.8,,79.4,0.321,0.5,0.153,,,,,,,0.188,0.5,0.167,,,,123.0,100.0,103.0,,0.204,,1.78,,85.3,,,,,,,0.156,0.219,0.283,,,,75.0,84.0,87.0,0.168,-2.77,85.2,0.4,0.7,0.314,,,,,,
2024-08-23,7:09 PM.,COL,NYY,home,Clear.,78,607536,1B,3,0,1,0,0,0,0,0,0,1,2,0.183,0.28,0.373,0.653,607536,kylefreeland,Freeland,Left,Kyle Freeland,COL,5.24,5.11,113.1,103.0,81.0,99.0,0.841,6.75,2.06,10.64,1.75,1.01,0.225,0.421,0.156,0.347,0.435,61.0,100.0,89.0,,,,69.0,104.0,95.0,,,,0.202,,,0.137,-1.51,,,-1.64,91.6,,86.1,,0.322,0.522,0.067,0.333,0.647,0.161,,,,0.194,0.276,0.42,83.0,106.0,99.0,65.0,103.0,101.0,0.245,0.227,-1.33,-1.11,91.4,86.9,,,,0.31,0.556,0.074,0.316,0.589,0.162,,,,,,,,,,,,,128.0,102.0,107.0,0.188,0.07,83.5
2024-08-22,1:08 PM.,CLE,NYY,home,Partly Cloudy.,74,668909,1B,2,1,0,0,0,0,1,0,1,1,2,0.18,0.279,0.374,0.653,668909,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,4.86,4.22,76.0,101.0,99.0,102.0,0.788,9.36,3.79,8.53,0.83,1.06,0.317,0.349,0.142,0.317,0.42,66.0,96.0,101.0,121.0,101.0,105.0,97.0,102.0,102.0,98.0,99.0,94.0,0.515,0.12,0.198,0.054,0.08,0.56,-0.01,-3.82,96.6,91.6,89.2,79.5,0.286,0.421,0.22,0.417,0.833,0.148,0.205,0.333,0.341,0.155,0.31,0.304,,,,95.0,80.0,96.0,,0.113,,-0.16,,88.6,,,,,,,0.258,0.387,0.242,,,,,,,,,,,,,,,,,,
2024-08-21,7:09 PM.,CLE,NYY,home,Clear.,70,676282,1B,4,0,0,0,0,0,0,0,0,2,3,0.182,0.28,0.38,0.66,676282,joeycantillo,Cantillo,Left,Joey Cantillo,CLE,4.89,3.83,38.2,95.0,97.0,93.0,0.721,10.24,3.49,8.15,1.4,1.39,0.212,0.462,0.154,0.346,0.436,94.0,90.0,96.0,95.0,109.0,105.0,96.0,91.0,87.0,,,,0.488,,0.152,0.276,-1.29,,1.01,0.26,92.2,,77.8,76.2,0.292,0.585,0.22,0.216,0.324,0.437,,,,0.172,0.276,0.271,,,,112.0,104.0,103.0,,0.084,,2.07,,82.6,,,,,,,0.188,0.375,0.424,,,,,,,,,,,,,,,,,,
2024-08-18,7:11 PM.,DET,NYY,away,Cloudy.,73,669373,1B,0,0,0,0,0,0,0,0,0,0,0,0.188,0.287,0.391,0.678,669373,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.39,2.72,192.0,103.0,103.0,106.0,0.717,10.69,1.64,6.66,0.7,1.27,0.256,0.387,0.181,0.254,0.475,97.0,104.0,114.0,,,,112.0,104.0,103.0,,,,0.332,,,0.271,1.84,,,1.13,96.8,,86.3,,0.197,0.286,0.277,0.216,0.322,0.461,,,,0.158,0.316,0.175,95.0,105.0,104.0,111.0,99.0,103.0,0.205,0.149,1.25,0.78,96.6,88.7,,,,0.207,0.305,0.16,0.169,0.364,0.346,,,,,,,,,,,,,95.0,91.0,101.0,0.042,1.26,78.5
2024-08-17,1:10 PM.,DET,NYY,away,Cloudy.,76,672456,1B,2,0,0,0,0,0,0,0,0,1,2,0.188,0.287,0.391,0.678,672456,keidermontero,Montero,Right,Keider Montero,DET,4.76,5.24,98.1,100.0,96.0,100.0,0.805,7.05,2.84,9.15,1.74,1.07,0.236,0.442,0.133,0.346,0.467,83.0,95.0,94.0,,,,92.0,100.0,96.0,,,,0.421,,,0.109,-0.19,,,-2.78,94.8,,86.0,,0.27,0.486,0.18,0.289,0.474,0.329,,,,0.269,0.615,0.224,90.0,101.0,97.0,110.0,99.0,104.0,0.078,0.28,1.09,0.02,94.1,83.5,,,,0.32,0.32,0.038,0.235,0.391,0.259,,,,,,,,,,,,,95.0,102.0,111.0,0.112,-3.94,78.8
2024-08-13,7:10 PM.,CWS,NYY,away,Clear.,80,686563,1B,3,0,0,0,0,0,0,0,0,1,1,0.191,0.29,0.397,0.687,686563,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.49,4.37,124.1,101.0,92.0,99.0,0.806,6.59,2.9,9.05,1.3,0.96,0.223,0.389,0.171,0.29,0.394,95.0,105.0,106.0,,,,73.0,104.0,97.0,79.0,101.0,93.0,0.123,0.192,,0.187,-1.13,0.39,,-0.22,94.3,90.2,85.7,,0.25,0.411,0.252,0.248,0.394,0.269,0.263,0.45,0.191,,,,86.0,100.0,93.0,117.0,100.0,107.0,0.28,0.218,0.44,-1.39,93.3,81.9,0.255,0.489,0.282,0.287,0.449,0.132,,,,,,,,,,,,,,,,,,,,,
