date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2024-06-23,1:18 PM.,STL,SF,away,Sunny.,90,543243,1B,2,0,0,0,0,0,0,0,0,0,0,0.12,0.241,0.12,0.361,543243,sonnygray,"Gray, S",Right,Sonny Gray,STL,3.84,3.67,166.1,103.0,110.0,105.0,0.723,10.98,2.11,7.68,1.14,1.2,0.219,0.421,0.151,0.341,0.426,119.0,96.0,97.0,107.0,97.0,101.0,93.0,114.0,112.0,152.0,114.0,125.0,92.0,98.0,96.0,,,,0.178,0.239,0.178,,0.201,0.139,-0.05,0.19,,1.64,0.94,0.7,92.4,87.7,,92.7,84.8,80.0,0.333,0.567,0.182,0.2,0.385,0.208,0.142,0.205,0.444,0.21,0.452,0.331,0.287,0.494,0.308,,,,69.0,91.0,86.0,0.064,-2.25,88.3,0.357,0.714,0.328,,,,,,,,,,0.0,-2.42,75.4
2024-06-20,6:36 PM.,STL,SF,away,Clear.,90,669467,PH,0,0,0,0,0,0,0,0,1,0,0,0.13,0.259,0.13,0.389,669467,andrepallante,Pallante,Right,Andre Pallante,STL,3.78,3.46,121.1,96.0,91.0,97.0,0.82,6.97,3.56,8.16,0.59,2.71,0.23,0.416,0.184,0.266,0.434,,,,87.0,91.0,92.0,85.0,98.0,89.0,111.0,105.0,110.0,,,,,,,0.19,0.512,,,0.172,,1.34,,,-0.25,-0.64,,94.5,,,94.8,87.5,,0.23,0.297,0.162,0.265,0.373,0.132,,,,0.157,0.257,0.345,,,,,,,,,,,,,,,,0.294,0.435,0.282,,,,88.0,102.0,109.0,0.126,0.42,79.5
2024-06-19,1:20 PM.,CHC,SF,away,Sunny.,91,543294,1B,2,0,0,0,0,0,0,0,0,0,1,0.13,0.231,0.13,0.361,543294,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,5.92,4.81,130.2,105.0,95.0,100.0,0.828,5.99,2.96,10.13,1.45,1.31,0.233,0.412,0.194,0.288,0.402,87.0,109.0,108.0,59.0,94.0,86.0,97.0,106.0,96.0,,,,,,,,,,0.355,0.127,,,,0.131,-1.51,,,-0.77,,0.52,87.7,,,87.6,,74.3,0.237,0.553,0.209,0.333,0.493,0.106,,,,0.22,0.3,0.244,,,,,,,108.0,106.0,106.0,0.387,-0.72,80.9,0.267,0.409,0.239,,,,,,,,,,,,
2024-06-17,7:05 PM.,CHC,SF,away,Cloudy.,93,665871,1B,4,0,0,0,0,0,0,1,1,3,6,0.143,0.25,0.143,0.393,665871,javierassad,Assad,Right,Javier Assad,CHC,3.73,4.97,147.0,99.0,85.0,94.0,0.843,7.59,3.86,8.76,1.22,1.13,0.263,0.373,0.146,0.301,0.422,98.0,101.0,97.0,68.0,102.0,92.0,75.0,101.0,92.0,114.0,94.0,100.0,96.0,97.0,92.0,,,,0.357,0.158,0.216,,0.107,0.116,-0.91,-0.73,,0.51,-1.54,-0.4,91.5,87.9,,91.4,80.1,76.8,0.319,0.472,0.201,0.236,0.373,0.111,0.174,0.37,0.341,0.178,0.329,0.3,0.315,0.583,0.142,,,,69.0,91.0,88.0,0.046,-1.65,83.7,0.296,0.296,0.125,0.364,0.636,0.368,,,,,,,,,
2024-06-16,1:06 PM.,LAA,SF,home,Sunny.,68,690829,1B,2,1,1,0,0,0,1,0,0,0,1,0.176,0.263,0.176,0.439,690829,benjoyce,Joyce,Right,Ben Joyce,LAA,2.08,3.24,34.2,96.0,117.0,97.0,0.725,8.57,3.63,6.75,0.26,2.65,0.275,0.396,0.209,0.286,0.449,,,,124.0,99.0,96.0,101.0,101.0,97.0,143.0,90.0,107.0,,,,,,,0.353,0.457,,,0.152,,0.84,,,1.89,0.53,,102.1,,,97.0,86.2,,0.194,0.269,0.298,0.286,0.286,0.253,,,,,,,,,,,,,142.0,88.0,104.0,0.039,5.99,92.1,0.0,0.0,0.444,0.214,0.214,0.321,,,,,,,,,
2024-06-10,6:45 PM.,HOU,SF,home,Clear.,58,681293,1B,3,0,0,0,0,0,0,0,0,0,1,0.133,0.235,0.133,0.368,681293,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,4.53,4.05,145.0,99.0,95.0,99.0,0.739,10.61,4.03,8.63,1.3,0.85,0.247,0.437,0.147,0.314,0.444,118.0,98.0,104.0,91.0,100.0,99.0,,,,117.0,93.0,101.0,66.0,98.0,96.0,,,,,0.41,0.196,,0.108,0.2,-1.33,0.57,,,0.99,0.8,94.1,88.2,,,80.8,78.4,0.303,0.528,0.198,,,,0.113,0.226,0.386,0.171,0.282,0.424,0.248,0.444,0.228,,,,89.0,97.0,90.0,0.086,-2.52,85.5,0.395,0.512,0.378,,,,,,,,,,,,
2024-06-09,12:09 PM.,TEX,SF,away,Roof Closed.,74,543135,1B,3,0,1,0,0,0,0,0,0,0,0,0.167,0.286,0.167,0.453,543135,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.8,3.91,170.2,104.0,98.0,103.0,0.751,8.75,2.21,7.75,1.21,1.47,0.227,0.399,0.119,0.341,0.458,99.0,104.0,104.0,75.0,105.0,98.0,,,,114.0,102.0,102.0,91.0,108.0,99.0,127.0,101.0,110.0,,0.374,0.148,0.308,0.033,0.137,0.83,-1.41,1.55,,-0.69,-0.79,95.4,91.4,88.4,,86.3,76.7,0.212,0.335,0.178,,,,,,,0.214,0.471,0.355,0.327,0.624,0.2,0.2,0.286,0.368,,,,,,,,,,0.269,0.462,0.25,,,,,,,,,
2024-06-03,6:40 PM.,AZ,SF,away,Roof Closed.,78,669194,1B,3,0,0,0,0,0,0,0,0,0,1,0.111,0.273,0.111,0.384,669194,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.24,4.17,150.2,106.0,100.0,104.0,0.838,7.53,2.03,9.26,1.02,1.14,0.274,0.39,0.14,0.338,0.463,91.0,94.0,94.0,105.0,107.0,106.0,,,,111.0,112.0,110.0,78.0,107.0,96.0,,,,,0.557,0.184,,0.103,0.057,0.64,-0.85,,,-0.66,1.81,95.2,91.2,,,83.8,77.8,0.249,0.418,0.195,,,,0.4,0.733,0.167,0.138,0.207,0.148,0.317,0.508,0.154,,,,108.0,99.0,107.0,0.099,-2.35,83.0,0.302,0.587,0.203,0.226,0.34,0.156,,,,,,,,,
2024-06-01,7:06 PM.,NYY,SF,home,Partly Cloudy.,64,547001,DH,1,1,0,0,0,0,0,0,1,1,1,0.167,0.375,0.167,0.542,547001,codypoteet,Poteet,Right,Cody Poteet,NYY,2.22,5.01,24.1,99.0,93.0,97.0,0.861,5.92,2.96,6.66,0.74,1.36,0.211,0.437,0.085,0.225,0.385,100.0,107.0,100.0,78.0,95.0,92.0,78.0,103.0,93.0,133.0,92.0,101.0,,,,,,,0.247,0.284,,,0.172,0.099,0.76,,,2.57,1.24,-1.44,93.3,,,92.6,81.2,78.3,0.176,0.176,0.195,0.194,0.387,0.063,0.214,0.214,0.185,0.333,0.667,0.2,,,,,,,107.0,94.0,97.0,0.198,1.71,86.9,0.188,0.188,0.2,,,,,,,,,,,,
2024-05-31,7:16 PM.,NYY,SF,home,Clear.,61,573186,1B,2,1,1,0,0,0,0,0,1,1,0,0.2,0.333,0.2,0.533,573186,marcusstroman,Stroman,Right,Marcus Stroman,NYY,4.31,4.94,154.2,96.0,92.0,94.0,0.82,6.58,3.49,9.72,1.11,1.6,0.207,0.4,0.148,0.325,0.359,94.0,89.0,94.0,48.0,88.0,79.0,90.0,94.0,90.0,93.0,102.0,102.0,106.0,101.0,99.0,82.0,99.0,93.0,0.351,0.032,0.182,0.111,0.16,0.165,-4.01,-0.26,-0.31,-0.03,-2.37,-0.03,89.9,88.1,83.3,90.0,85.3,81.3,0.455,0.636,0.259,0.306,0.466,0.12,,,,0.0,0.0,0.265,0.296,0.519,0.187,0.235,0.309,0.241,,,,,,,,,,0.258,0.386,0.272,0.309,0.515,0.313,,,,,,
