date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff
2024-10-10,6:08 PM.,CLE,DET,home,Clear.,61,676440,DH,1,0,0,0,0,0,1,0,1,0,0,0.0,0.333,0.0,0.333,676440,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.47,3.78,173.2,103.0,99.0,104.0,0.76,9.69,2.28,7.77,1.14,0.78,0.285,0.408,0.153,0.297,0.445,82.0,100.0,108.0,92.0,103.0,98.0,113.0,102.0,109.0,,,,,,,0.003,0.434,,0.278,,0.18,-0.69,,-1.41,1.74,,0.13,94.6,,82.5,93.9,86.2,,0.282,0.476,0.213,0.208,0.458,0.184,0.196,0.411,0.299,0.141,0.225,0.368,0.238,0.431,0.291,,,,119.0,109.0,112.0,0.105,-0.9,81.3,89.0,64.0,93.0,,,,,,,,,,,,,,,
2024-10-09,3:08 PM.,CLE,DET,home,Partly Cloudy.,65,502171,DH,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,502171,alexcobb,Cobb,Right,Alex Cobb,CLE,2.76,5.01,16.1,105.0,107.0,107.0,0.867,5.51,1.65,7.71,0.55,2.31,0.163,0.449,0.122,0.367,0.401,,,,,,,,,,130.0,89.0,97.0,,,,0.43,,,,0.132,,,,0.29,,-1.41,,,,,93.8,,83.2,,,,0.5,0.5,0.364,,,,,,,,,,0.25,0.417,0.059,,,,,,,83.0,105.0,104.0,123.0,111.0,114.0,0.438,2.81,89.2,0.2,0.267,0.2,,,,,,
2024-09-29,3:12 PM.,CWS,DET,home,Overcast.,72,686563,2B,0,0,0,0,0,0,0,0,1,0,0,0.241,0.362,0.304,0.666,686563,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.49,4.37,124.1,101.0,92.0,99.0,0.806,6.59,2.9,9.05,1.3,0.96,0.223,0.389,0.171,0.29,0.394,95.0,105.0,106.0,73.0,104.0,97.0,117.0,100.0,107.0,,,,79.0,101.0,93.0,0.28,0.123,0.192,0.218,,0.187,-1.13,0.39,0.44,-1.39,,-0.22,94.3,90.2,85.7,93.3,81.9,,0.25,0.411,0.252,,,,,,,0.263,0.45,0.191,0.248,0.394,0.269,0.287,0.449,0.132,,,,,,,86.0,100.0,93.0,,,,,,,,,,,,,0.255,0.489,0.282
2024-09-28,3:30 PM.,CWS,DET,home,Drizzle.,70,680732,3B,2,0,0,0,0,0,0,0,1,0,0,0.241,0.355,0.304,0.659,680732,seanburke,"Burke, S",Right,Sean Burke,CHW,1.42,3.83,19.0,100.0,106.0,105.0,0.739,10.42,3.32,5.68,0.95,0.79,0.34,0.404,0.17,0.34,0.414,125.0,79.0,88.0,111.0,101.0,109.0,96.0,92.0,101.0,,,,,,,,0.405,,0.285,,0.061,1.08,,,-0.72,,2.3,95.3,,84.6,,86.9,,0.172,0.448,0.236,0.077,0.077,0.188,0.25,0.375,0.432,,,,0.0,0.0,0.4,,,,105.0,113.0,110.0,0.249,1.87,79.7,,,,,,,,,,,,,,,,,,
2024-09-26,1:10 PM.,TB,DET,home,Cloudy.,72,641302,PH,1,0,0,0,0,0,0,0,0,1,0,0.247,0.356,0.312,0.668,641302,tyleralexander,"Alexander, T",Left,Tyler Alexander,TBR,5.1,4.68,107.2,106.0,94.0,104.0,0.815,7.52,2.01,9.2,1.92,0.62,0.28,0.372,0.155,0.351,0.441,102.0,103.0,103.0,85.0,110.0,103.0,114.0,107.0,109.0,,,,98.0,101.0,99.0,0.131,0.223,0.318,0.191,,0.137,-0.2,-0.5,-1.02,1.43,,-2.94,89.6,85.0,81.3,89.7,77.8,,0.232,0.495,0.244,,,,,,,0.265,0.549,0.216,0.339,0.5,0.181,0.288,0.492,0.109,,,,,,,61.0,113.0,105.0,,,,,,,,,,,,,0.227,0.364,0.188
2024-09-22,1:37 PM.,BAL,DET,away,Cloudy.,75,544150,3B,2,1,1,1,0,0,0,0,0,1,0,0.25,0.36,0.316,0.676,544150,albertsuarez,"Suárez, A",Right,Albert Suárez,BAL,3.7,4.05,133.2,100.0,89.0,97.0,0.786,7.27,2.9,8.75,1.14,0.8,0.241,0.426,0.136,0.304,0.391,99.0,100.0,106.0,90.0,101.0,96.0,,,,,,,74.0,99.0,92.0,,0.5,0.195,,,0.172,-0.36,0.73,,,,-0.5,94.8,86.3,86.1,,,,0.276,0.469,0.228,0.174,0.348,0.252,,,,0.24,0.365,0.308,0.274,0.434,0.228,,,,94.0,99.0,98.0,0.132,0.41,79.0,,,,,,,,,,,,,,,,,,
2024-09-21,4:06 PM.,BAL,DET,away,Partly Cloudy.,79,700249,DH,1,0,1,1,0,0,0,0,0,0,0,0.243,0.356,0.297,0.653,700249,cadepovich,Povich,Left,Cade Povich,BAL,5.2,4.11,79.2,99.0,87.0,97.0,0.788,7.79,3.84,9.04,1.36,0.75,0.22,0.447,0.179,0.289,0.454,63.0,101.0,95.0,81.0,97.0,93.0,113.0,107.0,108.0,,,,97.0,94.0,94.0,0.084,0.407,0.075,0.13,,0.109,0.56,-3.12,0.86,-0.43,,-2.05,92.4,88.3,86.1,91.5,82.6,,0.223,0.379,0.185,0.333,0.517,0.269,,,,0.333,0.81,0.288,0.25,0.542,0.235,0.2,0.24,0.103,93.0,101.0,104.0,0.196,-2.26,76.3,80.0,98.0,90.0,,,,,,,,,,,,,0.232,0.411,0.276
2024-09-20,7:07 PM.,BAL,DET,away,Clear.,81,669203,PH,1,0,1,0,0,0,0,0,0,0,0,0.233,0.349,0.274,0.623,669203,corbinburnes,Burnes,Right,Corbin Burnes,BAL,2.92,3.34,194.1,103.0,120.0,107.0,0.735,8.38,2.22,7.64,1.02,1.4,0.21,0.425,0.19,0.289,0.399,110.0,98.0,103.0,,,,133.0,105.0,120.0,,,,125.0,105.0,108.0,0.078,,0.45,0.146,,0.11,,1.37,-0.5,0.7,,0.2,,95.3,89.2,97.0,87.2,,,,,0.2,0.326,0.378,0.196,0.268,0.463,0.251,0.362,0.19,0.194,0.339,0.377,0.235,0.412,0.157,109.0,101.0,106.0,0.215,0.44,80.3,104.0,95.0,89.0,,,,,,,,,,,,,0.125,0.5,0.457
2024-09-18,6:40 PM.,KC,DET,away,Clear.,86,679525,3B,2,1,1,0,0,0,0,0,0,1,3,0.222,0.341,0.264,0.605,679525,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.53,4.97,129.0,99.0,100.0,99.0,0.789,8.58,2.72,8.58,1.33,0.92,0.249,0.42,0.182,0.329,0.429,88.0,95.0,94.0,93.0,98.0,95.0,117.0,99.0,107.0,,,,,,,0.138,0.37,,0.228,,0.1,0.34,,-1.16,-0.57,,0.84,94.2,,86.3,93.6,86.5,,0.208,0.383,0.223,0.263,0.5,0.274,0.29,0.462,0.294,,,,0.204,0.296,0.177,0.317,0.524,0.099,103.0,105.0,103.0,0.164,-1.2,82.8,98.0,99.0,97.0,,,,,,,,,,,,,0.2,0.433,0.464
2024-09-17,6:40 PM.,KC,DET,away,Clear.,86,666142,3B,1,0,0,0,0,0,0,0,0,1,1,0.214,0.337,0.257,0.594,666142,coleragans,Ragans,Left,Cole Ragans,KCR,3.14,3.31,186.1,100.0,108.0,104.0,0.705,10.77,3.24,7.05,0.72,1.01,0.281,0.395,0.176,0.3,0.409,114.0,98.0,103.0,105.0,101.0,106.0,132.0,106.0,114.0,101.0,97.0,101.0,88.0,94.0,91.0,,0.418,0.113,0.128,0.104,0.237,0.85,0.26,,-0.34,0.9,1.43,95.4,90.7,84.8,,86.0,80.8,0.213,0.361,0.231,0.14,0.256,0.352,0.21,0.305,0.337,0.348,0.455,0.228,0.183,0.28,0.478,,,,,,,,,,,,,,,,,,,,,,,,,,,
