date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
2024-09-18,7:10 PM.,NYM,WSH,away,Cloudy.,72,500779,RF,4,0,0,0,0,0,0,1,0,0,4,0.232,0.281,0.39,0.671,500779,josequintana,Quintana,Left,Jose Quintana,NYM,3.75,4.52,170.1,97.0,83.0,93.0,0.801,7.13,3.33,7.93,1.16,1.35,0.224,0.407,0.173,0.344,0.337,70.0,100.0,97.0,70.0,92.0,85.0,76.0,97.0,91.0,,,,,,,0.304,0.225,,,0.193,-0.32,,0.82,,0.5,90.7,,85.7,90.8,,0.227,0.427,0.169,,,,,,,0.203,0.26,0.367,0.249,0.431,0.131,,,,,,,,,,0.265,0.444,0.264,110.0,100.0,99.0,0.278,-0.04,77.7,,,,,,,,,,0.195,0.366,0.284
2024-09-17,7:12 PM.,NYM,WSH,away,Cloudy.,74,656731,RF,4,0,3,1,0,0,0,0,0,0,0,0.244,0.294,0.41,0.704,656731,tylormegill,Megill,Right,Tylor Megill,NYM,4.04,4.2,78.0,97.0,108.0,100.0,0.734,10.5,3.69,8.08,0.92,1.04,0.263,0.368,0.191,0.33,0.421,130.0,94.0,112.0,112.0,99.0,101.0,108.0,104.0,110.0,103.0,103.0,106.0,101.0,96.0,93.0,0.098,0.467,0.136,0.132,0.015,0.29,-1.19,3.24,-0.85,-4.39,95.7,90.1,87.2,94.6,85.1,0.228,0.35,0.292,0.326,0.565,0.27,0.25,1.0,0.167,0.5,0.5,0.111,0.206,0.206,0.184,0.233,0.302,0.291,,,,,,,0.188,0.313,0.333,91.0,77.0,82.0,0.078,-0.37,78.0,105.0,93.0,107.0,0.073,-1.25,84.7,0.143,0.393,0.429,,,
2024-09-16,7:10 PM.,NYM,WSH,away,Cloudy.,73,640455,RF,4,0,0,0,0,0,0,0,0,2,3,0.216,0.272,0.378,0.65,640455,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.47,3.75,181.2,97.0,90.0,96.0,0.76,9.12,3.12,6.64,1.04,0.87,0.266,0.376,0.156,0.32,0.436,83.0,98.0,95.0,88.0,103.0,99.0,95.0,100.0,97.0,88.0,88.0,93.0,84.0,88.0,85.0,0.447,0.113,0.071,0.251,0.118,1.13,0.97,1.36,0.37,-1.19,92.3,88.4,85.3,92.3,79.5,0.167,0.295,0.311,0.222,0.25,0.179,0.193,0.311,0.388,0.25,0.438,0.254,0.201,0.333,0.21,0.174,0.435,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-15,1:36 PM.,MIA,WSH,home,Sunny.,79,670124,RF,4,0,1,0,0,0,0,0,0,0,1,0.229,0.286,0.4,0.686,670124,adamoller,Oller,Right,Adam Oller,MIA,5.31,4.59,42.1,95.0,99.0,95.0,0.803,7.65,4.68,9.14,1.49,0.86,0.271,0.357,0.132,0.318,0.404,50.0,89.0,83.0,95.0,92.0,92.0,,,,120.0,121.0,121.0,,,,,0.514,,0.008,0.07,-2.09,,,10.03,-3.63,93.7,,86.9,,86.2,0.314,0.616,0.154,,,,,,,0.556,0.556,0.318,,,,,,,,,,,,,0.208,0.292,0.176,110.0,97.0,99.0,0.407,1.72,84.0,,,,,,,,,,0.136,0.159,0.329
2024-09-14,4:05 PM.,MIA,WSH,home,Sunny.,81,678368,RF,4,0,0,0,0,0,0,0,0,3,1,0.227,0.288,0.409,0.697,678368,valentebellozo,Bellozo,Right,Valente Bellozo,MIA,3.67,5.14,68.2,99.0,73.0,91.0,0.818,5.77,2.75,9.04,1.97,0.58,0.281,0.404,0.184,0.368,0.427,99.0,95.0,96.0,54.0,102.0,84.0,,,,100.0,105.0,104.0,67.0,98.0,91.0,,0.374,0.253,0.103,0.144,-0.41,1.23,,0.03,-3.12,89.2,82.8,81.1,,77.7,0.247,0.454,0.133,0.205,0.438,0.163,0.233,0.433,0.286,0.326,0.488,0.296,,,,,,,,,,,,,0.333,0.741,0.283,93.0,94.0,94.0,0.125,-3.5,73.7,,,,,,,,,,,,
2024-09-13,6:45 PM.,MIA,WSH,home,Partly Cloudy.,79,665795,RF,4,1,1,0,0,0,0,2,0,1,1,0.242,0.304,0.435,0.739,665795,edwardcabrera,"Cabrera, E",Right,Edward Cabrera,MIA,4.95,4.78,96.1,97.0,101.0,99.0,0.738,10.0,4.67,7.66,1.4,1.45,0.199,0.465,0.137,0.348,0.393,96.0,98.0,103.0,97.0,91.0,87.0,110.0,94.0,95.0,114.0,102.0,105.0,,,,0.091,0.274,,0.085,0.332,-1.63,,0.07,1.65,0.15,96.3,,93.0,96.7,89.2,0.304,0.543,0.164,,,,,,,0.206,0.321,0.338,0.231,0.333,0.151,0.129,0.226,0.313,,,,,,,0.206,0.426,0.394,106.0,101.0,104.0,0.217,-0.03,84.8,,,,,,,,,,,,
2024-09-12,6:46 PM.,MIA,WSH,home,Clear.,79,670766,RF,4,1,2,0,0,0,1,1,0,1,1,0.241,0.308,0.448,0.756,670766,darrenmccaughan,McCaughan,Right,Darren McCaughan,- - -,6.21,5.64,42.0,98.0,87.0,94.0,0.87,6.0,3.21,11.36,1.93,0.7,0.219,0.466,0.151,0.308,0.462,69.0,87.0,75.0,49.0,94.0,82.0,80.0,99.0,91.0,119.0,102.0,109.0,,,,0.315,0.195,,0.38,0.111,-0.09,,-1.47,-3.09,-1.8,89.4,,81.1,89.0,81.9,0.243,0.405,0.18,,,,0.311,0.689,0.142,0.333,0.381,0.325,0.346,0.5,0.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11,6:45 PM.,ATL,WSH,home,Clear.,79,608331,RF,4,0,2,0,0,0,1,0,0,1,0,0.222,0.295,0.444,0.739,608331,maxfried,Fried,Left,Max Fried,ATL,3.25,3.72,174.1,98.0,94.0,99.0,0.776,8.57,2.94,7.54,0.67,2.53,0.255,0.435,0.151,0.261,0.413,91.0,101.0,103.0,78.0,93.0,93.0,90.0,98.0,94.0,102.0,97.0,98.0,93.0,96.0,94.0,0.158,0.327,0.054,0.115,0.136,0.63,-1.33,1.47,0.5,1.7,93.9,88.5,85.7,93.6,82.1,0.266,0.36,0.182,0.286,0.476,0.286,0.167,0.2,0.358,0.196,0.283,0.251,0.265,0.299,0.137,0.22,0.293,0.297,,,,,,,0.154,0.285,0.371,116.0,103.0,108.0,0.21,1.39,74.6,,,,,,,,,,,,
2024-09-10,6:45 PM.,ATL,WSH,home,Clear.,82,625643,RF,4,0,0,0,0,0,0,0,0,2,1,0.2,0.281,0.44,0.721,625643,reynaldolopez,"López, R",Right,Reynaldo López,ATL,1.99,3.94,135.2,102.0,96.0,101.0,0.75,9.82,2.79,7.16,0.66,1.03,0.279,0.365,0.142,0.305,0.439,75.0,110.0,105.0,91.0,103.0,99.0,,,,113.0,100.0,105.0,,,,,0.552,,0.294,0.038,1.19,,,1.45,-3.58,95.5,,86.1,,85.0,0.266,0.369,0.165,,,,,,,0.263,0.737,0.349,,,,0.168,0.257,0.443,,,,,,,0.151,0.264,0.364,84.0,99.0,104.0,0.116,1.61,77.0,,,,,,,,,,,,
2024-09-08,1:35 PM.,PIT,WSH,away,Sunny.,66,683003,RF,3,0,0,0,0,0,0,0,0,1,2,0.217,0.302,0.478,0.78,683003,jaredjones,Jones,Right,Jared Jones,PIT,4.14,4.05,121.2,102.0,127.0,108.0,0.726,9.76,2.88,7.84,1.33,0.93,0.238,0.39,0.149,0.335,0.458,113.0,99.0,106.0,132.0,102.0,109.0,,,,130.0,103.0,111.0,,,,,0.493,,0.348,0.066,0.15,,,1.12,-2.91,97.3,,89.9,,88.8,0.224,0.425,0.257,,,,,,,0.317,0.561,0.229,,,,0.208,0.354,0.373,,,,,,,0.348,0.87,0.327,95.0,96.0,98.0,0.093,-2.53,81.5,,,,,,,,,,,,
