date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,wFA/C,wFS/C,wSI/C,wSL/C,vFA,vFS,vSI,vSL,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,FF_ba,FF_slg,FF_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CH%,wFC/C,wCH/C,vFC,vCH,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2024-05-01,1:10 PM.,CIN,SD,home,Partly Cloudy.,67,668933,DH,3,0,0,0,0,0,0,0,0,1,4,0.125,0.125,0.313,0.438,668933,grahamashcraft,Ashcraft,Right,Graham Ashcraft,CIN,5.24,5.18,77.1,98.0,113.0,96.0,0.795,6.63,3.14,10.36,1.28,1.54,0.273,0.369,0.154,0.285,0.43,,,,71.0,100.0,83.0,119.0,98.0,109.0,,,,0.172,,,0.319,,,-2.72,1.37,,,94.8,88.4,0.333,0.5,0.119,,,,,,,,,,87.0,78.0,79.0,125.0,99.0,92.0,0.479,0.03,-1.57,-3.78,95.6,90.5,0.145,0.217,0.372,0.333,0.333,0.2,0.329,0.52,0.161,,,,,,,,,,,,,,,,,,
2024-04-29,6:40 PM.,CIN,SD,home,Clear.,64,666157,DH,1,0,0,0,0,0,0,0,0,1,0,0.138,0.138,0.345,0.483,666157,nicklodolo,Lodolo,Left,Nick Lodolo,CIN,4.76,3.72,115.1,99.0,106.0,96.0,0.742,9.52,2.89,7.88,1.01,1.25,0.247,0.421,0.142,0.285,0.428,119.0,103.0,97.0,111.0,97.0,93.0,,,,,,,0.133,0.43,,,0.11,,0.99,,94.1,,94.1,,0.234,0.453,0.183,,,,,,,0.241,0.407,0.23,96.0,99.0,92.0,,,,,0.164,,-0.21,,88.1,,,,0.232,0.39,0.259,,,,90.0,94.0,100.0,0.273,-0.75,81.7,0.217,0.302,0.429,,,,,,,,,
2024-04-28,1:10 PM.,PHI,SD,home,Sunny.,66,592836,DH,3,1,1,0,0,0,0,0,0,1,0,0.143,0.143,0.357,0.5,592836,taijuanwalker,"Walker, T",Right,Taijuan Walker,PHI,7.1,7.09,83.2,98.0,88.0,95.0,0.847,6.24,3.98,11.51,2.58,0.93,0.184,0.442,0.131,0.389,0.429,61.0,93.0,83.0,78.0,98.0,91.0,56.0,108.0,104.0,108.0,101.0,106.0,0.275,0.126,0.219,0.178,-2.65,-4.16,-2.96,2.03,91.5,86.7,91.1,85.1,0.378,0.684,0.082,0.38,0.652,0.163,0.157,0.314,0.28,0.346,0.615,0.232,,,,95.0,91.0,87.0,0.094,,-4.99,,87.3,,,,,,,,0.435,1.087,0.093,87.0,96.0,97.0,0.108,1.99,74.7,0.172,0.31,0.149,,,,,,,,,
2024-04-26,6:40 PM.,PHI,SD,home,Cloudy.,61,605400,DH,4,1,1,0,0,1,2,0,0,1,2,0.12,0.12,0.36,0.48,605400,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.57,3.72,199.1,105.0,104.0,103.0,0.772,8.89,2.26,8.53,1.35,1.31,0.209,0.477,0.16,0.305,0.399,90.0,103.0,99.0,100.0,109.0,106.0,,,,,,,0.204,0.278,,,0.81,,-0.34,,92.5,,91.5,,0.313,0.475,0.136,,,,,,,0.168,0.318,0.224,78.0,102.0,91.0,69.0,99.0,92.0,0.092,0.096,-2.57,-1.67,87.5,85.7,,,,0.279,0.426,0.135,0.389,0.796,0.178,,,,,,,0.221,0.381,0.37,,,,135.0,106.0,113.0,0.329,0.94,79.1
2024-04-23,6:40 PM.,COL,SD,away,Rain.,57,663372,DH,4,0,0,0,0,0,0,0,0,3,3,0.095,0.095,0.238,0.333,663372,ryanfeltner,Feltner,Right,Ryan Feltner,COL,4.49,4.31,162.1,100.0,97.0,99.0,0.781,7.65,2.88,9.15,1.11,1.28,0.226,0.394,0.158,0.327,0.452,81.0,102.0,96.0,93.0,93.0,89.0,109.0,99.0,104.0,,,,0.128,0.37,,0.254,0.63,,-0.45,-0.87,94.6,,94.2,87.4,0.299,0.403,0.159,,,,0.156,0.375,0.35,0.24,0.376,0.177,117.0,95.0,102.0,,,,,0.147,,-1.02,,85.2,0.355,0.523,0.226,0.299,0.485,0.394,,,,108.0,107.0,113.0,0.101,1.28,79.2,0.164,0.26,0.248,,,,,,,,,
2024-04-20,5:40 PM.,TOR,SD,home,Clear.,64,621244,3B,2,0,0,0,0,0,0,0,0,1,1,0.118,0.118,0.294,0.412,621244,joseberrios,Berríos,Right,José Berríos,TOR,3.6,4.74,192.1,103.0,92.0,99.0,0.808,7.16,2.53,7.86,1.45,1.17,0.257,0.421,0.15,0.352,0.414,82.0,99.0,92.0,85.0,103.0,95.0,,,,,,,0.337,0.183,,,-1.26,,1.02,,94.1,,93.4,,0.268,0.366,0.125,,,,,,,0.305,0.558,0.189,86.0,104.0,101.0,84.0,108.0,99.0,0.035,0.16,-1.83,0.88,91.4,84.8,,,,0.171,0.364,0.269,0.36,0.48,0.123,111.0,102.0,106.0,0.286,0.28,83.2,,,,0.188,0.404,0.31,,,,,,
2024-04-08,6:40 PM.,CHC,SD,home,Clear.,61,665871,3B,1,0,0,0,0,0,0,0,0,0,1,0.133,0.133,0.333,0.466,665871,javierassad,Assad,Right,Javier Assad,CHC,3.73,4.97,147.0,99.0,85.0,94.0,0.843,7.59,3.86,8.76,1.22,1.13,0.263,0.373,0.146,0.301,0.422,68.0,102.0,92.0,75.0,101.0,92.0,114.0,94.0,100.0,,,,0.357,0.158,,0.107,-0.91,,0.51,-1.54,91.5,,91.4,80.1,0.236,0.373,0.111,,,,0.174,0.37,0.341,0.319,0.472,0.201,69.0,91.0,88.0,96.0,97.0,92.0,0.216,0.046,-0.73,-1.65,87.9,83.7,0.364,0.636,0.368,0.296,0.296,0.125,0.315,0.583,0.142,98.0,101.0,97.0,0.116,-0.4,76.8,0.178,0.329,0.3,,,,,,,,,
2024-04-07,1:05 PM.,SF,SD,away,Partly Cloudy.,59,657277,PH,1,0,0,0,0,0,0,0,0,1,0,0.143,0.143,0.357,0.5,657277,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.31,204.2,104.0,111.0,106.0,0.814,7.56,2.2,8.88,0.48,2.5,0.23,0.36,0.17,0.292,0.403,57.0,106.0,88.0,95.0,104.0,102.0,126.0,104.0,114.0,,,,0.399,0.053,,0.212,0.2,,1.32,0.16,92.6,,92.6,83.8,0.268,0.338,0.144,,,,0.239,0.331,0.268,0.179,0.231,0.329,137.0,105.0,112.0,52.0,95.0,88.0,0.026,0.309,4.3,-0.13,91.0,87.4,,,,0.275,0.411,0.216,0.077,0.077,0.265,,,,,,,,,,,,,,,,,,
2024-04-05,1:38 PM.,SF,SD,away,Partly Cloudy.,54,663855,3B,3,0,0,0,0,0,0,0,0,2,0,0.154,0.154,0.385,0.539,663855,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,4.1,4.91,109.2,94.0,107.0,97.0,0.765,7.88,3.86,9.19,0.98,1.64,0.219,0.422,0.125,0.337,0.403,79.0,85.0,79.0,95.0,95.0,94.0,125.0,93.0,101.0,121.0,92.0,106.0,0.515,0.054,0.191,0.241,-3.85,-0.41,-0.02,-0.1,95.4,84.3,94.5,81.1,0.341,0.498,0.111,0.181,0.287,0.408,0.152,0.329,0.376,0.238,0.381,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-01,6:41 PM.,STL,SD,home,Clear.,61,502043,3B,2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,502043,kylegibson,Gibson,Right,Kyle Gibson,STL,4.24,4.87,169.2,98.0,93.0,95.0,0.756,8.01,3.61,8.54,1.22,1.29,0.218,0.431,0.166,0.351,0.359,80.0,88.0,83.0,84.0,101.0,96.0,104.0,102.0,105.0,,,,0.264,0.132,,0.207,-1.39,,0.22,0.92,91.4,,90.7,80.7,0.267,0.422,0.092,,,,0.2,0.312,0.412,0.268,0.563,0.065,99.0,92.0,89.0,96.0,95.0,91.0,0.211,0.099,0.21,1.2,88.6,84.9,,,,0.19,0.254,0.39,0.299,0.479,0.181,102.0,103.0,104.0,0.086,-2.21,78.3,0.325,0.675,0.462,,,,,,,,,
