date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,SV_ba,SV_slg,SV_whiff,FC_ba,FC_slg,FC_whiff,KC%,wKC/C,vKC,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2023-09-30,6:11 PM.,COL,MIN,away,Cloudy.,82,571863,1B,1,0,0,0,0,0,0,0,0,0,0,0.222,0.333,0.347,0.68,571863,mattkoch,Koch,Right,Matt Koch,COL,5.12,4.55,38.2,99.0,86.0,94.0,0.791,6.28,2.09,9.54,1.63,1.53,0.208,0.392,0.136,0.408,0.467,,,,,,,83.0,100.0,91.0,,,,111.0,89.0,100.0,,0.44,0.085,,0.003,1.85,,1.82,,0.73,93.8,89.4,,82.4,,,,,0.2,0.2,0.192,0.241,0.333,0.174,,,,,,,85.0,99.0,95.0,0.471,-2.03,89.6,,,,0.305,0.573,0.283,,,,,,,,,
2023-09-29,6:11 PM.,COL,MIN,away,Partly Cloudy.,82,621389,LF,2,2,1,0,0,0,0,0,1,0,0,0.225,0.337,0.352,0.689,621389,tyblach,Blach,Left,Ty Blach,COL,5.54,7.26,78.0,102.0,75.0,88.0,0.856,5.77,2.77,12.0,1.73,1.18,0.279,0.371,0.121,0.39,0.447,20.0,103.0,96.0,66.0,98.0,98.0,,,,69.0,104.0,84.0,,,,0.55,,,0.064,0.221,,-1.22,,-0.44,-1.35,,79.9,89.3,,78.9,0.371,0.486,0.207,,,,,,,0.322,0.561,0.102,0.211,0.211,0.257,170.0,99.0,85.0,0.165,-2.26,83.7,,,,0.348,0.652,0.184,,,,,,,,,
2023-09-27,6:41 PM.,OAK,MIN,home,Partly Cloudy.,69,683155,LF,1,0,0,0,0,0,0,0,0,1,1,0.217,0.325,0.348,0.673,683155,joeyestes,Estes,Right,Joey Estes,OAK,7.2,7.82,10.0,101.0,89.0,96.0,0.713,6.3,1.8,10.8,3.6,0.48,0.343,0.429,0.2,0.343,0.43,72.0,86.0,83.0,,,,87.0,113.0,102.0,,,,101.0,98.0,101.0,,0.467,0.267,,0.182,-2.73,,0.14,,-0.66,93.1,86.2,,79.4,,0.25,0.625,0.267,0.2,0.2,0.5,0.35,0.75,0.25,,,,,,,95.0,72.0,78.0,0.085,-13.02,85.6,,,,,,,,,,,,,,,
2023-09-23,1:13 PM.,LAA,MIN,home,Cloudy.,71,670046,1B,2,0,0,0,0,0,0,0,0,0,2,0.221,0.329,0.353,0.682,670046,kennyrosenberg,Rosenberg,Left,Kenny Rosenberg,LAA,3.82,3.58,33.0,93.0,72.0,90.0,0.778,7.91,3.82,9.55,0.82,1.1,0.196,0.529,0.167,0.304,0.405,64.0,92.0,92.0,57.0,95.0,93.0,74.0,96.0,88.0,,,,77.0,92.0,96.0,,0.431,0.013,0.066,0.376,1.57,,-11.22,-1.43,-0.67,90.7,80.6,,78.7,77.4,0.258,0.435,0.3,,,,0.234,0.298,0.152,,,,0.286,0.286,0.3,101.0,93.0,87.0,0.114,-3.11,83.6,,,,0.357,0.429,0.25,,,,,,,,,
2023-09-22,7:13 PM.,LAA,MIN,home,Cloudy.,72,660761,LF,1,0,0,0,0,0,0,0,0,1,3,0.227,0.338,0.364,0.702,660761,josesuarez,"Suarez, J",Left,José Suarez,LAA,8.29,6.0,33.2,94.0,92.0,96.0,0.735,7.49,5.35,12.3,2.67,0.69,0.241,0.466,0.19,0.319,0.428,84.0,100.0,103.0,,,,89.0,92.0,89.0,74.0,94.0,82.0,105.0,90.0,103.0,0.052,0.398,0.267,,0.269,-0.97,-3.55,-3.72,,-2.55,92.3,82.0,90.8,81.5,,0.31,0.548,0.385,0.591,1.091,0.25,0.273,0.477,0.222,0.444,0.778,0.067,,,,99.0,68.0,88.0,0.015,0.89,88.1,,,,0.0,0.0,0.5,,,,,,,,,
2023-09-15,6:40 PM.,CWS,MIN,away,Clear.,72,669947,LF,3,0,0,0,0,0,0,0,0,0,2,0.231,0.342,0.369,0.711,669947,jessescholtens,Scholtens,Right,Jesse Scholtens,CHW,5.29,4.93,85.0,99.0,82.0,98.0,0.808,6.14,3.18,10.59,1.59,1.02,0.261,0.408,0.146,0.334,0.387,92.0,84.0,86.0,104.0,104.0,106.0,73.0,99.0,93.0,,,,82.0,98.0,101.0,,0.435,0.366,0.165,0.035,0.27,,-1.82,-0.51,0.73,92.8,85.4,,85.4,74.0,0.111,0.111,0.154,0.354,0.472,0.2339999999999999,0.266,0.462,0.14,,,,0.245,0.469,0.3429999999999999,,,,,,,,,,,,,,,,,,,,,
2023-09-14,6:40 PM.,CWS,MIN,away,Clear.,67,570632,RF,0,0,0,0,0,0,0,0,0,0,0,0.242,0.356,0.387,0.743,570632,joseurena,Ureña,Right,José Ureña,- - -,6.45,5.77,44.2,99.0,90.0,93.0,0.803,5.84,4.43,10.07,2.62,1.34,0.205,0.53,0.093,0.411,0.372,61.0,98.0,82.0,,,,90.0,95.0,88.0,107.0,98.0,98.0,101.0,103.0,105.0,0.288,0.217,0.253,,0.243,-4.06,-1.62,-0.94,,-0.46,95.4,87.4,95.0,86.2,,0.22,0.39,0.258,0.214,0.452,0.36,0.351,1.0,0.075,0.339,0.589,0.171,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-13,12:10 PM.,TB,MIN,home,Sunny.,60,671737,PH,0,0,0,0,0,0,0,0,1,0,0,0.242,0.356,0.387,0.743,671737,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,5.59,4.45,104.2,101.0,110.0,105.0,0.775,11.09,3.35,9.11,1.98,0.88,0.268,0.405,0.158,0.392,0.449,,,,88.0,107.0,111.0,131.0,101.0,109.0,,,,,,,0.001,0.449,,0.167,,-0.8,0.0,,0.04,,96.1,,97.8,,79.0,,,,,,,0.277,0.559,0.191,,,,0.169,0.338,0.2239999999999999,106.0,99.0,99.0,0.248,-1.32,88.9,,,,0.312,0.581,0.295,,,,0.136,0.62,89.3,0.19,0.333,0.41
2023-09-11,6:41 PM.,TB,MIN,home,Partly Cloudy.,72,607192,LF,0,0,0,0,0,0,0,0,1,0,0,0.242,0.347,0.387,0.734,607192,tylerglasnow,Glasnow,Right,Tyler Glasnow,TBR,3.53,3.55,120.0,101.0,121.0,109.0,0.659,12.15,2.78,6.98,0.98,1.62,0.246,0.372,0.161,0.386,0.454,78.0,81.0,84.0,152.0,103.0,114.0,128.0,103.0,110.0,,,,94.0,97.0,104.0,0.004,0.432,0.348,0.213,0.003,0.54,-7.7,1.25,1.81,2.91,96.4,92.3,96.4,90.1,83.9,,,,0.254,0.373,0.382,0.236,0.41,0.249,,,,0.095,0.19,0.522,,,,,,,,,,,,,,,,,,,,,
2023-09-09,1:12 PM.,NYM,MIN,home,Overcast.,74,656849,LF,3,1,2,1,0,0,0,0,0,1,2,0.242,0.338,0.387,0.725,656849,davidpeterson,"Peterson, D",Left,David Peterson,NYM,5.03,4.96,111.0,97.0,90.0,94.0,0.727,10.38,4.05,10.05,1.3,2.18,0.256,0.422,0.13,0.338,0.378,84.0,97.0,93.0,89.0,97.0,99.0,76.0,95.0,87.0,97.0,97.0,95.0,105.0,99.0,102.0,0.253,0.273,0.197,0.088,0.189,-0.83,0.66,-2.58,2.63,-1.35,92.7,85.3,91.5,85.3,78.6,0.325,0.55,0.309,0.268,0.472,0.3939999999999999,0.287,0.425,0.281,0.314,0.486,0.165,0.2,0.2,0.365,,,,,,,,,,,,,,,,,,,,,
