date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,SI%,FA%,CU%,CH%,wFA/C,wSI/C,wCU/C,wCH/C,vFA,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,SV_ba,SV_slg,SV_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,KC%,wFC/C,wKC/C,vFC,vKC,FC_ba,FC_slg,FC_whiff
2023-07-28,7:01 PM.,TEX,SD,home,Clear.,73,641540,LF,1,0,0,0,0,0,0,0,0,1,2,0.154,0.154,0.154,0.308,641540,danedunning,Dunning,Right,Dane Dunning,TEX,3.7,4.48,172.2,102.0,84.0,96.0,0.794,7.3,2.87,8.5,1.04,1.41,0.203,0.443,0.146,0.315,0.415,65.0,102.0,92.0,78.0,82.0,84.0,71.0,96.0,85.0,79.0,104.0,94.0,0.331,0.032,0.016,0.156,-3.75,1.37,-3.56,-0.87,90.5,85.7,91.0,78.1,0.246,0.354,0.08,,,,0.301,0.478,0.258,0.294,0.765,0.235,101.0,106.0,106.0,0.234,0.14,82.1,0.212,0.364,0.345,0.25,0.25,0.5,90.0,100.0,95.0,0.2,0.032,0.82,-0.43,88.9,77.5,0.258,0.393,0.231
2023-07-26,1:10 PM.,PIT,SD,home,Sunny.,81,670912,LF,4,0,0,0,0,0,0,0,0,1,4,0.167,0.167,0.167,0.334,670912,johanoviedo,Oviedo,Right,Johan Oviedo,PIT,4.31,4.61,177.2,95.0,91.0,95.0,0.759,8.0,4.2,8.16,0.96,1.24,0.234,0.408,0.164,0.316,0.411,75.0,84.0,82.0,87.0,97.0,101.0,83.0,93.0,87.0,100.0,93.0,92.0,0.05,0.392,0.149,0.041,-1.25,0.93,0.82,-0.07,95.8,88.1,95.7,80.9,0.276,0.345,0.065,,,,0.25,0.3,0.357,0.277,0.477,0.183,103.0,98.0,104.0,0.367,0.8,88.2,0.21,0.349,0.326,0.193,0.352,0.308,,,,,,,,,,,,
2023-07-22,6:10 PM.,DET,SD,away,Partly Cloudy.,80,666159,LF,1,0,1,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,666159,mattmanning,Manning,Right,Matt Manning,DET,3.58,5.48,78.0,102.0,104.0,102.0,0.831,5.77,2.42,6.92,1.27,0.83,0.272,0.423,0.142,0.389,0.492,62.0,96.0,84.0,102.0,99.0,101.0,103.0,104.0,100.0,,,,,0.478,0.172,0.036,0.58,,-0.9,0.93,93.4,87.7,,79.5,,,,,,,0.111,0.111,0.063,0.214,0.366,0.182,112.0,102.0,107.0,0.315,1.21,81.9,0.185,0.383,0.261,0.258,0.419,0.094,,,,,,,,,,,,
2023-07-21,6:40 PM.,DET,SD,away,Partly Cloudy.,80,681857,DH,3,0,0,0,0,0,0,0,0,2,1,0.143,0.143,0.143,0.286,681857,reeseolson,Olson,Right,Reese Olson,DET,3.99,4.73,103.2,100.0,104.0,101.0,0.743,8.94,2.86,7.21,1.22,1.17,0.189,0.4,0.13,0.354,0.4,98.0,94.0,97.0,95.0,93.0,95.0,93.0,103.0,101.0,82.0,108.0,100.0,0.2,0.285,0.058,0.151,0.85,1.25,0.83,0.98,94.8,87.8,94.8,78.8,0.278,0.367,0.121,,,,0.208,0.283,0.359,0.171,0.381,0.158,132.0,98.0,104.0,0.306,-0.14,84.8,0.217,0.433,0.416,0.167,0.222,0.311,,,,,,,,,,,,
2023-07-19,7:08 PM.,TOR,SD,away,Roof Closed.,68,621244,RF,4,0,1,0,0,0,0,0,0,1,1,0.25,0.25,0.25,0.5,621244,joseberrios,Berríos,Right,José Berríos,TOR,3.65,4.51,189.2,104.0,100.0,103.0,0.764,8.73,2.47,8.21,1.19,1.12,0.225,0.406,0.151,0.311,0.418,90.0,104.0,101.0,116.0,104.0,110.0,96.0,103.0,99.0,92.0,104.0,99.0,0.315,0.204,0.296,0.185,0.72,0.61,0.31,-0.38,94.3,84.1,93.8,82.6,0.255,0.398,0.131,0.216,0.357,0.305,0.245,0.409,0.33,0.254,0.456,0.276,,,,,,,,,,,,,,,,,,,,,,,,
