date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,KC%,wFC/C,wKC/C,vFC,vKC,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ FS,Loc+ FS,Pit+ FS,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff,vKN (sc),KN%,wKN/C
2023-09-30,4:16 PM.,SEA,TEX,away,Roof Closed.,63,622491,DH,5,0,1,0,0,0,0,0,0,2,3,0.238,0.34,0.394,0.734,622491,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.34,3.82,197.0,103.0,96.0,102.0,0.717,10.01,2.56,7.31,1.28,0.92,0.268,0.375,0.182,0.333,0.422,83.0,108.0,105.0,95.0,104.0,100.0,82.0,103.0,95.0,117.0,100.0,108.0,0.179,0.444,0.221,0.156,1.31,0.6,-0.12,-1.6,96.3,88.3,95.9,85.7,0.239,0.337,0.136,0.234,0.455,0.3779999999999999,0.28,0.42,0.325,,,,,,,,,,,,,,,,0.165,0.384,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,7:10 PM.,SEA,TEX,away,Roof Closed.,55,693433,LF,1,0,0,0,0,0,0,0,1,1,0,0.239,0.342,0.397,0.739,693433,bryanwoo,Woo,Right,Bryan Woo,SEA,4.21,3.45,87.2,102.0,103.0,103.0,0.754,9.55,3.18,7.7,1.33,0.99,0.296,0.363,0.175,0.271,0.453,85.0,91.0,93.0,101.0,105.0,106.0,109.0,102.0,103.0,110.0,96.0,105.0,0.255,0.469,0.24,0.037,0.69,1.34,-0.83,-2.37,95.1,89.7,95.0,86.0,0.213,0.372,0.208,0.257,0.457,0.311,0.4,0.4,0.222,,,,,,,,,,,,,,,,0.207,0.407,0.303,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-26,6:39 PM.,LAA,TEX,away,Clear.,75,672282,LF,2,0,0,0,0,0,0,0,1,1,2,0.239,0.341,0.398,0.739,672282,reiddetmers,Detmers,Left,Reid Detmers,LAA,4.48,4.55,148.2,99.0,101.0,99.0,0.749,10.17,3.63,8.54,1.15,0.91,0.223,0.444,0.139,0.362,0.438,92.0,101.0,97.0,87.0,101.0,95.0,,,,124.0,100.0,102.0,,0.432,0.319,0.054,-0.38,,0.91,-2.03,94.3,84.8,,88.7,,,,0.0,0.0,0.267,0.242,0.424,0.246,,,,,,,,,,,,,0.191,0.326,0.286,0.291,0.505,0.212,,,,93.0,94.0,105.0,0.194,0.14,74.7,,,,,,,,,,,,,,,,,,
2023-09-25,6:39 PM.,LAA,TEX,away,Clear.,73,663776,LF,1,0,0,0,0,0,0,0,2,0,0,0.241,0.341,0.4,0.741,663776,patricksandoval,Sandoval,Left,Patrick Sandoval,LAA,4.11,4.7,144.2,97.0,92.0,97.0,0.741,7.96,4.6,9.02,0.75,1.55,0.196,0.427,0.166,0.297,0.414,99.0,98.0,100.0,63.0,94.0,89.0,69.0,97.0,86.0,123.0,100.0,107.0,0.111,0.256,0.285,0.258,-1.22,0.36,0.02,0.3,93.0,83.0,93.2,86.5,0.269,0.327,0.129,0.2,0.5,0.306,0.184,0.33,0.432,,,,,,,,,,,,,0.286,0.286,0.237,0.336,0.507,0.156,,,,99.0,96.0,101.0,0.09,0.27,76.5,,,,,,,,,,,,,,,,,,
2023-09-20,1:08 PM.,BOS,TEX,home,Roof Closed.,74,678394,LF,1,0,0,0,0,0,0,0,0,0,0,0.241,0.339,0.401,0.74,678394,brayanbello,Bello,Right,Brayan Bello,BOS,4.24,4.16,157.0,100.0,90.0,98.0,0.778,7.57,2.58,9.46,1.38,1.94,0.194,0.48,0.144,0.351,0.408,80.0,103.0,99.0,83.0,102.0,93.0,93.0,101.0,98.0,103.0,94.0,103.0,0.364,0.207,0.175,0.239,-1.91,0.52,-1.86,1.38,95.5,86.2,95.0,85.3,0.278,0.435,0.16,0.3,0.456,0.259,0.196,0.291,0.387,,,,88.0,100.0,88.0,0.015,,-6.73,,89.1,,,,,0.31,0.646,0.1989999999999999,0.462,1.077,0.208,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-19,7:09 PM.,BOS,TEX,home,Roof Closed.,74,656557,DH,2,0,0,0,0,0,0,0,2,0,0,0.242,0.34,0.402,0.742,656557,tannerhouck,Houck,Right,Tanner Houck,BOS,5.01,4.21,106.0,100.0,101.0,100.0,0.727,8.41,3.48,8.83,1.19,1.92,0.151,0.489,0.123,0.353,0.418,,,,95.0,96.0,88.0,111.0,102.0,101.0,113.0,99.0,107.0,0.295,0.099,0.383,,-2.8,-0.38,0.98,,93.9,,93.4,83.9,0.306,0.507,0.187,0.178,0.301,0.387,,,,,,,80.0,100.0,92.0,0.108,,0.73,,91.3,,,,,0.325,0.55,0.157,0.229,0.354,0.216,,,,,,,0.114,-1.52,87.6,0.31,0.452,0.4039999999999999,67.0,105.0,92.0,,,,,,,,,
2023-09-17,1:41 PM.,CLE,TEX,away,Sunny.,71,668909,RF,4,0,1,0,0,0,0,0,0,1,0,0.243,0.338,0.405,0.743,668909,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,3.29,4.21,82.0,100.0,102.0,101.0,0.745,8.89,4.06,7.24,0.88,0.98,0.265,0.354,0.126,0.278,0.426,136.0,95.0,93.0,112.0,101.0,103.0,,,,83.0,107.0,102.0,,0.553,0.221,0.056,0.35,,2.27,-3.24,95.7,88.2,,84.9,,,,0.157,0.241,0.318,0.353,0.588,0.212,,,,,,,,,,,,,0.174,0.391,0.352,0.25,0.404,0.249,,,,84.0,90.0,95.0,0.17,-1.23,76.2,,,,,,,,,,,,,,,,,,
2023-09-16,6:10 PM.,CLE,TEX,away,Partly Cloudy.,69,676440,RF,3,0,1,0,0,0,0,0,0,1,0,0.243,0.339,0.407,0.746,676440,tannerbibee,Bibee,Right,Tanner Bibee,CLE,2.98,3.69,142.0,100.0,98.0,101.0,0.763,8.94,2.85,7.73,0.82,0.88,0.244,0.383,0.168,0.302,0.427,101.0,98.0,105.0,91.0,97.0,91.0,,,,110.0,106.0,115.0,,0.471,0.27,0.166,0.6,,1.35,1.07,94.9,83.8,,84.7,,,,0.206,0.355,0.317,0.213,0.298,0.3779999999999999,,,,,,,,,,,,,0.271,0.479,0.233,0.243,0.348,0.19,,,,88.0,98.0,102.0,0.093,-1.11,78.3,,,,,,,,,,,,,,,,,,
2023-09-15,7:10 PM.,CLE,TEX,away,Clear.,67,608337,RF,3,0,0,0,0,0,0,0,1,2,1,0.243,0.339,0.407,0.746,608337,lucasgiolito,Giolito,Right,Lucas Giolito,- - -,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.343,0.413,99.0,100.0,107.0,84.0,100.0,95.0,,,,107.0,105.0,104.0,,0.419,0.282,0.283,-0.85,,-0.25,-0.2,93.1,80.9,,84.0,,,,0.236,0.438,0.345,0.209,0.442,0.352,,,,,,,,,,,,,0.5,0.5,0.2,0.262,0.546,0.2,,,,81.0,76.0,78.0,0.015,-3.72,77.9,,,,,,,,,,,,,,,,,,
2023-09-14,7:09 PM.,TOR,TEX,away,Clear.,65,592332,RF,3,0,2,0,0,0,1,1,2,0,0,0.245,0.34,0.411,0.751,592332,kevingausman,Gausman,Right,Kevin Gausman,TOR,3.16,3.85,185.0,104.0,105.0,105.0,0.737,11.53,2.68,7.93,0.92,1.11,0.27,0.384,0.165,0.369,0.399,,,,110.0,104.0,105.0,,,,89.0,89.0,94.0,,0.509,0.108,,1.13,,-0.97,,94.7,,,83.6,,,,0.348,0.565,0.353,,,,,,,,,,,,,,,,,,,0.243,0.409,0.172,,,,,,,,,,0.384,0.3,86.3,0.201,0.307,0.432,105.0,108.0,109.0,,,,,,,,,
