date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,KC%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,vKC,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC
2023-06-13,7:07 PM.,LAA,TEX,home,Roof Closed.,74,642545,C,0,0,0,0,0,0,0,0,0,0,0,0.146,0.186,0.195,0.381,642545,jaimebarria,Barria,Right,Jaime Barria,LAA,5.68,5.41,82.1,100.0,96.0,99.0,0.787,6.78,3.28,9.95,2.19,0.81,0.213,0.463,0.175,0.302,0.424,87.0,100.0,98.0,,,,84.0,101.0,97.0,85.0,72.0,71.0,107.0,101.0,103.0,,,,0.047,0.306,,0.507,,,0.141,-2.05,,-6.47,0.32,,,0.67,93.0,,84.6,92.2,85.9,,,0.362,0.713,0.146,0.242,0.452,0.26,0.227,0.25,0.349,0.389,0.889,0.118,,,,,,,,,,,,,,,,,,
2023-06-12,7:07 PM.,LAA,TEX,home,Roof Closed.,74,542881,C,1,0,0,0,0,0,0,0,0,1,1,0.146,0.186,0.195,0.381,542881,tyleranderson,Anderson,Left,Tyler Anderson,LAA,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.246,0.401,0.182,0.289,0.406,92.0,101.0,106.0,105.0,84.0,83.0,81.0,96.0,89.0,92.0,93.0,81.0,105.0,76.0,95.0,104.0,103.0,98.0,0.055,0.374,0.224,0.007,0.002,,0.338,-1.25,0.48,-3.61,-1.06,-0.33,,0.08,90.1,85.1,80.0,88.5,78.1,72.9,,0.301,0.566,0.193,0.2,0.2,0.3329999999999999,0.238,0.381,0.3979999999999999,0.36,0.68,0.102,,,,0.239,0.366,0.268,,,,0.001,-4.72,90.1,,,,,,
2023-06-09,6:40 PM.,TB,TEX,away,Dome.,72,607192,C,1,0,0,0,0,0,0,0,0,1,0,0.15,0.19,0.2,0.39,607192,tylerglasnow,Glasnow,Right,Tyler Glasnow,TBR,3.53,3.55,120.0,101.0,121.0,109.0,0.659,12.15,2.78,6.98,0.98,1.62,0.246,0.372,0.161,0.386,0.454,78.0,81.0,84.0,152.0,103.0,114.0,128.0,103.0,110.0,,,,94.0,97.0,104.0,,,,0.004,0.432,,0.348,0.213,,0.003,0.54,,-7.7,1.25,1.81,,2.91,96.4,,92.3,96.4,90.1,83.9,,0.236,0.41,0.249,0.254,0.373,0.382,,,,,,,0.095,0.19,0.522,,,,,,,,,,,,,,,
2023-06-07,7:08 PM.,STL,TEX,home,Roof Closed.,74,656427,C,2,0,1,0,0,0,0,0,0,1,1,0.154,0.195,0.205,0.4,656427,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,4.99,5.06,144.1,99.0,95.0,100.0,0.755,9.23,4.12,10.1,1.06,1.34,0.246,0.459,0.132,0.307,0.398,68.0,89.0,84.0,,,,98.0,99.0,98.0,75.0,82.0,71.0,98.0,101.0,102.0,92.0,98.0,101.0,0.02,0.417,0.091,0.246,,0.194,0.033,-0.44,-1.05,-2.28,-1.15,,0.23,0.86,93.1,88.7,85.3,90.1,84.2,,76.2,0.29,0.411,0.208,0.339,0.558,0.265,0.154,0.154,0.083,0.333,0.333,0.1,0.204,0.372,0.402,0.318,0.545,0.264,,,,,,,,,,93.0,102.0,108.0
2023-06-04,1:37 PM.,SEA,TEX,home,Roof Closed.,74,682243,C,1,0,0,0,0,0,0,0,0,0,1,0.135,0.179,0.189,0.368,682243,brycemiller,"Miller, B",Right,Bryce Miller,SEA,4.32,4.86,131.1,104.0,117.0,109.0,0.783,8.15,1.78,8.5,1.23,0.76,0.242,0.379,0.13,0.356,0.464,90.0,101.0,107.0,113.0,102.0,102.0,121.0,105.0,110.0,104.0,101.0,99.0,112.0,100.0,107.0,,,,0.076,0.585,,0.274,0.009,,0.056,0.3,,1.22,0.14,-8.41,,0.66,95.1,,85.0,95.1,85.0,78.2,,0.256,0.45,0.271,0.3,0.475,0.174,0.167,0.433,0.179,0.26,0.36,0.096,0.667,1.333,0.125,,,,,,,,,,,,,,,
2023-06-02,7:09 PM.,SEA,TEX,home,Roof Closed.,74,622491,C,2,0,0,0,0,0,0,0,0,1,2,0.139,0.184,0.194,0.378,622491,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.34,3.82,197.0,103.0,96.0,102.0,0.717,10.01,2.56,7.31,1.28,0.92,0.268,0.375,0.182,0.333,0.422,83.0,108.0,105.0,,,,95.0,104.0,100.0,82.0,103.0,95.0,117.0,100.0,108.0,,,,0.179,0.444,,0.221,,,0.156,1.31,,0.6,-0.12,,,-1.6,96.3,,88.3,95.9,85.7,,,0.165,0.384,0.33,0.234,0.455,0.3779999999999999,0.28,0.42,0.325,0.239,0.337,0.136,,,,,,,,,,,,,,,,,,
2023-05-26,7:06 PM.,BAL,TEX,away,Clear.,73,680570,C,5,1,1,0,0,0,0,0,0,1,2,0.147,0.194,0.206,0.4,680570,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,BAL,4.35,4.21,122.0,102.0,117.0,108.0,0.759,9.52,3.1,8.93,1.18,1.4,0.226,0.408,0.12,0.372,0.44,110.0,102.0,115.0,146.0,97.0,101.0,116.0,104.0,106.0,,,,126.0,103.0,114.0,76.0,90.0,86.0,,0.496,0.052,0.148,0.081,,0.224,-0.83,-1.59,,1.92,-0.49,,1.7,97.4,90.0,83.9,,82.4,79.9,,0.342,0.535,0.241,0.153,0.169,0.34,0.201,0.318,0.283,,,,0.176,0.353,0.281,0.333,0.889,0.143,,,,,,,,,,,,
2023-05-20,3:07 PM.,COL,TEX,home,Roof Closed.,74,607536,C,4,0,0,0,0,0,0,0,0,2,3,0.138,0.194,0.207,0.401,607536,kylefreeland,Freeland,Left,Kyle Freeland,COL,5.03,5.7,155.2,103.0,70.0,94.0,0.847,5.43,2.43,10.81,1.68,1.0,0.202,0.441,0.122,0.391,0.437,47.0,105.0,95.0,,,,68.0,105.0,90.0,67.0,103.0,88.0,65.0,99.0,96.0,,,,0.283,0.184,,0.236,,0.176,0.122,1.13,,-0.86,-0.2,,-1.91,-3.3,88.8,,84.2,88.7,84.1,,80.6,0.239,0.431,0.127,0.246,0.549,0.2,0.435,0.681,0.139,0.349,0.529,0.091,0.261,0.41,0.32,,,,,,,,,,,,,96.0,105.0,105.0
2023-05-13,1:09 PM.,OAK,TEX,away,Sunny.,74,621076,C,3,0,0,0,0,0,0,0,0,2,4,0.16,0.222,0.24,0.462,621076,jameskaprielian,Kaprielian,Right,James Kaprielian,OAK,6.34,4.86,61.0,102.0,88.0,99.0,0.766,8.41,4.57,9.74,1.33,0.61,0.263,0.462,0.151,0.355,0.439,72.0,104.0,102.0,84.0,108.0,109.0,76.0,100.0,91.0,99.0,98.0,95.0,106.0,104.0,107.0,,,,0.139,0.414,,0.307,0.061,,0.078,0.35,,-2.81,-0.35,-1.04,,-2.75,92.3,,83.3,92.0,80.8,75.9,,0.202,0.384,0.252,0.263,0.4,0.316,0.368,0.737,0.18,0.412,0.529,0.143,0.444,0.778,0.235,,,,,,,,,,,,,,,
2023-05-08,6:40 PM.,SEA,TEX,away,Partly Cloudy.,61,669302,C,3,0,0,0,0,0,0,0,0,2,0,0.182,0.25,0.273,0.523,669302,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,3.73,3.69,190.2,102.0,106.0,102.0,0.767,8.92,1.7,7.98,1.37,1.02,0.238,0.427,0.125,0.333,0.47,,,,,,,88.0,103.0,99.0,55.0,90.0,81.0,133.0,101.0,99.0,,,,0.003,0.419,,0.297,,0.134,,0.01,,-11.33,1.84,,0.39,,95.7,,,93.7,88.7,,80.3,0.28,0.491,0.177,0.211,0.349,0.322,,,,0.667,1.0,0.25,0.214,0.371,0.306,,,,98.0,103.0,117.0,0.148,0.25,85.6,0.174,0.34,0.35,110.0,95.0,103.0
