date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FC%,FS%,CU%,wFA/C,wFC/C,wFS/C,wCU/C,vFA,vFC,vFS,vCU,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CH%,wSI/C,wCH/C,vCH,vSI,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,SV_ba,SV_slg,SV_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,ST_ba,ST_slg,ST_whiff,SL_ba,SL_slg,SL_whiff
2024-08-10,4:42 PM.,TEX,NYY,home,Sunny.,85,674003,C,3,0,0,0,0,0,0,0,0,3,1,0.231,0.333,0.231,0.564,674003,codybradford,Bradford,Left,Cody Bradford,TEX,3.54,3.54,76.1,105.0,94.0,100.0,0.793,8.25,1.53,7.55,1.18,0.82,0.263,0.357,0.138,0.304,0.427,96.0,103.0,104.0,94.0,105.0,93.0,70.0,112.0,85.0,,,,0.523,0.007,,0.128,1.75,-3.68,,-2.32,89.8,86.4,,74.9,0.185,0.344,0.213,,,,,,,0.306,0.556,0.129,105.0,104.0,109.0,,,,,0.273,,0.86,80.9,,,,,0.21,0.333,0.338,,,,49.0,114.0,107.0,0.07,-0.79,82.7,,,,0.32,0.48,0.182
2024-08-07,7:37 PM.,LAA,NYY,home,Cloudy.,67,608334,C,2,0,1,0,0,0,0,0,2,0,0,0.3,0.417,0.3,0.717,608334,carsonfulmer,"Fulmer, C",Right,Carson Fulmer,LAA,4.15,4.74,86.2,101.0,94.0,98.0,0.772,8.41,4.15,8.41,1.14,1.04,0.214,0.429,0.115,0.361,0.393,109.0,102.0,103.0,85.0,105.0,103.0,,,,,,,0.234,,,0.056,0.19,,,-7.73,93.1,,,82.4,0.224,0.447,0.195,,,,,,,0.471,1.118,0.393,90.0,104.0,102.0,88.0,100.0,94.0,0.237,0.27,0.39,-0.64,87.8,92.6,0.299,0.39,0.118,0.228,0.347,0.367,,,,114.0,96.0,98.0,0.204,1.22,87.0,0.286,0.714,0.458,0.157,0.294,0.284
2024-07-31,12:38 PM.,PHI,NYY,away,Partly Cloudy.,87,650911,C,4,0,1,0,0,0,0,0,0,1,1,0.25,0.25,0.25,0.5,650911,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.32,3.56,181.2,103.0,97.0,106.0,0.78,7.58,2.18,9.02,0.54,2.67,0.214,0.418,0.178,0.285,0.426,,,,,,,86.0,52.0,74.0,,,,,0.001,,,,2.59,,,,86.5,,,,,,,,,,,,,,,97.0,105.0,116.0,95.0,101.0,98.0,0.473,0.357,-0.55,1.56,85.1,94.5,0.345,0.481,0.131,0.177,0.22,0.348,,,,102.0,102.0,103.0,0.169,0.65,84.4,,,,0.219,0.368,0.308
2024-07-29,6:41 PM.,PHI,NYY,away,Partly Cloudy.,86,554430,C,1,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,554430,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.57,2.8,200.0,104.0,106.0,108.0,0.747,10.08,2.34,6.26,0.9,1.09,0.245,0.35,0.209,0.29,0.42,110.0,101.0,107.0,101.0,106.0,109.0,92.0,97.0,94.0,94.0,110.0,110.0,0.416,0.093,0.074,0.1,0.88,-0.23,1.47,-0.98,95.3,91.1,86.1,81.8,0.209,0.395,0.296,0.137,0.196,0.402,0.226,0.371,0.183,0.205,0.397,0.387,,,,111.0,103.0,107.0,0.192,,2.68,,,94.6,0.189,0.259,0.142,,,,,,,128.0,106.0,115.0,0.125,1.04,84.9,0.152,0.273,0.335,,,
2024-07-23,7:09 PM.,NYM,NYY,home,Cloudy.,76,500779,C,2,0,0,0,0,0,0,0,0,2,3,0.333,0.333,0.333,0.666,500779,josequintana,Quintana,Left,Jose Quintana,NYM,3.75,4.52,170.1,97.0,83.0,93.0,0.801,7.13,3.33,7.93,1.16,1.35,0.224,0.407,0.173,0.344,0.337,110.0,100.0,99.0,70.0,92.0,85.0,,,,,,,0.225,,,0.278,-0.32,,,-0.04,90.7,,,77.7,0.227,0.427,0.169,,,,,,,0.265,0.444,0.264,70.0,100.0,97.0,76.0,97.0,91.0,0.304,0.193,0.82,0.5,85.7,90.8,0.249,0.431,0.131,0.203,0.26,0.367,0.195,0.366,0.284,,,,,,,,,,,,
2024-07-20,1:08 PM.,TB,NYY,home,Cloudy.,82,671737,C,1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,671737,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,4.11,4.17,138.0,98.0,116.0,103.0,0.748,10.04,3.07,7.96,1.43,1.06,0.247,0.394,0.102,0.394,0.426,100.0,91.0,93.0,129.0,97.0,102.0,91.0,100.0,98.0,123.0,102.0,114.0,0.417,0.225,0.269,0.089,-0.04,1.02,0.47,-1.5,96.4,90.9,90.9,79.1,0.269,0.5,0.21,0.213,0.32,0.33,0.205,0.357,0.324,0.241,0.483,0.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
