date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,wFA/C,wFS/C,wSI/C,wSL/C,vFA,vFS,vSI,vSL,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,FO%,KC%,CH%,wFC/C,wFO/C,wKC/C,wCH/C,vFC,vFO,vCH,vKC,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,ST_ba,ST_slg,ST_whiff
2024-09-18,6:50 PM.,BOS,TB,home,Dome.,72,656557,DH,3,0,1,0,0,0,0,0,1,1,4,0.214,0.34,0.405,0.745,656557,tannerhouck,Houck,Right,Tanner Houck,BOS,3.12,4.11,178.2,100.0,108.0,104.0,0.789,7.76,2.42,7.86,0.55,2.34,0.193,0.45,0.126,0.305,0.425,,,,93.0,102.0,97.0,116.0,98.0,108.0,116.0,103.0,109.0,0.324,,0.248,0.414,,1.74,0.67,0.54,,88.4,93.5,83.2,,,,0.195,0.265,0.208,,,,0.27,0.325,0.142,,,,,,,95.0,93.0,93.0,0.015,,,,-0.95,,,,87.1,,,,0.2,0.4,0.235,,,,,,,,,,,,,0.23,0.357,0.302
2024-09-07,4:32 PM.,BAL,TB,away,Overcast.,68,621107,1B,2,0,1,1,0,0,0,0,0,0,0,0.205,0.326,0.41,0.736,621107,zacheflin,Eflin,Right,Zach Eflin,- - -,3.59,3.67,165.1,107.0,92.0,103.0,0.808,7.29,1.31,9.04,1.2,1.14,0.235,0.446,0.174,0.323,0.45,61.0,105.0,94.0,91.0,109.0,105.0,122.0,107.0,113.0,,,,0.282,0.09,,0.097,-0.64,,0.0,0.46,92.4,,91.7,79.7,0.236,0.418,0.248,,,,,,,0.293,0.404,0.133,87.0,101.0,103.0,,,,85.0,105.0,98.0,0.282,,,0.061,1.54,,,0.21,88.2,,85.6,,0.214,0.345,0.223,0.188,0.354,0.105,0.291,0.472,0.333,108.0,112.0,108.0,0.188,-1.27,78.8,0.236,0.473,0.203
2024-05-13,7:12 PM.,BOS,TB,away,Partly Cloudy.,64,676710,PH,0,0,0,0,0,0,0,0,1,0,0,0.189,0.318,0.378,0.696,676710,kuttercrawford,"Crawford, K",Right,Kutter Crawford,BOS,4.36,3.86,183.2,105.0,108.0,107.0,0.766,8.58,2.5,7.6,1.67,0.67,0.244,0.424,0.164,0.288,0.446,109.0,109.0,112.0,,,,100.0,99.0,102.0,87.0,102.0,106.0,,0.337,0.086,0.185,-0.43,0.47,,-0.56,92.6,82.4,,80.8,0.255,0.5,0.198,0.192,0.26,0.404,,,,,,,,,,98.0,97.0,99.0,114.0,104.0,104.0,0.32,,0.072,,0.55,,1.14,,87.5,,,77.3,0.216,0.418,0.265,,,,0.143,0.171,0.219,,,,,,,0.222,0.437,0.263
2024-05-10,6:50 PM.,NYY,TB,home,Dome.,72,657376,PH,1,0,1,0,0,0,0,0,0,0,0,0.189,0.302,0.378,0.68,657376,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,2.85,3.78,85.1,98.0,116.0,100.0,0.724,9.81,3.16,7.49,0.84,1.01,0.271,0.407,0.208,0.281,0.401,,,,83.0,94.0,85.0,136.0,94.0,102.0,,,,0.21,,,0.252,,,-0.75,1.21,,,94.3,85.2,,,,,,,,,,0.267,0.483,0.203,36.0,89.0,96.0,150.0,102.0,113.0,106.0,102.0,100.0,0.35,,0.182,0.006,0.53,,0.89,-13.05,92.4,,87.1,83.8,0.256,0.38,0.322,0.667,1.0,0.0,0.143,0.19,0.33,,,,,,,0.21,0.323,0.297
2024-05-05,1:40 PM.,NYM,TB,home,Dome.,72,622663,PH,1,0,0,0,0,0,0,0,0,0,1,0.167,0.286,0.361,0.647,622663,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.91,3.88,182.0,101.0,107.0,101.0,0.812,7.96,2.97,8.21,1.14,1.28,0.273,0.372,0.203,0.288,0.434,101.0,104.0,102.0,90.0,98.0,94.0,143.0,100.0,111.0,,,,0.248,0.355,,0.242,0.15,,1.24,0.26,96.2,,95.6,85.6,0.243,0.392,0.218,,,,0.263,0.342,0.284,0.278,0.414,0.122,87.0,95.0,95.0,,,,92.0,91.0,89.0,0.081,,,0.075,1.05,,,-3.63,92.6,,86.1,,0.2,0.3,0.26,0.358,0.66,0.186,,,,,,,,,,0.139,0.238,0.386
2024-05-04,7:15 PM.,NYM,TB,home,Dome.,72,681035,DH,0,0,0,0,0,0,1,0,1,0,0,0.171,0.293,0.371,0.664,681035,christianscott,Scott,Right,Christian Scott,NYM,4.56,4.4,47.1,97.0,97.0,101.0,0.794,7.42,2.28,8.56,1.52,0.64,0.273,0.357,0.182,0.322,0.456,84.0,103.0,102.0,,,,115.0,91.0,99.0,100.0,93.0,101.0,,0.529,0.104,0.367,0.28,-0.95,,-0.38,94.2,84.8,,85.2,0.265,0.388,0.22,0.222,0.444,0.156,0.273,0.485,0.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194,0.516,0.235
2024-05-01,12:10 PM.,MIL,TB,away,Sunny.,68,607067,1B,2,0,0,0,0,0,0,0,2,0,1,0.171,0.275,0.371,0.646,607067,colinrea,Rea,Right,Colin Rea,MIL,4.29,4.91,167.2,102.0,84.0,97.0,0.827,7.25,2.31,9.07,1.56,0.95,0.24,0.456,0.137,0.329,0.443,70.0,109.0,95.0,82.0,103.0,96.0,109.0,106.0,108.0,78.0,98.0,96.0,0.311,0.193,0.088,0.172,0.49,-2.02,-0.28,1.41,92.9,86.5,92.3,82.0,0.207,0.314,0.248,0.286,0.492,0.277,,,,0.298,0.482,0.115,,,,,,,76.0,94.0,88.0,0.194,,,,-1.34,,,,87.6,,,,0.287,0.656,0.168,,,,0.394,0.636,0.18,100.0,109.0,104.0,0.042,-3.64,78.7,0.159,0.234,0.227
2024-04-29,6:40 PM.,MIL,TB,away,Roof Closed.,67,669060,1B,4,0,0,0,0,0,0,0,0,2,3,0.182,0.25,0.394,0.644,669060,brysewilson,"Wilson, B",Right,Bryse Wilson,MIL,4.04,5.35,104.2,105.0,93.0,98.0,0.818,7.05,2.67,8.77,1.72,0.88,0.252,0.369,0.157,0.375,0.453,85.0,113.0,105.0,92.0,106.0,96.0,,,,,,,0.32,0.15,,,-3.09,,1.31,,93.6,,93.1,,0.288,0.493,0.229,,,,,,,0.236,0.368,0.134,54.0,96.0,85.0,,,,98.0,101.0,95.0,0.349,,,0.042,1.16,,,-0.91,88.8,,88.0,,0.23,0.361,0.263,0.182,0.273,0.174,0.309,0.709,0.229,106.0,107.0,106.0,0.139,-3.29,80.4,,,
2024-04-28,1:10 PM.,CWS,TB,away,Cloudy.,69,607200,DH,4,0,1,1,0,0,0,0,0,1,1,0.207,0.281,0.448,0.729,607200,erickfedde,Fedde,Right,Erick Fedde,- - -,3.3,3.91,177.1,104.0,90.0,99.0,0.807,7.82,2.64,7.82,1.02,1.07,0.264,0.367,0.181,0.309,0.399,17.0,112.0,76.0,76.0,105.0,93.0,126.0,101.0,106.0,,,,0.308,0.003,,0.202,-6.18,,0.59,1.28,92.9,,93.0,83.5,0.5,0.5,0.0,,,,,,,0.25,0.358,0.202,86.0,108.0,106.0,,,,78.0,104.0,97.0,0.323,,,0.164,0.43,,,-0.54,89.9,,87.7,,0.262,0.47,0.232,0.228,0.351,0.165,,,,,,,,,,0.165,0.309,0.251
2024-04-27,6:10 PM.,CWS,TB,away,Partly Cloudy.,77,686563,1B,4,1,2,1,0,1,1,0,1,1,1,0.2,0.286,0.44,0.726,686563,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.49,4.37,124.1,101.0,92.0,99.0,0.806,6.59,2.9,9.05,1.3,0.96,0.223,0.389,0.171,0.29,0.394,73.0,104.0,97.0,86.0,100.0,93.0,117.0,100.0,107.0,,,,0.28,0.123,,0.218,-1.13,,0.44,-1.39,94.3,,93.3,81.9,0.25,0.411,0.252,,,,,,,0.287,0.449,0.132,95.0,105.0,106.0,,,,79.0,101.0,93.0,0.192,,,0.187,0.39,,,-0.22,90.2,,85.7,,0.263,0.45,0.191,0.248,0.394,0.269,,,,,,,,,,0.255,0.489,0.282
