date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,KC%,wFC/C,wSI/C,wKC/C,vFC,vSI,vKC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SI_ba,SI_slg,SI_whiff
2023-07-02,1:11 PM.,DET,COL,home,Partly Cloudy.,86,666159,2B,1,0,0,0,0,0,0,0,0,1,1,0.184,0.244,0.316,0.56,666159,mattmanning,Manning,Right,Matt Manning,DET,3.58,5.48,78.0,102.0,104.0,102.0,0.831,5.77,2.42,6.92,1.27,0.83,0.272,0.423,0.142,0.389,0.492,62.0,96.0,84.0,102.0,99.0,101.0,103.0,104.0,100.0,112.0,102.0,107.0,0.478,0.315,0.172,0.036,0.58,1.21,-0.9,0.93,93.4,87.7,81.9,79.5,0.214,0.366,0.182,0.185,0.383,0.261,0.258,0.419,0.094,0.111,0.111,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,7:12 PM.,DET,COL,home,Partly Cloudy.,79,686839,2B,2,1,0,0,0,0,0,0,0,0,0,0.189,0.25,0.324,0.574,686839,brendanwhite,White,Right,Brendan White,DET,5.09,4.51,40.2,101.0,99.0,104.0,0.734,9.74,3.32,8.85,0.89,1.81,0.301,0.504,0.115,0.381,0.421,,,,,,,91.0,98.0,92.0,102.0,103.0,113.0,0.327,0.594,0.002,,2.07,-1.83,4.16,,94.4,,85.0,78.8,0.162,0.189,0.357,0.24,0.4,0.358,,,,,,,116.0,95.0,84.0,,,,,,,0.069,,,,1.67,,,93.0,,,,,52.0,69.0,71.0,0.009,-2.97,87.2,,,,0.4,0.4,0.05
2023-06-29,8:30 PM.,LAD,COL,home,Partly Cloudy.,68,686218,3B,0,0,0,0,0,0,0,0,0,0,0,0.2,0.263,0.343,0.606,686218,emmetsheehan,Sheehan,Right,Emmet Sheehan,LAD,4.92,3.5,60.1,95.0,101.0,97.0,0.732,9.55,3.88,6.86,1.64,0.62,0.21,0.433,0.121,0.287,0.395,74.0,99.0,100.0,,,,104.0,96.0,95.0,112.0,98.0,103.0,0.6,0.228,,0.172,0.04,1.57,,0.51,95.4,82.9,85.8,,0.24,0.504,0.2019999999999999,0.091,0.182,0.412,,,,0.178,0.333,0.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-28,6:40 PM.,LAD,COL,home,Partly Cloudy.,84,675627,2B,1,0,0,0,0,0,0,0,0,0,0,0.2,0.263,0.343,0.606,675627,michaelgrove,Grove,Right,Michael Grove,LAD,6.13,5.0,69.0,102.0,98.0,103.0,0.742,9.52,2.48,10.83,1.57,1.07,0.188,0.42,0.164,0.343,0.44,123.0,129.0,150.0,,,,86.0,102.0,95.0,106.0,106.0,111.0,0.327,0.382,,0.003,-3.57,1.07,,-16.59,94.8,88.0,85.6,,0.442,0.779,0.083,0.2,0.331,0.449,0.308,0.423,0.176,,,,,,,98.0,93.0,98.0,94.0,103.0,105.0,0.042,0.075,0.17,0.93,1.99,-0.36,89.2,94.7,78.3,0.261,0.565,0.264,,,,,,,,,,0.286,0.357,0.148
2023-06-27,6:41 PM.,LAD,COL,home,Partly Cloudy.,90,477132,2B,2,0,0,0,0,0,0,0,0,0,0,0.206,0.27,0.353,0.623,477132,claytonkershaw,Kershaw,Left,Clayton Kershaw,LAD,2.46,3.77,131.2,100.0,101.0,101.0,0.733,9.36,2.73,6.84,1.3,1.43,0.23,0.493,0.155,0.332,0.425,34.0,98.0,91.0,94.0,100.0,106.0,96.0,97.0,96.0,112.0,102.0,104.0,0.369,0.434,0.175,0.017,0.23,2.06,0.13,-0.46,90.7,84.6,86.5,73.4,0.281,0.451,0.0969999999999999,0.167,0.338,0.362,0.212,0.338,0.3379999999999999,0.2,0.2,0.6,90.0,115.0,107.0,,,,,,,0.002,,,,14.84,,,90.9,,,,,116.0,127.0,165.0,0.002,13.51,84.4,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-25,1:11 PM.,LAA,COL,home,Sunny.,73,542881,2B,2,0,0,0,0,0,0,0,0,0,1,0.219,0.286,0.375,0.661,542881,tyleranderson,Anderson,Left,Tyler Anderson,LAA,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.246,0.401,0.182,0.289,0.406,92.0,101.0,106.0,105.0,84.0,83.0,81.0,96.0,89.0,105.0,76.0,95.0,0.374,0.007,0.002,0.338,-1.25,-1.06,-0.33,0.08,90.1,80.0,78.1,72.9,0.301,0.566,0.193,0.2,0.2,0.3329999999999999,,,,0.238,0.381,0.3979999999999999,92.0,93.0,81.0,,,,104.0,103.0,98.0,0.055,0.224,,0.48,-3.61,,85.1,88.5,,0.239,0.366,0.268,,,,0.001,-4.72,90.1,,,,0.36,0.68,0.102
2023-06-24,7:13 PM.,LAA,COL,home,Clear.,86,656288,3B,2,0,1,1,0,0,0,0,0,0,0,0.233,0.303,0.4,0.703,656288,griffincanning,Canning,Right,Griffin Canning,LAA,4.32,4.01,127.0,102.0,96.0,101.0,0.734,9.85,2.55,8.57,1.56,1.1,0.239,0.41,0.129,0.382,0.442,89.0,101.0,101.0,91.0,98.0,103.0,78.0,101.0,93.0,124.0,105.0,110.0,0.348,0.299,0.134,0.213,-0.21,0.1,-0.53,1.6,94.7,90.2,88.4,81.8,0.235,0.5,0.283,0.261,0.344,0.34,0.271,0.667,0.252,0.213,0.339,0.248,81.0,95.0,86.0,,,,,,,0.006,,,,-8.61,,,95.0,,,,,,,,,,,,,,0.333,1.333,0.0
2023-06-23,6:41 PM.,LAA,COL,home,Partly Cloudy.,82,663776,2B,4,0,3,1,0,0,1,0,0,0,1,0.214,0.29,0.357,0.647,663776,patricksandoval,Sandoval,Left,Patrick Sandoval,LAA,4.11,4.7,144.2,97.0,92.0,97.0,0.741,7.96,4.6,9.02,0.75,1.55,0.196,0.427,0.166,0.297,0.414,99.0,98.0,100.0,99.0,96.0,101.0,63.0,94.0,89.0,123.0,100.0,107.0,0.256,0.285,0.09,0.258,-1.22,0.02,0.27,0.3,93.0,83.0,86.5,76.5,0.336,0.507,0.156,0.2,0.5,0.306,0.286,0.286,0.237,0.184,0.33,0.432,69.0,97.0,86.0,,,,,,,0.111,,,,0.36,,,93.2,,,,,,,,,,,,,,0.269,0.327,0.129
2023-06-21,12:36 PM.,CIN,COL,away,Partly Cloudy.,75,671096,2B,2,0,0,0,0,0,0,0,0,1,0,0.125,0.222,0.25,0.472,671096,andrewabbott,"Abbott, A",Left,Andrew Abbott,CIN,3.87,3.93,109.1,101.0,87.0,97.0,0.765,9.88,3.62,8.23,1.32,0.55,0.255,0.381,0.133,0.347,0.404,72.0,96.0,91.0,99.0,103.0,103.0,81.0,99.0,91.0,106.0,107.0,113.0,0.501,0.165,0.171,0.163,-0.02,1.61,-2.27,0.99,92.7,86.6,82.9,80.9,0.249,0.459,0.198,0.174,0.304,0.29,0.367,0.65,0.26,0.203,0.27,0.3939999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-20,7:11 PM.,CIN,COL,away,Cloudy.,70,594902,2B,2,0,0,0,0,0,0,0,1,0,0,0.136,0.24,0.273,0.513,594902,benlively,Lively,Right,Ben Lively,CIN,5.38,5.03,88.2,101.0,79.0,95.0,0.814,8.02,2.54,9.74,2.03,1.02,0.301,0.38,0.163,0.312,0.449,59.0,94.0,89.0,101.0,105.0,103.0,80.0,99.0,90.0,71.0,102.0,102.0,0.321,0.243,0.066,0.102,-2.09,1.68,-4.42,-1.4,90.6,84.4,80.1,76.3,0.362,0.667,0.181,0.158,0.303,0.336,0.273,0.909,0.128,0.265,0.412,0.133,83.0,108.0,98.0,,,,98.0,92.0,82.0,0.219,0.049,,0.62,0.24,,88.1,91.5,,0.267,0.267,0.257,,,,,,,,,,0.257,0.416,0.153
2023-06-19,7:11 PM.,CIN,COL,away,Drizzle.,71,682227,SS,3,0,0,0,0,0,0,0,0,2,5,0.15,0.227,0.3,0.527,682227,brandonwilliamson,Williamson,Left,Brandon Williamson,CIN,4.46,4.77,117.0,99.0,93.0,96.0,0.801,7.54,3.0,8.54,1.38,0.88,0.287,0.384,0.139,0.324,0.444,97.0,94.0,99.0,98.0,96.0,103.0,64.0,99.0,86.0,132.0,104.0,113.0,0.372,0.102,0.064,0.165,-0.15,-1.33,-1.75,-0.51,92.8,84.0,81.7,73.1,0.269,0.433,0.171,0.0,0.0,0.273,0.333,0.6,0.143,0.183,0.39,0.3989999999999999,,,,,,,106.0,102.0,98.0,,0.298,,1.71,,,89.3,,,0.252,0.433,0.185,,,,,,,,,,,,
2023-06-18,1:37 PM.,ATL,COL,away,Partly Cloudy.,84,450203,2B,1,0,0,0,0,0,0,0,0,0,2,0.176,0.263,0.353,0.616,450203,charliemorton,"Morton, C",Right,Charlie Morton,ATL,3.64,4.64,163.1,96.0,106.0,98.0,0.704,10.08,4.57,8.27,0.77,1.26,0.222,0.389,0.137,0.343,0.379,100.0,91.0,88.0,139.0,100.0,111.0,74.0,95.0,89.0,,,,0.317,,0.432,0.103,-1.26,,1.79,0.86,94.9,86.0,,82.3,0.292,0.482,0.225,,,,0.177,0.258,0.42,0.25,0.339,0.336,81.0,89.0,83.0,,,,89.0,92.0,87.0,0.068,0.08,,0.25,-4.03,,89.1,94.2,,0.296,0.407,0.3,,,,,,,,,,0.474,0.711,0.071
2023-06-17,4:11 PM.,ATL,COL,away,Partly Cloudy.,89,693821,2B,1,0,0,0,0,0,0,0,0,0,1,0.188,0.235,0.375,0.61,693821,bryceelder,Elder,Right,Bryce Elder,ATL,3.81,4.61,174.2,99.0,80.0,95.0,0.785,6.6,3.25,8.24,0.98,1.68,0.218,0.462,0.113,0.357,0.382,64.0,95.0,91.0,,,,62.0,100.0,86.0,92.0,103.0,107.0,0.134,0.353,,0.137,-1.13,0.97,,1.3,90.7,85.0,82.7,,0.286,0.495,0.1939999999999999,0.21,0.393,0.337,,,,0.188,0.235,0.236,82.0,96.0,90.0,,,,,,,0.376,,,,0.01,,,89.5,,,,,,,,,,,,,,0.28,0.402,0.134
2023-06-16,7:20 PM.,ATL,COL,away,Partly Cloudy.,85,694363,2B,4,0,0,0,0,0,0,0,0,3,1,0.2,0.25,0.4,0.65,694363,jaredshuster,Shuster,Left,Jared Shuster,ATL,5.81,5.44,52.2,96.0,64.0,87.0,0.802,5.13,4.44,9.06,1.2,0.76,0.277,0.382,0.133,0.272,0.417,61.0,88.0,85.0,,,,59.0,99.0,83.0,75.0,98.0,95.0,0.441,0.329,,0.23,-0.83,1.11,,-2.01,91.4,82.2,84.9,,0.311,0.489,0.099,0.197,0.311,0.286,,,,0.26,0.5,0.3329999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-15,7:22 PM.,ATL,COL,away,Partly Cloudy.,81,700363,2B,3,0,1,0,0,0,0,0,1,0,2,0.273,0.333,0.545,0.878,700363,ajsmithshawver,Smith-Shawver,Right,AJ Smith-Shawver,ATL,4.26,3.79,25.1,93.0,88.0,91.0,0.801,7.11,3.91,6.04,2.49,0.68,0.274,0.425,0.164,0.329,0.394,74.0,105.0,106.0,84.0,96.0,96.0,90.0,95.0,90.0,91.0,80.0,83.0,0.54,0.233,0.121,0.106,0.48,-0.4,-3.2,4.57,94.5,86.1,84.9,76.8,0.196,0.482,0.12,0.133,0.333,0.351,0.364,0.636,0.25,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-13,7:13 PM.,BOS,COL,away,Partly Cloudy.,69,676710,PR,0,1,0,0,0,0,0,0,0,0,0,0.25,0.25,0.625,0.875,676710,kuttercrawford,"Crawford, K",Right,Kutter Crawford,BOS,4.04,3.25,129.1,102.0,105.0,104.0,0.761,9.39,2.51,7.45,1.18,0.71,0.219,0.427,0.188,0.319,0.418,,,,,,,111.0,107.0,108.0,113.0,110.0,113.0,0.391,0.132,,,1.44,1.5,,,93.6,,82.5,,0.163,0.326,0.258,0.15,0.25,0.376,0.34,0.642,0.2,,,,,,,92.0,101.0,103.0,108.0,94.0,95.0,,0.281,0.119,0.35,,-1.47,88.6,,79.4,0.289,0.43,0.244,88.0,95.0,103.0,0.077,-0.82,82.4,0.214,0.357,0.214,,,
2023-06-12,7:12 PM.,BOS,COL,away,Partly Cloudy.,73,572020,2B,5,0,0,0,0,0,0,0,0,4,4,0.25,0.25,0.625,0.875,572020,jamespaxton,Paxton,Left,James Paxton,BOS,4.5,3.77,96.0,100.0,89.0,96.0,0.744,9.47,3.09,8.72,1.69,1.15,0.311,0.392,0.136,0.337,0.437,112.0,88.0,93.0,,,,95.0,103.0,98.0,,,,0.566,,,0.067,0.04,,,-0.96,95.2,84.4,,,0.269,0.498,0.217,,,,0.231,0.338,0.376,0.316,0.421,0.467,98.0,92.0,90.0,87.0,93.0,94.0,63.0,101.0,91.0,0.007,0.165,0.195,-0.15,-0.01,-0.31,85.8,94.9,81.3,0.191,0.426,0.331,,,,,,,,,,,,
2023-06-11,1:10 PM.,SD,COL,home,Cloudy.,66,605483,2B,3,1,2,0,0,1,2,0,0,1,0,0.667,0.667,1.667,2.334,605483,blakesnell,Snell,Left,Blake Snell,SDP,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.388,0.168,0.309,0.326,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,107.0,91.0,94.0,0.486,0.131,0.198,0.184,0.07,0.68,2.55,2.65,95.5,86.7,88.4,81.0,0.255,0.389,0.195,0.123,0.26,0.536,0.079,0.14,0.563,0.185,0.266,0.4679999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-28,12:10 PM.,MIL,COL,home,Sunny.,76,642547,2B,1,0,0,0,0,0,1,0,0,0,1,0.302,0.367,0.512,0.879,642547,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.86,3.35,165.2,102.0,103.0,105.0,0.698,11.41,2.93,7.12,1.41,1.04,0.267,0.455,0.171,0.308,0.405,50.0,97.0,85.0,85.0,103.0,110.0,117.0,104.0,110.0,115.0,99.0,104.0,0.512,0.218,0.124,0.146,0.89,0.36,0.2,0.15,94.4,88.6,82.4,76.9,0.213,0.387,0.292,0.203,0.392,0.46,0.214,0.381,0.3379999999999999,0.224,0.388,0.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
