date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,FO%,wFO/C,vFO,vKN (sc),KN%,wKN/C
2023-09-29,7:10 PM.,NYY,KC,home,Clear.,87,607074,3B,3,1,1,0,0,0,1,0,1,1,0,0.25,0.306,0.324,0.63,607074,carlosrodon,Rodón,Left,Carlos Rodón,NYY,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.116,0.381,0.429,84.0,67.0,81.0,102.0,92.0,96.0,106.0,101.0,100.0,,,,126.0,95.0,104.0,,,,,0.603,,0.29,0.065,0.043,-1.05,,,-0.06,-3.96,0.96,95.3,,85.5,,85.4,79.7,,,,0.0,0.0,0.421,,,,0.294,0.55,0.217,0.375,1.25,0.211,0.2,0.347,0.372,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-24,1:10 PM.,HOU,KC,away,Roof Closed.,73,686613,3B,4,1,1,0,0,1,2,0,0,1,0,0.249,0.299,0.324,0.623,686613,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,5.09,4.27,155.2,100.0,104.0,101.0,0.77,10.29,3.18,9.08,1.5,1.78,0.274,0.364,0.135,0.362,0.433,,,,,,,101.0,99.0,96.0,90.0,103.0,93.0,104.0,92.0,97.0,,,,0.002,0.461,0.235,0.017,,,0.01,-0.4,-0.16,-2.64,,,95.7,91.7,,96.0,84.6,,,,,0.121,0.242,0.37,0.297,0.506,0.208,0.271,0.511,0.223,0.247,0.374,0.303,0.25,0.625,0.3329999999999999,92.0,104.0,105.0,0.048,0.92,88.2,,,,112.0,102.0,110.0,0.238,-0.77,82.9,,,,,,,,,
2023-09-17,1:12 PM.,HOU,KC,home,Sunny.,73,664285,1B,4,0,1,1,0,0,0,0,0,0,2,0.249,0.299,0.309,0.608,664285,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.246,0.443,0.109,0.374,0.445,96.0,98.0,94.0,118.0,98.0,106.0,98.0,-63.0,-49.0,97.0,98.0,96.0,,,,99.0,99.0,95.0,0.468,0.001,0.034,0.087,0.253,0.157,-16.35,0.45,0.93,-0.32,1.07,0.73,95.7,89.1,90.1,95.3,84.7,80.2,0.274,0.455,0.126,0.231,0.342,0.311,0.182,0.182,0.435,,,,0.158,0.211,0.402,0.189,0.405,0.4379999999999999,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-12,6:57 PM.,CWS,KC,away,Partly Cloudy.,65,657053,1B,4,0,0,0,0,0,1,0,0,2,2,0.249,0.301,0.305,0.606,657053,toukitoussaint,Toussaint,Right,Touki Toussaint,- - -,4.97,5.37,87.0,94.0,95.0,93.0,0.769,8.79,5.9,7.14,1.03,1.6,0.179,0.477,0.106,0.315,0.366,,,,108.0,99.0,104.0,79.0,87.0,79.0,94.0,94.0,89.0,88.0,112.0,117.0,,,,0.265,0.235,,0.023,0.288,,-1.46,,0.33,-6.26,1.81,,93.6,,,92.9,86.6,76.1,0.3,0.412,0.095,,,,,,,0.294,0.426,0.217,0.115,0.184,0.356,0.333,1.333,0.357,96.0,96.0,99.0,0.189,-0.3,87.5,0.188,0.348,0.324,,,,,,,,,,,,,,,
2023-09-04,1:11 PM.,CWS,KC,home,Sunny.,91,669947,SS,1,0,1,0,0,0,0,0,0,0,0,0.254,0.309,0.312,0.621,669947,jessescholtens,Scholtens,Right,Jesse Scholtens,CHW,5.29,4.93,85.0,99.0,82.0,98.0,0.808,6.14,3.18,10.59,1.59,1.02,0.261,0.408,0.146,0.334,0.387,92.0,84.0,86.0,104.0,104.0,106.0,73.0,99.0,93.0,,,,82.0,98.0,101.0,,,,,0.435,,0.366,0.165,0.035,0.27,,,-1.82,-0.51,0.73,92.8,,85.4,,85.4,74.0,,,,0.111,0.111,0.154,,,,0.266,0.462,0.14,0.245,0.469,0.3429999999999999,0.354,0.472,0.2339999999999999,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-03,1:11 PM.,BOS,KC,home,Sunny.,92,519242,1B,2,0,0,0,0,0,0,0,0,0,1,0.25,0.305,0.308,0.613,519242,chrissale,Sale,Left,Chris Sale,BOS,4.3,3.61,102.2,100.0,94.0,99.0,0.725,10.96,2.54,7.63,1.31,0.86,0.293,0.384,0.16,0.308,0.405,81.0,103.0,99.0,,,,99.0,102.0,100.0,98.0,94.0,96.0,92.0,98.0,100.0,,,,0.062,0.432,,0.375,,0.131,0.46,,-1.13,0.7,,-1.09,93.9,,86.1,93.3,77.8,,0.267,0.5,0.1669999999999999,0.309,0.473,0.322,,,,0.252,0.437,0.2339999999999999,,,,0.162,0.358,0.389,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-28,7:10 PM.,PIT,KC,home,Clear.,83,670912,3B,3,0,0,0,0,0,0,0,0,1,1,0.253,0.308,0.312,0.62,670912,johanoviedo,Oviedo,Right,Johan Oviedo,PIT,4.31,4.61,177.2,95.0,91.0,95.0,0.759,8.0,4.2,8.16,0.96,1.24,0.234,0.408,0.164,0.316,0.411,75.0,84.0,82.0,87.0,97.0,101.0,83.0,93.0,87.0,100.0,93.0,92.0,103.0,98.0,104.0,,,,0.05,0.392,,0.367,0.149,0.041,-1.25,,0.93,0.8,0.82,-0.07,95.8,,88.1,95.7,88.2,80.9,0.276,0.345,0.065,0.25,0.3,0.357,,,,0.277,0.477,0.183,0.193,0.352,0.308,0.21,0.349,0.326,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-27,1:11 PM.,SEA,KC,away,Sunny.,77,622491,PH,1,0,1,0,0,0,0,0,0,0,0,0.257,0.313,0.317,0.63,622491,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.34,3.82,197.0,103.0,96.0,102.0,0.717,10.01,2.56,7.31,1.28,0.92,0.268,0.375,0.182,0.333,0.422,83.0,108.0,105.0,,,,95.0,104.0,100.0,82.0,103.0,95.0,117.0,100.0,108.0,,,,0.179,0.444,,0.221,,0.156,1.31,,0.6,-0.12,,-1.6,96.3,,88.3,95.9,85.7,,0.239,0.337,0.136,0.28,0.42,0.325,,,,0.165,0.384,0.33,,,,0.234,0.455,0.3779999999999999,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-25,7:10 PM.,SEA,KC,away,Clear.,74,682243,2B,1,0,0,0,0,0,0,0,0,0,1,0.253,0.309,0.313,0.622,682243,brycemiller,"Miller, B",Right,Bryce Miller,SEA,4.32,4.86,131.1,104.0,117.0,109.0,0.783,8.15,1.78,8.5,1.23,0.76,0.242,0.379,0.13,0.356,0.464,90.0,101.0,107.0,113.0,102.0,102.0,121.0,105.0,110.0,104.0,101.0,99.0,112.0,100.0,107.0,,,,0.076,0.585,,0.274,0.009,0.056,0.3,,1.22,0.14,-8.41,0.66,95.1,,85.0,95.1,85.0,78.2,0.26,0.36,0.096,0.167,0.433,0.179,,,,0.256,0.45,0.271,0.667,1.333,0.125,0.3,0.475,0.174,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-22,6:40 PM.,OAK,KC,away,Clear.,72,666204,1B,2,0,0,0,0,0,0,0,0,1,4,0.255,0.311,0.315,0.626,666204,danyjimenez,"Jiménez, D",Right,Dany Jiménez,OAK,3.47,3.77,23.1,92.0,106.0,98.0,0.739,8.1,5.4,4.24,1.16,0.5,0.254,0.373,0.22,0.305,0.363,,,,,,,75.0,91.0,85.0,,,,126.0,94.0,106.0,,,,,0.372,,0.626,,0.002,-1.01,,,2.83,,-2.69,93.3,,81.7,,81.5,,,,,,,,,,,0.28,0.56,0.115,,,,0.077,0.154,0.356,,,,,,,,,,,,,,,,,,,,,,,,
