date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSL/C,wCH/C,vFA,vFC,vCH,vSL,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,SI%,KC%,wSI/C,wKC/C,vSI,vKC,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,FO%,wFO/C,vFO
2023-08-30,1:17 PM.,SD,STL,home,Partly Cloudy.,79,448179,2B,3,0,0,0,0,0,0,0,0,1,0,0.171,0.232,0.211,0.443,448179,richhill,Hill,Left,Rich Hill,- - -,5.41,5.66,146.1,97.0,94.0,97.0,0.832,7.93,3.57,10.15,1.41,1.01,0.196,0.459,0.14,0.336,0.448,80.0,81.0,80.0,77.0,102.0,94.0,90.0,92.0,97.0,85.0,97.0,93.0,0.342,0.147,0.088,0.023,-0.32,-1.27,-2.52,-0.06,88.4,83.3,83.0,71.1,0.249,0.454,0.218,0.5,0.929,0.125,0.263,0.421,0.037,0.39,0.701,0.1989999999999999,116.0,94.0,103.0,0.354,-1.16,72.0,0.283,0.47,0.174,98.0,101.0,98.0,,,,0.04,0.008,2.5,-3.65,86.1,67.1,0.105,0.105,0.226,,,,,,,,,,,,,,,
2023-08-27,1:41 PM.,PHI,STL,away,Sunny.,86,605400,3B,3,0,0,0,0,0,0,0,0,1,1,0.178,0.231,0.219,0.45,605400,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,4.46,3.71,193.2,107.0,101.0,106.0,0.76,9.39,2.09,8.27,1.49,1.13,0.215,0.477,0.156,0.323,0.419,70.0,111.0,103.0,95.0,107.0,103.0,,,,111.0,110.0,105.0,0.295,0.075,,0.126,-0.03,0.4,,0.14,92.7,86.3,85.9,,0.246,0.503,0.217,,,,0.22,0.319,0.319,0.246,0.508,0.301,,,,,,,0.221,0.398,0.3329999999999999,100.0,107.0,101.0,118.0,105.0,113.0,0.188,0.316,0.46,0.47,91.8,79.4,0.279,0.416,0.106,,,,,,,,,,,,,,,
2023-08-26,7:15 PM.,PHI,STL,away,Partly Cloudy.,85,554430,1B,1,0,0,0,0,0,0,0,0,1,0,0.186,0.24,0.229,0.469,554430,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,3.61,3.18,192.0,105.0,107.0,110.0,0.74,9.94,1.83,7.88,0.94,1.07,0.279,0.38,0.214,0.313,0.421,48.0,106.0,77.0,112.0,109.0,114.0,107.0,101.0,111.0,96.0,102.0,102.0,0.435,0.144,0.123,0.004,1.69,-0.63,0.36,-6.22,95.8,90.9,90.8,84.4,0.199,0.333,0.314,0.198,0.36,0.392,,,,0.27,0.426,0.228,116.0,105.0,114.0,0.115,-1.61,81.4,0.264,0.473,0.33,105.0,105.0,107.0,,,,0.18,,1.62,,95.2,,0.252,0.308,0.192,,,,,,,,,,,,,,,
2023-08-25,7:08 PM.,PHI,STL,away,Partly Cloudy.,85,650911,3B,3,0,1,0,0,0,0,0,0,2,0,0.188,0.243,0.232,0.475,650911,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.44,3.74,99.1,101.0,83.0,100.0,0.759,8.7,1.45,7.97,1.45,2.19,0.21,0.445,0.157,0.342,0.429,75.0,98.0,104.0,,,,123.0,100.0,100.0,,,,,,0.211,0.327,,,0.2,1.1,,,81.8,82.7,,,,0.25,0.456,0.297,0.148,0.274,0.43,,,,,,,,,,,,,71.0,104.0,97.0,,,,0.462,,0.65,,92.1,,0.297,0.523,0.107,,,,,,,,,,,,,,,
2023-08-22,7:08 PM.,PIT,STL,away,Partly Cloudy.,76,670912,RF,0,0,0,0,0,0,0,0,0,0,0,0.182,0.239,0.227,0.466,670912,johanoviedo,Oviedo,Right,Johan Oviedo,PIT,4.31,4.61,177.2,95.0,91.0,95.0,0.759,8.0,4.2,8.16,0.96,1.24,0.234,0.408,0.164,0.316,0.411,75.0,84.0,82.0,83.0,93.0,87.0,103.0,98.0,104.0,,,,0.392,,0.367,0.041,-1.25,,0.8,-0.07,95.8,,88.1,88.2,0.277,0.477,0.183,0.21,0.349,0.326,0.25,0.3,0.357,,,,87.0,97.0,101.0,0.149,0.82,80.9,0.193,0.352,0.308,100.0,93.0,92.0,,,,0.05,,0.93,,95.7,,0.276,0.345,0.065,,,,,,,,,,,,,,,
2023-08-21,7:07 PM.,PIT,STL,away,Partly Cloudy.,86,641672,3B,1,0,0,0,0,0,0,0,0,1,1,0.182,0.239,0.227,0.466,641672,thomashatch,Hatch,Right,Thomas Hatch,- - -,4.08,4.21,28.2,97.0,91.0,90.0,0.711,8.16,3.77,10.36,0.63,1.59,0.18,0.494,0.045,0.393,0.373,52.0,90.0,78.0,112.0,102.0,92.0,,,,109.0,98.0,96.0,0.133,0.35,0.002,0.272,-4.69,2.36,-3.64,-2.77,94.7,87.9,85.5,83.8,0.385,0.846,0.2189999999999999,,,,0.351,0.514,0.347,0.216,0.243,0.351,,,,,,,,,,98.0,100.0,92.0,,,,0.243,,0.69,,94.8,,0.28,0.36,0.184,,,,,,,,,,,,,,,
2023-08-19,6:16 PM.,NYM,STL,home,Clear.,87,673540,3B,1,0,0,0,0,0,0,0,0,0,0,0.185,0.243,0.231,0.474,673540,kodaisenga,Senga,Right,Kodai Senga,NYM,2.98,3.87,166.1,95.0,97.0,97.0,0.721,10.93,4.17,6.82,0.92,1.23,0.252,0.416,0.161,0.333,0.382,,,,109.0,97.0,97.0,100.0,93.0,102.0,93.0,95.0,93.0,0.37,0.25,0.116,,0.17,2.52,-0.96,,95.7,90.8,,82.7,0.244,0.399,0.173,0.333,0.952,0.245,,,,0.244,0.339,0.182,91.0,90.0,87.0,0.027,-0.23,72.8,0.125,0.5,0.444,,,,,,,,,,,,,,,,,,,,,,0.11,0.147,0.595,,,,0.237,0.95,83.2
2023-08-18,7:15 PM.,NYM,STL,home,Clear.,79,664192,3B,1,0,0,0,0,0,0,0,0,0,0,0.188,0.246,0.234,0.48,664192,joeylucchesi,Lucchesi,Left,Joey Lucchesi,NYM,2.89,5.44,46.2,97.0,76.0,90.0,0.831,6.17,3.28,8.49,0.77,1.17,0.278,0.285,0.153,0.313,0.399,53.0,67.0,57.0,,,,,,,74.0,97.0,88.0,,0.228,,0.007,,2.74,,0.25,,90.4,81.8,,,,,,,,,,,0.133,0.2,0.107,74.0,96.0,93.0,0.247,-2.14,77.9,0.289,0.421,0.3,79.0,99.0,90.0,,,,0.517,,0.95,,90.0,,0.293,0.478,0.151,,,,,,,,,,,,,,,
2023-08-17,6:16 PM.,NYM,STL,home,Partly Cloudy.,84,500779,SS,1,0,0,0,0,0,0,0,1,1,0,0.19,0.25,0.238,0.488,500779,josequintana,Quintana,Left,Jose Quintana,NYM,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.286,0.349,65.0,102.0,91.0,81.0,101.0,95.0,,,,,,,0.242,,,0.181,-2.28,,,-1.18,90.2,,85.8,,0.391,0.594,0.217,,,,0.276,0.379,0.296,,,,96.0,106.0,102.0,0.253,1.45,77.2,0.214,0.268,0.2689999999999999,78.0,99.0,91.0,,,,0.323,,3.29,,90.4,,0.196,0.25,0.135,,,,,,,,,,0.211,0.368,0.207,,,
2023-08-16,5:45 PM.,OAK,STL,home,Clear.,83,621112,SS,4,0,2,0,0,0,0,0,0,2,4,0.194,0.242,0.242,0.484,621112,paulblackburn,Blackburn,Right,Paul Blackburn,OAK,4.43,4.42,103.2,100.0,87.0,97.0,0.778,9.03,3.73,10.16,0.95,1.17,0.246,0.38,0.166,0.297,0.346,67.0,108.0,96.0,77.0,95.0,87.0,91.0,103.0,108.0,106.0,100.0,100.0,0.146,0.204,0.181,0.112,-2.52,-2.38,0.46,2.14,91.9,88.9,86.0,80.8,0.383,0.553,0.17,0.198,0.308,0.344,0.143,0.286,0.389,0.435,0.624,0.159,89.0,104.0,104.0,0.117,1.69,79.1,0.14,0.326,0.245,82.0,96.0,87.0,,,,0.24,,-0.75,,91.8,,0.306,0.435,0.15,,,,,,,,,,,,,,,
