date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
2023-07-16,4:31 PM.,SD,PHI,home,Cloudy.,77,607625,3B,2,0,0,0,0,0,1,0,1,1,2,0.217,0.379,0.478,0.857,607625,sethlugo,"Lugo, S",Right,Seth Lugo,SDP,3.57,4.42,146.1,102.0,103.0,103.0,0.805,8.61,2.21,8.61,1.17,1.34,0.209,0.438,0.139,0.351,0.459,85.0,96.0,97.0,122.0,100.0,105.0,87.0,108.0,103.0,114.0,96.0,108.0,,,,0.318,,0.111,0.313,0.059,0.36,,-0.6,0.26,-2.89,93.4,,86.3,85.2,79.6,0.246,0.464,0.214,0.25,0.417,0.286,0.303,0.576,0.3429999999999999,0.287,0.384,0.265,,,,97.0,102.0,97.0,0.199,1.87,93.2,0.208,0.36,0.089,,,,,,,,,,,,,,,,0.0,0.0,0.226
2023-07-15,1:10 PM.,SD,PHI,home,Sunny.,90,605483,1B,2,0,1,0,0,0,0,0,0,1,0,0.238,0.385,0.524,0.909,605483,blakesnell,Snell,Left,Blake Snell,SDP,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.388,0.168,0.309,0.326,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,107.0,91.0,94.0,,,,0.486,,0.131,0.198,0.184,0.07,,0.68,2.55,2.65,95.5,,86.7,88.4,81.0,0.255,0.389,0.195,0.123,0.26,0.536,0.185,0.266,0.4679999999999999,0.079,0.14,0.563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-15,7:09 PM.,SD,PHI,home,Partly Cloudy.,86,677960,1B,0,0,0,0,0,0,0,0,0,0,0,0.238,0.385,0.524,0.909,677960,ryanweathers,Weathers,Left,Ryan Weathers,- - -,6.55,4.67,57.2,98.0,88.0,94.0,0.789,6.71,4.53,10.61,1.87,0.87,0.293,0.413,0.185,0.299,0.43,67.0,97.0,88.0,,,,91.0,99.0,93.0,105.0,99.0,100.0,,,,0.551,,0.203,,0.236,-1.58,,-1.09,,-1.24,95.1,,86.8,80.8,,0.35,0.592,0.206,0.229,0.521,0.261,0.304,0.507,0.2789999999999999,,,,,,,,,,0.01,9.15,94.9,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2023-07-14,6:13 PM.,SD,PHI,home,Partly Cloudy.,87,506433,1B,1,0,0,0,0,0,0,0,1,0,0,0.211,0.375,0.526,0.901,506433,yudarvish,Darvish,Right,Yu Darvish,SDP,4.56,3.82,136.1,102.0,112.0,106.0,0.769,9.31,2.84,8.85,1.19,1.19,0.236,0.39,0.181,0.306,0.453,180.0,50.0,53.0,97.0,94.0,104.0,122.0,110.0,114.0,125.0,98.0,108.0,93.0,95.0,99.0,0.167,0.089,0.363,0.051,0.001,-1.74,2.4,-0.68,1.37,-1.35,94.7,90.9,82.3,84.0,72.3,0.253,0.538,0.159,0.432,0.703,0.244,,,,0.13,0.203,0.391,0.2,0.32,0.196,101.0,106.0,102.0,0.186,0.46,94.3,0.319,0.418,0.157,105.0,111.0,112.0,95.0,104.0,100.0,0.077,0.066,1.21,3.06,89.2,79.3,0.167,0.217,0.4,,,
2023-06-10,4:08 PM.,LAD,PHI,home,Partly Cloudy.,82,676272,1B,0,0,0,0,0,0,0,0,0,0,0,0.222,0.364,0.556,0.92,676272,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,3.76,3.4,124.1,102.0,123.0,110.0,0.764,8.61,2.32,7.6,0.87,1.46,0.256,0.428,0.147,0.299,0.426,105.0,100.0,117.0,115.0,100.0,110.0,130.0,102.0,105.0,153.0,110.0,121.0,,,,0.289,,0.174,0.185,0.16,1.2,,-1.0,1.25,0.6,99.0,,88.2,89.7,80.6,0.258,0.367,0.206,0.5,0.75,0.25,0.133,0.307,0.3989999999999999,0.184,0.303,0.36,,,,107.0,99.0,100.0,0.192,1.75,98.8,0.258,0.382,0.178,,,,,,,,,,,,,,,,,,
2023-06-09,7:09 PM.,LAD,PHI,home,Cloudy.,73,624647,PH,1,0,0,0,0,0,0,0,0,0,0,0.222,0.364,0.556,0.92,624647,victorgonzalez,"González, V",Left,Victor González,LAD,4.01,3.21,33.2,96.0,82.0,97.0,0.719,8.02,2.67,7.22,0.53,2.17,0.207,0.5,0.196,0.239,0.4,75.0,76.0,86.0,,,,,,,97.0,102.0,111.0,,,,,,0.298,,0.065,,,0.48,,4.32,,,87.1,86.1,,,,,0.2,0.356,0.4679999999999999,0.1,0.1,0.313,,,,,,,76.0,95.0,91.0,0.637,1.46,94.6,0.258,0.348,0.181,,,,,,,,,,,,,,,,,,
2023-06-06,6:43 PM.,DET,PHI,home,Partly Cloudy.,75,641302,3B,3,0,0,0,0,0,0,0,0,1,0,0.235,0.381,0.588,0.969,641302,tyleralexander,"Alexander, T",Left,Tyler Alexander,DET,4.5,3.61,44.0,110.0,87.0,102.0,0.846,9.0,1.02,9.0,1.64,0.64,0.256,0.333,0.147,0.31,0.471,79.0,109.0,99.0,,,,87.0,113.0,108.0,66.0,111.0,103.0,102.0,105.0,98.0,0.281,0.351,0.088,,0.169,1.92,-0.03,0.74,,-2.19,89.9,86.4,82.8,81.3,,0.2,0.4,0.222,0.25,0.333,0.185,0.273,0.485,0.2,,,,0.316,0.579,0.183,68.0,115.0,102.0,0.11,0.86,89.8,0.2,0.28,0.03,,,,,,,,,,,,,,,,,,
2023-06-05,6:43 PM.,DET,PHI,home,Cloudy.,76,666214,1B,4,0,0,0,0,0,0,0,0,3,5,0.286,0.444,0.714,1.158,666214,joeywentz,Wentz,Left,Joey Wentz,DET,6.9,5.77,105.2,100.0,89.0,95.0,0.766,8.35,4.0,11.16,2.13,0.84,0.228,0.418,0.147,0.357,0.424,95.0,101.0,98.0,102.0,106.0,105.0,80.0,100.0,92.0,,,,91.0,97.0,93.0,0.416,0.251,,0.158,0.175,-2.53,-0.57,,-0.86,-0.22,93.4,86.0,85.0,,77.5,0.374,0.682,0.19,,,,0.189,0.392,0.318,0.247,0.356,0.285,0.271,0.5,0.291,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-04,1:35 PM.,WSH,PHI,away,Cloudy.,69,592866,3B,3,4,3,0,0,2,3,0,2,0,0,0.4,0.571,1.0,1.571,592866,trevorwilliams,Williams,Right,Trevor Williams,WSN,5.55,5.66,144.1,104.0,81.0,96.0,0.831,6.92,3.3,11.1,2.12,0.96,0.253,0.4,0.163,0.329,0.387,68.0,105.0,96.0,97.0,95.0,95.0,80.0,107.0,96.0,94.0,114.0,103.0,,,,0.433,,0.182,0.069,0.171,-0.77,,-1.7,-1.93,-2.25,89.7,,83.3,80.9,76.7,0.283,0.563,0.1669999999999999,0.313,0.5,0.281,0.315,0.483,0.1989999999999999,0.314,0.629,0.2,,,,91.0,100.0,95.0,0.146,-0.45,88.2,0.325,0.458,0.188,,,,,,,,,,,,,,,,,,
2023-06-03,4:05 PM.,WSH,PHI,away,Cloudy.,79,669022,1B,3,0,0,0,0,0,0,0,1,0,2,0.143,0.333,0.143,0.476,669022,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.42,5.2,136.1,97.0,100.0,101.0,0.749,9.97,3.76,8.85,1.78,0.97,0.26,0.391,0.158,0.354,0.409,69.0,88.0,90.0,72.0,99.0,104.0,112.0,98.0,100.0,101.0,97.0,102.0,,,,0.595,,0.188,0.188,0.029,-0.27,,0.77,-0.85,1.1,95.0,,86.5,88.5,83.2,0.279,0.503,0.216,0.213,0.415,0.375,0.188,0.25,0.382,0.257,0.416,0.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
