date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSL/C,wCU/C,vFA,vFS,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,CH%,wFC/C,wSI/C,wCH/C,vFC,vCH,vSI,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff,SV_ba,SV_slg,SV_whiff
2024-09-29,3:05 PM.,PHI,WSH,home,Overcast.,69,605400,SS,3,1,1,0,0,0,0,0,0,1,0,0.246,0.37,0.262,0.632,605400,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.57,3.72,199.1,105.0,104.0,103.0,0.772,8.89,2.26,8.53,1.35,1.31,0.209,0.477,0.16,0.305,0.399,,,,90.0,103.0,99.0,,,,,,,0.278,,,,0.81,,,,92.5,,,,0.168,0.318,0.224,,,,,,,0.221,0.381,0.37,78.0,102.0,91.0,100.0,109.0,106.0,69.0,99.0,92.0,0.204,0.092,0.096,-2.57,-0.34,-1.67,87.5,85.7,91.5,0.279,0.426,0.135,0.389,0.796,0.178,0.313,0.475,0.136,,,,135.0,106.0,113.0,0.329,0.94,79.1,,,,,,,,,
2024-09-28,4:05 PM.,PHI,WSH,home,Partly Cloudy.,84,554430,SS,3,0,1,0,0,0,0,0,0,1,0,0.241,0.371,0.259,0.63,554430,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.57,2.8,200.0,104.0,106.0,108.0,0.747,10.08,2.34,6.26,0.9,1.09,0.245,0.35,0.209,0.29,0.42,110.0,101.0,107.0,101.0,106.0,109.0,128.0,106.0,115.0,94.0,110.0,110.0,0.416,0.074,0.125,0.1,0.88,1.47,1.04,-0.98,95.3,86.1,84.9,81.8,0.209,0.395,0.296,,,,0.137,0.196,0.402,0.205,0.397,0.387,,,,111.0,103.0,107.0,92.0,97.0,94.0,0.192,0.093,,-0.23,2.68,,91.1,,94.6,,,,0.226,0.371,0.183,0.189,0.259,0.142,0.152,0.273,0.335,,,,,,,,,,,,,,,
2024-09-27,6:45 PM.,PHI,WSH,home,Overcast.,76,624133,SS,3,0,0,0,0,0,0,1,1,1,4,0.236,0.373,0.255,0.628,624133,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,3.46,3.67,150.2,103.0,82.0,100.0,0.799,8.66,2.45,8.36,0.84,2.01,0.194,0.461,0.154,0.283,0.395,84.0,107.0,108.0,68.0,101.0,91.0,22.0,85.0,77.0,,,,0.195,,0.001,0.205,0.67,,-4.62,1.02,91.8,,81.3,74.4,0.224,0.327,0.18,,,,,,,0.189,0.342,0.339,73.0,100.0,98.0,87.0,106.0,104.0,101.0,98.0,93.0,0.315,0.121,0.163,-1.68,0.84,-0.63,86.5,80.0,90.8,0.229,0.323,0.35,0.302,0.642,0.162,0.27,0.381,0.101,,,,,,,,,,,,,,,,,,
2024-09-26,1:05 PM.,KC,WSH,home,Cloudy.,77,608379,SS,3,0,0,0,0,0,0,0,0,0,3,0.25,0.381,0.269,0.65,608379,michaelwacha,Wacha,Right,Michael Wacha,KCR,3.35,4.05,166.2,102.0,91.0,99.0,0.784,7.83,2.43,8.32,0.92,0.93,0.258,0.429,0.213,0.282,0.436,72.0,89.0,92.0,83.0,103.0,99.0,97.0,89.0,90.0,,,,0.238,,0.092,0.081,0.39,,-2.39,-1.64,93.6,,84.1,75.2,0.279,0.449,0.169,0.371,0.6,0.373,,,,0.357,0.643,0.174,111.0,109.0,112.0,78.0,103.0,89.0,78.0,100.0,92.0,0.153,0.114,0.322,-0.94,0.29,2.26,88.8,81.2,93.6,0.169,0.312,0.341,0.319,0.458,0.148,0.252,0.301,0.099,,,,,,,,,,,,,,,,,,
2024-09-25,6:45 PM.,KC,WSH,home,Overcast.,71,547179,SS,2,0,1,0,0,0,0,1,1,1,2,0.265,0.4,0.286,0.686,547179,michaellorenzen,Lorenzen,Right,Michael Lorenzen,- - -,3.31,4.59,130.1,97.0,93.0,95.0,0.796,6.7,4.14,6.97,1.17,1.03,0.249,0.386,0.188,0.322,0.411,102.0,93.0,96.0,84.0,95.0,89.0,126.0,98.0,108.0,,,,0.272,,0.149,0.079,1.0,,-1.51,0.02,93.8,,83.9,81.7,0.155,0.309,0.184,0.368,0.632,0.253,,,,0.217,0.348,0.352,93.0,101.0,99.0,81.0,102.0,94.0,94.0,92.0,91.0,0.212,0.1,0.188,0.04,-0.25,1.94,90.1,84.6,93.6,0.122,0.173,0.373,0.235,0.51,0.236,0.291,0.441,0.062,0.19,0.429,0.291,,,,,,,,,,,,,,,
2024-09-24,7:25 PM.,KC,WSH,home,Overcast.,66,666142,SS,2,0,0,0,0,0,0,0,1,0,2,0.255,0.386,0.277,0.663,666142,coleragans,Ragans,Left,Cole Ragans,KCR,3.14,3.31,186.1,100.0,108.0,104.0,0.705,10.77,3.24,7.05,0.72,1.01,0.281,0.395,0.176,0.3,0.409,,,,105.0,101.0,106.0,132.0,106.0,114.0,,,,0.418,,0.128,,0.85,,-0.34,,95.4,,86.0,,0.213,0.361,0.231,0.21,0.305,0.337,,,,0.14,0.256,0.352,114.0,98.0,103.0,,,,88.0,94.0,91.0,,0.113,0.237,0.26,,1.43,90.7,84.8,,0.183,0.28,0.478,0.348,0.455,0.228,,,,,,,101.0,97.0,101.0,0.104,0.9,80.8,,,,,,,,,
2024-09-22,3:40 PM.,CHC,WSH,away,Rain.,68,684007,SS,3,0,1,0,0,0,0,0,0,0,0,0.267,0.389,0.289,0.678,684007,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,2.91,3.39,173.1,105.0,90.0,103.0,0.739,9.03,1.45,7.74,1.4,0.82,0.217,0.45,0.166,0.309,0.438,70.0,96.0,97.0,96.0,104.0,106.0,103.0,105.0,104.0,81.0,106.0,100.0,0.52,0.306,0.077,0.032,0.36,1.39,0.14,-0.59,91.7,82.9,81.6,72.7,0.229,0.47,0.176,,,,0.204,0.283,0.431,0.444,0.556,0.0,82.0,105.0,104.0,76.0,102.0,91.0,50.0,107.0,96.0,0.021,0.005,0.039,-6.3,0.77,0.48,89.8,81.6,88.7,0.194,0.226,0.333,0.333,1.333,0.143,0.25,0.333,0.37,0.267,0.311,0.347,,,,0.0,-76.55,53.9,,,,,,,,,
2024-09-21,1:20 PM.,CHC,WSH,away,Sunny.,84,543294,SS,3,0,1,0,0,0,0,0,0,1,2,0.262,0.392,0.286,0.678,543294,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,5.92,4.81,130.2,105.0,95.0,100.0,0.828,5.99,2.96,10.13,1.45,1.31,0.233,0.412,0.194,0.288,0.402,87.0,109.0,108.0,59.0,94.0,86.0,,,,,,,0.127,,,0.131,-1.51,,,0.52,87.7,,,74.3,0.237,0.553,0.209,,,,,,,0.22,0.3,0.244,108.0,106.0,106.0,97.0,106.0,96.0,,,,0.355,,0.387,,-0.77,-0.72,,80.9,87.6,0.267,0.409,0.239,,,,0.333,0.493,0.106,,,,,,,,,,,,,,,,,,
2024-09-18,7:10 PM.,NYM,WSH,away,Cloudy.,72,500779,SS,0,0,0,0,0,0,0,0,1,0,0,0.256,0.396,0.282,0.678,500779,josequintana,Quintana,Left,Jose Quintana,NYM,3.75,4.52,170.1,97.0,83.0,93.0,0.801,7.13,3.33,7.93,1.16,1.35,0.224,0.407,0.173,0.344,0.337,110.0,100.0,99.0,70.0,92.0,85.0,,,,,,,0.225,,,0.278,-0.32,,,-0.04,90.7,,,77.7,0.227,0.427,0.169,,,,,,,0.265,0.444,0.264,70.0,100.0,97.0,76.0,97.0,91.0,,,,0.304,,0.193,,0.82,0.5,,85.7,90.8,0.203,0.26,0.367,,,,0.249,0.431,0.131,,,,,,,,,,,,,,,,0.195,0.366,0.284
2024-09-17,7:12 PM.,NYM,WSH,away,Cloudy.,74,656731,SS,0,0,0,0,0,0,0,0,0,0,0,0.256,0.383,0.282,0.665,656731,tylormegill,Megill,Right,Tylor Megill,NYM,4.04,4.2,78.0,97.0,108.0,100.0,0.734,10.5,3.69,8.08,0.92,1.04,0.263,0.368,0.191,0.33,0.421,91.0,77.0,82.0,112.0,99.0,101.0,103.0,103.0,106.0,105.0,93.0,107.0,0.467,0.073,0.132,0.078,0.29,-1.25,-0.85,-0.37,95.7,84.7,85.1,78.0,0.228,0.35,0.292,0.233,0.302,0.291,0.143,0.393,0.429,0.188,0.313,0.333,130.0,94.0,112.0,108.0,104.0,110.0,101.0,96.0,93.0,0.098,0.136,0.015,-1.19,3.24,-4.39,90.1,87.2,94.6,0.5,0.5,0.111,0.326,0.565,0.27,0.206,0.206,0.184,0.25,1.0,0.167,,,,,,,,,,,,,,,
