date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,KC%,CH%,wFA/C,wFC/C,wSI/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vKC,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SL,Loc+ SL,Pit+ SL,SL%,CU%,wSL/C,wCU/C,vSL,vCU,ST_ba,ST_slg,ST_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
2024-09-28,3:08 PM.,TOR,MIA,away,Roof Closed.,68,684320,2B,4,0,0,0,0,0,0,0,0,1,2,0.229,0.25,0.286,0.536,684320,yarielrodriguez,Rodríguez,Right,Yariel Rodríguez,TOR,4.47,4.0,86.2,97.0,97.0,97.0,0.765,8.83,4.15,7.68,1.14,0.9,0.268,0.393,0.184,0.272,0.392,,,,86.0,93.0,87.0,84.0,94.0,92.0,,,,,,,0.108,0.409,,,,-0.12,,2.98,,,93.9,,,93.4,,0.348,0.739,0.25,0.255,0.439,0.22,0.167,0.167,0.149,,,,,,,0.213,0.36,0.335,97.0,95.0,100.0,120.0,104.0,111.0,0.282,0.105,0.67,-2.85,84.6,78.3,,,,85.0,102.0,102.0,0.096,-1.17,88.9,0.194,0.306,0.215,,,
2024-09-27,7:08 PM.,TOR,MIA,away,Cloudy.,68,621244,CF,1,0,0,0,0,0,0,0,0,1,0,0.258,0.281,0.323,0.604,621244,joseberrios,Berríos,Right,José Berríos,TOR,3.6,4.74,192.1,103.0,92.0,99.0,0.808,7.16,2.53,7.86,1.45,1.17,0.257,0.421,0.15,0.352,0.414,86.0,104.0,101.0,82.0,99.0,92.0,85.0,103.0,95.0,,,,84.0,108.0,99.0,0.337,0.183,0.035,,0.16,-1.26,-1.83,1.02,,0.88,94.1,91.4,84.8,93.4,,,,,0.305,0.558,0.189,0.268,0.366,0.125,0.171,0.364,0.269,0.36,0.48,0.123,,,,111.0,102.0,106.0,,,,,0.286,,0.28,,83.2,,,,,,,,,,,,,0.188,0.404,0.31
2024-09-26,6:42 PM.,MIN,MIA,away,Clear.,82,701581,CF,1,0,0,0,0,0,0,0,0,1,1,0.267,0.29,0.333,0.623,701581,davidfesta,"Festa, D",Right,David Festa,MIN,4.9,4.14,64.1,101.0,100.0,103.0,0.735,10.77,3.22,8.67,1.26,0.9,0.229,0.451,0.166,0.331,0.405,72.0,105.0,105.0,107.0,96.0,99.0,,,,,,,,,,,0.402,,,0.28,-0.79,,,,-1.14,94.7,,88.4,,,,,,0.304,0.544,0.194,,,,0.237,0.463,0.394,,,,0.207,0.315,0.291,,,,118.0,103.0,105.0,0.318,,1.48,,86.1,,,,,,,,,,,,,,,,
2024-09-21,4:11 PM.,ATL,MIA,home,Roof Closed.,72,608331,SS,3,0,0,0,0,0,0,0,0,0,1,0.276,0.3,0.345,0.645,608331,maxfried,Fried,Left,Max Fried,ATL,3.25,3.72,174.1,98.0,94.0,99.0,0.776,8.57,2.94,7.54,0.67,2.53,0.255,0.435,0.151,0.261,0.413,91.0,101.0,103.0,78.0,93.0,93.0,90.0,98.0,94.0,,,,93.0,96.0,94.0,0.158,0.327,0.054,,0.136,0.63,-1.33,1.47,,1.7,93.9,88.5,85.7,93.6,,0.154,0.285,0.371,0.266,0.36,0.182,0.265,0.299,0.137,0.196,0.283,0.251,0.286,0.476,0.286,0.22,0.293,0.297,116.0,103.0,108.0,102.0,97.0,98.0,0.115,0.21,0.5,1.39,82.1,74.6,0.167,0.2,0.358,,,,,,,,,,,,
2024-09-19,4:40 PM.,LAD,MIA,home,Roof Closed.,72,656427,SS,2,0,1,1,0,0,0,0,0,0,0,0.308,0.333,0.385,0.718,656427,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.17,3.54,162.0,102.0,94.0,102.0,0.712,10.78,2.11,7.5,1.33,1.05,0.223,0.436,0.157,0.3,0.38,87.0,83.0,81.0,92.0,104.0,101.0,75.0,85.0,72.0,101.0,103.0,107.0,,,,0.023,0.441,,0.218,0.027,0.5,,-5.05,2.19,-0.55,93.3,,85.7,90.6,77.4,0.164,0.219,0.436,0.245,0.401,0.238,0.6,1.2,0.4,0.111,0.333,0.111,,,,0.222,0.455,0.363,,,,95.0,102.0,102.0,0.29,,0.02,,84.7,,,,,,,,,,,,,,,,
2024-09-18,6:40 PM.,LAD,MIA,home,Roof Closed.,72,689017,CF,2,0,1,0,0,0,0,0,0,0,1,0.292,0.32,0.333,0.653,689017,landonknack,Knack,Right,Landon Knack,LAD,3.65,3.94,69.0,98.0,104.0,99.0,0.78,9.0,2.35,7.57,1.83,0.62,0.204,0.505,0.138,0.352,0.429,73.0,91.0,90.0,115.0,99.0,103.0,,,,,,,,,,,0.463,,,0.145,0.2,,,,-0.24,93.5,,84.2,,,0.333,0.485,0.206,0.228,0.526,0.203,,,,0.182,0.364,0.271,,,,0.183,0.296,0.278,77.0,92.0,89.0,120.0,105.0,104.0,0.23,0.162,1.46,-1.55,85.1,79.6,,,,,,,,,,,,,,,
2024-09-15,1:36 PM.,WSH,MIA,away,Sunny.,79,669022,LF,2,0,0,0,0,0,0,0,0,0,1,0.273,0.304,0.318,0.622,669022,mackenziegore,Gore,Left,MacKenzie Gore,WSN,3.9,4.2,166.1,98.0,110.0,101.0,0.752,9.79,3.52,9.25,0.81,1.11,0.26,0.376,0.156,0.3,0.433,92.0,91.0,94.0,124.0,98.0,103.0,,,,,,,,,,,0.553,,,0.093,-0.02,,,,-1.35,96.0,,85.9,,,0.218,0.296,0.34,0.281,0.418,0.226,,,,0.28,0.48,0.512,,,,0.255,0.422,0.323,104.0,104.0,102.0,89.0,92.0,92.0,0.158,0.196,-0.77,0.62,90.6,82.8,0.333,0.5,0.417,,,,,,,,,,,,
2024-09-14,4:05 PM.,WSH,MIA,away,Sunny.,81,571578,CF,3,0,1,0,0,0,0,0,0,0,1,0.3,0.333,0.35,0.683,571578,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.62,5.53,174.2,101.0,76.0,94.0,0.788,7.16,2.78,10.72,1.29,1.42,0.218,0.384,0.141,0.333,0.396,87.0,96.0,96.0,55.0,97.0,84.0,71.0,103.0,92.0,,,,76.0,107.0,98.0,0.338,0.076,0.192,0.001,0.034,-1.46,-0.37,-1.9,4.71,-5.53,91.3,85.7,81.0,91.5,63.2,0.5,1.25,0.526,0.311,0.578,0.133,0.339,0.567,0.091,0.409,0.773,0.279,0.301,0.434,0.223,0.216,0.335,0.354,73.0,100.0,97.0,88.0,97.0,97.0,0.343,0.016,0.41,-2.3,80.0,70.0,,,,,,,,,,,,,,,
2024-09-13,6:45 PM.,WSH,MIA,away,Partly Cloudy.,79,687792,LF,3,0,2,0,0,0,0,0,0,0,1,0.294,0.333,0.353,0.686,687792,djherz,Herz,Left,DJ Herz,WSN,4.16,3.26,88.2,97.0,99.0,97.0,0.734,10.76,3.65,7.71,1.12,0.82,0.254,0.436,0.14,0.326,0.429,113.0,98.0,99.0,93.0,98.0,96.0,,,,102.0,82.0,88.0,,,,,0.542,,0.033,0.245,0.86,,,1.64,-0.19,93.5,,83.5,,81.2,0.2,0.2,0.533,0.222,0.317,0.305,,,,0.224,0.388,0.26,,,,0.229,0.429,0.275,,,,105.0,95.0,100.0,0.179,,-0.96,,86.1,,,,,,,,,,,,,,,,
2024-09-12,6:46 PM.,WSH,MIA,away,Clear.,79,680730,2B,2,1,0,0,0,0,0,0,0,0,1,0.214,0.267,0.286,0.553,680730,mitchellparker,Parker,Left,Mitchell Parker,WSN,4.29,4.37,151.0,99.0,87.0,97.0,0.801,7.93,2.56,9.18,1.07,0.94,0.248,0.444,0.132,0.321,0.441,,,,78.0,101.0,96.0,,,,,,,,,,,0.486,,,,0.07,,,,,92.5,,,,,0.252,0.36,0.263,0.276,0.425,0.12,,,,,,,,,,0.238,0.429,0.364,97.0,96.0,96.0,106.0,107.0,110.0,0.098,0.225,-0.73,0.47,84.5,80.5,,,,89.0,94.0,94.0,0.191,-0.6,85.6,0.233,0.4,0.372,,,
