date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,KC%,wFC/C,wSI/C,wKC/C,vFC,vSI,vKC,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSL/C,wCU/C,vFA,vFS,vSL,vCU,SV_ba,SV_slg,SV_whiff,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,vKN (sc),KN%,wKN/C
2023-09-28,6:07 PM.,PHI,PIT,away,Cloudy.,62,554430,1B,4,0,2,0,0,0,0,0,0,1,2,0.229,0.303,0.422,0.725,554430,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,3.61,3.18,192.0,105.0,107.0,110.0,0.74,9.94,1.83,7.88,0.94,1.07,0.279,0.38,0.214,0.313,0.421,105.0,105.0,107.0,,,,96.0,102.0,102.0,0.18,0.144,,-0.63,1.62,,90.9,95.2,,0.264,0.473,0.33,0.252,0.308,0.192,0.27,0.426,0.228,116.0,105.0,114.0,112.0,109.0,114.0,107.0,101.0,111.0,,,,0.435,,0.123,0.115,1.69,,0.36,-1.61,95.8,,84.4,81.4,,,,0.199,0.333,0.314,,,,0.198,0.36,0.392,48.0,106.0,77.0,0.004,-6.22,90.8,,,,,,
2023-09-23,6:41 PM.,CIN,PIT,away,Clear.,75,683175,1B,5,1,3,1,0,0,5,0,0,1,2,0.219,0.297,0.419,0.716,683175,connorphillips,Phillips,Right,Connor Phillips,CIN,6.97,4.67,20.2,93.0,128.0,98.0,0.78,11.32,5.66,7.84,2.18,0.68,0.339,0.357,0.179,0.268,0.402,,,,,,,,,,,,,,,,,,,0.667,0.667,0.111,,,,,,,119.0,95.0,94.0,125.0,93.0,95.0,142.0,95.0,108.0,,,,0.633,,0.255,0.1,-1.48,,3.39,-2.94,96.4,,84.4,82.2,,,,0.25,0.558,0.131,,,,0.111,0.111,0.489,59.0,70.0,70.0,0.013,-2.97,91.2,,,,,,
2023-09-19,8:05 PM.,CHC,PIT,away,Overcast.,64,665871,1B,3,0,0,0,0,0,0,0,0,1,1,0.2,0.283,0.4,0.683,665871,javierassad,Assad,Right,Javier Assad,CHC,3.05,4.64,109.1,99.0,92.0,94.0,0.825,7.74,3.38,7.66,1.07,1.36,0.283,0.334,0.18,0.331,0.412,87.0,103.0,93.0,,,,103.0,99.0,95.0,0.306,0.274,,0.48,2.18,,89.1,92.7,,0.25,0.55,0.258,0.214,0.324,0.142,0.218,0.418,0.18,92.0,89.0,86.0,82.0,97.0,90.0,103.0,100.0,103.0,,,,0.194,,0.135,0.051,-0.9,,0.28,-3.14,93.1,,80.6,76.5,,,,0.313,0.484,0.193,,,,0.163,0.265,0.457,58.0,94.0,87.0,0.04,-3.27,85.0,0.357,0.571,0.292,,,
2023-09-16,6:36 PM.,NYY,PIT,home,Clear.,71,596133,1B,3,0,1,1,0,0,0,0,0,1,0,0.206,0.291,0.412,0.703,596133,lukeweaver,Weaver,Right,Luke Weaver,- - -,6.4,5.55,123.2,102.0,95.0,100.0,0.805,7.93,2.91,11.28,2.11,0.91,0.261,0.395,0.134,0.378,0.433,,,,,,,99.0,103.0,102.0,,0.11,0.118,0.87,,-1.56,90.3,,81.7,0.255,0.691,0.1669999999999999,,,,0.218,0.473,0.252,,,,88.0,102.0,96.0,112.0,101.0,104.0,,,,0.435,,0.137,,-1.47,,-2.22,,94.0,,85.8,,,,,0.311,0.543,0.175,,,,0.235,0.294,0.321,83.0,103.0,100.0,0.2,-2.01,86.1,0.316,0.547,0.3229999999999999,,,
2023-09-15,6:37 PM.,NYY,PIT,home,Clear.,70,543037,1B,1,0,0,0,0,0,0,0,0,0,0,0.202,0.29,0.404,0.694,543037,gerritcole,Cole,Right,Gerrit Cole,NYY,2.63,3.48,209.0,104.0,121.0,109.0,0.765,9.56,2.07,6.76,0.86,1.01,0.243,0.366,0.151,0.311,0.425,,,,114.0,103.0,113.0,107.0,103.0,102.0,,0.07,0.121,0.61,,0.94,92.7,,82.9,0.215,0.269,0.244,,,,0.262,0.377,0.311,,,,125.0,104.0,108.0,136.0,105.0,114.0,,,,0.53,,0.208,,1.66,,1.69,,96.7,,89.1,,,,,0.201,0.332,0.228,,,,0.186,0.251,0.327,72.0,100.0,96.0,0.071,-0.54,89.1,0.235,0.51,0.286,,,
2023-09-14,12:37 PM.,WSH,PIT,home,Partly Cloudy.,67,680686,1B,3,1,1,0,0,1,1,0,0,1,2,0.204,0.292,0.409,0.701,680686,josiahgray,"Gray, Js",Right,Josiah Gray,WSN,3.91,5.03,159.0,95.0,88.0,91.0,0.762,8.09,4.53,8.6,1.25,0.92,0.253,0.453,0.21,0.313,0.389,93.0,101.0,90.0,,,,95.0,95.0,83.0,0.176,0.181,,-0.09,0.15,,88.8,93.1,,0.221,0.358,0.349,0.313,0.385,0.138,0.243,0.461,0.205,96.0,95.0,97.0,82.0,91.0,83.0,84.0,92.0,96.0,,,,0.166,,0.299,0.161,-1.21,,-0.07,0.24,93.5,,85.1,82.2,,,,0.291,0.557,0.2019999999999999,,,,0.163,0.233,0.429,44.0,96.0,90.0,0.016,0.6,88.6,0.286,0.357,0.1,,,
2023-09-13,6:36 PM.,WSH,PIT,home,Partly Cloudy.,70,671131,1B,4,0,1,1,0,0,1,0,0,2,3,0.2,0.291,0.378,0.669,671131,jacksonrutledge,Rutledge,Right,Jackson Rutledge,WSN,6.75,5.81,20.0,96.0,99.0,95.0,0.811,5.4,2.7,10.8,1.8,0.51,0.221,0.412,0.147,0.338,0.451,87.0,101.0,96.0,,,,,,,0.142,,,,2.03,,,94.8,,0.333,1.333,0.0,0.3,0.4,0.25,,,,87.0,56.0,60.0,95.0,96.0,94.0,111.0,102.0,101.0,,,,0.457,,0.217,0.058,-0.11,,2.09,-9.52,95.8,,85.2,80.2,,,,0.258,0.452,0.213,,,,0.133,0.133,0.3329999999999999,114.0,98.0,107.0,0.127,-10.41,89.0,0.5,0.85,0.067,,,
2023-09-12,6:36 PM.,WSH,PIT,home,Cloudy.,66,672851,1B,0,0,0,0,0,0,0,0,0,0,0,0.198,0.293,0.372,0.665,672851,joanadon,Adon,Right,Joan Adon,WSN,6.45,5.59,51.2,98.0,89.0,93.0,0.802,8.36,4.18,10.45,1.39,1.0,0.242,0.406,0.145,0.406,0.411,89.0,89.0,79.0,,,,,,,0.136,,,,-1.28,,,94.2,,0.315,0.63,0.253,0.314,0.629,0.0139999999999999,,,,104.0,101.0,102.0,79.0,101.0,90.0,98.0,93.0,93.0,,,,0.395,,0.113,0.205,0.26,,-2.74,-3.51,94.5,,87.3,80.8,,,,0.288,0.411,0.221,,,,0.318,0.455,0.286,86.0,98.0,102.0,0.152,0.68,88.1,0.148,0.222,0.3389999999999999,,,
2023-09-10,1:36 PM.,ATL,PIT,away,Partly Cloudy.,83,642216,1B,2,0,0,0,0,0,0,0,0,2,0,0.198,0.293,0.372,0.665,642216,allanwinans,Winans,Right,Allan Winans,ATL,5.29,4.24,32.1,104.0,77.0,97.0,0.771,9.46,2.23,10.3,1.39,1.19,0.227,0.474,0.103,0.381,0.449,74.0,97.0,86.0,,,,,,,0.253,,,,-1.36,,,89.6,,,,,0.387,0.581,0.113,,,,,,,71.0,107.0,93.0,86.0,104.0,108.0,,,,0.225,,0.245,,-1.11,,-1.04,,90.0,,78.8,,,,,0.25,0.583,0.133,,,,0.267,0.5,0.364,78.0,107.0,101.0,0.277,0.71,82.9,0.25,0.341,0.311,,,
2023-09-09,7:21 PM.,ATL,PIT,away,Partly Cloudy.,80,689266,1B,0,0,0,0,0,0,0,0,0,0,0,0.202,0.299,0.381,0.68,689266,dylandodd,Dodd,Left,Dylan Dodd,ATL,7.6,8.37,34.1,106.0,82.0,98.0,0.842,3.93,3.15,13.89,2.36,0.77,0.235,0.419,0.081,0.419,0.518,,,,,,,92.0,112.0,94.0,,0.048,,-3.19,,,85.3,,,,,,,,,0.333,0.667,0.118,,,,80.0,111.0,99.0,87.0,101.0,98.0,,,,0.489,,0.285,,-1.53,,-4.07,,92.1,,81.8,,,,,0.342,0.595,0.13,,,,0.375,0.75,0.301,74.0,96.0,93.0,0.178,-3.11,82.9,0.355,0.516,0.204,,,
