date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,KC%,wFA/C,wFS/C,wSI/C,wSL/C,wKC/C,vFA,vFS,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,CU%,CH%,wCU/C,wCH/C,vCH,vCU,CH_ba,CH_slg,CH_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff
2023-09-30,6:11 PM.,SD,CWS,home,Clear.,76,608379,LF,1,0,0,0,0,0,0,0,0,1,0,0.239,0.285,0.31,0.595,608379,michaelwacha,Wacha,Right,Michael Wacha,SDP,3.22,4.27,134.1,102.0,89.0,101.0,0.775,8.31,2.88,7.57,1.0,0.8,0.17,0.488,0.154,0.3,0.43,73.0,104.0,94.0,84.0,103.0,103.0,,,,,,,,,,0.133,0.288,,,,1.23,,-0.36,,,92.0,,91.9,,,0.188,0.323,0.1669999999999999,,,,,,,0.172,0.31,0.27,0.25,0.45,0.111,101.0,106.0,110.0,86.0,92.0,94.0,0.11,0.345,1.04,1.06,81.6,74.0,0.207,0.346,0.359,96.0,100.0,96.0,0.124,-2.13,86.9,0.364,0.582,0.165,,,,,,
2023-09-29,6:40 PM.,SD,CWS,home,Clear.,68,607259,PR,0,0,0,0,0,0,0,0,0,0,0,0.241,0.287,0.312,0.599,607259,nickmartinez,"Martinez, N",Right,Nick Martinez,SDP,3.43,3.98,110.1,102.0,92.0,101.0,0.728,8.65,3.26,8.08,0.98,1.91,0.206,0.431,0.235,0.251,0.397,92.0,100.0,98.0,87.0,108.0,101.0,,,,,,,,,,0.224,0.13,,0.002,,-0.91,,1.23,-4.18,,93.3,,92.9,84.5,,0.25,0.423,0.225,,,,,,,0.164,0.295,0.347,0.293,0.333,0.088,97.0,102.0,106.0,88.0,97.0,100.0,0.191,0.288,0.59,2.41,80.7,81.8,0.158,0.226,0.465,96.0,102.0,96.0,0.164,-1.99,89.5,0.382,0.632,0.1689999999999999,,,,,,
2023-09-27,1:10 PM.,AZ,CWS,home,Cloudy.,68,694297,2B,3,0,1,0,0,0,0,0,0,1,2,0.241,0.287,0.312,0.599,694297,brandonpfaadt,Pfaadt,Right,Brandon Pfaadt,ARI,5.72,4.48,96.0,104.0,103.0,105.0,0.769,8.81,2.44,10.22,2.06,0.73,0.201,0.443,0.148,0.386,0.466,97.0,105.0,102.0,97.0,108.0,100.0,119.0,106.0,117.0,,,,,,,0.099,0.454,,0.27,,-1.63,,-0.03,1.21,,93.6,,93.1,83.8,,0.327,0.654,0.176,0.18,0.323,0.337,,,,0.294,0.529,0.294,0.313,0.563,0.188,90.0,100.0,97.0,106.0,89.0,97.0,0.055,0.122,-1.24,-3.66,86.7,78.8,0.4,0.711,0.33,,,,,,,,,,,,,,,
2023-09-24,1:38 PM.,BOS,CWS,away,Drizzle.,63,676710,2B,2,0,0,0,0,0,0,0,0,2,1,0.239,0.286,0.312,0.598,676710,kuttercrawford,"Crawford, K",Right,Kutter Crawford,BOS,4.04,3.25,129.1,102.0,105.0,104.0,0.761,9.39,2.51,7.45,1.18,0.71,0.219,0.427,0.188,0.319,0.418,111.0,107.0,108.0,,,,113.0,110.0,113.0,92.0,101.0,103.0,88.0,95.0,103.0,,0.391,0.077,0.132,0.119,1.44,-0.82,,1.5,-1.47,93.6,82.4,,82.5,79.4,0.163,0.326,0.258,0.15,0.25,0.376,0.214,0.357,0.214,0.34,0.642,0.2,,,,,,,,,,,,,,,,,,,108.0,94.0,95.0,0.281,0.35,88.6,0.289,0.43,0.244,,,,,,
2023-09-22,7:12 PM.,BOS,CWS,away,Cloudy.,62,519242,LF,1,0,0,0,0,0,0,0,0,1,2,0.243,0.29,0.316,0.606,519242,chrissale,Sale,Left,Chris Sale,BOS,4.3,3.61,102.2,100.0,94.0,99.0,0.725,10.96,2.54,7.63,1.31,0.86,0.293,0.384,0.16,0.308,0.405,99.0,102.0,100.0,98.0,94.0,96.0,92.0,98.0,100.0,,,,,,,0.062,0.432,,0.375,,0.46,,-1.13,0.7,,93.9,,93.3,77.8,,0.252,0.437,0.2339999999999999,0.162,0.358,0.389,,,,,,,0.267,0.5,0.1669999999999999,81.0,103.0,99.0,,,,,0.131,,-1.09,86.1,,0.309,0.473,0.322,,,,,,,,,,,,,,,
2023-09-20,1:06 PM.,WSH,CWS,away,Partly Cloudy.,75,680686,SS,2,0,0,0,0,0,0,0,0,0,0,0.244,0.292,0.319,0.611,680686,josiahgray,"Gray, Js",Right,Josiah Gray,WSN,3.91,5.03,159.0,95.0,88.0,91.0,0.762,8.09,4.53,8.6,1.25,0.92,0.253,0.453,0.21,0.313,0.389,82.0,91.0,83.0,93.0,101.0,90.0,84.0,92.0,96.0,,,,,,,0.176,0.166,,0.299,,-1.21,,0.15,-0.07,,93.5,,93.1,85.1,,0.291,0.557,0.2019999999999999,0.163,0.233,0.429,,,,0.221,0.358,0.349,0.313,0.385,0.138,44.0,96.0,90.0,96.0,95.0,97.0,0.161,0.016,0.24,0.6,88.6,82.2,0.286,0.357,0.1,95.0,95.0,83.0,0.181,-0.09,88.8,0.243,0.461,0.205,,,,,,
2023-09-17,1:10 PM.,MIN,CWS,home,Cloudy.,64,543243,2B,3,0,0,0,0,0,0,0,0,0,2,0.248,0.296,0.323,0.619,543243,sonnygray,"Gray, So",Right,Sonny Gray,MIN,2.79,3.66,184.0,101.0,103.0,104.0,0.759,8.95,2.69,7.63,0.39,1.55,0.255,0.424,0.143,0.3,0.422,105.0,99.0,100.0,82.0,99.0,94.0,122.0,108.0,121.0,,,,,,,0.157,0.271,,0.205,0.001,0.61,,-0.46,3.25,-0.41,92.9,,92.8,84.3,72.9,0.301,0.422,0.1639999999999999,0.096,0.117,0.413,,,,0.257,0.371,0.282,0.275,0.413,0.177,84.0,95.0,89.0,91.0,98.0,101.0,0.168,0.067,0.87,-0.63,87.9,79.6,0.27,0.405,0.174,118.0,102.0,102.0,0.131,1.3,87.6,0.265,0.368,0.278,,,,,,
2023-09-15,6:40 PM.,MIN,CWS,home,Clear.,72,641927,PH,1,0,0,0,0,0,0,0,0,1,1,0.254,0.302,0.331,0.633,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.43,3.63,144.1,105.0,83.0,101.0,0.739,9.1,1.81,7.79,1.37,0.69,0.22,0.435,0.152,0.324,0.411,73.0,107.0,99.0,,,,83.0,99.0,96.0,,,,,,,,0.457,,0.196,,0.75,,,-0.7,,91.3,,,81.0,,0.232,0.425,0.2769999999999999,0.255,0.48,0.3289999999999999,,,,0.194,0.306,0.161,,,,94.0,106.0,105.0,100.0,108.0,106.0,0.067,0.28,1.44,1.08,83.7,77.5,0.226,0.35,0.298,,,,,,,,,,,,,,,
2023-09-12,3:40 PM.,KC,CWS,home,Partly Cloudy.,69,663903,PR,0,0,0,0,0,0,0,0,0,0,0,0.254,0.304,0.325,0.629,663903,bradysinger,Singer,Right,Brady Singer,KCR,5.52,4.93,159.2,100.0,84.0,95.0,0.789,7.5,2.76,10.26,1.13,1.62,0.23,0.439,0.119,0.387,0.443,89.0,-304.0,-276.0,86.0,99.0,90.0,86.0,101.0,104.0,,,,,,,0.51,0.002,,0.426,,-2.24,,-1.24,0.01,,90.9,,92.1,84.0,,,,,0.0,0.0,0.6,,,,,,,0.339,0.555,0.113,53.0,96.0,88.0,,,,,0.063,,-0.3,87.7,,0.265,0.353,0.104,,,,,,,,,,,,,,,
2023-09-12,6:57 PM.,KC,CWS,home,Partly Cloudy.,65,543475,RF,3,1,1,1,0,0,1,0,0,1,0,0.256,0.304,0.333,0.637,543475,jordanlyles,Lyles,Right,Jordan Lyles,KCR,6.28,4.93,177.2,101.0,85.0,97.0,0.817,6.08,2.28,8.92,1.98,0.69,0.217,0.463,0.139,0.332,0.402,75.0,101.0,92.0,76.0,103.0,88.0,99.0,107.0,110.0,,,,,,,0.131,0.306,,0.247,,1.11,,-0.01,-1.31,,91.2,,90.5,80.2,,0.227,0.444,0.154,0.28,0.543,0.249,,,,0.238,0.476,0.2189999999999999,0.248,0.457,0.158,73.0,95.0,90.0,95.0,97.0,99.0,0.131,0.109,-1.6,-1.66,85.5,79.4,0.26,0.481,0.257,96.0,99.0,98.0,0.076,-0.94,86.8,0.314,0.725,0.19,,,,,,
